"school_year","opt_code","name","affiliation","site_type","street_address","city","state","zip","longitude","latitude","door_to_door_service","stop_to_school_service","common_carrier_svc_metrocards","site_reimbursement","mid_day_service","d2d_late_day_programs","s2s_late_day_programs"
"2016-2017","06835","NORTHEASTERN ACADEMY","Christian","School","532 WEST 215TH STREET","Manhattan","NY","10034","-73.9174130000","40.8703850000","No","No","Yes","No","No","No","No"
"2016-2017","06877","COMMUNITY CITYWIDE ED COUNCIL","Public","Office","4360 BROADWAY  4TH FL  ROOM 430","Manhattan","NY","10033","-73.9339580000","40.8534310000","Yes","No","Yes","No","No","No","No"
"2016-2017","06886","P186X  @ NY PSYCH. INSTITUTE","Public","School","1051 RIVERSIDE DRIVE","Manhattan","NY","10032","-73.9441750000","40.8424020000","Yes","No","Yes","No","No","No","No"
"2016-2017","06887","ALC- HIGHBRIDGE","Public","School","80 AUDUBON AVENUE","Manhattan","NY","10032","-73.9379620000","40.8412160000","No","No","No","No","Yes","No","No"
"2016-2017","06888","REGION OFFICE TEN","Public","Office","4360 BROADWAY","Manhattan","NY","10033","-73.9339580000","40.8534310000","No","No","No","No","No","No","No"
"2016-2017","06889","ALC-LAURELL HILL","Public","School","601 WEST 183RD STREET  3RD FLOOR","Manhattan","NY","10032","-73.9329930000","40.8506570000","No","No","Yes","No","No","No","No"
"2016-2017","06966","DIST.OFF. LYFE PROG.CITYWIDE","Public","Office","4360 BROADWAY  ROOM 424","Manhattan","NY","10033","-73.9339580000","40.8534310000","No","No","No","No","No","No","No"
"2015-2016","06265","SUCCESS ACAD-WASHINGTON HEIGHT","Charter","School","701 FORT WASHINGTON AVENUE","Manhattan","NY","10040","-73.9353460000","40.8576270000","No","No","Yes","No","Yes","No","No"
"2016-2017","06971","ALC-WASHINGTON HEIGHTS","Public","School","601 WEST 183RD STREET  3RD FLOOR","Manhattan","NY","10032","-73.9329930000","40.8506570000","Yes","No","No","No","No","No","No"
"2016-2017","06986","CFN # 407","Public","Office","4360 BROADWAY  4TH FLOOR","Manhattan","NY","10033","-73.9339580000","40.8534310000","No","No","No","No","No","No","No"
"2016-2017","06987","OFFICE OF LIBRARY SERVICES","Public","Office","4360 BROADWAY  ROOM 582","Manhattan","NY","10033","-73.9339580000","40.8534310000","No","No","Yes","No","No","No","No"
"2016-2017","06988","DIST-79 PROGRAMS","Public","Office","4360 BROADWAY  ROOM 427","Manhattan","NY","10033","-73.9339580000","40.8534310000","No","No","Yes","No","No","No","No"
"2016-2017","06989","LANG YOUTH MEDICAL PROG.  S","Public","Office","122 WEST 168  STREET","Manhattan","NY","10032","-73.9366020000","40.8394480000","No","No","No","No","No","No","No"
"2016-2017","06994","ALC-CLOISTERS","Public","School","601 WEST 183RD STREET  2ND FLOOR","Manhattan","NY","10032","-73.9329930000","40.8506570000","Yes","No","No","No","No","No","No"
"2016-2017","06999","CUNY /OAA SIELP OF NEW YORK  S","Public","Office","138TH STREET & CONVENT AVENUE","Manhattan","NY","10031","-73.9499980000","40.8200420000","No","No","No","No","No","No","No"
"2016-2017","07001","PS 1","Public","School","335 EAST 152ND STREET","Bronx","NY","10451","-73.9189890000","40.8188890000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07002","P469X @ P 855X","Public","School","577 EAST 139 STREET","Bronx","NY","10454","-73.9163780000","40.8073340000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","07003","ACADEMIC LEADERSHIP CHARTER","Charter","School","470 Jackson Avenue","Bronx","NY","10455","-73.9097090000","40.8111370000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07004","P469X @ P 277","Public","School","519 ST ANN'S AVENUE","Bronx","NY","10455","-73.9139320000","40.8135970000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","07005","PS 5","Public","School","564 JACKSON AVENUE","Bronx","NY","10455","-73.9087940000","40.8136970000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07006","Storefront Academy Charter Sch","Charter","School","423 E. 138th Street","Bronx","NY","10454","-73.9218950000","40.8087850000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","07007","South Bronx Early Academy Char","Charter","School","639 Saint Ann's Avenue","Bronx","NY","10455","-73.9118470000","40.8165500000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","07008","EARLY COLLEGE @ HOSTOS CC (WS)","Public","School","475 GRAND CONCOURSE","Bronx","NY","10451","-73.9278450000","40.8176340000","Yes","No","Yes","No","No","No","No"
"2016-2017","07009","P751M @ FOOD FEST","Public","School","500 EAST 132ND STREET","Bronx","NY","10454","-73.9218640000","40.8034900000","No","No","Yes","No","No","No","No"
"2016-2017","07557","MOTT HAVEN COMM H.S.","Public","School","455 SOUTHERN BLVD","Bronx","NY","10455","-73.9071950000","40.8106010000","No","No","Yes","No","Yes","No","No"
"2016-2017","07011","KIPP College Prep High School","Charter","School","201 East 144th Street","Bronx","NY","10451","-73.9264510000","40.8161630000","No","No","Yes","No","No","No","No"
"2016-2017","07012","P2G @ BRONX YOUTH CTR","Public","School","424 EAST 147TH STREET 4TH FL","Bronx","NY","10455","-73.9177620000","40.8143440000","No","No","Yes","No","No","No","No"
"2016-2017","07013","South BX Community Charter HS","Charter","School","890 Washington Avenue","Bronx","NY","10451","-73.9119400000","40.8237020000","No","No","Yes","No","No","No","No"
"2016-2017","07014","P188X@Mott Haven (inclusion)","Public","School","730 CONCOURSE VILLAGE WEST","Bronx","NY","10451","-73.9236670000","40.8223940000","Yes","No","No","No","No","No","No"
"2016-2017","07025","PS 25","Public","School","811 EAST 149TH STREET","Bronx","NY","10455","-73.9060360000","40.8126950000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07029","PS 29","Public","School","758 COURTLAND AVENUE","Bronx","NY","10451","-73.9170660000","40.8217110000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07030","PS 30","Public","School","510 EAST 141 STREET","Bronx","NY","10454","-73.9176370000","40.8093050000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07031","PS 31 AT IS 151","Public","School","250 EAST 156 STREET","Bronx","NY","10455","-73.9216880000","40.8230940000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07043","PS 43","Public","School","165 BROWN PLACE","Bronx","NY","10454","-73.9212880000","40.8063840000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07049","PS 49","Public","School","383 EAST 139TH STREET","Bronx","NY","10454","-73.9230660000","40.8101580000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07065","PS 65","Public","School","677 EAST 141 STREET","Bronx","NY","10454","-73.9126840000","40.8074020000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07151","IS 151","Public","School","250 EAST 156TH STREET","Bronx","NY","10451","-73.9216880000","40.8230940000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07154","PS 154","Public","School","333 EAST 135TH STREET","Bronx","NY","10454","-73.9260640000","40.8080580000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07155","P754X @ BX SCH FOR CAREER DEV","Public","School","470 JACKSON AVENUE","Bronx","NY","10455","-73.9097090000","40.8111370000","Yes","No","Yes","No","Yes","Yes","No"
"2016-2017","06326","MS 326","Public","School","401 WEST 164TH STREET","Manhattan","NY","10032","-73.9372410000","40.8366570000","Yes","No","Yes","No","No","No","No"
"2016-2017","07157","PS 157","Public","School","757 CAULDWELL AVENUE","Bronx","NY","10456","-73.9086540000","40.8192720000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07161","PS 161","Public","School","628 TINTON AVENUE","Bronx","NY","10455","-73.9054240000","40.8148890000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07162","IS 162","Public","School","600 ST ANN'S AVENUE","Bronx","NY","10455","-73.9124980000","40.8148530000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07179","PS 179 SCH. OF INTER.CULTURES","Public","School","468 EAST 140TH STREET","Bronx","NY","10454","-73.9199640000","40.8094720000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07208","NEW VISIONS HS FOR HUMANTIES","Charter","School","455 SOUTHERN BLVD","Bronx","NY","10455","-73.9071950000","40.8106010000","Yes","No","Yes","No","No","No","No"
"2016-2017","07221","South Bronx Preparatory 221","Public","School","360 EAST 145 STREET","Bronx","NY","10454","-73.9208390000","40.8139210000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","07223","MS 223 LAB SCH OF FIN. & TECH","Public","School","360 EAST 145TH STREET","Bronx","NY","10454","-73.9208390000","40.8139210000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","07224","MS 224 SCI SCH EXPL & DISCOVER","Public","School","345 BROOK AVENUE","Bronx","NY","10454","-73.9178860000","40.8100670000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","07233","FAMILY LIFE ACAD.CHARTER II","Charter","School","296 EAST 140TH STREET","Bronx","NY","10454","-73.9251310000","40.8116610000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07256","HEKETI COMM CHARTER SCHOOL","Charter","School","403 CONCORD AVENUE","Bronx","NY","10454","-73.9097290000","40.8090100000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07259","HEALTH ED.RES. OCCUPATIONS HS","Public","School","455 SOUTHERN BLVD","Bronx","NY","10455","-73.9071950000","40.8106010000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","07277","P.S.277","Public","School","519 ST.ANN'S AVENUE","Bronx","NY","10455","-73.9133820000","40.8137430000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07296","SOUTH BX ACAD APPLIED MEDIA","Public","School","778 FOREST AVENUE","Bronx","NY","10456","-73.9058300000","40.8188470000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","07298","ACADEMY OF PUBLIC RELATIONS","Public","School","778 FOREST AVENUE","Bronx","NY","10459","-73.9058300000","40.8188470000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","07327","M.S.327 (DIST. 9  H.O.)","Public","Office","350 GERARD AVENUE","Bronx","NY","10451","-73.9302780000","40.8159440000","No","No","No","No","No","No","No"
"2016-2017","07334","INTERNATIONAL COMMUNITY HS","Public","School","345 BROOK AVENUE","Bronx","NY","10454","-73.9178860000","40.8100670000","No","No","Yes","No","Yes","No","No"
"2016-2017","07339","KIPP NYC COLLEGE PREP-INFINITY","Charter","School","201 EAST 144TH STREET","Bronx","NY","10451","-73.9264510000","40.8161630000","No","No","Yes","No","No","No","No"
"2016-2017","07343","ACAD OF APPLIED MATH & TECH","Public","School","345 BROOK AVENUE","Bronx","NY","10454","-73.9178860000","40.8100670000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","07357","KIPP NYC COLLEGE PREP-AMP","Charter","School","201 EAST 144TH STREET","Bronx","NY","10451","-73.9264510000","40.8161630000","No","No","Yes","No","No","No","No"
"2016-2017","08007","P010X@P333","Public","School","888 REVEREND J.POLITE AVENUE","Bronx","NY","10459","-73.8988080000","40.8202070000","No","No","No","No","No","No","No"
"2016-2017","07359","CONCOURSE VILLAGE ELEM SCHOOL","Public","School","750 CONCOURSE VILLAGE WEST","Bronx","NY","10451","-73.9232250000","40.8231450000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07364","SOUTH BRONX CLASSICAL II","Charter","School","333 EAST 135TH STREET","Bronx","NY","10454","-73.9260640000","40.8080580000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","07369","YOUNG LEADERS ELEM SCHOOL","Public","School","468 EAST 140TH STREET","Bronx","NY","10454","-73.9199640000","40.8094720000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","07379","JILL CHAIFETZ TRANSFER SCHOOL","Public","School","778 FOREST AVENUE","Bronx","NY","10456","-73.9058300000","40.8188470000","No","No","Yes","No","No","No","No"
"2016-2017","07381","BRONX HAVEN HS","Public","School","333 EAST 151ST STREET","Bronx","NY","10451","-73.9199590000","40.8183300000","No","No","Yes","No","No","No","No"
"2016-2017","07388","BRILLA COLLEGE PREP CHARTER","Charter","School","413 EAST 144TH STREET","Bronx","NY","10454","-73.9195200000","40.8127400000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07401","HOSTOS-LINCOLN ACAD HS/IS","Public","School","600 ST ANN'S AVENUE","Bronx","NY","10455","-73.9124980000","40.8148530000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07412","UNIVERSITY HEIGHTS HS","Public","School","701 ST. ANN'S AVENUE","Bronx","NY","10455","-73.9110810000","40.8183790000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","07434","P168X @ I203X","Public","School","339 MORRIS AVENUE","Bronx","NY","10451","-73.9255370000","40.8134890000","Yes","Yes","Yes","No","Yes","Yes","No"
"2016-2017","07444","P754X @ BX,LAW GOV. & JUSTI","Public","School","244 EAST 163 STREET","Bronx","NY","10451","-73.9187280000","40.8275380000","No","No","No","No","No","No","No"
"2016-2017","07449","P017X @ 07298","Public","School","778 FOREST AVENUE","Bronx","NY","10456","-73.9058300000","40.8188470000","Yes","No","Yes","No","Yes","Yes","No"
"2016-2017","07454","P723X @ BX CHILD PSYCH & COMMM","Public","School","595 GERARD AVENUE","Bronx","NY","10452","-73.9287830000","40.8204650000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","07456","Y.A.B.C.@ ALFRED E. SMITH HS","Public","School","333 EAST 151ST STREET","Bronx","NY","10451","-73.9199590000","40.8183300000","No","No","Yes","No","No","No","No"
"2016-2017","07458","BX CHARTER SCH.FOR CHILDREN","Charter","School","388 WILLIS AVENUE","Bronx","NY","10454","-73.9203080000","40.8124670000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07469","P176X @ BRONX YMCA","Public","School","468 EAST 140TH STREET","Bronx","NY","10454","-73.9199640000","40.8094720000","No","No","No","No","No","No","No"
"2016-2017","07470","PASSAGES ACADEMY (BX)","Public","School","426 WILLIS AVENUE","Bronx","NY","10454","-73.9197270000","40.8132530000","No","Yes","Yes","No","No","No","No"
"2016-2017","07471","AMERICAN DREAM CHARTER SCHOOL","Charter","School","510 EAST 141 STREET","Bronx","NY","10454","-73.9176370000","40.8093050000","No","Yes","Yes","No","No","No","No"
"2016-2017","07475","P017X @ P043X","Public","School","165 BROWN PLACE","Bronx","NY","10454","-73.9212880000","40.8063840000","Yes","No","Yes","No","Yes","Yes","No"
"2016-2017","07480","P017X @ P161X","Public","School","628 TINTON AVE","Bronx","NY","10455","-73.9054240000","40.8148890000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07488","POWERS STH PROG.-C/O PS 30","Public","Office","510 EAST 141 STREET","Bronx","NY","10454","-73.9176370000","40.8093050000","No","No","No","No","No","No","No"
"2016-2017","07492","P723X @ PS 49X","Public","School","383 EAST 139 ST","Bronx","NY","10454","-73.9230660000","40.8101580000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","07494","P352X @ P179X","Public","School","468 EAST 140 ST","Bronx","NY","10454","-73.9199640000","40.8094720000","Yes","No","No","No","No","No","No"
"2016-2017","07497","P010X  @ I162X","Public","School","600 ST ANN'S AVE","Bronx","NY","10455","-73.9124980000","40.8148530000","Yes","No","Yes","No","Yes","Yes","No"
"2016-2017","07498","HEALTH OPPORTUNITIES HS","Public","School","350 GERARD AVE","Bronx","NY","10451","-73.9302780000","40.8159440000","Yes","No","Yes","No","No","No","No"
"2016-2017","07499","COMM.SCH FOR SOCIAL JUSTICE","Public","School","350 GERARD AVENUE","Bronx","NY","10451","-73.9302780000","40.8159440000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","07519","ALFRED E. SMITH HS","Public","School","333 EAST 151ST STREET","Bronx","NY","10451","-73.9199590000","40.8183300000","Yes","No","Yes","No","No","No","No"
"2016-2017","07520","MOTT HAVEN VILLAGE PREP SCHOOL","Public","School","701 ST ANN'S AVENUE","Bronx","NY","10455","-73.9110810000","40.8183790000","Yes","No","Yes","No","No","No","No"
"2016-2017","07522","BX DESIGN AND CONST.ACADEMY","Public","School","333 EAST 151ST STREET","Bronx","NY","10451","-73.9199590000","40.8183300000","Yes","No","Yes","No","No","No","No"
"2016-2017","07527","BRONX LEADERSHIP ACAD.II H.S.","Public","School","730 CONCOURSE VILLAGE WEST","Bronx","NY","10451","-73.9236670000","40.8223940000","Yes","No","Yes","No","No","No","No"
"2016-2017","07534","UNIVERSITY PREP CHARTER HS","Charter","School","600 ST. ANN'S AVENUE","Bronx","NY","10455","-73.9124980000","40.8148530000","No","No","Yes","No","No","No","No"
"2016-2017","07547","THE NEW EXPLORERS HS","Public","School","730 CONCOURSE VILLAGE WEST","Bronx","NY","10451","-73.9236670000","40.8223940000","Yes","No","Yes","No","No","No","No"
"2016-2017","07548","ACADEMY FOR CAREER IN SPORTS","Public","School","730 CONCOURSE VILLAGE WEST","Bronx","NY","10451","-73.9236670000","40.8223940000","Yes","No","Yes","No","No","No","No"
"2016-2017","07551","THE BRONX ACADEMY OF LETTERS","Public","School","339 MORRIS AVENUE","Bronx","NY","10451","-73.9255370000","40.8134890000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","07554","NYC MONTESSORI CHARTER SCHOOL","Charter","School","423 EAST 138TH STREET","Bronx","NY","10454","-73.9218950000","40.8087850000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07560","KIPP CHARTER ACADEMY","Charter","School","250 EAST 156 STREET  ROOM 418","Bronx","NY","10451","-73.9216880000","40.8230940000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","07571","P2G @ BRONX NEON","Public","School","198 EAST 161TH STREET","Bronx","NY","10451","-73.9214750000","40.8264030000","No","No","Yes","No","No","No","No"
"2016-2017","07573","RESTART MS @ MOTT HAVEN HS","Public","School","455 SOUTHERN BLVD","Bronx","NY","10455","-73.9071950000","40.8106010000","No","Yes","Yes","No","No","No","No"
"2016-2017","07587","NYC CHARTER HS AGR,ENG & CONST","Charter","School","838 BROOK AVENUE","Bronx","NY","10451","-73.9107850000","40.8219820000","Yes","No","Yes","No","No","No","No"
"2016-2017","07591","KIPP NYC COLL PREP-KIPP ACAD","Charter","School","201 EAST 144TH STREET","Bronx","NY","10451","-73.9264510000","40.8161630000","No","No","Yes","No","No","No","No"
"2016-2017","07597","MOTT HAVEN CHARTER SCHOOL","Charter","School","170 BROWN PLACE","Bronx","NY","10454","-73.9210610000","40.8063450000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07644","P017X @ P 385","Public","School","750 CONCOURSE VILLAGE WEST","Bronx","NY","10451","-73.9232250000","40.8231450000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","07657","KIPP ACADEMY ELEM","Charter","School","730 CONCOURSE VILLAGE WEST","Bronx","NY","10451","-73.9236670000","40.8223940000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07661","P754X @ P 379","Public","School","778 FOREST AVENUE","Bronx","NY","10456","-73.9058300000","40.8188470000","No","No","Yes","No","No","No","No"
"2016-2017","07668","EAST SIDE HOUSE SETTLEMENT","Nonsectarian","School","201 ST ANN'S AVENUE","Bronx","NY","10454","-73.9182690000","40.8058600000","No","No","No","No","No","No","No"
"2016-2017","07010","RESTART @JILL CHAIFETZ HS","Public","School","778 FOREST AVENUE","Bronx","NY","10456","-73.9058300000","40.8188470000","No","No","No","No","No","No","No"
"2016-2017","07672","FAMILY LIFE ACADEMY SCHOOL 111","Charter","School","370 Gerard Avenue","Bronx","NY","10451","-73.9302810000","40.8162180000","No","Yes","Yes","No","Yes","No","No"
"2016-2017","07682","SUCCESS ACADEMY BRONX 1","Charter","School","339 MORRIS AVENUE 2nd FLOOR","Bronx","NY","10451","-73.9255370000","40.8134890000","No","Yes","Yes","No","Yes","No","No"
"2016-2017","07684","ACADEMIC LEADERSHIP CHARTER","Charter","School","677 EAST 141 STREET","Bronx","NY","10454","-73.9126840000","40.8074020000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07687","P017X @ I 298","Public","School","778 FOREST AVENUE","Bronx","NY","10456","-73.9058300000","40.8188470000","Yes","No","Yes","No","No","No","No"
"2016-2017","07688","SOUTH BRONX CHARTER SCHOOL","Charter","School","164 BRUCKNER BLVD","Bronx","NY","10454","-73.9180430000","40.8029660000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07697","P188X@ H790 MOTT HAVEN HS","Public","School","730 CONCOURSE VILLAGE WEST","Bronx","NY","10451","-73.9236670000","40.8223940000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","07701","IMMACULATE CONCEPTION SCH","Parochial","School","378 EAST 151ST STREET","Bronx","NY","10455","-73.9179910000","40.8176470000","No","No","Yes","No","Yes","No","No"
"2016-2017","07704","ST ANSELM SCHOOL","Parochial","School","685 TINTON AVENUE","Bronx","NY","10455","-73.9052500000","40.8163190000","No","No","Yes","No","Yes","No","No"
"2016-2017","07706","ST LUKE SCHOOL","Parochial","School","608 EAST 139TH STREET","Bronx","NY","10454","-73.9157290000","40.8068660000","No","No","Yes","No","Yes","No","No"
"2016-2017","07708","STS PETER AND PAUL SCH","Parochial","School","838 BROOK AVENUE","Bronx","NY","10451","-73.9107850000","40.8219820000","No","Yes","Yes","No","Yes","No","No"
"2016-2017","07715","CARDINAL HAYES HS","Parochial","School","650 GRAND CONCOURSE","Bronx","NY","10451","-73.9259090000","40.8207340000","No","No","Yes","No","No","No","No"
"2016-2017","07723","P723X@BX CHILD PSYCH -COMM IDT","Public","School","595 GERARD AVENUE","Bronx","NY","10452","-73.9287830000","40.8204650000","Yes","No","Yes","No","No","No","No"
"2016-2017","07726","KIPP NYC COLL PREP-KIPP STAR","Charter","School","201 EAST 144TH STREET","Bronx","NY","10451","-73.9264510000","40.8161630000","Yes","No","Yes","No","No","No","No"
"2016-2017","07794","THE NEW LIFE SCHOOL HS","Nonsectarian","School","831 EAGLE AVENUE","Bronx","NY","10456","-73.9089070000","40.8212930000","Yes","No","Yes","No","Yes","No","No"
"2016-2017","07800","P754X @ LINCOLN HOSPITAL","Public","School","23 EAST 149TH STREET","Bronx","NY","10459","-73.9317950000","40.8196820000","No","No","No","No","No","No","No"
"2016-2017","07818","BX GLOBAL LRNG INST FOR GIRLS","Charter","School","750 CONCOURSE VILLAGE WEST","Bronx","NY","10451","-73.9232250000","40.8231450000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07987","STEP- PROYECTO ACCESS '","Other Religion","School","500 GRAND CONCOURSE  ROOM B-420","Bronx","NY","10451","-73.9274190000","40.8178880000","No","No","No","No","No","No","No"
"2016-2017","08001","GRAND CONCOURSE ACAD CHARTER","Charter","School","909 Hutchinson River Parkway","Bronx","NY","10465","-73.8368270000","40.8258360000","No","Yes","Yes","No","No","No","No"
"2016-2017","08002","P2G @ ADLAI STEVENSON HS","Public","School","1980 LAFAYETTE AVENUE","Bronx","NY","10473","-73.8561510000","40.8222120000","No","No","Yes","No","No","No","No"
"2016-2017","08003","CO-OP TECH","Public","School","965 LONGWOOD AVENUE","Bronx","NY","10459","-73.8981590000","40.8175770000","No","No","No","No","No","No","No"
"2016-2017","08004","P723X @ YMCA","Public","School","3041 BRUCKNER BLVD","Bronx","NY","10461","-73.8258250000","40.8357400000","No","No","No","No","No","No","No"
"2016-2017","08005","P721X @ PS 293","Public","School","3000 EAST TREMONT AVENUE","Bronx","NY","10461","-73.8385720000","40.8406280000","Yes","No","Yes","No","No","No","No"
"2016-2017","08006","P035M @ GED-ADOL SKILLS CTR","Public","School","975 KELLY STREET","Bronx","NY","10459","-73.8959810000","40.8220410000","No","No","No","No","No","No","No"
"2016-2017","08014","PS 14","Public","School","3041 BRUCKNER BLVD","Bronx","NY","10461","-73.8258250000","40.8357400000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","08036","PS 36","Public","School","1070 CASTLE HILL AVENUE","Bronx","NY","10473","-73.8503250000","40.8293560000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","08048","PS 48","Public","School","1290 SPOFFORD AVENUE","Bronx","NY","10474","-73.8869230000","40.8142990000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","08062","PS 62","Public","School","660 FOX STREET","Bronx","NY","10455","-73.9005940000","40.8139540000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","08069","PS 69","Public","School","560 THIERIOT AVENUE","Bronx","NY","10473","-73.8608050000","40.8167060000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","08071","PS/MS 71","Public","School","3040 ROBERTS AVENUE","Bronx","NY","10461","-73.8297860000","40.8457180000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","08072","PS 72","Public","School","2951 DEWEY AVE","Bronx","NY","10465","-73.8182920000","40.8226720000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","08075","PS 75 RESEARCH & DISCOVERY","Public","School","984 FAILE STREET","Bronx","NY","10459","-73.8893310000","40.8227140000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","08093","PS 93","Public","School","1535 STORY AVENUE","Bronx","NY","10473","-73.8769410000","40.8218480000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","08100","PS 100 ISAAC CLASON","Public","School","800 TAYLOR AVENUE","Bronx","NY","10473","-73.8629730000","40.8218290000","Yes","Yes","Yes","No","No","No","No"
"2016-2017","08101","P010X @ P304X","Public","School","2750 LAFAYETTE AVENUE","Bronx","NY","10465","-73.8297010000","40.8274040000","Yes","No","Yes","No","Yes","Yes","No"
"2016-2017","08107","PS 107","Public","School","1695 SEWARD AVENUE","Bronx","NY","10473","-73.8683910000","40.8185420000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","08119","PS 119","Public","School","1075 PUGSLEY AVENUE","Bronx","NY","10472","-73.8566670000","40.8284980000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","08123","PS/IS 123","Public","School","1025 MORRISON AVENUE","Bronx","NY","10472","-73.8737670000","40.8253870000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","07385","PERFORMANCE SCHOOL","Public","School","750 CONCOURSE VILLAGE WEST","Bronx","NY","10451","-73.9232250000","40.8231450000","No","No","Yes","No","No","No","No"
"2016-2017","08125","IS 125","Public","School","1111 PUGSLEY AVENUE","Bronx","NY","10472","-73.8568320000","40.8292180000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","08130","PS 130","Public","School","750 PROSPECT AVENUE","Bronx","NY","10455","-73.9023260000","40.8176970000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","08131","IS 131","Public","School","885 BOLTON AVENUE","Bronx","NY","10473","-73.8597630000","40.8235110000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","08138","PS 138","Public","School","2060 LAFAYETTE AVENUE","Bronx","NY","10473","-73.8533750000","40.8225870000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","08140","PS 140","Public","School","916 EAGLE AVENUE","Bronx","NY","10456","-73.9078710000","40.8232180000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","08146","CS 146","Public","School","968 CAULDWELL AVENUE","Bronx","NY","10456","-73.9060890000","40.8249010000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","08152","THE EVERGREEN SCHOOL","Public","School","1007 EVERGREEN AVENUE","Bronx","NY","10472","-73.8801340000","40.8240320000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","08182","PS 182","Public","School","601 STICKBALL BLVD.","Bronx","NY","10473","-73.8564050000","40.8182170000","Yes","Yes","Yes","No","Yes","No","No"
"2016-2017","08202","NEW VISIONS HS FOR MATH & SCI","Charter","School","900 TINTON AVENUE","Bronx","NY","10456","-73.9033860000","40.8218130000","Yes","No","Yes","No","No","No","No"
"2016-2017","08269","BX STUDIO WRITERS-ARTISTS","Public","School","928 SIMPSON STREET","Bronx","NY","10459","-73.8930920000","40.8204920000","Yes","Yes","Yes","No","Yes","No","No"
