"sampling_location","duplicate_sample","sample_date","sample_time","weather_condition_dry_or_wet","top_sample_temperature_c","bottom_sample_temperature_c","site_actual_depth_ft","top_sample_depth_ft","bottom_sample_depth_ft","top_salinity_psu","bottom_salinity_psu","top_conductivity_s_m","bottom_conductivity_s_m","ctd_conductivity_temperature_depth_profiler_top_dissolved_oxygen_mg_l","ctd_conductivity_temperature_depth_profiler_bottom_dissolved_oxygen_mg_l","percentage_o2_saturation_top_sample","percentage_o2_saturation_bottom_sample","light_trans_transparency_top_sample","light_trans_transparency_bottom_sample","top_sigma_t_kg_m3","bottom_sigma_t_kg_m3","top_fluorometer_mg_m3","bottom_fluorometer_mg_m3","ctd_conductivity_temperature_depth_profiler_ph_top_sample","ctd_conductivity_temperature_depth_profiler_ph_bottom_sample","top_sample_photosysthetically_active_radiation_reference_400_700nm_light_ue_s","top_sample_par_ue_s_m2","bottom_sample_par_ue_s_ue_s_m2","oxidation_reduction_potential_mv_top_sample","oxidation_reduction_potential_mv_bottom_sample","current_speed_knot","current_direction_current_direction","wind_speed_mph","wind_direction_wind_direction","sea_state","winkler_method_top_dissolved_oxygen_mg_l","winkler_method_bottom_dissolved_oxygen_mg_l","secchi_depth_ft","top_ph","bottom_ph","top_total_coliform_cells_100_ml","top_bottom_coliform_cells_100_ml","fecal_coliform_top_sample_less_than_or_greater_than_result","fecal_coliform_bottom_sample_less_than_or_greater_than_result","top_fecal_coliform_bacteria_cells_100ml","bottom_fecal_coliform_bacteria_cells_100ml","enterococcus_top_sample_less_than_or_greater_than_result","enterococcus_bottom_sample_less_than_or_greater_than_result","top_enterococci_bacteria_cells_100ml","bottom_enterococci_bacteria_cells_100ml","top_nitrate_nitrite_mg_l","bottom_nitrate_nitrite_mg_l","top_ammonium_mg_l","bottom_ammonium_mg_l","top_ortho_phosphorus_mg_l","bottom_ortho_phosphorus_mg_l","top_total_kjeldhal_nitrogen_mg_l","bottom_total_kjeldhal_nitrogen_mg_l","top_silica_mg_l","bottom_silica_mg_l","total_phosphorus_mg_l","bottom_total_phosphorus_mg_l","top_total_suspended_solid_mg_l","bottom_total_suspended_solid_mg_l","top_active_chlorophyll_a_g_l","bottom_active_chlorophyll_a_g_l","chlorophyll_top_sample_field_u_l_ysi","chlorophyll_bottom_sample_field_u_l_ysi","top_total_organic_carbon_mg_l","top_dissolved_organic_carbon_mg_l","bottom_dissolved_organic_carbon_mg_l","top_dissolved_organic_carbon_ysi_mg_l","bottom_dissolved_organic_carbon_ysi_mg_l","top_sample_depth_ysi_ft","bottom_depth_ysi_ft","top_sample_salinity_ysi_psu","bottom_sample_salinity_ysi_psu","top_sample_temperature_ysi_c","bottom_sample_temperature_ysi_c","top_bacteria_per_c_c_1909","bottom_bacteria_per_c_c_1909","top_beam_attenuation_coefficient","bottom_beam_attenuation_coefficient","top_five_day_biochemical_oxygen_demand_mg_l","bottom_five_day_biochemical_oxygen_demand_mg_l","top_pcb_plate_count_thous_ml","bottom_pcb_plate_count_thous_ml","top_coliform_log_no_ml","bottom_coliform_log_no_ml","oakwood_bod_top_sample_mg_l","oakwood_bod_bottom_sample_mg_l","oakwood_total_suspended_solid_top_sample_mg_l","oakwood_total_suspended_solid_bottom_sample_mg_l","top_turbidity_nephelometric_turbidity_units","bottom_turbidity_ysi_nephelometric_turbidity_units","sampling_comment","long","lat","type"
"J1",,"1991-09-17T00:00:00.000","11:21 AM",,"22.5","22.1","34",,,"28.3","28.6",,,,,,,,,,,,,,,,,,,,,"E",,,,,"5.7","5","7.87","7.65",,,,,"240","520",,,,,"0.16",,"0.31",,"0.071",,,,,,"0.15",,"45","36","35.4",,,,,,,,,,,,,,,,,,,,,,,,,"3.3","2.8",,,,,,"-73.884667","40.573333","Permanent"
"x863_1909",,"1909-09-10T00:00:00.000","10:28 AM",,,"19",,,"40",,,,,,,,,,,,,,,,,,,,,,,"Ebb",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6000",,,,,,,,,,,,,,,,"-73.966363","40.739745","Permanent"
"E5",,"1967-08-21T00:00:00.000","11:30 AM",,"22.8","22.8","66",,,"28","28",,,,,,,,,,,,,,,,,,,,,"S",,,,"4.7","3.1",,,,"2200","1300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","2",,,,,,,,,,,,"-73.886111","40.800833","Permanent"
"N3A",,"1993-08-18T00:00:00.000","10:31 AM",,"23.74","23.56","46","1","12","20.98","22.99","3.27","3.54",,,,,,,"13.14","14.7",,,,,,,,,,,"N",,,,"4.49","4.08","4","7.17","7.16","3000","13000",,,"607","1320",,,,,"0.44",,"0.4",,"0.12",,,,,,"0.17",,"30","115","1.1",,,,,,,,,,,,,,,,,,,,,,,,,"0.6","0.7",,,,,,"-73.992497","40.783330","Permanent"
"N3B",,"1981-07-29T00:00:00.000","11:20 AM",,"23.9","23.3",,,,"21.5","23.2",,,,,,,,,,,,,,,,,,,,,"S",,,,"2.5","3.5",,,,"7000","22000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.6","1.3",,,,,,"-73.965333","40.820833","Permanent"
"N3B",,"1981-07-29T00:00:00.000","11:20 AM",,"23.9","23.3",,,,"21.5","23.2",,,,,,,,,,,,,,,,,,,,,"S",,,,"2.5","3.5",,,,"7000","22000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.6","1.3",,,,,,"-73.965333","40.820833","Permanent"
"X1",,"1927-06-08T00:00:00.000","10:20 AM",,"17.8","16.7",,,,"17.5","19.95",,,,,,,,,,,,,,,,,,,,,"S",,,,"2.58","2.49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.007222","40.687500","Permanent"
"J1",,"1962-07-12T00:00:00.000","10:45 AM",,"24.4","23.3","30",,,"30.8","31.85",,,,,,,,,,,,,,,,,,,,,"SL",,,,"6.5","7.5",,,,"2","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","2",,,,,,,,,,,,"-73.884667","40.573333","Permanent"
"E3",,"1999-06-03T00:00:00.000","1:54 PM",,"18.64","18.13","45","3.28","45.92","22.62","22.81","31.43","31.31","8.17","8.37","100.22","101.72","72.16","69.74","15.67","15.93",,,,,,,,,,,"0","0","0","0","7.49","7.68","5.5","7.39","7.4",,,,,"17","18",,,,,"0.371",,"0.28",,,,"1.04",,"1.1",,"0.273",,"12","15","9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.966112","40.747499","Permanent"
"E10",,"1969-08-18T00:00:00.000","12:20 PM",,"21.1","21.7",,,,"25.1","25.3",,,,,,,,,,,,,,,,,,,,,"N",,,,"5","4",,,,"3500","5400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","1.6",,,,,,"-73.765333","40.843667","Permanent"
"x852_1911_DO",,"1911-08-08T00:00:00.000","11:38 AM",,,"23",,,"40",,,,,,,,,,,,,,,,,,,,,,,"Ebb",,,,,"3.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.131111","40.643056","Permanent"
"H5",,"1951-06-21T00:00:00.000","10:45 AM",,"21.7","22.2","22",,,"22.4","22.4",,,,,,,,,,,,,,,,,,,,,"S",,,,"1.3","0.9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","3","0.26","0.18","3","1",,,,,,,,"-73.935832","40.787777","Permanent"
"H4",,"1940-08-28T00:00:00.000","11:20 AM",,"21.1","21.7","20",,,"23.8","24.15",,,,,,,,,,,,,,,,,,,,,,,,,"0.78","0.77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.875","0.845","2","2",,,,,,,,"-73.929168","40.803613","Permanent"
"N6",,"1982-07-08T00:00:00.000","8:27 AM",,"21.7","20",,,,"20","22.8",,,,,,,,,,,,,,,,,,,,,"N",,,,"5","5.3",,,,"23000","13000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.7","3.7",,,,,,"-74.051333","40.664667","Permanent"
"N6",,"1982-07-08T00:00:00.000","8:27 AM",,"21.7","20",,,,"20","22.8",,,,,,,,,,,,,,,,,,,,,"N",,,,"5","5.3",,,,"23000","13000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.7","3.7",,,,,,"-74.051333","40.664667","Permanent"
"H2",,"1965-07-26T00:00:00.000","9:35 AM",,"24.4","23.9","16",,,"23.8","25.2",,,,,,,,,,,,,,,,,,,,,"N",,,,"3.4","3.8",,,,"33","33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,"-73.918610","40.858609","Permanent"
"E4",,"1991-06-06T00:00:00.000","10:22 AM",,"18.6","18.1","69",,,"23.7","23.8",,,,,,,,,,,,,,,,,,,,,"W",,,,"4.3","4.3","7.5",,,,,,,,,,,,,"0.26",,"0.59",,"0.11",,,,,,"0.17",,,,"4.4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.922000","40.782500","Permanent"
"G2",,"1986-06-24T00:00:00.000","11:48 AM",,"20","19","33",,,"19","21",,,,,,,,,,,,,,,,,,,,,"E",,,,"4.9","3.8","5","7.5","7.5","4900","7000",,,"1515","185",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3.7","3.5",,,,,,"-74.003333","40.666667","Permanent"
"E7",,"1987-09-21T00:00:00.000","12:28 PM",,"20","19.8","43",,,,,,,,,,,,,,,,,,,,,,,,,"W",,,,"5.1","5.2",,"7.8","7.7","1300","780",,,"95","65",,,,,"0.14","0.19","0.5","0.38","0.14","0.15",,,,,"0.19","0.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.7","0.9",,,,,,"-73.820500","40.805000","Permanent"
"H4",,"1971-09-15T00:00:00.000","11:27 AM",,"23.9","23.9",,,,"19.5","20.8",,,,,,,,,,,,,,,,,,,,,"NW",,,,"3.5","1.2",,,,"350000","350000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.4","1.9",,,,,,"-73.929168","40.803613","Permanent"
"H4",,"1937-06-09T00:00:00.000","11:10 AM",,"21.1","20","20",,,"10.5","16.8",,,,,,,,,,,,,,,,,,,,,"S",,,,"2.94","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.929168","40.803613","Permanent"
"H3",,"1965-08-30T00:00:00.000","9:40 AM",,"21.7","22.2","15",,,"23.45","23.1",,,,,,,,,,,,,,,,,,,,,"S",,,,"1.7","2.4",,,,"350","540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1",,,,,,,,,,,,"-73.933833","40.828000","Permanent"
"E4",,"1973-08-06T00:00:00.000","10:30 AM",,"22.2","22.2",,,,"22.2","24.8",,,,,,,,,,,,,,,,,,,,,"N",,,,"1.4","1.3",,,,"220000","13000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5.5","6.4",,,,,,"-73.922000","40.782500","Permanent"
"H5",,"1934-07-06T00:00:00.000","12:20 PM",,"24.4","23.9","22",,,"24.5","24.85",,,,,,,,,,,,,,,,,,,,,"SL",,,,"0.22","0.81",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.935832","40.787777","Permanent"
"E8",,"1990-09-20T00:00:00.000","12:32 PM",,"20.5","20.3","86",,,"25.8","26.2",,,,,,,,,,,,,,,,,,,,,"E",,,,"5.5","5.5","5.5",,,"1700","780",,,"270","82",,,,,"0.18",,"0.3",,"0.1",,,,,,"0.16",,,,"8",,,,,,,,,,,,,,,,,,,,,,,,,"2.2","2.4",,,,,,"-73.783667","40.800500","Permanent"
"E15",,"1984-06-11T00:00:00.000","2:45 PM",,"21.1","17.8",,,,"22.5","24.1",,,,,,,,,,,,,,,,,,,,,"N",,,,"11.5","6",,,,"160000","7900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8","3.8",,,,,,"-73.849500","40.763000","Permanent"
"E15",,"1984-06-11T00:00:00.000","2:45 PM",,"21.1","17.8",,,,"22.5","24.1",,,,,,,,,,,,,,,,,,,,,"N",,,,"11.5","6",,,,"160000","7900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8","3.8",,,,,,"-73.849500","40.763000","Permanent"
"J2",,"1946-08-06T00:00:00.000","12:00 PM",,"24.4","24.4","42",,,"28","30.1",,,,,,,,,,,,,,,,,,,,,"E",,,,"5.2","5.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4","2","2.4","0.7","3","2",,,,,,,,"-73.885835","40.608055","Permanent"
"X35",,"1933-07-27T00:00:00.000","12:05 PM",,"25.6","25.6",,,,"24.85","24.85",,,,,,,,,,,,,,,,,,,,,"SL",,,,"2.93","3.07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.211310","40.598047","Permanent"
"E3",,"1962-06-27T00:00:00.000","10:00 AM",,"21.1","21.1","42",,,"26.6","26.6",,,,,,,,,,,,,,,,,,,,,"S",,,,"1.5","0.8",,,,"1100","1100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","2",,,,,,,,,,,,"-73.966112","40.747499","Permanent"
"E4",,"1940-07-30T00:00:00.000","11:15 AM",,"23.3","22.2","76",,,"26.25","25.9",,,,,,,,,,,,,,,,,,,,,,,,,"1.4","1.88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.04","0.27","0","1",,,,,,,,"-73.922000","40.782500","Permanent"
"NH",,"1985-08-15T00:00:00.000","4:50 PM",,"25.2","24",,,,"24.4","26.5",,,,,,,,,,,,,,,,,,,,,"N",,,,"6.7","6.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.038021","40.609818","Permanent"
"NH",,"1985-08-15T00:00:00.000","4:50 PM",,"25.2","24",,,,"24.4","26.5",,,,,,,,,,,,,,,,,,,,,"N",,,,"6.7","6.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.038021","40.609818","Permanent"
"H3",,"1982-09-01T00:00:00.000","12:45 PM",,"22.2","21.7",,,,"22.9","22.7",,,,,,,,,,,,,,,,,,,,,"E",,,,"3.3","3",,,,"1700","1300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.8","1.5",,,,,,"-73.933833","40.828000","Permanent"
"H3",,"1982-09-01T00:00:00.000","12:45 PM",,"22.2","21.7",,,,"22.9","22.7",,,,,,,,,,,,,,,,,,,,,"E",,,,"3.3","3",,,,"1700","1300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.8","1.5",,,,,,"-73.933833","40.828000","Permanent"
"NW",,"1986-08-13T00:00:00.000","10:10 AM",,"24","24",,,,"19","18",,,,,,,,,,,,,,,,,,,,,"S",,,,"3.9","3.9","6","7.6","7.5","35000","35000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.052330","40.605770","Permanent"
"H5",,"1970-08-12T00:00:00.000","9:08 AM",,"23.3","23.3",,,,"26.5","26.5",,,,,,,,,,,,,,,,,,,,,"N",,,,"3.1","1.5",,,,"49000","49000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.5","2.3",,,,,,"-73.935832","40.787777","Permanent"
"x1528_1911_DO",,"1911-09-26T00:00:00.000","12:57 PM",,"20",,,"1",,,,,,,,,,,,,,,,,,,,,,,,"Ebb",,,,"4.83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.050556","40.606389","Permanent"
"H3",,"1958-07-21T00:00:00.000","9:35 AM",,"21.1","20.6","15",,,"25.9","25.9",,,,,,,,,,,,,,,,,,,,,"SL",,,,"2.4","3.2",,,,"43","43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","1",,,,,,,,,,,,"-73.933833","40.828000","Permanent"
"J1",,"1990-11-15T00:00:00.000","11:36 AM",,"8.7","9.7","33",,,"20.3","20.3",,,,,,,,,,,,,,,,,,,,,"E",,,,"9.2","7.8","10",,,"130","130",,,,,,,,,"0.34",,"0.54",,"0.085",,,,,,"0.12",,"7.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.884667","40.573333","Permanent"
"K2",,"1968-07-16T00:00:00.000","10:00 AM",,"23.9","23.9",,,,"19.2","19.2",,,,,,,,,,,,,,,,,,,,,"S",,,,"5.4","5.1",,,,"23000","31000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.8","4.7",,,,,,"-74.153000","40.641167","Permanent"
"N9",,"1952-06-12T00:00:00.000","10:07 AM",,"16.7","16.1","20",,,"29.75","30.8",,,,,,,,,,,,,,,,,,,,,"N",,,,"6.9","6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","1","0.02","0.01","1","1",,,,,,,,"-73.983333","40.568333","Permanent"
"N7",,"1929-09-05T00:00:00.000","2:45 PM",,"22.8","22.2","47",,,"28","28.7",,,,,,,,,,,,,,,,,,,,,"S",,,,"1.77","3.68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.053833","40.643833","Permanent"
"TNQ",,"1983-08-15T00:00:00.000","5:30 PM",,"22.2","21.7",,,,"26.8","26.6",,,,,,,,,,,,,,,,,,,,,"W",,,,"5.5","4.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.792040","40.794940","Permanent"
"TNQ",,"1983-08-15T00:00:00.000","5:30 PM",,"22.2","21.7",,,,"26.8","26.6",,,,,,,,,,,,,,,,,,,,,"W",,,,"5.5","4.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.792040","40.794940","Permanent"
"N9",,"1926-07-21T00:00:00.000","11:30 AM",,"24.4","20.6","20",,,"28.7","32.9",,,,,,,,,,,,,,,,,,,,,"SL",,,,"3.92","5.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.983333","40.568333","Permanent"
"H2",,"1972-08-28T00:00:00.000","12:02 PM",,"23.9","23.9",,,,"14.2","14.2",,,,,,,,,,,,,,,,,,,,,"NE",,,,"4.4","3.1",,,,"92000","54000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.5","3.1",,,,,,"-73.918610","40.858609","Permanent"
"N3",,"1955-06-15T00:00:00.000","11:55 AM",,"19.4","18.9","46",,,"11.55","18.9",,,,,,,,,,,,,,,,,,,,,"S",,,,"5.5","3",,,,"23","43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","1","0.11","0.061",,,,,,,,,,"-73.954182","40.836396","Permanent"
"N3A",,"1987-09-16T00:00:00.000","1:58 PM",,"23.7","22.3","47",,,,,,,,,,,,,,,,,,,,,,,,,"N",,,,"6.7","3.9","3.5","7.64","7.46","200","1700",,,"20","420",,,,,"0.64","0.49","0.12","0.44","0.06","0.075",,,,,"0.26","0.26",,,"6",,,,,,,,,,,,,,,,,,,,,,,,,"3.1","3.4",,,,,,"-73.992497","40.783330","Permanent"
"H1",,"1998-06-30T00:00:00.000","12:15 PM",,"23.46","22.94","26","3.28","22.96","2.56","6.44","0.46","1.09","7.15","6.64","85.57","80.23","40.53","32.23","-0.63","2.42",,,,,"9.03","11.31",,,,,"W","1","SW","1","7.28","7.89","3.5","7.67","7.55",,,,,"653","673",,,,,"0.434",,"0.056",,,,"0.676",,"1.31",,"0.084",,"10","14","9.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.923884","40.878055","Permanent"
"K2",,"1968-07-30T00:00:00.000","9:40 AM",,"22.8","22.8",,,,"22.9","22.9",,,,,,,,,,,,,,,,,,,,,"S",,,,"4.8","4.7",,,,"49000","49000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2.9","3",,,,,,"-74.153000","40.641167","Permanent"
"x802_1909",,"1909-09-07T00:00:00.000","1:48 PM",,,"20.5",,,"20",,,,,,,,,,,,,,,,,,,,,,,"Flood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2700",,,,,,,,,,,,,,,,"-73.916667","40.915278","Permanent"
"G2",,"1998-03-10T00:00:00.000","10:35 AM",,"6.21","4.07","29","3.28","59.04","16","25.41","1.69","2.44","10.82","12.12","11.14","11.04","60.2","26.83","12.56","20.16",,,,,"5.08","13.16",,,,,"E","12","W","2","11.04","10.97","4",,,,,,,,,,,,,"0.395",,"0.312",,,,"0.9",,"2.69","2.64",,,"11","14","4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.003333","40.666667","Permanent"
"N7",,"1909-09-23T00:00:00.000","12:52 PM",,,"18",,,"20",,,,,,,,,,,,,,,,,,,,,,,"Flood",,,,,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.053833","40.643833","Permanent"
"N8",,"1913-09-19T00:00:00.000","4:30 PM",,,"36",,,,,,,,,,,,,,,,,,,,,,,,,,"Flood",,,,"19.2","3.6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.045500","40.606167","Permanent"
"NM",,"1981-06-24T00:00:00.000","4:10 PM",,"20.6","17.8",,,,"26.9","29.3",,,,,,,,,,,,,,,,,,,,,"S",,,,"8.4","7.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.044920","40.608080","Permanent"
"NM",,"1981-06-24T00:00:00.000","4:10 PM",,"20.6","17.8",,,,"26.9","29.3",,,,,,,,,,,,,,,,,,,,,"S",,,,"8.4","7.2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.044920","40.608080","Permanent"
"J10",,"1998-07-13T00:00:00.000","11:59 AM",,"22.37","21.82","27","3.28","19.68","26.72","26.97","3.95","3.94","7.48",,"100.79",,"57.49","61.87","17.84","18.17",,,,,"5.54","4.8",,,,,"E","11","S","2","7.71","7.47","3.5","7.94","7.99",,,,,"1","3",,,,,"0.174",,"0.13",,,,"1.21",,"0.314",,"0.112",,"9","13","48.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-73.894721","40.621667","Permanent"
"G1",,"1986-08-19T00:00:00.000","11:10 AM",,"23","23","41",,,"23","24",,,,,,,,,,,,,,,,,,,,,"W",,,,"4.1","3.9","8","7.6","7.6","7900","13000",,,"1497","490",,,,,"0.34","0.29","0.44","0.41","0.22","0.21",,,,,"0.37","0.35",,,"1",,,,,,,,,,,,,,,,,,,,,,,,,"0.9","1",,,,,,"-74.015271","40.662495","Permanent"
"H2",,"1982-08-09T00:00:00.000","11:45 AM",,"25","25",,,,"16.5","16.5",,,,,,,,,,,,,,,,,,,,,"W",,,,"3.7","3.9",,,,"4600","4900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1.4",,,,,,"-73.918610","40.858609","Permanent"
"H2",,"1982-08-09T00:00:00.000","11:45 AM",,"25","25",,,,"16.5","16.5",,,,,,,,,,,,,,,,,,,,,"W",,,,"3.7","3.9",,,,"4600","4900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1.4",,,,,,"-73.918610","40.858609","Permanent"
"H4",,"1958-07-23T00:00:00.000","12:35 PM",,"21.1","20.6","20",,,"25.55","25.2",,,,,,,,,,,,,,,,,,,,,"S",,,,"1.8","2.5",,,,"1100","460",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","1",,,,,,,,,,,,"-73.929168","40.803613","Permanent"
"E13",,"1993-09-22T00:00:00.000","11:44 AM",,"20.15","20.15","23","2","6","25.99","26.11","3.68","3.7",,,,,,,"17.87","17.96",,,,,,,,,,,"E",,,,"5.59","5.25","3","7.62","7.66","200","200",,,"71","34",,,,,"0.39",,"0.35",,"0.13",,,,,,"0.21",,"20","50","5.7",,,,,,,,,,,,,,,,,,,,,,,,,"1","0.9",,,,,,"-73.841113","40.806111","Permanent"
"N8",,"1935-09-11T00:00:00.000","4:30 PM",,"21.1","20.6","90",,,"25.2","26.6",,,,,,,,,,,,,,,,,,,,,"N",,,,"3.24","2.94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.045500","40.606167","Permanent"
"NW",,"1981-06-24T00:00:00.000","1:14 PM",,"21.1","20",,,,"25.1","27.4",,,,,,,,,,,,,,,,,,,,,"N",,,,"5.5","7",,,,"21000","11000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.052330","40.605770","Permanent"
"NW",,"1981-06-24T00:00:00.000","1:14 PM",,"21.1","20",,,,"25.1","27.4",,,,,,,,,,,,,,,,,,,,,"N",,,,"5.5","7",,,,"21000","11000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-74.052330","40.605770","Permanent"
"K1",,"1951-06-19T00:00:00.000","10:00 AM",,"20.6","20.6","35",,,"22.4","23.8",,,,,,,,,,,,,,,,,,,,,"N",,,,"2.8","3.1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2","2","0.33","0.05","3","1",,,,,,,,"-74.081945","40.651112","Permanent"
"K6","D","1996-07-16T00:00:00.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3","7.86","7.69",,,,,"57","55",,,,,"0.43",,"0.242",,"0.081",,"0.917",,,,"0.14",,"22","20","51",,,,,,,,,,,,,,,,,,,"2.9","1.4",,,,,,,,,,,,"-74.100833","40.510333","Permanent"
"K4",,"1995-11-01T00:00:00.000","11:33 AM",,,,"38",,,,,,,,,,,,,,,,,,,,,,,,,"S","1","S/W","1","6.61","5.98","4","7.4","7.37",,,,,,,,,,,"1",,"0.74",,"0.22",,,,,,"0.27",,"16","8","2.6",,,,,,,,,,,,,,,,,,,"1.3","2.1",,,,,,,,,"4.3","3.6",,"-74.211667","40.567000","Permanent"
