"the_geom","nodeid","oft","onstreetname","fromstreetname","borough_code","work_start_date","work_end_date","purpose"
"POINT (1044771.7769101411 208217.8086797297)","58812","413990425440000000","67 AVENUE","192 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1008770.6166291386 215701.3957466483)","41850","407990410540000000","31 AVENUE","47 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1035875.9974576384 201872.73967698216)","55043","416240423290000000","78 ROAD","150 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1033443.2040948868 206388.90518531203)","54918","414390423090000000","68 ROAD","147 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1036722.7706984729 203762.2240869701)","55119","415740458590000000","75 ROAD","PARSONS BOULEVARD","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1014165.7347758859 252486.27755731344)","9046550","250730256820000000","METRO NORTH RR","PARK AVENUE","X","2023-08-07T00:00:00","2023-11-05T00:00:00","CONTRACT ROADWAY MILLING"
"POINT (1026978.0103323907 203680.2258913964)","50287","414290420190000000","68 DRIVE","108 STREET","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037236.9461793005 204343.3909036368)","55194","415390424040000000","73 AVENUE","160 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1032612.500047639 205081.283128649)","54827","422690451590000000","140 STREET","JEWEL AVENUE","Q","2023-06-13T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1046076.7001533061 208692.6007091403)","58960","413990425790000000","67 AVENUE","197 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1009750.0149328113 244343.877503559)","44262","220020226760000000","CLAY AVENUE","EAST  170 STREET","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1032967.3845084757 216345.54176805913)","55591","436590454102000000","BOWNE STREET","LONG ISLAND RAILROAD","Q","2023-07-24T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1040668.7601817995 204091.4947538972)","58481","415840424790000000","76 AVENUE","173 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1034250.3645540476 205993.33478222787)","54996","414640423290000000","69 ROAD","150 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1026882.5544865578 203922.64994722605)","50286","414390420190000000","68 ROAD","108 STREET","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1004429.1354827136 219249.32500247657)","41623","407040407890000000","23 STREET","30 ROAD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1013650.6685488075 220184.85134664178)","47078","406440415990000000","20 AVENUE","76 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1042215.0989526361 216593.5888441503)","59305","425390464190000000","191 STREET","STATION ROAD","Q","2023-06-29T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (990882.7488616407 214563.0154774785)","22514","117930132670000000","EAST   47 STREET","VANDERBILT AVENUE","M","2023-08-05T00:00:00","2023-10-28T00:00:00","RAPID TRANSIT CONSTRUCT/ ALTERATION"
"POINT (996444.3811110556 210520.2371457219)","22940","405190410590000000","5 STREET","48 AVENUE","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037877.8402387202 203426.57515197992)","55188","415940424140000000","76 ROAD","162 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1009071.911958307 241234.11994355917)","44238","226640256820000000","EAST  166 STREET","PARK AVENUE","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (995523.7927291393 196195.5233411491)","19588","354830393060000000","LEE AVENUE","WILLIAMSBURG ST WEST","B","2023-08-15T00:00:00","2023-08-18T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1000555.4424427152 209732.96312972903)","40622","407490428980000000","27 STREET","AUSTELL PLACE","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1007465.8223227262 223828.00350914896)","42333","406640406740000000","21 DRIVE","21 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1032047.5638415515 204868.48466973007)","54815","422590451590000000","138 STREET","JEWEL AVENUE","Q","2023-06-13T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1046168.414536804 208726.51829223335)","58962","413590413990000000","65 CRESCENT","67 AVENUE","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (998554.6298433095 234011.69967713952)","24215","110610136270000000","7 AVENUE","WEST  125 STREET","M","2023-07-07T00:00:00","2023-08-28T00:00:00","DOT IN-HOUSE PAVING"
"POINT (961720.3081708848 149582.59327322245)","9670","539706541311000000","NAUGHTON AVENUE","OCEANSIDE AVENUE","S","2023-06-15T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (996444.3811110556 210520.2371457219)","22940","405190410590000000","5 STREET","48 AVENUE","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1010206.3122485578 209516.99899472296)","45180","412390459990000000","59 STREET","QUEENS BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1011759.9899154752 214763.42550972104)","46303","408190412940000000","32 AVENUE","62 STREET","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (994697.3114424646 201510.381477803)","21991","354000366230000000","KENT AVENUE","NORTH    6 STREET","B","2023-08-09T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1011377.0444871336 238929.5868229717)","47280","226550270420000000","EAST  163 STREET","UNION AVENUE","X","2023-07-21T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1008402.3821293861 215103.44451472163)","41848","410540457490000000","47 STREET","NEWTOWN ROAD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (973083.7923336327 165757.55993898213)","11442","311130377130000000","91 STREET","SHORE ROAD","B","2023-08-16T00:00:00","2023-08-22T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1012866.5395396352 209067.3050122261)","83637","412000414440000000","BQE EB ENTRANCE QUEENS BLVD EB","68 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1014708.7799496353 220122.6139383167)","47106","406590416590000000","21 AVENUE","80 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1004146.5707591325 242588.11264239252)","43763","274170278550000000","WEST  164 STREET","WOODYCREST AVENUE","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1027263.4526748806 202954.41336664557)","50383","420190451590000000","108 STREET","JEWEL AVENUE","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010240.4394768924 214551.17494997382)","46198","408190411590000000","32 AVENUE","55 STREET","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1012838.3932704777 207782.4322538972)","45371","410790414440000000","50 AVENUE","68 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1025344.7426015586 204715.36489722133)","50199","413890419540000000","66 ROAD","102 STREET","Q","2023-07-24T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1034952.0524551421 214944.4779691398)","55695","441990458590000000","DELAWARE AVENUE","PARSONS BOULEVARD","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1004878.2851749659 218971.70744748414)","41620","407300407890000000","25 STREET","30 ROAD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1019270.9230563045 217806.6638458073)","46950","407240418890000000","25 AVENUE","96 STREET","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1038293.4332395494 203994.3069561422)","55266","415740424240000000","75 ROAD","164 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1029674.0777748823 204178.69635114074)","50590","414640451590000000","69 ROAD","JEWEL AVENUE","Q","2023-06-13T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1027038.9190032184 148526.94905905426)","30724","434590457970000000","BEACH  128 STREET","OCEAN PROMENADE","Q","2023-07-17T00:00:00","2023-09-01T00:00:00","PLACE EQUIPMENT OTHER THAN CRANE OR SHOV"
"POINT (1040421.3919101357 204054.9331472218)","58480","415840424740000000","76 AVENUE","172 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1036720.1099426448 204012.77804781497)","55128","415690458590000000","75 AVENUE","PARSONS BOULEVARD","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1030895.4155552983 204566.09321413934)","54680","414640451590000000","69 ROAD","JEWEL AVENUE","Q","2023-06-13T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1032686.5553457141 206485.66975556314)","54832","414240454580000000","68 AVENUE","MAIN STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1009851.8805427253 213709.37249973416)","65349","411120457790000000","53 PLACE","NORTHERN BOULEVARD","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1037916.4526942968 203169.31155888736)","55191","416040424140000000","77 AVENUE","162 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1018151.2015424669 207719.10823355615)","46001","447290459990000000","GRAND AVENUE","QUEENS BOULEVARD","Q","2023-08-02T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1010750.3990868926 214624.89855581522)","46202","408190411990000000","32 AVENUE","57 STREET","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1013346.6209285557 241905.38139630854)","66828","233720266620000000","FREEMAN STREET","REV JAMES POLITE AVENUE","X","2023-07-21T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1026133.2580848932 148062.9243965596)","30712","434790457970000000","BEACH  132 STREET","OCEAN PROMENADE","Q","2023-07-17T00:00:00","2023-09-01T00:00:00","PLACE EQUIPMENT OTHER THAN CRANE OR SHOV"
"POINT (1012583.2198963016 207789.5549430549)","45368","410790414190000000","50 AVENUE","67 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1012286.9412893802 241990.2729588151)","47932","261420270420000000","RITTER PLACE","UNION AVENUE","X","2023-07-21T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1015534.9200296402 210237.9818047285)","46613","416290468290000000","78 STREET","WOODSIDE AVENUE","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1046296.416249305 208771.84956640005)","58963","413990425840000000","67 AVENUE","198 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1035741.7129493058 198976.82027198374)","34938","417130441475000000","84 ROAD","DANIELS STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1012198.2177135497 220949.42658914626)","47038","406490410390000000","20 ROAD","46 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1011881.5316671431 220607.7934141457)","47008","406590410390000000","21 AVENUE","46 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (998418.0356283039 233764.66965939105)","24213","110610136250000000","7 AVENUE","WEST  124 STREET","M","2023-07-07T00:00:00","2023-08-28T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037148.9312634766 204939.04227139056)","55192","424040458428000000","160 STREET","PARK AVENUE","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1028454.8479298949 201750.1808669716)","50488","415290420390000000","72 ROAD","110 STREET","Q","2023-07-11T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1011495.6863102168 209247.42932389677)","66650","413490459990000000","64 STREET","QUEENS BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1015781.5632371306 210274.54669222236)","46614","416490468290000000","79 STREET","WOODSIDE AVENUE","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1010041.7420396358 213732.36786055565)","46184","411390457790000000","54 STREET","NORTHERN BOULEVARD","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010331.0823402256 213776.03247138858)","46191","411590457790000000","55 STREET","NORTHERN BOULEVARD","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1036721.8947159648 203512.4804919809)","55118","415840458590000000","76 AVENUE","PARSONS BOULEVARD","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1040110.0867584646 202942.18930973113)","58468","424590465590000000","170 STREET","UNION TURNPIKE","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1013083.3107596338 207775.5129763931)","45484","410790414690000000","50 AVENUE","69 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (999885.9034274668 238987.70350463688)","24307","113510136650000000","BRADHURST AVENUE","WEST  144 STREET","M","2023-06-30T00:00:00","2023-08-18T00:00:00","DOT IN-HOUSE PAVING"
"POINT (973013.6087469757 165449.49329788983)","11441","311180377130000000","92 STREET","SHORE ROAD","B","2023-08-16T00:00:00","2023-08-22T00:00:00","DOT IN-HOUSE MILLING"
"POINT (973065.0915836394 166089.5776476413)","11448","363530377130000000","NARROWS AVENUE","SHORE ROAD","B","2023-08-16T00:00:00","2023-08-22T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1009892.5956843942 207755.01761056483)","41256","412060453090000000","58 LANE","LAUREL HILL BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1023140.3605273813 204954.63311947882)","50019","413440459990000000","64 ROAD","QUEENS BOULEVARD","Q","2023-07-24T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (994704.2175966352 199983.6817753166)","19535","319530365830000000","BERRY STREET","NORTH    1 STREET","B","2023-08-16T00:00:00","2023-08-17T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1009767.2776935548 201818.30048139393)","66929","412140447290000000","58 ROAD","GRAND AVENUE","Q","2023-08-02T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1009744.0953252167 214482.53007414937)","41918","408190411120000000","32 AVENUE","53 PLACE","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (987462.0801780522 168158.0443112254)","65514","306680309280000000","16 AVENUE","54 STREET","B","2023-08-09T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1014449.7515963018 241737.00246797502)","48084","233720240120000000","FREEMAN STREET","HOE AVENUE","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (986816.0348822176 167344.31562373042)","13587","306680309480000000","16 AVENUE","58 STREET","B","2023-08-09T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1011824.7591428906 214772.62890338898)","46304","408190428020000000","32 AVENUE","AMTRAK RAILROAD","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1010977.2424652278 237663.88069297373)","47231","226400270420000000","EAST  158 STREET","UNION AVENUE","X","2023-07-21T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1041183.250622645 204167.40995639563)","58555","415840424840000000","76 AVENUE","175 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (997314.8488582969 232880.80955047905)","24145","131190136150000000","ST NICHOLAS AVENUE","WEST  119 STREET","M","2023-07-12T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (996435.9628207982 202104.24183864892)","22110","319530366830000000","BERRY STREET","NORTH   12 STREET","B","2023-08-15T00:00:00","2023-08-17T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037707.2405143082 205447.96874697506)","55205","414890424140000000","71 AVENUE","162 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1009930.7911460549 209124.45384806395)","41267","410440412060000000","47 AVENUE","58 LANE","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1010406.7121102214 207858.7641222328)","45156","412290453090000000","59 PLACE","LAUREL HILL BOULEVARD","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1043856.8115484715 205512.43056030571)","58717","415690425160000000","75 AVENUE","185 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1045578.6811362207 208511.66964055598)","58904","413590413990000000","65 CRESCENT","67 AVENUE","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1013947.3050946444 242541.04941630363)","48025","242020277750000000","INTERVALE AVENUE","LOUIS NINE BOULEVARD","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1012902.6815277189 209568.23248806596)","45405","409840414440000000","43 AVENUE","68 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1033683.5579448938 216410.23291164637)","55644","409540458590000000","41 AVENUE","PARSONS BOULEVARD","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1019071.2515396327 219227.62557080388)","46964","406940418890000000","23 AVENUE","96 STREET","Q","2023-08-10T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1015230.2815313041 241507.38022381067)","48166","233720246620000000","FREEMAN STREET","LONGFELLOW AVENUE","X","2023-07-21T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1005094.8493743837 246587.9507713169)","43901","250520274370000000","MERRIAM AVENUE","WEST  171 STREET","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1036133.8516007215 213648.12229414284)","55840","451895458590000000","KALMIA AVENUE","PARSONS BOULEVARD","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1038067.7417618036 202140.64596530795)","55256","416340424140000000","79 AVENUE","162 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037456.2141134739 202838.6432569772)","55179","416090424040000000","77 ROAD","160 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1015795.7069096416 241047.39754797518)","48169","213620233720000000","BOONE AVENUE","FREEMAN STREET","X","2023-07-21T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037569.7735976428 202067.25372363627)","55180","416340424040000000","79 AVENUE","160 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1043856.8115484715 205512.43056030571)","58717","415690425160000000","75 AVENUE","185 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (924879.0937957168 129249.20283772051)","703","518105547535000000","BEDELL STREET","SHARROTT AVENUE","S","2023-07-27T00:00:00","2023-09-30T00:00:00","DOT IN-HOUSE MILLING"
"POINT (994101.9943916351 198846.70242197812)","19517","319530378430000000","BERRY STREET","SOUTH    4 STREET","B","2023-08-16T00:00:00","2023-08-17T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1009988.9012660533 214517.8715388924)","41919","408190411390000000","32 AVENUE","54 STREET","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1026133.2580848932 148062.9243965596)","30712","434790457970000000","BEACH  132 STREET","OCEAN PROMENADE","Q","2023-07-17T00:00:00","2023-09-01T00:00:00","OCCUPANCY OF ROADWAY AS STIPULATED"
"POINT (1009667.7831418812 201772.68705555797)","41209","412140447290000000","58 ROAD","GRAND AVENUE","Q","2023-08-02T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1017104.5264704674 207204.53970889747)","65465","447290452400000000","GRAND AVENUE","KNEELAND AVENUE","Q","2023-08-02T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1044903.3314370513 205024.19958139956)","58789","425240465590000000","188 STREET","UNION TURNPIKE","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1013030.059553802 209913.77641639113)","45509","414440468290000000","68 STREET","WOODSIDE AVENUE","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1009548.0097593814 246685.41087822616)","44273","226850229720000000","EAST  173 STREET","EASTBURN AVENUE","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1028775.6806215495 203549.44236031175)","50505","420640451590000000","113 STREET","JEWEL AVENUE","Q","2023-07-24T00:00:00","2023-08-25T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1009978.8553543836 241055.47167880833)","47732","226640268020000000","EAST  166 STREET","3 AVENUE","X","2023-07-24T00:00:00","2023-10-21T00:00:00","DOT IN-HOUSE PAVING"
"POINT (997385.2489799708 231299.2808893919)","24138","131190136050000000","ST NICHOLAS AVENUE","WEST  114 STREET","M","2023-07-07T00:00:00","2023-08-28T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1013392.6572538018 241911.71668547392)","48010","214720233720000000","BRISTOW STREET","FREEMAN STREET","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (997763.8112149686 210210.2029888928)","23015","405690410590000000","11 STREET","48 AVENUE","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (995804.2711708099 200603.86098113656)","22021","318630366230000000","BEDFORD AVENUE","NORTH    6 STREET","B","2023-08-09T00:00:00","2023-08-11T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1014715.9616938084 241733.03265964985)","48086","233720272320000000","FREEMAN STREET","VYSE AVENUE","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1024210.7622579783 207083.5461844802)","50129","412890419540000000","62 ROAD","102 STREET","Q","2023-07-24T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1038535.7788834721 204789.7643547207)","55275","415140424290000000","72 AVENUE","165 STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1013761.3773168921 241742.1763421446)","48014","233720242020000000","FREEMAN STREET","INTERVALE AVENUE","X","2023-07-21T00:00:00","2023-09-02T00:00:00","DOT IN-HOUSE PAVING"
"POINT (997908.1646008044 210171.43666222692)","23018","410590450990000000","48 AVENUE","JACKSON AVENUE","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1037768.0376368016 204169.4247161448)","55199","415690424140000000","75 AVENUE","162 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1033080.6949773878 205538.36850056052)","54909","414640454580000000","69 ROAD","MAIN STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (946712.7272937149 162917.28412348032)","6435","538190547485000000","MARBLE STREET","SEWARD PLACE","S","2023-07-11T00:00:00","2023-10-09T00:00:00","REPLACEMENT OF POLES"
"POINT (1033478.1971351355 206918.12295889854)","54920","423090455390000000","147 STREET","MELBOURNE AVENUE","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (973731.0515377969 169637.7493570596)","11478","310430377130000000","77 STREET","SHORE ROAD","B","2023-08-08T00:00:00","2023-08-16T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1037707.2405143082 205447.96874697506)","55205","414890424140000000","71 AVENUE","162 STREET","Q","2023-06-16T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1013074.4328246415 220703.50188414752)","47072","406440410740000000","20 AVENUE","49 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1017199.8412404656 207288.4174938947)","45891","447290452400000000","GRAND AVENUE","KNEELAND AVENUE","Q","2023-08-02T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (995246.0636257976 195560.05184306204)","19576","318630393060000000","BEDFORD AVENUE","WILLIAMSBURG ST WEST","B","2023-08-15T00:00:00","2023-08-18T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1017526.9436046332 233508.03664247692)","47590","237650271750000000","HALLECK STREET","VIELE AVENUE","X","2023-06-29T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1005074.8723802269 210946.9308461398)","41627","409190409840000000","39 PLACE","43 AVENUE","Q","2023-07-21T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1028173.066997394 202474.80868281424)","50495","414890420390000000","71 AVENUE","110 STREET","Q","2023-07-11T00:00:00","2023-09-29T00:00:00","DOT IN-HOUSE PAVING"
"POINT (1013142.0081488043 209505.09613139927)","45511","409840414690000000","43 AVENUE","69 STREET","Q","2023-08-04T00:00:00","2023-10-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1034864.9007265568 198906.7810419798)","34840","417130454580000000","84 ROAD","MAIN STREET","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE MILLING"
"POINT (1045551.8140639663 208144.7970147282)","58903","425490425635000000","193 LANE","195 LANE","Q","2023-06-19T00:00:00","2023-08-31T00:00:00","DOT IN-HOUSE PAVING"
