"amenitytype","borough","communityboard","councildistrict","gispropnum","hours","languagecode","mountingsurface","nametext","omppropid","parkdistrict","precinct","propertylocation","propertyname","secondlanguage","signcode","signcodewithlanguage","signstatus","signtype","subpropertyname","system","thirdlanguage","zipcode","point"
"Athletic Field - Synthetic Turf - No Hours (1503)","B","307","38","BT15",,"XX-005","Chain Link Fence - 2""",,,"B-07","72","Marginal St. bet. 44 St. and 50 St.","Bush Terminal Park","Spanish","1503","1503-005","Surveyed","Consolidated Rules Sign",,"30533","Chinese","11232","POINT (-74.02142922569884 40.65196154655689)"
"Triangle/Park Rules - w/ Hours (2401)","M","107","6","M020",,"XX-005","None / Free Standing",,,"M-07","20","Broadway, Columbus Av, W 63 St","Dante Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,,"Chinese","10023","POINT (-73.98242620240582 40.7716195713049)"
"Combo: Playground / Court (2602)","Q","414","31","Q162J01",,"XX-008","Chain Link Fence - 2""",,,"Q-14","101","Seagirt Blvd bet. B. 12 St. and B. 9 St.","Beach 9 Playground","Spanish","2602","2602-008","Installed","Consolidated Rules Sign",,"27874","Russian","11691","POINT (-73.74591922516615 40.595316557611085)"
"Comfort Station – W (1801)","Q","405","30","Q102",,"XX-005","Wall",,"Q102-02","Q-05","104","Juniper Blvd. bet. Lutheran Ave., 71 St. and Dry Harbor Rd.","Juniper Valley Park","Spanish","1801","1801-005","Installed","Consolidated Rules Sign","Juniper North Playground Tennis","27620","Chinese","11379","POINT (-73.87741043211288 40.72062990265484)"
"Tennis Courts Hours (3100)","B","305","37","B163",,"XX-008","Chain Link Fence - 2""",,,"B-05","75","Atlantic Ave., Cleveland St. and Liberty Ave.","Sperandeo Brothers Playground","Spanish","3100","3100-008","Installed","Consolidated Rules Sign",,"49276","Russian","11208","POINT (-73.8844624161644 40.67680902685172)"
"GT Garden (2000)","M","110","9","M362",,"XX-001","Chain Link Fence - 2""",,,"M-10","28","W. 124 St. bet. Lenox Ave. and 5 Ave.","W 124th Street Community Garden","Spanish","2000","2000-001","Installed","Consolidated Rules Sign",,,"French","10027","POINT (-73.94535089293167 40.806919012502966)"
"Athletic Field - Synthetic Turf - No Hours (1503)","X","227","15","X002",,,"Chain Link Fence - 2""",,"X002-ZN03","X-14","49","Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St","Bronx Park",,"1503","1503","Installed","Consolidated Rules Sign","Bronx Park Zone 3","33452",,"10467","POINT (-73.87078125545338 40.867216618654425)"
"Park without Dog Run; No Off-Leash (2401)","M","104","3","M399",,"XX-005","None / Free Standing",,,"M-04","10","Hudson Blvd. bet. W. 37 St. and W. 33 St.","Bella Abzug Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,,"Chinese","10001","POINT (-74.00121884117208 40.75473088908363)"
"Barbecue Area (1600)","B","301","34","B025",,"XX-006","Wrought Iron / Steep Picket Fence",,,"B-01","90","Maspeth Ave., Sharon St. bet. Olive St. and Morgan Ave.","Cooper Park","Spanish","1600","1600-006","Installed","Consolidated Rules Sign",,"29676","Yiddish","11211","POINT (-73.93626788043014 40.716324009907176)"
"Combo: Playground / Court (2602)","M","302","1","B431",,"XX-005","Wall",,,"B-02","84","Brooklyn Waterfront From Washington St To Atlantic Ave","Brooklyn Bridge Park","Spanish","2602","2602-005","Surveyed","Consolidated Rules Sign",,,"Chinese","11201","POINT (-73.99802956816968 40.69878657883777)"
"Park without Dog Run; No Off-Leash (2401)","M","164","6","M010",,,"Wall",,"M010-ZN30","M-13","22","5 Av To Central Park W, 59 St To 110 St","Central Park",,"2401","2401","Surveyed","Consolidated Rules Sign","Central Park West","48872",,"83","POINT (-73.96735225123463 40.78773892528695)"
"Park without Dog Run; No Off-Leash (2401)","Q","412","28","Q005",,"XX-004","Chain Link Fence - 2""",,"Q005-ZN05","Q-12","113","N. Conduit Ave., 116 Ave. bet. 150 St., Suptin Blvd., and Baisley Blvd. S.","Baisley Pond Park","Spanish","2401","2401-004","Installed","Consolidated Rules Sign","Baisley Pond Park Zone 5","27621","Bengali","11434","POINT (-73.78852846563177 40.670393727723784)"
"Park with Dog Run; No Off Leash (2403)","M","108","5","M081","6:00 a.m. to 1:00 a.m.","XX-005","Wrought Iron / Steep Picket Fence",,"M081-ZN01","M-08","19","East End Av To East River, E 84 St To E 90 St","Carl Schurz Park","Spanish","2403","2403-005","Installed","Consolidated Rules Sign","Carl Schurz Main Lawn","48142","Chinese","10028","POINT (-73.9441346235307 40.775551671105504)"
"Athletic Field / Court - Hours (1500)","Q","401","22","Q066F",,"XX-009","Chain Link Fence - 2""",,,"Q-01","114","Hoyt Ave. North bet. 29 St. and 31 St.","Hoyt Playground","Spanish","1500","1500-009","Installed","Consolidated Rules Sign",,"26569","Greek","11102","POINT (-73.91714998234993 40.77116139611676)"
"Park without Dog Run; No Off-Leash (2401)","Q","407","20","Q024",,"XX-005","Wrought Iron / Steep Picket Fence",,"Q024-ZN01","Q-07","109","Underhill, Oak, Rose, Booth Memorial Aves, Kissena Blvd, Fresh Meadow Ln","Kissena Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign","Kissena Park Zone 1","27234","Chinese","11365","POINT (-73.80295800737278 40.74903814172978)"
"Park without Dog Run; Off-Leash OK (2402)","B","313","48","B080",,"XX-015","Wrought Iron / Steep Picket Fence",,,"B-13","60","Boardwalk, Surf Ave., Sea Breeze Ave., Ocean Parkway","Asser Levy Park","Chinese","2402","2402-015","Installed","Consolidated Rules Sign",,"30998","Russian","11224","POINT (-73.97308167034421 40.574957509516445)"
"Athletic Field / Court - No Hours (1501)","X","202","17","X255",,"XX-001","Chain Link Fence - 2""",,,"X-02","41","Beck St bet. Interval Av and Longwood Av","Bill Rainey Park","Spanish","1501","1501-001","Installed","Consolidated Rules Sign",,,"French","10459","POINT (-73.89764242584828 40.81823794004303)"
"Athletic Field / Court - Hours (1500)","B","318","46","B330",,"XX-007","Chain Link Fence - 2""",,,"B-18","63","Veterans Ave. between E. 66 St. and E 68 St.","Hickman Playground","Spanish","1500","1500-007","Installed","Consolidated Rules Sign",,"49004","French Creole","11234","POINT (-73.91334254566732 40.620470981612065)"
"Comfort Station – M + Accessible + Family (1810)","X","212","12","X214",,"XX-001","Wall",,,"X-12","47","Olinville Ave. at Rosewood St.","Magenta Playground","Spanish","1810","1810-001","Installed","Consolidated Rules Sign",,,"French","10467","POINT (-73.86779948602596 40.87351164065065)"
"Triangle No Rules - Routed (800)","Q","407","20","Q100",,"XX-005","Wrought Iron / Steep Picket Fence",,,"Q-07","109","Northern Blvd Bet. Linden Pl. and Union St.","Flushing Greens","Spanish","800","800-005","Installed","Consolidated Rules Sign",,,"Chinese","11354","POINT (-73.8314963210299 40.762952777671394)"
"Park without Dog Run; No Off-Leash (2401)","X","207","11","X033",,"XX-004","Pipe Rail",,"X033-ZN04","X-07","52","Bronx Park to Van Cortlandt Park","Mosholu Parkway","Spanish","2401","2401-004","Installed","Consolidated Rules Sign","Mosholu Parkway Zone 4",,"Bengali","10458","POINT (-73.88138609015265 40.86883772781608)"
"Park without Dog Run; No Off-Leash (2401)","X","227","15","X002",,,"Wrought Iron / Steep Picket Fence",,"X002-ZN03","X-14","49","Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St","Bronx Park",,"2401","2401","Installed","Consolidated Rules Sign","Bronx Park Zone 3","33408",,"10467","POINT (-73.87068280568253 40.86821545305269)"
"Playground - Adults Allowed (2600)","Q","406","29","Q348","6:00 a.m. to 9:00 p.m.","XX-015","Wrought Iron / Steep Picket Fence",,,"Q-06","112","72 Ave. bet. 112 St. and Grand Central Parkway","Willow Lake Playground","Chinese","2600","2600-015","Installed","Consolidated Rules Sign",,"27995","Russian","11375","POINT (-73.83721155582586 40.72224592882662)"
"Park without Dog Run; No Off-Leash (2401)","Q","407","20","Q022",,"XX-005","Wrought Iron / Steep Picket Fence",,,"Q-07","109","37 Ave. bet. Bowne St. and Parsons Blvd.","Margaret I. Carman Green - Weeping Beech","Spanish","2401","2401-005","Installed","Consolidated Rules Sign",,"27097","Chinese","11354","POINT (-73.82466468923997 40.76327451884176)"
"Tennis Courts Hours (3100)","X","207","14","X044",,"XX-004","Chain Link Fence - 2""",,,"X-07","52","Jerome Ave., E. 193 St., Creston Ave., E","St. James Park","Spanish","3100","3100-004","Installed","Consolidated Rules Sign",,"32572","Bengali","10468","POINT (-73.89772231024514 40.8655851599173)"
"Track + Athletic Field plus hours (2902)","Q","405","30","Q102",,"XX-005","Chain Link Fence - 2""",,"Q102-ZN01","Q-05","104","Juniper Blvd. bet. Lutheran Ave., 71 St. and Dry Harbor Rd.","Juniper Valley Park","Spanish","2902","2902-005","Installed","Consolidated Rules Sign","Juniper Valley Park Zone 1","27597","Chinese","11379","POINT (-73.8850365194836 40.71894983158185)"
"Athletic Field / Court - Hours (1500)","Q","412","27","Q405",,"XX-004","Chain Link Fence - 2""",,,"Q-12","113","Hollis Ave. bet. 204 St. and 205 St.","Hollis Playground","Spanish","1500","1500-004","Installed","Consolidated Rules Sign",,"47557","Bengali","11412","POINT (-73.75293184894652 40.706222445345105)"
"Adult Workout Equipment","B","318","46","B018",,"XX-007","None / Free Standing",,"B018-ZN03","B-18","69","Belt Pkwy, Seaview Ave Btw: Paerdegat Basin, E 93 S, E 102 St, Fresh Creek Basin","Canarsie Park","Spanish",,,"Surveyed","Consolidated Rules Sign","Canarsie Park Zone 3","30767","French Creole","11236","POINT (-73.8959045419131 40.627014056584905)"
"Combo: Playground / Court (2602)","B","316","41","B153",,"XX-007","Wrought Iron / Steep Picket Fence",,,"B-16","73","Howard Ave. bet. Pacific St. and Dean St.","South Pacific Playground","Spanish","2602","2602-007","Installed","Consolidated Rules Sign",,"30424","French Creole","11233","POINT (-73.91951824808267 40.67585563115533)"
"GT Garden (2000)","M","111","8","M375",,"XX-005","Wrought Iron / Steep Picket Fence",,,"M-11","23","E. 114 St. bet. 1 Ave. and Pleasant Ave.","Pleasant Park Garden","Spanish","2000","2000-005","Installed","Consolidated Rules Sign",,,"Chinese","10029","POINT (-73.93457809997362 40.79404513081092)"
"Playground - Children Only (2601)","B","306","33","B230",,"XX-001","Wrought Iron / Steep Picket Fence",,,"B-06","76","Wyckoff St. between Hoyt St. and Bond St.","Nicholas Naquan Heyward Jr. Park","Spanish","2601","2601-001","Installed","Consolidated Rules Sign",,,"French","11217","POINT (-73.98796597524758 40.684543376331014)"
"Athletic Field / Court - No Hours (1501)","X","227","11","X002",,,"Chain Link Fence - 2""","Allerton Ballfields","X002-ZN04","X-14","52","Southern Blvd,Webster,Burke Aves,Bronx Pk E,180 St","Bronx Park",,"1501","1501","Installed","Consolidated Rules Sign","Allerton Fields In Bronx Park",,,"10467","POINT (-73.87543241681294 40.868399996275954)"
,"B","355","39","B073",,,"Wall",,"B073-ZN14","B-19","78","Prospect Pk W, Flatbush, Parkside, Ocean Aves","Prospect Park",,,,"Installed","Consolidated Rules Sign","Middle Long Meadow",,,"11215","POINT (-73.9714532254098 40.66553910165896)"
"Athletic Field / Court - Hours (1500)","B","302","33","B137",,"XX-005","Chain Link Fence - 1""",,,"B-02","84","Schermerhorn St. bet. Nevins St. and 3 Ave.","Sixteen Sycamores Playground","Spanish","1500","1500-005","Installed","Consolidated Rules Sign",,"29515","Chinese","11217","POINT (-73.98071529939325 40.686720254125625)"
"Park with Dog Run; No Off Leash (2403)","M","107","6","M071",,"XX-005","Pipe Rail",,"M071-ZN14","M-14","24","Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.","Riverside Park","Spanish","2403","2403-005","Installed","Consolidated Rules Sign","Terrace Promenade South","48408","Chinese","10024","POINT (-73.97134213314116 40.801095642824215)"
"Park without Dog Run; No Off-Leash (2401)","Q","407","20","Q024",,"XX-005","Wrought Iron / Steep Picket Fence",,"Q024-ZN02","Q-07","109","Underhill, Oak, Rose, Booth Memorial Aves, Kissena Blvd, Fresh Meadow Ln","Kissena Park","Spanish","2401","2401-005","Installed","Consolidated Rules Sign","Kissena Park Zone 2 (Tennis Courts)","27263","Chinese","11365","POINT (-73.81155864191474 40.74759371934915)"
"Comfort Station","R","501","49","R114",,"XX-005","Wall",,,"R-01","121","Jules Dr., Elson Ct., Regis Dr.","Jennifer's Playground","Spanish",,,"Installed","Consolidated Rules Sign",,"32255","Chinese","10314","POINT (-74.16359349356685 40.62029498788048)"
"Athletic Field / Court - Hours (1500)","X","212","12","X165",,"XX-001",,,,"X-12","47","Schieffelin Ave. bet. E. 266 Dr. and E. 229 St.","Edenwald Playground","Spanish","1500","1500-001","Installed","Consolidated Rules Sign",,"33803","French","10466","POINT (-73.8440767396674 40.885468737204434)"
"Combo: Playground / Court (2602)","X","203","16","X166",,"XX-001","Chain Link Fence - 2""",,,"X-03","42","Tinton Av bet. E 166 St and E 165 St","Behagen Playground","Spanish","2602","2602-001","Installed","Consolidated Rules Sign",,"32642","French","10456","POINT (-73.90183954231551 40.825464880255716)"
"Playground - Adults Allowed (2600)","B","305","42","B149B","6:00 a.m. to 9:00 p.m.","XX-008","Wrought Iron / Steep Picket Fence",,,"B-05","75","Linwood St. bet. New Lots Ave. and Hegeman Ave.","Linwood Playground","Spanish","2600","2600-008","Installed","Consolidated Rules Sign",,"30010","Russian","11208","POINT (-73.88027960225865 40.66620784408285)"
"Athletic Field / Court - Hours (1500)","X","210","13","X183",,"XX-002","Chain Link Fence - 2""",,,"X-10","45","Brinsmade Ave. bet. Cross Bronx Ser. Rd. and Swinton Ave.","Bruckner Playground","Spanish","1500","1500-002","Installed","Consolidated Rules Sign",,,"Italian","10465","POINT (-73.82912743128566 40.826913165240036)"
"Trail (3200)","Q","407","20","Q300",,"XX-005","None / Free Standing",,"Q300-ZN02","Q-07","109","Lawrence St,N Hempstead Tpk,Elder Ave,Kissena Blvd","Kissena Corridor Park","Spanish","3200","3200-005","Installed","Consolidated Rules Sign","Kissena Corridor West Zone 2","27405","Chinese","11355","POINT (-73.8174031252705 40.7464392492706)"
"Beach","B","313","47","B169",,"XX-015","Pipe Rail",,"B169-ZN03B","B-13","60","Corbin Pl. to W. 37 St., Boardwalk","Coney Island Beach & Boardwalk","Chinese",,,"Installed","Consolidated Rules Sign","Coney Island Beach Zone 3b","31914","Russian","11224","POINT (-73.96911679723085 40.574403769226954)"
"Comfort Station  – M (1800)","Q","408","23","Q021",,"XX-005","Wall",,"Q021-ZN01","Q-08","107","Horace Harding Expwy, Grand Central Pkwy","Cunningham Park","Spanish","1800","1800-005","Installed","Consolidated Rules Sign","Cunningham Park Zone 1","28560","Chinese","11423","POINT (-73.77363088334246 40.72650963952708)"
"Beach","Q","414","32","Q050",,"XX-008","Pipe Rail",,,"Q-14","100","Ocean Promenade, bet. Beach 126 St. and Beach 110 St.","Rockaway Beach","Spanish",,,"Surveyed","Consolidated Rules Sign",,"28993","Russian","11694","POINT (-73.83696493107526 40.57758021349182)"
"Park without Dog Run; No Off-Leash (2401)","X","207","14","X013",,"XX-004","Wrought Iron / Steep Picket Fence",,,"X-05","52","W. Fordham Rd. bet. Sedgwick Ave. and Un","Devoe Park","Spanish","2401","2401-004","Installed","Consolidated Rules Sign",,"32985","Bengali","10468","POINT (-73.90775240718868 40.862952810783185)"
"Skate Park - Unstaffed - Hours (3001)","B","305","42","B380",,"XX-008","Wrought Iron / Steep Picket Fence",,,"B-05","75","Belmont Ave., Sutter Ave., Sheridan Ave. and Grant Ave.","Robert E. Venable Park","Spanish","3001","3001-008","Installed","Consolidated Rules Sign",,"29338","Russian","11208","POINT (-73.86587284304795 40.67465986672727)"
"Park without Dog Run; No Off-Leash (2401)","Q","411","19","Q012",,"XX-016","None / Free Standing",,"Q012-ZN03","Q-07A","111","214 Pl., 214 La., 215 Pl, Cross Island Pkwy. bet. 33 Ave. and 35 Ave.","Crocheron Park","Chinese","2401","2401-016","Installed","Consolidated Rules Sign","Crocheron Park Zone 3",,"Korean","11361","POINT (-73.76696348667787 40.7709012945886)"
"Park without Dog Run; Off-Leash OK (2402)","B","310","43","B060",,"XX-005","Wrought Iron / Steep Picket Fence",,,"B-10","68","73 St., Ft. Hamilton Pkwy., 7 Ave.","McKinley Park","Spanish","2402","2402-005","Installed","Consolidated Rules Sign",,"30520","Chinese","11228","POINT (-74.01673493848874 40.62579587248422)"
"Adult Workout Equipment","B","316","37","B156",,"XX-007","None / Free Standing",,,"B-16","73","Sackman To Powell Sts bet. Glenmore and Pit","Powell Playground","Spanish",,,"Installed","Consolidated Rules Sign",,"31670","French Creole","11212","POINT (-73.9045450180447 40.67145939721395)"
"Athletic Field / Court - Hours (1500)","R","502","50","R045",,"XX-005","Chain Link Fence - 1""",,"R045-01","R-02","121","Wild Ave., Pearson St., Melvin Ave.","Schmul Park","Spanish","1500","1500-005","Installed","Consolidated Rules Sign","Schmul Park","32064","Chinese","10314","POINT (-74.18740275664365 40.58969687489794)"
"Athletic Field / Court - Hours (1500)","X","205","16","X158",,"XX-001","Chain Link Fence - 2""",,,"X-05","46","Cross Bronx Exwy. Sr. Ramp bet. Undercliff Ave. and Dr. MLK Jr. Blvd.","Sedgwick Playground","Spanish","1500","1500-001","Installed","Consolidated Rules Sign",,,"French","10453","POINT (-73.92297260386287 40.845523012606485)"
"Trail With Hours / Exterior (3201)","R","503","50","R047",,"XX-017","None / Free Standing",,"R065-ZN10B","R-02","122","Willowbrook Pkwy. from Walker St. to Hylan Blvd.","Willowbrook Parkway","Russian","3201","3201-017","Installed","Consolidated Rules Sign","Amundsen Trail North",,"Italian","10306","POINT (-74.13065080388724 40.565066710307036)"
"Athletic Field / Court - Hours (1500)","X","203","16","X021",,"XX-001",,,,"X-03","42","Fulton Av bet. E 169 St and E 170 St","Drew Playground","Spanish","1500","1500-001","Installed","Consolidated Rules Sign",,"33829","French","10456","POINT (-73.90345962136817 40.83314083272969)"
"Athletic Field / Court - Hours (1500)","B","316","37","B156",,"XX-007","Chain Link Fence - 2""",,,"B-16","73","Sackman To Powell Sts bet. Glenmore and Pit","Powell Playground","Spanish","1500","1500-007","Installed","Consolidated Rules Sign",,"31709","French Creole","11212","POINT (-73.90479054259818 40.67157744306133)"
"Athletic Field / Court - No Hours (1501)","M","112","10","M028",,"XX-005","Chain Link Fence - 2""",,"M028-ZN01A","M-12","33","Riverside Dr., Hudson River, W. 155 St. to Dyckman St.","Fort Washington Park","Spanish","1501","1501-005","Installed","Consolidated Rules Sign","Fort Washington Park Zone 1A","48097","Chinese","10032","POINT (-73.94636210164589 40.842469598144845)"
"Park with Dog Run; No Off Leash (2403)","B","301","34","B025",,"XX-006","Wrought Iron / Steep Picket Fence",,,"B-01","90","Maspeth Ave., Sharon St. bet. Olive St. and Morgan Ave.","Cooper Park","Spanish","2403","2403-006","Installed","Consolidated Rules Sign",,"29743","Yiddish","11211","POINT (-73.93867489302619 40.7155958822352)"
"Lakes / Body of Water (2200)","Q","407","20","Q024",,"XX-005","Pipe Rail",,"Q024-ZN02","Q-07","109","Underhill, Oak, Rose, Booth Memorial Aves, Kissena Blvd, Fresh Meadow Ln","Kissena Park","Spanish","2200","2200-005","Installed","Consolidated Rules Sign","Kissena Park Zone 2 (Tennis Courts)","27363","Chinese","11365","POINT (-73.80652615242977 40.74725716345959)"
"Park without Dog Run; No Off-Leash (2401)","X","204","8","X030",,"XX-001","None / Free Standing",,"X030-ZN03","X-04","44","River Ave. to the Harlem River bet. E. 157 St. , W. 161 St. and E. 164 St.","Macombs Dam Park","Spanish","2401","2401-001","Installed","Consolidated Rules Sign","Macombs Dam Park Zone 3",,"French","10452","POINT (-73.92881851131787 40.82935979127535)"
"Playground - Adults Allowed (2600)","M","107","6","M219","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-005",,,,"M-07","20","W. 78 St. and Amsterdam Ave.","Tecumseh Playground","Spanish","2600","2600-005","Installed","Consolidated Rules Sign",,"48542","Chinese","10024","POINT (-73.97892679344312 40.78178358074304)"
"Athletic Field / Court - Hours (1500)","M","111","8","M104",,"XX-005","Chain Link Fence - 2""",,"M104-ZN01","M-11R","25","East River and Harlem River","Randall's Island Park","Spanish","1500","1500-005","Installed","Consolidated Rules Sign","Bronx Shore","48313","Chinese","10035","POINT (-73.92427205819126 40.80104371785972)"
"Athletic Field / Court - Hours (1500)","Q","405","30","Q015",,"XX-005","Chain Link Fence - 2""",,"Q015-08","Q-16","102","Myrtle Ave, Union Tpke, Park Lane S","Forest Park","Spanish","1500","1500-005","Installed","Consolidated Rules Sign","Dry Harbor Playground","28682","Chinese","11385","POINT (-73.86716986813893 40.70264219072194)"
"Athletic Field / Court - Hours (1500)","B","314","40","B068",,"XX-008","Wrought Iron / Steep Picket Fence",,"B073-ZN28","B-14","70","Parkside Ave., Caton Ave., bet. Parade Pl. and Coney Island Ave.","Parade Ground","Spanish","1500","1500-008","Installed","Consolidated Rules Sign","East Parade Grounds","30930","Russian","11226","POINT (-73.96837100728096 40.65089109442907)"
"Athletic Field / Court - Hours (1500)","R","501","49","R069",,"XX-005","Chain Link Fence - 2""",,,"R-01","120","Foote Ave., Howard Ave., Martha St., Clove Rd.","Terrace Playground","Spanish","1500","1500-005","Installed","Consolidated Rules Sign",,"49023","Chinese","10301","POINT (-74.09913974691688 40.613586379420646)"
"Trail With Hours / Exterior (3201)","X","228","13","X039-ZN13",,,"None / Free Standing","Hunter Island","X039-ZN14","X-15","45","Bruckner Blvd, Eastchester, Hutchinson","Pelham Bay Park",,"3201","3201","Installed","Consolidated Rules Sign","Hunter Island",,,"10464","POINT (-73.79146335613753 40.871786490842865)"
"Playground - Adults Allowed (2600)","B","306","39","B223B","6:00 a.m. to 9:00 p.m.","XX-001","Wrought Iron / Steep Picket Fence",,,"B-06","76","Hicks St. bet. Woodhull St. and Rapelye St.","Dimattina Playground","Spanish","2600","2600-001","Installed","Consolidated Rules Sign",,"30494","French","11231","POINT (-74.00201306472964 40.68041689981381)"
"Map","M","164","6","M010",,,"None / Free Standing",,"M010-ZN45","M-13","22","5 Av To Central Park W, 59 St To 110 St","Central Park",,,,"Surveyed","Wayfinding Sign","Blockhouse One","48858",,"83","POINT (-73.95510132658414 40.798818124708895)"
"Playground - Children Only (2601)","Q","481","24","Q099","6:00 a.m. to 9:00 p.m.",,"None / Free Standing",,"Q099-ZN21","Q-15","110","Grand Central Pkwy, Van Wyck Exwy","Flushing Meadows Corona Park",,"2601","2601","Installed","Consolidated Rules Sign","Meadow Lake NW","28836",,"11367","POINT (-73.84343004654762 40.73493315666834)"
"Park without Dog Run; No Off-Leash (2401)","X","207","15","X005",,"XX-004","None / Free Standing",,,"X-07","52","E. Kingsbridge Rd. at E. Fordham Rd.","Bryan Park","Spanish","2401","2401-004","Installed","Consolidated Rules Sign",,,"Bengali","10458","POINT (-73.89418412380448 40.86221433429563)"
"Playground - Adults Allowed (2600)","B","308","36","B012",,"XX-007","Wrought Iron / Steep Picket Fence",,"B012-03","B-08","77","St. Mark's Ave., Park Pl. bet. Brooklyn Ave. and Kingston Ave.","Brower Park","Spanish","2600","2600-007","Installed","Consolidated Rules Sign","Brower Park",,"French Creole","11213","POINT (-73.94329941957133 40.67407581634303)"
"Athletic Field - Synthetic Turf","R","501","49","R025",,"XX-005","Chain Link Fence - 2""",,,"R-01","120","Beechwood Ave., Crescent Ave. and Jersey St.","Mahoney Playground","Spanish",,,"Installed","Consolidated Rules Sign",,"32146","Chinese","10301","POINT (-74.08525200429521 40.64336739205652)"
,"Q","407","19","Q458",,"XX-005",,"Disc Golf Course","Q458-ZN01","Q-07A","109","Cross Island Pkwy. bet. Totten Ave. and 15 Rd.","Fort Totten Park","Spanish",,,,"Other Sign","Fort Totten Park Zone 1",,"Chinese","11359","POINT (-73.77824361107552 40.79502663791685)"
"Playground - Adults Allowed (2600)","X","204","16","X115","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-001",,,,"X-04","44","Morris Av bet. Mc Clellan St and E 166 St","Mott Playground","Spanish","2600","2600-001","Installed","Consolidated Rules Sign",,"33985","French","10456","POINT (-73.91509031174776 40.83130210004183)"
"Map","B","314","40","B068",,"XX-008","Chain Link Fence - 2""",,"B073-ZN27","B-14","70","Parkside Ave., Caton Ave., bet. Parade Pl. and Coney Island Ave.","Parade Ground","Spanish",,,"Installed","Wayfinding Sign","West Parade Grounds","30936","Russian","11226","POINT (-73.97129897633032 40.65109871448756)"
"Athletic Field / Court - No Hours (1501)","R","501","49","R005",,"XX-005","Chain Link Fence - 2""",,"R005-ZN01","R-01","120","Forest Ave., Victory Blvd., bet. Clove Rd. and Brookside Ave., Royal Oak Rd.","Clove Lakes Park","Spanish","1501","1501-005","Installed","Consolidated Rules Sign","Clove Lakes Park Zone 1",,"Chinese","10301","POINT (-74.10554285799941 40.6162706186829)"
"Comfort Station  – M (1800)","B","305","42","B214",,"XX-008","Wall",,"B214-01","B-05","75","Vermont St. bet. Linden Blvd. and Stanley Ave.","Linden Park","Spanish","1800","1800-008","Installed","Consolidated Rules Sign","Linden Park","30115","Russian","11207","POINT (-73.88747493831823 40.65826537097196)"
"Park with Dog Run; No Off Leash (2403)","M","107","6","M071",,"XX-005","Chain Link Fence - 2""",,"M071-ZN10","M-14","24","Riverside Dr. to Hudson River, W. 72 St.to St Clair Pl.","Riverside Park","Spanish","2403","2403-005","Installed","Consolidated Rules Sign","Riverside Dr. Pedestrian Zone B",,"Chinese","10025","POINT (-73.9732635301601 40.798518143330476)"
"Playground - Adults Allowed (2600)","M","107","6","M063","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-005","Wrought Iron / Steep Picket Fence",,,"M-07","20","W. 59 St., W. 60 St., bet. Amsterdam Ave. and W. End Ave.","Gertrude Ederle Recreation Center","Spanish","2600","2600-005","Installed","Consolidated Rules Sign",,,"Chinese","10023","POINT (-73.98835839476644 40.77147182488575)"
"Playground - Adults Allowed (2600)","B","305","37","B283","6:00 a.m. to 9:00 p.m.","XX-008","Wrought Iron / Steep Picket Fence",,,"B-05","75","Belmont Ave. between Forbell St. and Drew St.","Belmont Playground","Spanish","2600","2600-008","Installed","Consolidated Rules Sign",,"29352","Russian","11208","POINT (-73.86296142224353 40.67533904001625)"
"Playground - Children Only (2601)","X","204","16","X034","7:00 a.m. to 6:00 p.m. (Nov1 – March 1), 7:00 a.m. to 9:00 p.m. (March 2 – Oct 31)","XX-001","Wrought Iron / Steep Picket Fence","McClellan Playground","X034-ZN02","X-04","44","Jerome Av to River Av bet. E 164 St and McClellan St at Cromwell Ave","Rev. T. Wendell Foster Park and Recreation Center","Spanish","2601","2601-001","Installed","Consolidated Rules Sign","Mullaly Park Zone 2","32896","French","10452","POINT (-73.92314550401137 40.834048416970326)"
"Combo: Playground / Court (2602)","Q","408","24","Q391",,"XX-005","Wrought Iron / Steep Picket Fence",,,"Q-08","107","164 Pl. bet. Grand Central Pkwy. Sr. Rd. S. and 84 Ave.","Joseph Austin Playground","Spanish","2602","2602-005","Installed","Consolidated Rules Sign",,"27965","Chinese","11432","POINT (-73.80159749206862 40.715668757333425)"
"Comfort Station – W + Accessible (1804)","Q","407","19","Q445",,"XX-005","Wall",,"Q445-01","Q-07","109","14 Rd. bet. 132 St. and 138 St.","Frank Golden Park","Spanish","1804","1804-005","Installed","Consolidated Rules Sign","136 St Playground",,"Chinese","11356","POINT (-73.83282186276935 40.78493339165272)"
