"the_geom","oftcode","boroughcod","onstreetna","fromstreet","tostreetna"
"POINT (-73.99677888879727 40.6305468722665)","306380309430000000","B","13 AVENUE","57 STREET",
"POINT (-74.01134865110426 40.714908658716965)","121790127050000000","M","GREENWICH STREET","MURRAY STREET",
"POINT (-73.92910623217132 40.63979510576495)","386630341730000000","B","UTICA AVENUE","FOSTER AVENUE",
"POINT (-73.93841952642154 40.84290159230794)","131190137190000000","M","ST NICHOLAS AVENUE","WEST  171 STREET",
"POINT (-73.98317416346211 40.750342208874024)","110410134510000000","M","5 AVENUE","WEST   37 STREET",
"POINT (-73.92623048443124 40.842099270316915)","239803274360000000","X","HIGH BRIDGE","WEST  170 STREET",
"POINT (-73.88507555759877 40.71216105533245)","414840455690000000","Q","70 STREET","METROPOLITAN AVENUE",
"POINT (-74.0030937409378 40.71395777828012)","116850130840000000","M","DUANE STREET","ST ANDREWS PLAZA",
"POINT (-74.12814797572443 40.57505653886551)","539721544900000000","S","NADINE STREET","RICHMOND ROAD",
"POINT (-74.01318764333153 40.704042717065924)","113610131610000000","M","BROADWAY","STONE STREET",
"POINT (-74.00529178802803 40.740023223499016)","123190134030000000","M","HUDSON STREET","WEST   13 STREET",
"POINT (-73.99360930786186 40.76218343546564)","134690111010000000","M","WEST 46 STREET","10 AVENUE","AMTRAK RR"
"POINT (-73.81537728848002 40.66642933536989)","421640457550000000","Q","125 STREET","NORTH CONDUIT AVENUE",
"POINT (-73.81943495399032 40.76513806823555)","457790423090000000","Q","NORTHERN BLVD","147 ST.",
"POINT (-73.99575172492645 40.72089344181128)","126790124190000000","M","MOTT STREET","KENMARE STREET",
"POINT (-74.0004349964327 40.72879460538805)","113310131990000000","M","BLEECKER STREET","SULLIVAN STREET",
"POINT (-74.01282671107717 40.70240862624732)","145340133490000000","M","WHITEHALL STREET","WATER STREET",
"POINT (-73.85585892120484 40.83589739442384)","266520270520000000","X","STARLING AVENUE","UNIONPORT ROAD",
"POINT (-73.93370481929082 40.85416907056847)","113610137490000000","M","BROADWAY","WEST  187 STREET",
"POINT (-73.7907959320156 40.70686978997076)","424540451090000000","Q","169 STREET","JAMAICA AVENUE",
"POINT (-73.99800821988927 40.745951301518105)","110810134250000000","M","8 AVENUE","WEST   24 STREET",
"POINT (-73.97257598372923 40.745067852812085)","110010117710000000","M","1 AVENUE","EAST   36 STREET",
"POINT (-73.98553726632602 40.75797328414867)","134670110610000000","M","WEST 45 STREET","7 AVENUE","6 AVENUE"
"POINT (-74.14502860501123 40.62512695002008)","510050553130000000","S","PORT RICHMOND AVENUE","VILLA AVENUE",
"POINT (-74.15033131604325 40.56891285886585)","529341540157000000","S","FRANKLIN LANE","NEWVALE AVENUE",
"POINT (-73.98439927395255 40.68756438677014)","381330320530000000","B","STATE STREET","BOND STREET",
"POINT (-74.07601310156878 40.637771693362204)","522550553000000000","S","CENTRAL AVENUE","VICTORY BOULEVARD",
"POINT (-73.84633066100534 40.669554461562164)","462890418090000000","Q","SOUTH CONDUIT AVENUE","89 STREET",
"POINT (-74.0012047583461 40.73384309185947)","115210133690000000","M","CHRISTOPHER STREET","WAVERLY PLACE",
"POINT (-73.9828520967519 40.71588431024904)","113810145390000000","M","BROOME STREET","WILLETT STREET",
"POINT (-73.90878633674127 40.713057626123714)","428190465162000000","Q","ANDREWS AVENUE","TONSOR STREET",
"POINT (-73.92345724862507 40.7643480592302)","407990408140000000","Q","31 AVENUE","31 STREET",
"POINT (-74.12776179373384 40.56694636652535)","515650556198000000","S","AMBOY ROAD","WOLVERINE STREET",
"POINT (-74.00766958578386 40.72519227928322)","116510123190000000","M","DOMINICK STREET","HUDSON STREET",
"POINT (-73.99919145257768 40.70847259877795)","130640198080000000","M","SOUTH STREET","FDR DRIVE EXIT SB",
"POINT (-73.98363145031114 40.73816524559405)","117430110210000000","M","EAST 22 STREET","3 AVENUE",
"POINT (-73.92704569130461 40.74413187360075)","409090457900000000","Q","38 STREET","NYCTA SUBWAY",
"POINT (-74.00095442249557 40.731706098309886)","110510133910000000","M","6 AVENUE","WEST    4 STREET",
"POINT (-73.8301395964453 40.75957044588423)","454580457900000000","Q","MAIN STREET","NYCTA SUBWAY",
"POINT (-73.93592812508547 40.84851921000651)","132790137330000000","M","WADSWORTH AVENUE","WEST  179 STREET",
"POINT (-73.82002928774757 40.70967914511867)","417130459990000000","Q","84 ROAD","QUEENS BOULEVARD",
"POINT (-73.90906438785107 40.8631547994838)","263820273620000000","X","SEDGWICK AVENUE","WEBB AVENUE",
"POINT (-74.18381091764637 40.595853107276234)","553000545085000000","S","VICTORY BOULEVARD","RIDGEWAY AVENUE",
"POINT (-74.00396898918194 40.74286300769875)","134110110910000000","M","WEST 17 STREET","9 AVENUE",
"POINT (-73.8846605440931 40.879749269314544)","242820252620000000","X","JEROME AVENUE","MOSHOLU PARKWAY",
"POINT (-74.09663154987992 40.58267248999015)","528220534100000000","S","FILBERT AVENUE","HYLAN BOULEVARD",
"POINT (-73.89418654777374 40.86300743648844)","220560229020000000","X","COLES LANE","EAST KINGSBRIDGE ROAD",
"POINT (-74.16786573325416 40.55188942735759)","544750549800000000","S","RICHMOND AVENUE","STAR COURT",
"POINT (-73.96811087102182 40.80234707611502)","135910144990000000","M","WEST  107 STREET","WEST END AVENUE",
"POINT (-73.79473052310117 40.71001246187795)","449690424490000000","Q","HILLSIDE AVENUE","168 STREET",
"POINT (-74.16740754661018 40.6238931012893)","515595548500000000","S","AMADOR STREET","SOUTH AVENUE",
"POINT (-73.97493499659791 40.737041261523025)","110620112310000000","M","FDR DRIVE SOUTHBOUND EXIT    7","AVENUE C",
"POINT (-73.93088703745435 40.81720217774504)","210645225980000000","X","MDE NB EXIT    4","EAST  144 STREET",
"POINT (-73.90499971528988 40.81805986625328)","252710269020000000","X","NYCTA SUBWAY","TINTON AVENUE",
"POINT (-73.98116542344843 40.784353823333866)","135350144990000000","M","WEST   79 STREET","WEST END AVENUE",
"POINT (-73.92623048443124 40.842099270316915)","239803270620000000","X","HIGH BRIDGE","UNIVERSITY AVENUE",
"POINT (-74.16478749021147 40.54380210944258)","544750570217000000","S","RICHMOND AVENUE","MOSELY AVENUE",
"POINT (-73.84173159422708 40.66658791156445)","410970412765000000","Q","BELT PARKWAY WB EXIT   17 S","S CONDUIT AVE EN CROSS BAY BLVD",
"POINT (-73.94354698072465 40.60934655509914)","343910367030000000","B","GERRITSEN AVENUE","NOSTRAND AVENUE",
"POINT (-73.83071326470198 40.71420824259142)","459990497522000000","Q","QUEENS BOULEVARD","GRND CNTRL PARKWAY ENTRANCE EB",
"POINT (-73.96035728962136 40.8179591211335)","129690136270000000","M","RIVERSIDE DRIVE","WEST  125 STREET",
"POINT (-73.98995019163749 40.71697197440228)","121690125090000000","M","GRAND STREET","LUDLOW STREET",
"POINT (-74.00565777129187 40.72643510715965)","132660132685000000","M","VANDAM STREET","VARICK STREET",
"POINT (-73.99542875868342 40.71727924313636)","122890113460000000","M","HESTER STREET","BOWERY",
"POINT (-74.00176797962725 40.73767492529378)","121740134010000000","M","GREENWICH AVENUE","WEST   12 STREET",
"POINT (-73.89094768739118 40.754973737116906)","415990457790000000","Q","76 STREET","NORTHERN BOULEVARD",
"POINT (-73.80444220340279 40.70213183566798)","423290451090000000","Q","150 STREET","JAMAICA AVENUE",
"POINT (-73.77076855341193 40.763193230009776)","435690454102000000","Q","BELL BOULEVARD","LONG ISLAND RAILROAD",
"POINT (-74.00998418639021 40.705147733060656)","112950145440000000","M","BEAVER STREET","WILLIAM STREET",
"POINT (-73.99328973413611 40.74223427994703)","110510134210000000","M","6 AVENUE","WEST   22 STREET",
"POINT (-74.14404396617482 40.61073814573317)","523970553000000000","S","COLLFIELD AVENUE","VICTORY BOULEVARD",
"POINT (-73.97981084452896 40.68664684506137)","305280375530000000","B","3 AVENUE","SCHERMERHORN STREET",
"POINT (-73.93195863858276 40.75197425805463)","409140450170000000","Q","39 AVENUE","HONEYWELL STREET",
"POINT (-74.09844000874115 40.58124170637742)","534100534595000000","S","HYLAN BOULEVARD","JEFFERSON AVENUE",
"POINT (-74.15508483308788 40.5819736708716)","544850570003000000","S","RICHMOND HILL ROAD","VENUS LANE",
"POINT (-73.9149549365143 40.81493646592712)","215720226130000000","X","BROOK AVENUE","EAST  149 STREET",
"POINT (-74.0082689573428 40.70772193569949)","124990145440000000","M","LIBERTY STREET","WILLIAM STREET",
"POINT (-73.93739653618168 40.74891643954173)","459990457790000000","Q","QUEENS BOULEVARD","NORTHERN BOULEVARD",
"POINT (-73.98459584278889 40.75417694199759)","110510134590000000","M","6 AVENUE","WEST   41 STREET",
"POINT (-74.13789126676032 40.627452880604494)","517410524580000000","S","BARRETT AVENUE","CORNELL STREET",
"POINT (-74.01012167509398 40.712084696537346)","132700115350000000","M","VESEY STREET","CHURCH STREET",
"POINT (-73.98177482760104 40.674601882014464)","305580343130000000","B","5 AVENUE","GARFIELD PLACE",
"POINT (-73.91545094017114 40.65570002164062)","338080326230000000","B","EAST 96 STREET","CHURCH AVENUE",
"POINT (-74.0047222589861 40.752023865857936)","111110134330000000","M","11 AVENUE","WEST   28 STREET",
"POINT (-73.96529307402557 40.759307837179755)","118130110110000000","M","EAST 57 STREET","2 AVENUE",
"POINT (-74.00109500513435 40.73656323900545)","110710133990000000","M","7 AVENUE SOUTH","WEST   11 STREET",
"POINT (-73.98425853672161 40.71520957869961)","121690128990000000","M","GRAND STREET","PITT STREET",
"POINT (-73.75602173559635 40.6663917154905)","411025457550000000","Q","BELT PARKWAY WESTBOUND EXIT   22","NORTH CONDUIT AVENUE",
"POINT (-73.97946083776398 40.76440201828558)","100039134890000000","M","6 1/2 AVENUE","WEST   56 STREET",
"POINT (-73.96735538354963 40.576347862620416)","317560322680000000","B","BEACH WALK","BRIGHTON BEACH AVENUE",
"POINT (-73.96139319637713 40.62517906501917)","314080335480000000","B","AVENUE J","EAST   15 STREET",
"POINT (-73.97346523415527 40.76365910394984)","118150134930000000","M","EAST   58 STREET","WEST   58 STREET",
"POINT (-73.98306556181713 40.60549703198981)","354050390980000000","B","KINGS HIGHWAY","WEST   10 STREET",
"POINT (-74.03014945041245 40.62569094610075)","305280310730000000","B","3 AVENUE","83 STREET",
"POINT (-73.95915001048712 40.65214455698206)","340930356230000000","B","FLATBUSH AVENUE","LINDEN BOULEVARD",
"POINT (-74.00089111259393 40.71301509897127)","127890128490000000","M","PARK ROW","PEARL STREET",
"POINT (-73.8727554650585 40.83002788139231)","250720276950000000","X","METCALF AVENUE","WESTCHESTER AVENUE",
"POINT (-73.95839907643833 40.77564206100852)","124890118590000000","M","LEXINGTON AVENUE","EAST 80 STREET",
"POINT (-74.00693633859068 40.71912665525285)","132685144890000000","M","VARICK STREET","WEST BROADWAY",
"POINT (-74.01699521582282 40.70580004427572)","110015145190000000","M","1 PLACE","WEST STREET",
"POINT (-73.93538014730566 40.62121557003848)","340930341030000000","B","FLATBUSH AVENUE","FLATLANDS AVENUE",
"POINT (-74.18381091764637 40.595853107276234)","545085553000000000","S","RIDGEWAY AVENUE","VICTORY BOULEVARD",
"POINT (-73.98884253861897 40.75853349829318)","110810134650000000","M","8 AVENUE","WEST   44 STREET",
"POINT (-73.89730928533777 40.74053915477201)","414190454102000000","Q","67 STREET","LONG ISLAND RAILROAD",
"POINT (-73.8916149909399 40.8209852396259)","226550241620000000","X","EAST  163 STREET","HUNTS POINT AVENUE",
"POINT (-73.99094521569967 40.73967337617495)","134170110410000000","M","WEST 20 STREET","5 AVENUE",
"POINT (-74.13555427475394 40.6348001966412)","522605544750000000","S","CHARLES AVENUE","RICHMOND AVENUE",
"POINT (-74.077043615204 40.641963406522926)","522550533990000000","S","CENTRAL AVENUE","HYATT STREET",
"POINT (-74.01793123031194 40.637780983139415)","305580309730000000","B","5 AVENUE","63 STREET",
"POINT (-73.96292448634901 40.75830898861187)","110010118130000000","M","1 AVENUE","EAST   57 STREET",
"POINT (-73.93903498327289 40.805056456394105)","119450125985000000","M","EAST  125 STREET","METRO-NORTH RR",
"POINT (-73.85144447166012 40.83795163920767)","235920266320000000","X","GLOVER STREET","ST RAYMOND AVENUE",
"POINT (-73.95398370228085 40.77882210971553)","118710110210000000","M","EAST 86 STREET","3 AVENUE",
"POINT (-74.01020044573458 40.707693981966315)","127100128870000000","M","NASSAU STREET","PINE STREET",
"POINT (-73.95654650822576 40.77818010095709)","118670124890000000","M","EAST   84 STREET","LEXINGTON AVENUE",
"POINT (-74.00745861019193 40.70721929868093)","124990125630000000","M","LIBERTY STREET","MAIDEN LANE",
"POINT (-73.84393500048557 40.8405422614132)","212720269520000000","X","BENSON STREET","TRATMAN AVENUE",
"POINT (-73.92004556663724 40.80790679760291)","225800215820000000","X","EAST 138 STREET","BROWN PLACE",
"POINT (-74.14893620763965 40.60975083631905)","539733553000000000","S","NEPTUNE PLACE","VICTORY BOULEVARD",
"POINT (-73.95653563474153 40.71894115219909)","318630366530000000","B","BEDFORD AVENUE","NORTH    9 STREET",
"POINT (-73.86107192541782 40.67401981427741)","373930379020000000","Q","RUBY STREET","SOUTH CONDUIT AVENUE",
"POINT (-73.80022185255517 40.708445801304656)","449690424140000000","Q","HILLSIDE AVENUE","162 STREET",
"POINT (-73.93814050838344 40.74942738624681)","436940436941000000","Q","QUEENS PLAZA NORTH","QUEENS PLAZA SOUTH",
"POINT (-73.92786501461956 40.62816689912666)","314080386630000000","B","AVENUE J","UTICA AVENUE",
"POINT (-73.9645312054682 40.767234367186035)","118330124890000000","M","EAST   67 STREET","LEXINGTON AVENUE",
"POINT (-74.00748240699482 40.74094190750263)","133390134030000000","M","WASHINGTON STREET","WEST   13 STREET",
"POINT (-73.99861225623046 40.73221543037649)","125190133090000000","M","MAC DOUGAL STREET","WASHINGTON SQUARE NORTH",
"POINT (-73.87766946511634 40.73675259979183)","437290447290000000","Q","BROADWAY","GRAND AVENUE",
"POINT (-73.97212474197073 40.74568133798082)","110010117730000000","M","1 AVENUE","EAST   37 STREET",
"POINT (-73.95889591130548 40.774960162535926)","118570124890000000","M","EAST   79 STREET","LEXINGTON AVENUE",
"POINT (-73.90868289211564 40.69984056100167)","456490463790000000","Q","MYRTLE AVENUE","ST NICHOLAS AVENUE",
"POINT (-74.14696864223993 40.610151354972785)","555480553000000000","S","WILLOWBROOK ROAD","VICTORY BOULEVARD",
"POINT (-73.99311953595031 40.736691045835464)","110410134070000000","M","5 AVENUE","WEST   15 STREET",
"POINT (-74.14020265290384 40.55491517256553)","528136548874000000","S","FAWN LANE","OLD AMBOY ROAD",
"POINT (-73.94120864357647 40.67993835325526)","342730354070000000","B","FULTON STREET","KINGSTON AVENUE",
"POINT (-73.7571242846869 40.762234522293376)","457790497065000000","Q","NORTHERN BOULEVARD","X ISLE PARKWAY EXIT SB",
"POINT (-73.97271109995914 40.76955781048249)","125665197080000000","M","THE MALL","CENTRAL PK-CENTER DRIVE",
"POINT (-74.13766956506193 40.63226273691444)","523765544750000000","S","CLINTON PLACE","RICHMOND AVENUE",
"POINT (-73.99591437457883 40.732847180811675)","117170133950000000","M","EAST    9 STREET","WEST    9 STREET",
"POINT (-73.82224807022395 40.71066568237783)","459990465617000000","Q","QUEENS BOULEVARD","UNNAMED STREET",
"POINT (-73.90986668104789 40.862310068668975)","245240273620000000","X","LANDING ROAD","WEBB AVENUE",
"POINT (-73.85870245608164 40.84700070060197)","233420252220000000","X","FOWLER AVENUE","MORRIS PARK AVENUE",
"POINT (-73.99712269669037 40.72230075549948)","130790115450000000","M","SPRING STREET","CLEVELAND PLACE",
"POINT (-73.91026970999987 40.87427181458596)","274890274891000000","X","WEST  225 STREET","WEST  225 ST BRIDGE",
"POINT (-73.89996575680584 40.86801730239298)","209020276550000000","X","AQUEDUCT AVENUE","WEST KINGSBRIDGE ROAD",
"POINT (-74.0080998190447 40.71199440385633)","112520113610000000","M","BARCLAY STREET","BROADWAY",
"POINT (-73.92087957632206 40.70024734787511)","354100381030000000","B","KNICKERBOCKER AVENUE","STANHOPE STREET",
"POINT (-73.97028165543682 40.76802503240718)","110410118290000000","M","5 AVENUE","EAST   65 STREET",
"POINT (-73.96681337365374 40.76410529065776)","124890118230000000","M","LEXINGTON AVENUE","EAST 62 STREET",
"POINT (-73.93131375653346 40.85932734950763)","127090113110000000","M","NAGLE AVENUE","BENNETT AVENUE",
"POINT (-73.81756248153818 40.66561653820549)","457550421540000000","Q","NORTH CONDUIT AVENUE","123 STREET",
"POINT (-74.07584750580038 40.63593558918329)","517450531560000000","S","BAY STREET","HANNAH STREET",
"POINT (-74.09987733831913 40.61291865241369)","523900538420000000","S","CLOVE ROAD","MARTHA STREET",
"POINT (-73.9476561926328 40.650899293391824)","326230373100000000","B","CHURCH AVENUE","RALEIGH PLACE",
"POINT (-73.92441748564913 40.75240430204618)","409290464290000000","Q","39 STREET","STEINWAY STREET",
"POINT (-73.9657842119458 40.64837552548854)","326230335480000000","B","CHURCH AVENUE","EAST   15 STREET",
"POINT (-74.0019713533327 40.73506987927864)","110710114810000000","M","7 AVENUE SOUTH","CHARLES STREET",
"POINT (-74.01010306489498 40.735307835411575)","133990145190000000","M","WEST   11 STREET","WEST STREET",
"POINT (-73.85279865534288 40.71077106346884)","414810455690000000","Q","70 ROAD","METROPOLITAN AVENUE",
"POINT (-73.93491257185671 40.79668064971085)","110010119290000000","M","1 AVENUE","EAST  117 STREET",
"POINT (-74.01069289372644 40.717469961569286)","116850121790000000","M","DUANE STREET","GREENWICH STREET",
"POINT (-74.00933022043078 40.71869148674842)","122490131540000000","M","HARRISON STREET","STAPLE STREET",
"POINT (-74.01439176843387 40.70359878175554)","113550131590000000","M","BRIDGE STREET","STATE STREET",
"POINT (-73.84222689411273 40.66858100502154)","440890462900000000","Q","CROSS BAY BOULEVARD","SOUTH CONDUIT ENTRANCE EB",
"POINT (-73.8720197299874 40.730791836856696)","412440412640000000","Q","60 AVENUE","60 ROAD",
"POINT (-73.86814994364909 40.831360385186066)","220920252710000000","X","COMMONWEALTH AVENUE","NYCTA SUBWAY",
"POINT (-73.93487210852416 40.67959308775298)","355530386030000000","B","LEWIS AVENUE","TROY AVENUE",
"POINT (-73.7329654144106 40.665356137820616)","422620462890000000","Q","139 AVENUE","SOUTH CONDUIT AVENUE",
"POINT (-73.99430627864672 40.762474713138374)","111720134690000000","M","AMTRAK RR","WEST   46 STREET",
"POINT (-73.84158849147897 40.71889067726866)","415290428990000000","Q","72 ROAD","AUSTIN STREET",
"POINT (-74.1585696672972 40.626312815748264)","529150532440000000","S","FOREST AVENUE","HEANEY AVENUE",
"POINT (-74.00601167562958 40.70866784653997)","119980121350000000","M","EDENS ALLEY","GOLD STREET",
"POINT (-73.93739653618168 40.74891643954173)","459990450990000000","Q","QUEENS BOULEVARD","JACKSON AVENUE",
"POINT (-73.9021169343471 40.74573085823104)","412940461090000000","Q","62 STREET","ROOSEVELT AVENUE",
"POINT (-73.97628766920627 40.74824542122936)","117750110210000000","M","EAST   38 STREET","3 AVENUE","QNS MDTWN TUNNEL EXIT"
"POINT (-73.97849845590527 40.7367909564628)","110010117450000000","M","1 AVENUE","EAST   23 STREET",
"POINT (-73.98092383597515 40.7142646551715)","123532121690000000","M","JACKSON STREET","GRAND STREET",
"POINT (-73.86776944954083 40.852413443408615)","214420277150000000","X","BRADY AVENUE","WHITE PLAINS ROAD",
"POINT (-73.91975401187722 40.868114378935594)","113610137700000000","M","BROADWAY","WEST  211 STREET",
"POINT (-74.01318764333153 40.704042717065924)","131610113610000000","M","STONE STREET","BROADWAY",
"POINT (-73.78535272167598 40.712283616419114)","424970449690000000","Q","178 STREET","HILLSIDE AVENUE",
"POINT (-74.1421907732049 40.624714048844666)","529150543585000000","S","FOREST AVENUE","PONTIAC STREET",
"POINT (-73.95790430845929 40.70842717314447)","323230358730000000","B","BROADWAY","MARCY AVENUE",
"POINT (-74.00805105412124 40.61052395248585)","310880316130000000","B","86 STREET","BAY   11 STREET",
"POINT (-73.86979403581357 40.67831065258771)","348430355830000000","B","HEMLOCK STREET","LIBERTY AVENUE",
"POINT (-73.95701966910434 40.76077664431682)","118250120490000000","M","EAST   63 STREET","F D R DRIVE",
"POINT (-74.12711509896361 40.57917920006297)","527370545224000000","S","ELEANOR STREET","ROCKLAND AVENUE",
"POINT (-73.82594390389329 40.74530311708195)","412040454580000000","Q","58 AVENUE","MAIN STREET",
"POINT (-74.1010523554383 40.579169015349734)","534100531390000000","S","HYLAN BOULEVARD","HAMDEN AVENUE",
"POINT (-73.9173057058276 40.66870857675097)","370930375130000000","B","PITKIN AVENUE","SARATOGA AVENUE",
"POINT (-73.84227237925855 40.66873604637358)","440890463030000000","Q","CROSS BAY BOULEVARD","SOUTHERN PARKWAY ENTRANCE WB",
"POINT (-74.0014999207034 40.75645236837968)","111110134470000000","M","11 AVENUE","WEST   35 STREET",
"POINT (-74.1319538356012 40.573742530503594)","544900515505000000","S","RICHMOND ROAD","ALTOONA AVENUE",
"POINT (-74.103682707989 40.63080594885335)","529150539120000000","S","FOREST AVENUE","METROPOLITAN AVENUE",
"POINT (-73.81252819570142 40.66634865190253)","421790462890000000","Q","128 STREET","SOUTH CONDUIT AVENUE",
"POINT (-73.88805578280729 40.738792344432625)","452415454102000000","Q","KNEELAND STREET","LONG ISLAND RAILROAD",
"POINT (-74.01567909473587 40.70768289225719)","145190145210000000","M","WEST STREET","WEST THAMES STREET",
"POINT (-73.94625107754523 40.703208746964336)","323230389030000000","B","BROADWAY","WALLABOUT STREET",
"POINT (-74.00109500513435 40.73656323900545)","110710110610000000","M","7 AVENUE SOUTH","7 AVENUE",
"POINT (-74.01793061140424 40.70617486541172)","112670110015000000","M","BATTERY PLACE","1 PLACE","west st."
"POINT (-73.90528570034833 40.81792898645041)","226340276950000000","X","EAST  156 STREET","WESTCHESTER AVENUE",
"POINT (-74.00858371862104 40.71995193437133)","123190127290000000","M","HUDSON STREET","NORTH MOORE STREET",
"POINT (-73.70208506411724 40.75225407080665)","449360452840000000","Q","HEWLETT STREET","LANGDALE STREET",
"POINT (-73.88815673804301 40.7552658138743)","457790416490000000","Q","NORTHERN BOULEVARD","79 STREET",
"POINT (-73.99872819469992 40.676488708366385)","329830364130000000","B","COURT STREET","NELSON STREET",
"POINT (-73.92885608799838 40.63745680783342)","340230386630000000","B","FARRAGUT ROAD","UTICA AVENUE",
"POINT (-73.98734787475532 40.69145766769333)","342730377730000000","B","FULTON STREET","SMITH STREET",
"POINT (-73.85497294783276 40.83521058372471)","255720270520000000","X","OLMSTEAD AVENUE","UNIONPORT ROAD",
"POINT (-73.86157007481125 40.83654991040758)","223800273970000000","X","DEAD END","WEST AVENUE",
"POINT (-73.88011211224827 40.82851166580283)","276950277050000000","X","WESTCHESTER AVENUE","WHEELER AVENUE",
"POINT (-73.86650969021203 40.69142123080796)","415790451090000000","Q","75 STREET","JAMAICA AVENUE",
"POINT (-73.96429790392352 40.76468198689011)","110210118270000000","M","3 AVENUE","EAST   64 STREET",
"POINT (-73.94592558133408 40.832806489268265)","100211136870000000","M","WEST  155 STREET PEDESTRIAN UNP","WEST  155 STREET",
"POINT (-73.9309455445752 40.81721410116052)","200044225980000000","X","EXTERIOR STREET","EAST  144 STREET",
"POINT (-73.93329560843517 40.651605494334845)","326230375430000000","B","CHURCH AVENUE","SCHENECTADY AVENUE",
"POINT (-73.98639326575166 40.745921194517905)","117590110410000000","M","EAST 30 STREET","5 AVENUE",
"POINT (-73.90229297958454 40.86271759790415)","223520276650000000","X","DAVIDSON AVENUE","WEST FORDHAM ROAD",
"POINT (-73.83260881591089 40.76016832234239)","408990459590000000","Q","38 AVENUE","PRINCE STREET",
"POINT (-74.07523840204101 40.64212058962588)","545050548510000000","S","RICHMOND TERRACE","SOUTH STREET",
"POINT (-73.96646156664804 40.77818668929433)","197560198020000000","M","TRANSVERSE ROAD TWO","C P EAST DRIVE",
"POINT (-73.99415315289791 40.72272255957261)","120190129290000000","M","ELIZABETH STREET","PRINCE STREET",
"POINT (-73.99729876511117 40.757107040686236)","134530111010000000","M","WEST 38 STREET","10 AVENUE",
"POINT (-73.80128694770454 40.666741746171304)","410770457550000000","Q","VAN WYCK EXPRESSWAY NB ET    1 W","NORTH CONDUIT AVENUE",
"POINT (-74.16725863278901 40.549166666408915)","538995544750000000","S","MEMPHIS AVENUE","RICHMOND AVENUE",
"POINT (-73.8331728799695 40.76233405634958)","408690459590000000","Q","36 AVENUE","PRINCE STREET",
"POINT (-73.94002474412108 40.651276089732896)","326230336630000000","B","CHURCH AVENUE","EAST   40 STREET",
"POINT (-74.00611672365227 40.72374573036692)","133590132685000000","M","WATTS STREET","VARICK STREET",
"POINT (-73.99155207503021 40.727094336598476)","113460116000000000","M","BOWERY","COOPER SQUARE",
"POINT (-74.12405836187584 40.5758328717999)","544900550385000000","S","RICHMOND ROAD","SUMMIT AVENUE",
"POINT (-73.95836533246697 40.768797733358056)","118430110110000000","M","EAST 72 STREET","2 AVENUE",
"POINT (-73.98660321952264 40.72577807770773)","117090110010000000","M","EAST 5 STREET","1 AVENUE",
"POINT (-73.99532045390966 40.60282835298047)","310880316680000000","B","86 STREET","BAY   28 STREET",
"POINT (-73.79639418060341 40.70953157961848)","424340455590000000","Q","166 STREET","MERRICK BOULEVARD",
