"system","fountainty","position","painted","gispropnum","propertyna","parentid","borough","fountainco","department","decription","featuresta","the_geom"
"Q396-DF0687","D","Near Ballfield","No","Q396","Montbellier Park","Q396","Q","1","Q-12","D, Near Ballfield","Active","POINT (-73.75655682607899 40.67435833467641)"
"X166-DF0281","D","Under Tree, Just Outside Playground","Yes","X166","Behagen Playground","X166","X","1","X-03","D, Under Tree, Just Outside Playground","Active","POINT (-73.90108797647314 40.82545794642495)"
"M015-DF0443","E High Low","Under Tree, Near Ballfield","Yes","M015","Columbus Park","M015","M","2","M-01","E High Low, Under Tree, Near Ballfield","Active","POINT (-73.99977558707533 40.71562074706411)"
"M104-DF0163","Pedestal","Out in Open, Near Ballfield","No","M104","Randall's Island Park","M104-ZN02","M","1","M-11R","Pedestal, Out in Open, Near Ballfield","Active","POINT (-73.91740483754337 40.793594154451135)"
"M378-DF0335","E High Low","Out in Open","Yes","M378","Pearl St Playground","M378","M","2","M-01","E High Low, Out in Open","Active","POINT (-74.00381707995984 40.70789502973597)"
"B335-DF0392","A","Out in Open, Just Outside Playground","Yes","B335","Bildersee Playground","B335","B","1","B-18","A, Out in Open, Just Outside Playground","Active","POINT (-73.91164363705983 40.63579522143272)"
"B255H-DF0536","D","In Playground","Yes","B255H","Thomas J. Cuite Park","B255H","B","1","B-07","D, In Playground","Active","POINT (-73.97876148116036 40.65425923008957)"
"M170-DF0301","E and Dog","Out in Open","Yes","M170","Petrosino Square","M170","M","2","M-02","E and Dog, Out in Open","Active","POINT (-73.99744670872579 40.721641033685245)"
"M004-DF0450","F and Dog","Out in Open","Yes","M004","Allen Mall One","M004","M","2","M-03","F and Dog, Out in Open","Active","POINT (-73.99212450229516 40.711044698470424)"
"B073-DF1049","Indoor Drinking Fountain","Indoor",,"B073","Prospect Park","B073-ZN03","B","1","B-19","Indoor Drinking Fountain, Indoor","Active","POINT (-73.97370645920105 40.666899529466434)"
"X131-DF0458","C","Out in Open","No","X131","Lozada Playground","X131","X","1","X-01","C, Out in Open","Active","POINT (-73.92514584346887 40.80773506695783)"
"B221-DF0234","C","Out in Open, Under Tree","No","B221","Steuben Playground","B221","B","1","B-02","C, Out in Open, Under Tree","Active","POINT (-73.96353104551014 40.69754126966586)"
"Q351-DF0474","A","Out in Open","No","Q351","Peters Field","Q351","Q","1","Q-12","A, Out in Open","Active","POINT (-73.77520379626958 40.70569044384606)"
"B245-DF0477","E","Under Tree","No","B245","St. John's Park","B245","B","1","B-08","E, Under Tree","Active","POINT (-73.93451437641289 40.67438335905425)"
"B210W-DF1085","Indoor Drinking Fountain","Indoor",,"B210W","John J Carty Park","B210W","B","1","B-10","Indoor Drinking Fountain, Indoor","Active","POINT (-74.03165175048707 40.61182053272551)"
"X062-DF0296","C","Under Tree, In Shade","No","X062","Beatty Plaza","X062","X","1","X-03","C, Under Tree, In Shade","Active","POINT (-73.90185665253958 40.8315715856719)"
"B126-DF0055","A","Out in Open","No","B126","Red Hook Recreation Area","B126-ZN03","B","1","B-06","A, Out in Open","Active","POINT (-74.00603792901745 40.672430374641415)"
"M192-DF0890","CS Concrete",,,"M192","Stanley Isaacs Playground","M192","M","1","M-08","CS Concrete,","Active","POINT (-73.94459176301625 40.782933069086056)"
"M260-DF1020","Indoor Drinking Fountain","Indoor",,"M260","Chelsea Recreation Center","M260","M","1","M-04","Indoor Drinking Fountain, Indoor","Active","POINT (-74.00221961415943 40.748296323917934)"
"M010-DF0902","B",,,"M010","Central Park","M010-ZN12&13","M","1","M-13","B,","Active","POINT (-73.97160947555898 40.77353774758838)"
"B028-DF0657","A","In Playground","No","B028","Dyker Beach Park","B028-ZN01","B","1","B-10","A, In Playground","Active","POINT (-74.0169051794584 40.60712440873206)"
"B300-DF0223","E","In Playground, Out in Open","Yes","B300","Oracle Playground","B300","B","1","B-02","E, In Playground, Out in Open","Active","POINT (-73.97178646303001 40.69377764652361)"
"Q348-DF0541","C","Out in Open, In Playground","No","Q348","Willow Lake Playground","Q348","Q","1","Q-06","C, Out in Open, In Playground","Active","POINT (-73.83708189516916 40.72258242573028)"
"Q129-DF0578","A","Out in Open","No","Q129","Phil ""Scooter"" Rizzuto Park","Q129","Q","1","Q-09","A, Out in Open","Active","POINT (-73.82116619909428 40.69473655255573)"
"X190-DF0341","C","In Playground","Yes","X190","Tiffany Playground","X190","X","1","X-02","C, In Playground","Active","POINT (-73.89425199701294 40.82466855938719)"
"Q011-DF0651","J","In Playground","No","Q011","Poppenhusen Playground","Q011","Q","1","Q-07","J, In Playground","Active","POINT (-73.84470512856765 40.781479824167555)"
"X038-DF0410","A","Out in Open","Yes","X038","Washington's Walk","X038-02","X","1","X-08","A, Out in Open","Active","POINT (-73.90079330467755 40.87424701002285)"
"M047-DF0957","Indoor Drinking Fountain","Indoor",,"M047","Thomas Jefferson Park","M047","M","1","M-11","Indoor Drinking Fountain, Indoor","Active","POINT (-73.93678012062354 40.79364205378934)"
"B073-DF0855","B","Out in Open, Near Ballfield","No","B073","Prospect Park","B073-ZN15","B","1","B-19","B, Out in Open, Near Ballfield","Active","POINT (-73.97435315786512 40.66250099053556)"
"Q121-DF0954","Indoor Drinking Fountain","Indoor",,"Q121","Detective Keith L Williams Park","Q121","Q","1","Q-12","Indoor Drinking Fountain, Indoor","Active","POINT (-73.78425397151892 40.701723900314754)"
"R028-DF0065","E and Dog","Out in Open","Yes","R028","Tappen Park","R028","R","2","R-01","E and Dog, Out in Open","Active","POINT (-74.07663255666581 40.626797831014834)"
"R063-DF0096","A","Near Ballfield","Yes","R063","Old Town Playground","R063","R","1","R-02","A, Near Ballfield","Active","POINT (-74.08100294088318 40.59508439271986)"
"Q127-DF0299","C","Under Tree","No","Q127","Marconi Park","Q127","Q","1","Q-12","C, Under Tree","Active","POINT (-73.79523802746961 40.6940590825213)"
"R046-DF0084","B","In Playground","No","R046","Franklin D. Roosevelt Boardwalk and Beach","R046-05","R","1","R-02B","B, In Playground","Active","POINT (-74.06749172202318 40.58908966003022)"
"M047-DF0408","B","Near Ballfield","No","M047","Thomas Jefferson Park","M047","M","1","M-11","B, Near Ballfield","Active","POINT (-73.93516843177392 40.79259701030839)"
"B057-DF0875","A","Near Ballfield","No","B057","Marine Park","B057-ZN07","B","1","B-18","A, Near Ballfield","Active","POINT (-73.92538193790725 40.59385551178012)"
"B247-DF0433","D","Out in Open, In Playground","Yes","B247","Breukelen Ballfields","B247-01","B","1","B-18","D, Out in Open, In Playground","Active","POINT (-73.89399772521213 40.65368276592804)"
"MT03-DF1031","Bottle Filler Fountain","Indoor",,"MT03","Arsenal West","MT03","M","2","M-07","Bottle Filler Fountain, Indoor","Active","POINT (-73.98292048373084 40.76978354768879)"
"B349-DF0075","D","Out in Open","Yes","B349","Bath Playground","B349","B","1","B-11","D, Out in Open","Active","POINT (-73.99299607150836 40.595401272190564)"
"B304-DF0898","C","In Playground",,"B304","Kennedy King Playground","B304","B","1","B-17","C, In Playground","Active","POINT (-73.92203193498334 40.65853260724334)"
"Q099-DF0216","A","Under Tree","No","Q099","Flushing Meadows Corona Park","Q099-ZN13","Q","1","Q-15","A, Under Tree","Active","POINT (-73.84526447410919 40.747414309898765)"
"X194-DF0301","A","Under Tree, Out in Open, In Playground","Yes","X194","Captain Rivera Playground","X194","X","1","X-01","A, Under Tree, Out in Open, In Playground","Active","POINT (-73.90696745333322 40.81816331962931)"
"B397-DF0100","C","Out in Open","Yes","B397","Carter G. Woodson Children's Park","B397","B","1","B-16","C, Out in Open","Active","POINT (-73.90595383404712 40.668294330984686)"
"B047-DF0371","A","In Playground","Yes","Q020","Highland Park","Q020-01","Q","1","Q-05A","A, In Playground","Active","POINT (-73.88555153813493 40.68407732591543)"
"M132-DF0290","A","Under Tree, Just Outside Playground, Near Ballfield","No","M132","Little Flower Playground","M132","M","1","M-03","A, Under Tree, Just Outside Playground, Near Ballfield","Active","POINT (-73.98857835651701 40.71219481271369)"
"Q305-DF0551","A","In Playground","No","Q305","Mafera Park","Q305","Q","1","Q-05","A, In Playground","Active","POINT (-73.89095839424118 40.70639335790304)"
"B073-DF1125","E","Indoor",,"B073","Prospect Park","B073","B","1","B-19","E, Indoor","Active","POINT (-73.96400217972061 40.65728362272027)"
"B210W-DF0704","A","In Playground","No","B210W","John J Carty Park","B210W","B","1","B-10","A, In Playground","Active","POINT (-74.03015410824793 40.612995437455574)"
"X183-DF0199","A","In Playground, Out in Open","No","X183","Bruckner Playground","X183","X","1","X-10","A, In Playground, Out in Open","Active","POINT (-73.82843282776388 40.82662743536617)"
"B330-DF0557","D","Out in Open, Near Ballfield","No","B330","Hickman Playground","B330","B","1","B-18","D, Out in Open, Near Ballfield","Active","POINT (-73.91284099709107 40.62054040856679)"
"M355-DF0533","E High Low","In Playground","Yes","M355","Robert L. Clinkscales Playground and Community Garden","M355","M","2","M-10","E High Low, In Playground","Active","POINT (-73.93987125820492 40.82274848999279)"
"Q382-DF0215","D","Near Ballfield","No","Q382","Cardozo Playground","Q382","Q","1","Q-14","D, Near Ballfield","Active","POINT (-73.78695443234021 40.59357651578839)"
"Q015-DF0020","C","Just Outside Playground","Yes","Q015","Forest Park","Q015-05","Q","1","Q-16","C, Just Outside Playground","Active","POINT (-73.85610200061454 40.70165017959885)"
"B380-DF0196","A","Just Outside Playground","Yes","B380","Robert E. Venable Park","B380","B","1","B-05","A, Just Outside Playground","Active","POINT (-73.86488205430754 40.67453047624378)"
"X002-DF0069","A","Near Ballfield","No","X002","Bronx Park","X002-ZN02","X","1","X-06","A, Near Ballfield","Active","POINT (-73.87167975774608 40.85840865275322)"
"Q387A-DF0627","E","Near Ballfield","No","Q387A","Bayside Fields","Q387A","Q","1","Q-11","E, Near Ballfield","Active","POINT (-73.78494173039006 40.77293320292357)"
"B061-DF0971","C",,,"B061","McLaughlin Park","B061","B","1","B-02","C,","Active","POINT (-73.98593464322195 40.69651533366973)"
"BT15-DF0746","E","Near Ballfield","Yes","BT15","Bush Terminal Park","BT15","B","1","B-07","E, Near Ballfield","Active","POINT (-74.01905095100709 40.65329673886447)"
"B110-DF0165","C","Out in Open","No","B110","Marion Hopkinson Playground","B110","B","1","B-16","C, Out in Open","Active","POINT (-73.91316443841573 40.68153030884568)"
"M108Q-DF0264","D","Out in Open","Yes","M108Q","Twenty-Four Sycamores Park","M108Q","M","1","M-08","D, Out in Open","Active","POINT (-73.95864159324488 40.759490566215135)"
"Q104-DF0037","C","Out in Open","No","Q104","Queensbridge Park","Q104","Q","1","Q-01","C, Out in Open","Active","POINT (-73.94810914732105 40.75723257350781)"
"B223DA-DF0724","E and Dog","Under Tree, Out in Open","Yes","B223DA","Adam Yauch Park","B223DA","B","2","B-02","E and Dog, Under Tree, Out in Open","Active","POINT (-73.999077630305 40.69223073039898)"
"Q360G-DF0738","C","Under Tree","No","Q360G","Whitefish Triangle","Q360G","Q","1","Q-05","C, Under Tree","Active","POINT (-73.89876858532305 40.725141737320634)"
"R026-DF0010","F","Near Ballfield","No","R026","Gerard P. Dugan Playground","R026","R","1","R-03","F, Near Ballfield","Active","POINT (-74.11076532324314 40.56171542593811)"
"M071-DF0090","A","Under Tree, Near Ballfield","Yes","M071","Riverside Park","M071-ZN20","M","1","M-14","A, Under Tree, Near Ballfield","Active","POINT (-73.97242323634387 40.80228152446458)"
"R022-DF0153","A","Under Tree","Yes","R022","Silver Lake Park","R022-ZN01","R","1","R-01","A, Under Tree","Active","POINT (-74.09552217864827 40.62493614382298)"
"X168-DF0193","Bottle Filler High Low","Under Tree","No","X168","Nelson Playground","X168","X","3","X-04","Bottle Filler High Low, Under Tree","Active","POINT (-73.92707279896702 40.834734847379565)"
"B028-DF0656","A","In Playground","No","B028","Dyker Beach Park","B028-01","B","1","B-10","A, In Playground","Active","POINT (-74.01642039176762 40.60671672640352)"
"Q021-DF0442","C","Near Ballfield, Out in Open","No","Q021","Cunningham Park","Q021-ZN02","Q","1","Q-08","C, Near Ballfield, Out in Open","Active","POINT (-73.77552123867663 40.73032623746226)"
"B068-DF1059","Indoor Drinking Fountain","Indoor",,"B068","Parade Ground","B068","B","1","B-14","Indoor Drinking Fountain, Indoor","Active","POINT (-73.9702662208761 40.651261409495376)"
"M029-DF0234","Stone","Under Tree","No","M029","Fort Tryon Park","M029-ZN05","M","1","M-12","Stone, Under Tree","Active","POINT (-73.93046762174079 40.86181023281371)"
"B111A-DF0253","F and Dog","Out in Open","No","B111A","Washington Park","B111A","B","2","B-06","F and Dog, Out in Open","Active","POINT (-73.98585537808114 40.67292927209005)"
"B262-DF0427","A","Under Tree, In Playground","Yes","B262","Potomac Playground","B262","B","1","B-03","A, Under Tree, In Playground","Active","POINT (-73.94431918338786 40.6820894473589)"
"X092-DF0484","CS Metal",,,"X092","Van Cortlandt Park","X092","X","1","X-13","CS Metal,","Active","POINT (-73.89648922214664 40.890029041938654)"
"Q096E-DF0758","A","Out in Open","No","Q096E","Lefferts Playground","Q096E","Q","1","Q-10","A, Out in Open","Active","POINT (-73.82056931587994 40.66537068485797)"
"B251-DF0929","E","Out in Open","Yes","B251","Manhattan Beach Park","B251-ZN01","B","1","B-15","E, Out in Open","Active","POINT (-73.9417614579397 40.576151796001334)"
"X016-DF0519","Indoor Drinking Fountain","Indoor",,"X016","Owen F. Dolen Park","X016","X","1","X-10","Indoor Drinking Fountain, Indoor","Active","POINT (-73.84258024484757 40.840683115473524)"
"Q468-DF0977","Indoor Drinking Fountain","Indoor",,"Q468","Louis Armstrong Community Center","Q468","Q","1","Q-03","Indoor Drinking Fountain, Indoor","Active","POINT (-73.86125332151879 40.75722415055433)"
"Q099-DF0258","A","Out in Open","Yes","Q099","Flushing Meadows Corona Park","Q099-ZN08","Q","1","Q-15","A, Out in Open","Active","POINT (-73.83852173354266 40.74635506645744)"
"B042-DF0673","CS Metal","Just Outside Playground, Out in Open","No","B042","Gravesend Park","B042","B","1","B-12","CS Metal, Just Outside Playground, Out in Open","Active","POINT (-73.98496662723475 40.62394164947254)"
"M027-DF0613","D","Under Tree, In Shade, In Playground","Yes","M027","Downing Street Playground","M027","M","1","M-02","D, Under Tree, In Shade, In Playground","Active","POINT (-74.00278469384241 40.72983232313013)"
"B249-DF0104","A","Under Tree, In Shade","Yes","B249","Van Dyke Playground","B249","B","1","B-16","A, Under Tree, In Shade","Active","POINT (-73.90406952813515 40.664452967100274)"
"Q448-DF0777","A","In Playground","No","Q448","Roy Wilkins Recreation Center","Q448-99","Q","1","Q-12","A, In Playground","Active","POINT (-73.76960614625064 40.686028385928324)"
"Q141-DF0559","C","Near Ballfield, Out in Open","No","Q141","Murray Playground","Q141","Q","1","Q-02","C, Near Ballfield, Out in Open","Active","POINT (-73.94921759388254 40.74756422946877)"
"Q162J-DF0356","D","Out in Open","No","Q162J","Beach 17 Playground","Q162J","Q","1","Q-14","D, Out in Open","Active","POINT (-73.75035291482422 40.594116304422506)"
"X126-DF0029","A","Out in Open, Near Ballfield","No","X126","Ferry Point Park","X126-ZN02","X","1","X-10","A, Out in Open, Near Ballfield","Active","POINT (-73.83766799148992 40.8104810723374)"
"M105-DF0998","Indoor Drinking Fountain","Indoor",,"M105","Sara D. Roosevelt Park","M105","M","1","M-03","Indoor Drinking Fountain, Indoor","Active","POINT (-73.99225778697928 40.72042456081429)"
"B082-DF0781","C","Out in Open","No","B082","Shore Park and Parkway","B082-ZN03","B","1","B-10","C, Out in Open","Active","POINT (-74.0404213888855 40.62230308396268)"
"Q009-DF0646","C","In Playground","No","Q009","Hermon A. MacNeil Park","Q009-01","Q","1","Q-07","C, In Playground","Active","POINT (-73.85122796612349 40.79346217276752)"
"Q457-DF0649","C","Under Tree","No","Q457","College Point Park","Q457","Q","1","Q-07","C, Under Tree","Active","POINT (-73.84652906806919 40.78555019388716)"
"B057-DF0978","E High Low",,,"B057","Marine Park","B057-06","B","2","B-18","E High Low,","Active","POINT (-73.92028111220124 40.58920819626253)"
"M081-DF0257","C","Out in Open","No","M081","Carl Schurz Park","M081-ZN02","M","1","M-08","C, Out in Open","Active","POINT (-73.94330046125377 40.776450766647976)"
"X008-DF0546","Indoor Drinking Fountain","Indoor",,"X008","Claremont Park","X008","X","1","X-04","Indoor Drinking Fountain, Indoor","Active","POINT (-73.90767106533653 40.838630102702226)"
"Q015-DF0771","C","Near Ballfield","No","Q015","Forest Park","Q015-ZN01","Q","1","Q-16","C, Near Ballfield","Active","POINT (-73.83635860558593 40.70975173793715)"
"B054-DF0493","C","Under Tree","Yes","B054","Lincoln Terrace / Arthur S. Somers Park","B054-ZN01","B","1","B-08","C, Under Tree","Active","POINT (-73.9277884655254 40.66585359895959)"
"M041-DF0496","D","Under Tree, In Playground","No","M041","Alexander Hamilton Playground","M041","M","1","M-09","D, Under Tree, In Playground","Active","POINT (-73.95131047187822 40.82323985996586)"
"Q460-DF0183","A","In Playground","No","Q460","Broad Channel Park","Q460","Q","1","Q-14","A, In Playground","Active","POINT (-73.81997181794374 40.60046352333246)"
"X068-DF0387","B","Under Tree","No","X068","D'Auria-Murphy Triangle","X068","X","1","X-06","B, Under Tree","Active","POINT (-73.88903778903499 40.85329052582366)"
"B008-DF0133","A","Near Ballfield","Yes","B008","Betsy Head Park","B008","B","1","B-16","A, Near Ballfield","Active","POINT (-73.9142924224364 40.663073712096796)"
"M103-DF0990","Indoor Drinking Fountain","Indoor",,"M103","Tony Dapolito Recreation Center","M103","M","1","M-02","Indoor Drinking Fountain, Indoor","Active","POINT (-74.00543462757858 40.72962915757688)"
"X348-DF0398","D","Out in Open","No","X348","River Avenue Parks","X348-02","X","1","X-04","D, Out in Open","Active","POINT (-73.92687403808411 40.82548601421163)"
"M010-DF0553","B","Out in Open","No","M010","Central Park","M010-ZN42&43","M","1","M-13","B, Out in Open","Active","POINT (-73.95246860488182 40.7979933432686)"
"M200-DF0463","C","Near Ballfield","Yes","M200","Booker T. Washington Playground","M200","M","1","M-07","C, Near Ballfield","Active","POINT (-73.96328222895714 40.80094881217665)"
"M071-DF0086","C","In Playground, Under Tree","No","M071","Riverside Park","M071-34","M","1","M-14","C, In Playground, Under Tree","Active","POINT (-73.97084914677866 40.80194448473849)"
"B068-DF0336","A","Out in Open, Near Ballfield","No","B068","Parade Ground","B073-ZN28","B","1","B-14","A, Out in Open, Near Ballfield","Active","POINT (-73.96731408205281 40.65048616515804)"
"X255-DF0461","B","Under Tree","Yes","X255","Bill Rainey Park","X255","X","1","X-02","B, Under Tree","Active","POINT (-73.89814583135916 40.818125999467746)"
"B293-DF0220","C","Under Tree, Out in Open, In Playground","No","B293","Classon Playground","B293","B","1","B-02","C, Under Tree, Out in Open, In Playground","Active","POINT (-73.96063396740394 40.68916974669592)"
"X238-DF0598","CS Metal High Low",,"No","X238","Saw Mill Playground","X238","X","2","X-01","CS Metal High Low,","Active","POINT (-73.9192802103274 40.80890008124186)"
"R149-DF0231","Indoor Drinking Fountain","Indoor",,"R149","Ocean Breeze Park","R149","R","1","R-02B","Indoor Drinking Fountain, Indoor","Active","POINT (-74.07518764701466 40.58307752006129)"
"Q099-DF0232","A","Under Tree","Yes","Q099","Flushing Meadows Corona Park","Q099-ZN07","Q","1","Q-15","A, Under Tree","Active","POINT (-73.84219062568042 40.743604647492646)"
"Q027-DF0765","D","Near Ballfield","No","Q027","Laurelton Parkway","Q027-02","Q","1","Q-13","D, Near Ballfield","Active","POINT (-73.72743864201317 40.68435173973731)"
"M019-DF0431","A","Under Tree, In Shade, Near Ballfield, Just Outside Playground","Yes","M019","Coleman Playground","M019","M","1","M-03","A, Under Tree, In Shade, Near Ballfield, Just Outside Playground","Active","POINT (-73.99325276537682 40.71111848324136)"
"B109-DF0702","E","Near Ballfield","No","B109","Bill Brown Playground","B109","B","1","B-15","E, Near Ballfield","Active","POINT (-73.94570450213007 40.59201812192522)"
"B128-DF0504","C","Under Tree, In Playground, Out in Open","No","B128","Colonel David Marcus Playground","B128","B","1","B-12","C, Under Tree, In Playground, Out in Open","Active","POINT (-73.96902336610155 40.610018031398965)"
"B106A-DF0419","E","Near Ballfield, Out in Open","No","B106A","Scarangella Park","B106A","B","1","B-13","E, Near Ballfield, Out in Open","Active","POINT (-73.98420500558845 40.595418135924255)"
"B061-DF0973","C",,,"B061","McLaughlin Park","B061","B","1","B-02","C,","Active","POINT (-73.98665079217552 40.69666581895631)"
"X148A2-DF0600","F High Low",,"No","X148A2","Plimpton Playground","X148A2","X","2","X-04","F High Low,","Active","POINT (-73.92227562105815 40.84411642968304)"
"Q391-DF0293","A","In Playground","No","Q391","Joseph Austin Playground","Q391","Q","1","Q-08","A, In Playground","Active","POINT (-73.80093507161138 40.71564007088351)"
"X164-DF0202","A","In Playground","Yes","X164","Dawson Playground","X164","X","1","X-02","A, In Playground","Active","POINT (-73.89817721146704 40.819438320620776)"
"Q067A-DF0075","A","Out in Open","No","Q067A","General Hart Playground","Q067A","Q","1","Q-02","A, Out in Open","Active","POINT (-73.8971797642765 40.74869013303027)"
"M198-DF0512","Bottle Filler High Low","Near Ballfield, In Playground","Yes","M198","Martin Luther King, Jr. Playground","M198","M","3","M-10","Bottle Filler High Low, Near Ballfield, In Playground","Active","POINT (-73.95071798059855 40.79989729592406)"
"R046-DF0050","E and Dog","Out in Open","No","R046","Franklin D. Roosevelt Boardwalk and Beach","R046-ZN04","R","2","R-02","E and Dog, Out in Open","Active","POINT (-74.07759279599435 40.578083465627294)"
"B019-DF0243","A","In Playground","No","B019","Carroll Park","B019","B","1","B-06","A, In Playground","Active","POINT (-73.99555335323839 40.68117441959768)"
"Q099-DF0272","A","Out in Open","Yes","Q099","Flushing Meadows Corona Park","Q099-ZN09","Q","1","Q-15","A, Out in Open","Active","POINT (-73.8366833206158 40.75034917896463)"
"R027A-DF0142","C","In Playground","No","R027A","Aesop Park","R027A","R","1","R-03","C, In Playground","Active","POINT (-74.23021279236576 40.509589571358056)"
"R119-DF0226","Bottle Filler Fountain","Indoor",,"R119","Blue Heron Park","R119-ZN01","R","2","R-03","Bottle Filler Fountain, Indoor","Active","POINT (-74.17780865096447 40.530889379532795)"
"Q031-DF0077","A","Under Tree, Just Outside Playground","No","Q031","Lawrence Virgilio Playground","Q031","Q","1","Q-02","A, Under Tree, Just Outside Playground","Active","POINT (-73.91019192033649 40.74735874359966)"
"X196-DF0037","A","Just Outside Playground, In Shade",,"X196","Haffen Park","X196","X","1","X-12","A, Just Outside Playground, In Shade","Active","POINT (-73.83927629197976 40.87346976772369)"
"M065-DF0385","A","Under Tree, Near Ballfield, In Playground","No","M065","Luther Gulick Park","M065","M","1","M-03","A, Under Tree, Near Ballfield, In Playground","Active","POINT (-73.98114450675004 40.71577154699684)"
"Q476-DF0894","D","Out_in_Open",,"Q476","College Point Fields","Q476","Q","1","Q-07","D, Out_in_Open","Active","POINT (-73.83826206735236 40.77659858934551)"
"X118-DF0417","Trough High Low","In Playground","No","X118","Soundview Park","X118-02","X","2","X-09","Trough High Low, In Playground","Active","POINT (-73.87042642797147 40.81854210776119)"
"M233-DF0324","D","Under Tree, Near Ballfield, In Playground","No","M233","Matthew P. Sapolin Playground","M233","M","1","M-07","D, Under Tree, Near Ballfield, In Playground","Active","POINT (-73.98414380698573 40.777679178333095)"
"X244-DF0047","F","Out in Open, In Playground","No","X244","Grand Playground","X244","X","1","X-05","F, Out in Open, In Playground","Active","POINT (-73.90728171432552 40.85615821173768)"
"X039-DF0446","Trough","Out in Open","No","X039","Pelham Bay Park","X039-ZN02","X","1","X-15","Trough, Out in Open","Active","POINT (-73.82475396658513 40.85183351706822)"
"B103-DF0194","A","Out in Open, Near Ballfield","Yes","B103","Cypress Hills Playground","B103","B","1","B-05","A, Out in Open, Near Ballfield","Active","POINT (-73.87185442057053 40.67103625257745)"
"M159-DF0529","Bottle Filler","Under Tree, Near Ballfield, In Shade","Yes","M159","Frederick Johnson Playground","M159","M","1","M-10","Bottle Filler, Under Tree, Near Ballfield, In Shade","Active","POINT (-73.93549897014923 40.82478778650617)"
"B381-DF0033","Bottle Filler High Low","Out in Open","No","B381","Thomas Boyland Park","B381","B","3","B-04","Bottle Filler High Low, Out in Open","Active","POINT (-73.90716314721082 40.68141192439938)"
"M104-DF1089","Bottle Filler Fountain","Indoor",,"M104","Randall's Island Park","M104","M","2","M-11R","Bottle Filler Fountain, Indoor","Active","POINT (-73.92470779788805 40.792880614622135)"
"X010-DF0505","J","Out_in_Open",,"X010","Crotona Park","X010","X","1","X-03","J, Out_in_Open","Active","POINT (-73.89761613829378 40.840211893174185)"
"X166-DF0280","A","Out in Open, Near Ballfield","Yes","X166","Behagen Playground","X166","X","1","X-03","A, Out in Open, Near Ballfield","Active","POINT (-73.90172457798958 40.825592575463496)"
"Q099-DF0198","A","In Playground","No","Q099","Flushing Meadows Corona Park","Q099-15","Q","1","Q-15","A, In Playground","Active","POINT (-73.83512125855351 40.730046340395546)"
"X086-DF0284","D","Out in Open","No","X086","Charlton Garden","X086","X","1","X-03","D, Out in Open","Active","POINT (-73.90716353538231 40.82475371748048)"
"X299-DF0497","Bottle Filler High Low",,,"X299","Little Claremont Playground","X299","X","3","X-03","Bottle Filler High Low,","Active","POINT (-73.90359776403186 40.8389761230451)"
"B073-DF1122","Indoor Drinking Fountain","Indoor",,"B073","Prospect Park","B073","B","1","B-19","Indoor Drinking Fountain, Indoor","Active","POINT (-73.96546888381246 40.66536474390884)"
"X009-DF0200","B","Under Tree","No","X009","Monsignor Raul Del Valle Square","X009","X","1","X-02","B, Under Tree","Active","POINT (-73.89055192525252 40.82072266367384)"
"R067-DF0092","A","In Playground","Yes","R067","Gen. Douglas MacArthur Park","R067","R","1","R-02","A, In Playground","Active","POINT (-74.10061438766122 40.58601608014114)"
"M042-DF0132","B","In Playground","No","M042","Inwood Hill Park","M042-01","M","1","M-12","B, In Playground","Active","POINT (-73.92877308812115 40.867246499895266)"
"B054-DF0488","F High Low","Under Tree, In Playground","Yes","B054","Lincoln Terrace / Arthur S. Somers Park","B054-01","B","2","B-08","F High Low, Under Tree, In Playground","Active","POINT (-73.92780848257186 40.66648064901838)"
"B061-DF0970","C",,,"B061","McLaughlin Park","B061","B","1","B-02","C,","Active","POINT (-73.98631149311609 40.69661497939143)"
"B008-DF0141","A","Out in Open","Yes","B008","Betsy Head Park","B008","B","1","B-16","A, Out in Open","Active","POINT (-73.91243852727207 40.66348032193588)"
"M010-DF0272","B","In Playground","Yes","M010","Central Park","M010-164","M","1","M-13","B, In Playground","Active","POINT (-73.97118853289905 40.782221619987574)"
"B057-DF1108","Indoor Drinking Fountain","Indoor",,"B057","Marine Park","B057","B","1","B-18","Indoor Drinking Fountain, Indoor","Active","POINT (-73.91421288553373 40.600357913871676)"
"B057-DF0874","A","Out in Open","No","B057","Marine Park","B057-ZN06","B","1","B-18","A, Out in Open","Active","POINT (-73.93197159856248 40.60149245511301)"
"B012-DF0463","C","Under Tree, In Playground","Yes","B012","Brower Park","B012-03","B","1","B-08","C, Under Tree, In Playground","Active","POINT (-73.94329684034984 40.67431834979252)"
"X255-DF0206","D","Near Ballfield","No","X255","Bill Rainey Park","X255","X","1","X-02","D, Near Ballfield","Active","POINT (-73.89667287303713 40.81947608195393)"
"X182-DF0502","Bottle Filler High Low",,,"X182","Millbrook Playground","X182","X","3","X-01","Bottle Filler High Low,","Active","POINT (-73.91654413190851 40.80408660855674)"
"X272-DF0495","Bottle Filler High Low",,,"X272","Ranaqua Playground","X272","X","3","X-01","Bottle Filler High Low,","Active","POINT (-73.92222104073235 40.806706847987876)"
"B082-DF0782","C","Under Tree",,"B082","Shore Park and Parkway","B082-ZN03","B","1","B-10","C, Under Tree","Active","POINT (-74.04057885719833 40.62183266239233)"
