"project_id","description","client_agency","division","phase","projected_construction_completion","scope","dollar_amount","status"
"PV669-NPC","NPC - Nuyorican Poets Cafe Renovation","CULTURAL AFFAIRS","Public Buildings","Design","2023-10-20T00:00:00.000","The base scope of work includes the General Construction, Plumbing, HVAC, Fire protection and Electrical work to rehabilitate the Nuyorican Poet’s Café facility.  The building is a turn-of-the-century tenement building consisting of a cellar and four above-grade stories, plus a mezzanine.  NPC is only able to utilize the cellar, 1st and mezzanine spaces.  The cellar houses the offices and support spaces for the Café’s performance space, as well as the facilities mechanical equipment, dressing rooms and toilets.  The performance space occupies the first floor and a mezzanine level. The second, third, and fourth floors are currently being used for storage. Much of the building lacks code compliance and ADA accessibility, in addition to being in poor condition due to years of wear and tear. The base scope of work includes renovation of all interior spaces, with new finishes, power, and lighting to accommodate three flexible classroom/rehearsal spaces, additional staff office space and an additional publicly-accessible performance space. The cellar, ground floor and mezzanine will also be included in the renovation and be investigated for possible re-configuration. The scope includes a new elevator for ADA accessibility, and life safety system requirements such as the Fire Alarm system and a security system. It also includes an upgrade to all Mechanical, Plumbing and Electrical systems. The exterior work includes new roof, building envelope (masonry) rehabilitation to address water infiltration, a new ADA ramp for public access from the sidewalk level into the facility, fire exit stairs and other necessary work.","$10M to 30M","Active"
"PV704HSA2","HISP - Hipanic Society of America  ROOF","CULTURAL AFFAIRS","Public Buildings","Construction","2022-12-23T00:00:00.000","The Main Building of the Hispanic Society has recurring leaks due to the poor condition and age (now over 110 years old), resulting in deterioration of the building on the exterior and interior; moreover, the intrusion of water through the roof can no longer be maintained with temporary repairs.  The replacement of the roof is absolutely necessary to safeguard the interior and exterior of the Main Building of the Hispanic Society, which is a National Historic Landmark.  It is also necessary to protect the world-renowned collections and ensure that the Hispanic Society continues to function as an internationally-recognized free public museum and research library.  The intent of the project is to protect from water intrusion, restore the integrity of the building, and upgrade in a manner that respects the architecture while also making use of current materials to better care for the building and protect the public.  In the process of replacing the roof, we will significantly reduce the consumption of energy, replace and/or upgrade elements of the infrastructure in order to better maintain the building.","$1M to 3M","Active"
"PV737-MSM","MSM - Manhattan School of Music Borden Auditorium Renovation","CULTURAL AFFAIRS","Public Buildings","Construction","2023-01-30T00:00:00.000","This project is part of an overall master plan to completely renovate Neidorff-Karpati Hall, Manhattan School of Music’s main performance space.  The Hall is currently in need of major repairs, including an upgrade of the lighting, sound, projection, rigging , electrical, acoustical and seating systems.  Repairs and restoration are essential in order to preserve the architectural integrity of the space while providing improved access to all users of the Hall.  This project will be approached in phases","$1M to 3M","Active"
"PV741CI40","CI - China Institute Renovation of 40 Rector Street","CULTURAL AFFAIRS","Public Buildings","Design","2023-12-18T00:00:00.000","China Institute's project is Phase II A of a three-phase renovation of its two-floor, 52,000-square foot 100 Washington Street facility, purchased outright by our organization as raw space in 2012. Phase II A centers on the interior “white box” renovation of 6,500 square-foot space on our ground floor.","$1M to 3M","Active"
"PV791-TNC","Roof and HVAC Replacement","CULTURAL AFFAIRS","Public Buildings","Design","2022-10-05T00:00:00.000","Theater for the New City - Scope of work includes the replacement of the existing HVAC equipment and controls serving the Cino Theater, Scene shop and the theater lobby including the offices.","$1M to 3M","Active"
"PV794AMER","AMER - Americas Society - Roof, Facade, Window Restoration","CULTURAL AFFAIRS","Public Buildings","Procurement","2023-10-30T00:00:00.000","Americas Society is undertaking the complete exterior restoration of its 1906-12 McKim, Mead and White neo-Federalist townhouse at 680 Park Avenue. Based on a Building Condition Report delivered in 2012, the organization works to address a series of connected projects to start the restoration of the exterior envelope.
The project presented to and funded by the City Council, the Department of Cultural Affairs, and the Manhattan Borough President includes two sub-phases:
- Phase 1a (privately funded): Exterior projects implemented by Americas Society: Through 2018, Americas Society has already addressed the most urgent needs identified in the 2012 Building Condition Report: front entrance doors, sidewalk vault and areaways, cooling tower, and the installation of an exterior lift to protect the newly renovated atrium, for a total of $993,563
- Phase 1b (City-funded and privately funded): Replacement of 98 of the building's original windows, window frames, windowsills and wood filler panels. Restoration of the portico entrance to the building, including the restoration of all masonry and stonework, as well as the replacement of the roof.
City funding, awarded in FY14, 15, 16 and 18 will be applied towards window replacement. Americas Society already expended private funds for the works described in Phase 1a, and will seek to raise additional funds to complete additional projects in future years.","$1M to 3M","Active"
"PV831-SMT","GGD - Gina Gibney Dance Smart Studios GGD - Gina Gibney Danc","CULTURAL AFFAIRS","Public Buildings","Construction","2021-07-03T00:00:00.000","There is an urgent need for affordable workspace in the nonprofit dance and performance community. The large, column free spaces and sprung floors required for dance rehearsals are highly specialized and increasingly rare. High demand and recent studio closures have set off a scramble for space. Gibney’s existing 17 studios are at full capacity, and the organization cannot begin to meet the demand even for its existing network of companies and individual artists.","$1M to 3M","Active"
"PV960JSNY","Japan Society HVAC Upgrade","CULTURAL AFFAIRS","Public Buildings","Design","2023-12-18T00:00:00.000","PV960JSNY - Japan Society HVAC Upgrade","$1M to 3M","Active"
"PVDTA-PH2","DTA - Downtown Art Bldg Renovation Phase 2 (Upper Floors)","CULTURAL AFFAIRS","Public Buildings","Procurement","2021-08-30T00:00:00.000","The project is to renovate the 2nd and 3rd floors of Downtown Art's home at 70 East 4th Street and improve
two outdoor spaces. The scope includes: a large rehearsal studio, open office area, new bathroom, new storage, and kitchen, and two outdoor spaces suitable for community gatherings. Renovations include installation of HVAC and sprinklers on the 2nd and 3rd floors, decking for low roof, finishes to walls and ceiling, installation of bathroom, kitchen, and storage areas, installation of a sprung wood floor, and landscaping for adjacent yard.","$1M to 3M","Active"
"PVN038EXT","ATC - Exterior/Roof Replacement","CULTURAL AFFAIRS","Public Buildings","Construction","2022-05-31T00:00:00.000","Atlantic Theater Company will completely restore the roof of our Linda Gross Theater on West 20th Street in Chelsea. This roof has not been refurbished in over forty years and must be entirely removed and replaced.

As part of the project’s scope, we will remove the existing roof and the base layer down to the support joists; replace and secure any elements that show signs of deterioration; and install a new, complete roof assembly. For safety and access purposes, we will also erect scaffolding during the roof restoration.","$1M or less","Active"
"PW195SW2","80 CENTRE ST. - SIDEWALK REHABILITATION","DCAS","Public Buildings","Procurement","2021-06-30T00:00:00.000","Replace existing concrete sidewalks, landscaping and curbs. Provide new handicap accessibilty to building.","$3M to 10M","Active"
"PW29370M","70 MULBERRY STREET - FIRE ALARM DESIGN","DCAS","Public Buildings","Design","2022-01-31T00:00:00.000","Fire Alarm Upgrade","$1M to 3M","Active"
"PW29380FC","80 CENTRE ST.- FIRE ALARMS/SPRINKLERS","DCAS","Public Buildings","NA","2026-05-15T00:00:00.000","80 CENTRE ST.- FIRE ALARMS/SPRINKLERS","$30M to 100M","Active"
"PW293QBLV","120-55 QUEENS BLVD - FIRE ALARM","DCAS","Public Buildings","Design","2021-07-02T00:00:00.000","Installation of new addressable non-proprietary Fire Detection & Alarm system in full compliance with the 2008/2014 fire code, Local Law 5, Local Law 26 and all codes related to fire and life safety in the City of New York.","$3M to 10M","Active"
"PW348-61","Upgrade/replacement/rnstallation of Heating Oil Tanks","DCAS","Public Buildings","Construction","2020-07-31T00:00:00.000","Installation, replacement, closure of petroleum product storage tanks at 21 locations within Manhattan and the Bronx.","$10M to 30M","Active"
"PW348-71","FUEL TANK REPLACEMENT","DCAS","Public Buildings","Procurement","2022-09-19T00:00:00.000","FUEL TANK REPLACEMENT","$10M to 30M","Active"
"PW348-72","FUEL TANK REPLACEMENT","DCAS","Public Buildings","Design","2022-05-12T00:00:00.000","Installation, replacement, closure of gasoline and diesel underground/aboveground storage tanks at 10 locations within the Bronx.","$10M to 30M","Active"
"PW348-73","FUEL TANK REPLACEMENT","DCAS","Public Buildings","Construction","2022-04-04T00:00:00.000","FUEL TANK REPLACEMENT","$10M to 30M","Active"
"PW348-74","FUEL TANK REPLACEMENT","DCAS","Public Buildings","Construction","2021-10-14T00:00:00.000","The scope of work consists of providing all necessary construction management, design, and
r.onstruction services required to perform ail phases of the project: Surveying, tank testing,
investigation, design, construction, and construction management for the closure, removal, upgrade,
or replacement of petroieum product storage tanks at various City owned sites. This work must
comply with all local, state, nnd federal laws nnd regulations governing tanks and associated work.

The general scope of work for tank replacement includes:

File NYSDEC PBS application; mobilization; securing all required NYC agency approvals & permits;
site survey; geophysical survey; drilling for laboratory soil and groundwater samples; crane & rigging;
saw cutting; demo & disposal of old tanks, piping, and concrete vaults; dewatering· of excavation; tank
bottom sludge removal & disposal; remove/transfer/dispose product; laboratory analysis of soil and
groundwater; excavate, remove, dispose incidental contaminated soil; install shoring, new tanks and
tan·k sumps, piping, monitoring and leak detection system, overfill protection and alarms, electrical
wiring; construction of concrete slabs and block piers; backfill excavation; resurfacing; demobilization;
performance of a closeout investigation and the preparation and filing of appropriate reports;
obtaining FDNY and DOB closeout documents; preparing ""As-built"" drawings.","$30M to 100M","Active"
"PW348-81","FUEL TANK REPLACEMENT","DCAS","Public Buildings","Design","2023-07-21T00:00:00.000","CITYWIDE FUEL TANK REPLACEMENT PROGRAM FOR NEW 2015 EPA PETROLEUM BULK STORAGE REGULATIONS","$10M to 30M","Active"
"PW348-82","FUEL TANK REPLACEMENT","DCAS","Public Buildings","Design","2023-07-21T00:00:00.000","CITYWIDE FUEL TANK REPLACEMENT PROGRAM FOR NEW 2015 EPA PETROLEUM BULK STORAGE REGULATIONS","$10M to 30M","Active"
"PW348-83","FUEL TANK REPLACEMENT","DCAS","Public Buildings","Design","2023-07-21T00:00:00.000","CITYWIDE FUEL TANK REPLACEMENT PROGRAM FOR NEW 2015 EPA PETROLEUM BULK STORAGE REGULATIONS","$10M to 30M","Active"
"PW348-84","FUEL TANK REPLACEMENT","DCAS","Public Buildings","Design","2023-07-21T00:00:00.000","CITYWIDE FUEL TANK REPLACEMENT PROGRAM FOR NEW 2015 EPA PETROLEUM BULK STORAGE REGULATIONS","$10M to 30M","Active"
"PW357ELEV","253 BROADWAY- ELEVATOR MODERNIZATION","DCAS","Public Buildings","Construction","2020-04-22T00:00:00.000","The scope of work includes replacement of 5 existing elevators with new passenger cars and installation of new main machine and controls.    proper efficient operation and to meet the current Federal ADA requirements, ASME A17.7 Safety code of elevators and local building codes. The machine room is to be renovated with new air conditioning system.","$3M to 10M","Active"
"PW357FIRE","253 BROADWAY- FIRE ALARM REPLACEMENT","DCAS","Public Buildings","Design","2022-03-04T00:00:00.000","Installation of new building wide fire alarm, sprinkler distribution and BMS system throughout building","$10M to 30M","Active"
"PW77102S3","CITY HALL STEPS RECONSTRUCTION","DCAS","Public Buildings","Design","2021-07-21T00:00:00.000","City Hall Park - Steps Reconstruction: Replace deteriorating steps, and stop leakage into basement.","$3M to 10M","Active"
"PW77417DA","120-55 QUEENS BLVD.- QUEENS DA TRAINING ROOM","DCAS","Public Buildings","Procurement","2021-05-05T00:00:00.000","Ineterior renovation of vacated marriage bureau space on basement and first floor levels, including installation of new partitions, electrical, lighting and HVAC system that supports high occupancy areas such as classrooms and waiting room areas.","$1M to 3M","Active"
"PW77417P2","120-55  QUEENS BLVD - PLAZA, STEPS AND ENTRANCE","DCAS","Public Buildings","Procurement","2021-06-15T00:00:00.000","Repair of all displaced stair treads. level pavement to provide a safe and healthy
working environment.

Building plaza steps. and entry 's should be code/ADA compliant to prohibit
discrimination and ensure equal opportunity (or persons with disabilities.","$3M to 10M","Active"
"REMPIV","Remsen Yard Reconstruction Phase IV","ENVIRONMENTAL PROTECTION","Public Buildings","Procurement","2021-01-29T00:00:00.000","Modifications to the existing building to achieve OSHA compliance and provide operational improvements to reduce resource consumption by operation staff maintaining the building.","$1M to 3M","Active"
"S136-367","Staten Island 1 and 3 Garage Construction + SOLARGR10","SANITATION","Public Buildings","Procurement","2022-12-31T00:00:00.000","Construction of new garage to serve Staten Island Districts 1 and 3.  Relocate Staten Island District 1 and 3 Garage operations to the newly constructed garage.  The existing building containing the Staten Island 3 Garage and Richmond Borough Repair Shop will be rehabilitated, maintaining and expanding the building's use for the Borough Repair Shop and accommodating District 1 and 3 Garage Vehicular Storage Facility for weather sensitive vehicles.  Develop site facilities including a 2,000 ton capacity salt shed, a free-standing fueling facility, open-air household waste drop-off area, outdoor DSNY truck and personnel parking and a potential new force main sanitary line to connect to the NYC DEP system.","$100M to 500M","Active"
"S136-383N","Brooklyn 17/18 HVAC and Roof Replacement","SANITATION","Public Buildings","Design","2022-06-30T00:00:00.000","Roof and HVAC Replacement + Solar","$10M to 30M","Active"
"S136-383S","STATEN ISLAND 3 GARAGE HVAC","SANITATION","Public Buildings","Procurement","2021-03-30T00:00:00.000","Replacement of roof system and all HVAC equipment with all of mechanical and electrical work associated. Design a new rooftop solar PV (Photovoltaic) system. Provide a new Building Management System. Provide a new Fire Alarm System.","$10M to 30M","Active"
"S136-419L","OAU Offices Expansion at CRS","SANITATION","Public Buildings","Procurement","2021-06-11T00:00:00.000","This project consists of interior renovation in multiple locations within DSNY Central Repair Shop (CRS). Work in the Fourth Floor includes modifications to the existing Air handling Unit ""AC-2"" and duct system that serves the project area, and interior finish work required in conjunction with the ductwork modification. Work on the Fifth Floor consists of a full renovation of the DSNY Operations Assistance Unit (OAU) Office suite including office space, toilet rooms, and an employee breakroom. Work on the Sixth Floor includes a full renovation of the OAU Satellite Office and work in the separate DSNY Queens West Borough Operations Office related to the upgrade of AC-2. Roof level work includes the installation of a new rooftop package unit that will serve the sixth floor OAU Satellite Office and the installation of an exhaust duct termination to serve the fifth floor OAU office breakroom.","$1M to 3M","Active"
"S136-423","Queens 11/13 FLOOR SLAB REPLACEMENT","SANITATION","Public Buildings","Design","2023-07-31T00:00:00.000","A Condition Assessment Report dated September 4, 2014 and a Rehabilitation Analysis and Recommendations report dated December 8, 2014 were prepared by The Burns Group and Greeley & Hansen. Also DDC issued a Field Inspection Report dated March 3, 2014. All reports should be reviewed and used as a basis to prepare preliminary and final design. The selected consultant shall utilize the structural scheme partially developed in the December 8, 2014 Greeley & Hansen report which is to provide intermediate columns and footings to reduce the span of the existing W36 members currently spanning over 100 feet. The selected consultant will be required to evaluate/analyze structural elements in accordance with the requirements of the latest DNSY Garage Design Standards for the heaviest fully loaded salt spreader trucks. The building is to be rehabilitated including extensive structural work (demolition and replacement of cellar-level slab and entrance ramp slab, demolition, and replacement of first floor slab, adding intermediate columns and footings, etc.). Total replacement of building systems (electrical, fire protection, plumbing, HVAC including building management system) and architectural renovation of the entire building is required. Remedial options /scopes of work and cost estimates shall be submitted to DSNY for review prior to starting design. After first floor slab and ramp demolition, the existing exposed structural steel shall be inspected, evaluated and repaired/reinforced as required.","$30M to 100M","Active"
"S136-436","Brooklyn 6 Garage Rehabilitation","SANITATION","Public Buildings","Design","2022-10-31T00:00:00.000","This subject building is a single-story masonry garage with structural steel frame measuring approximately 155’ x 200’. The original facility was built in the 1920’s as a single-story 100’ x 200’ garage with a smaller 25’x 65’ two level area in the NW corner designated for offices and locker rooms. In the 1950’s the two-story portion was reduced to a single-story and incorporated into the garage, and a new 55’x 75’ single story annex was added on the NE corner of the lot for offices and locker rooms. 
The new construction was steel framed with CMU infill. A second single-story annex approximately 55’x125’ was added in the 1970’s on the SE corner of the lot and constructed to match the first annex.
The project is being done to extend the useful life of this facility. The concrete floor slab is deteriorated and damaged and is a hazard for personnel, vehicles and equipment. Significant issues affect the oldest of the three components of the facility. The building systems and personnel areas are deteriorated and frequently non-functional.

SCOPE OF WORK, and to meet LEED requirements.  
1.	Pneumatic Tool Air Compressor
2.	Mechanics Toilet Room
3.	Locker Replacement 
4.	Ceiling Replacement - garage
5.	Toilet/Shower Partitions
6.	Locker Room/Offices - Cooling
7.	Replace Garage H&V Systems
8.	Fire Protection System (sprinkler)
9.	New Engineering Office	
10.	Garage Slab Replacement
11.	New Boiler
12.	Drainage pipe replacement with new Oil/ Water Separator","$10M to 30M","Active"
"S136-438","QUEENS 7 GARAGE REHABILITATION","SANITATION","Public Buildings","NA","2022-10-27T00:00:00.000","The project is being done to extend the useful life of this facility. The concrete floor
slab is damaged at some locations and may be a hazard for personnel, vehicles and
equipment. The building systems and personnel areas are deteriorated and frequently
non-functional.","$10M to 30M","Active"
"S216-415A2","WEST 59th STREET MTS","SANITATION","Public Buildings","Construction","2020-08-27T00:00:00.000","Project 2 Scope: Refurbishment of the existing pier buildling including: repair of existing pier structure including pile caps and fendering; construction of new emergency generator, electrical, mechanical, fire pump and fire valve rooms; new exit passageway construction and existing exit passageway refurbishment; re-arrangement and refurbishment of the Operations Building interiors; replacement of fire suppression system throughout the entire pier structure; mechanical, electrical and plumbing system upgrades; refurbishment and painting the existing pier interior steel framing and wall/roof surfaces; recoating the  structure's exterior cladding systems including metal wall and roof  panel system and translucent panel wall cladding system.","$30M to 100M","Active"
"SANDCONDC","Sandy Conduit Replacement - Citywide","TRANSPORTATION","Public Buildings","Initiation","2023-03-15T00:00:00.000","The work involves the replacement or repair of saltwater inundated electrical
conduit and wiring in eleven facilities that experienced flooding during
Hurricane Sandy.","$3M to 10M","Active"
"SANDELEC4","60TH PRECINCT ELECTRICAL SYSTEM REPLACEMENT( SANDY)","POLICE","Public Buildings","Construction","2020-08-24T00:00:00.000","Replacement of electrical system and generator at Coney Island Precinct that was flooded during Superstorm Sandy.  Work includes providing temporary power to precinct while permanent system is being designed and installed.  This work will be done via an emergency declaration.","$3M to 10M","Active"
"SANDELEC5","100 the precint electrical system replacement, Sandy","POLICE","Public Buildings","Construction","2020-07-14T00:00:00.000","Replacement of electrical system and generator at Rockaway Queens Precinct that was flooded during Superstorm Sandy.  Work includes providing temporary power to precinct while permanent system is being designed and installed.  This work will be done via an emergency declaration.","$3M to 10M","Active"
"SANDELEC8","ERIE BASIN TOW POUND ELECTRICAL (SANDY)","POLICE","Public Buildings","Procurement","2020-02-25T00:00:00.000","Restoration and installation of the new electrical power at NYPD's tow pound facility in Red Hook due to flooding during Sandy.","$1M to 3M","Active"
"SANDSLIP","100 OLD SLIP RESTORATION & SYSTEMS REPLACEMENT","POLICE","Public Buildings","Design","2023-09-01T00:00:00.000","To restore damage from Storm Sandy:
o	Replace MEP and building systems equipment in basement and ground floor, including chillers, boilers, hot water heater, electrical, etc.
o	Restore floor on ground floor and basement 
o	Restore walls on ground floor and basement 
o	Restore ceiling on basement 
o	Restore or replace all exterior doors
o	Replace ADA lift
	
To mitigate future disaster damage:
o	Use water resistant material on floor and walls on ground floor and basement and on ceiling in basement 
o	Relocate electrical service, mechanical and other building systems to higher floor
o	Identify and install mitigation measures for similar future flood events
	
To provide functional spaces for the NYPD:
o	Provide materials and appurtenances at first floor to create space for public functions.
o	Provide office space at upper floors.	
	
Provide temporary heat / AC to allow for construction and fire alarm/sprinkler function.

Coordinate with NYPD and comply with FEMA requirements for reimbursement of City funds, including review and approval of scope of work, requisition/payments, etc.","$10M to 30M","Active"
"TLCWOOD","TLC - NEW OFFICE FACILITY - 24-55 BQE WEST","DCAS","Public Buildings","Procurement","2024-02-19T00:00:00.000","Design and construction of new adminstration wing to replace existing administration wing, new parking, provide new inspection lane within the inspection facility.","$30M to 100M","Active"
