"the_geom","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","main_stree","cross_stre","barnes_dan","modified_b","mid_block_","t_oneway_a","t_oneway_1","installati","ntaname","femafldz","femafldt","hrcevac"
"POINT (-73.96398071669742 40.64908677191784)","3","Brooklyn","314","40","42","21","9","Church Avenue","East 17 Street",,,,"X",,,"Flatbush (West)-Ditmas Park-Parkville","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9078377251161 40.80819873846175)","2","Bronx","201","8","84","29","15","Southern Boulevard","St. Mary's Street",,,,"X",,,"Mott Haven-Port Morris","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.84585574299848 40.851179727307795)","2","Bronx","211","13","82","34","14","Morris Park Avenue","340' West of Eastchester Road",,,"X",,,,"Morris Park","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.97470470868139 40.72545475708754)","1","Manhattan","103","2","74","27","10","Avenue D","E 11 Street",,,"X",,,,"East Village","AE",,"1"
"POINT (-73.84343975209381 40.695179758383325)","4","Queens","409","32","38","15","5","Jamaica Ave","104 Street",,,,"X",,,"Richmond Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00974369643154 40.73756075564339)","1","Manhattan","102","3","66","47","10","West St","W 12 St",,,,"x",,,"West Village","AE",,"1"
"POINT (-73.89389573371533 40.74768974963915)","4","Queens","403","25","30","12","6","Broadway","72 Street",,,,"X",,,"Elmhurst","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97736870449478 40.77427274698326)","1","Manhattan","164","6","75","28","12","Central Park W","W 69 Street",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95109371171527 40.80008174132995)","1","Manhattan","110","9","70","30","13","Lenox Avenue","W 113 Street",,,,,"X",,"Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.79642476477122 40.737822748524806)","4","Queens","408","24","25","16","6","LIE S S/R","173 Street",,,,"X",,,"Fresh Meadows-Utopia","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95731270939814 40.811925739136015)","1","Manhattan","109","7","69","30","13","Amsterdam Avenue","Ped X bet. W 123 & LA SALLE St.",,,"X",,,,"Morningside Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.84043974248819 40.88472672125437)","2","Bronx","212","12","83","36","16","Baychester Avenue","Crawford Avenue",,,,,"X",,"Eastchester-Edenwald-Baychester","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91035272807791 40.745668750719396)","4","Queens","402","26","37","12","6","Skillman Avenue","54 Street","X",,,"X",,"2018-06-20T00:00:00.000","Woodside","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00521069875518 40.720543758699165)","1","Manhattan","101","1","66","27","10","6 Avenue","LISPENARD Street",,"X",,,,,"Tribeca-Civic Center","AE",,"2"
"POINT (-73.9563297095732 40.80818673994584)","1","Manhattan","110","9","70","30","13","Morningside Ave","W 124 Street","X",,,,,,"Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.89504173972618 40.63040977298318)","3","Brooklyn","318","46","59","19","8","Seaview Avenue","Remsen Street","X",,,,,"1985-11-27T00:00:00.000","Canarsie","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.88384173725025 40.74578874987691)","4","Queens","404","25","39","13","6","Baxter Avenue","41 Avenue","X",,,,,"2022-03-13T00:00:00.000","Elmhurst","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.84043375007002 40.76399874468198)","4","Queens","481","21","27","11","14","Van Wyck Expwy","95' E of Asphalt Plan",,,"X",,,,"Flushing-Willets Point","AE",,"2"
"POINT (-73.96144070827226 40.79610274215193)","1","Manhattan","164","6","68","30","12","Central Park W","W 103 Street",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00486969945341 40.70969076125972)","1","Manhattan","101","1","65","27","10","Gold Street","Beekman Street",,,,,"X",,"Financial District-Battery Park City","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.82531375453516 40.76296874410567)","4","Queens","407","20","40","16","6","Bowne Street","37 Avenue",,,,,"X",,"Flushing-Willets Point","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95139771386131 40.77006474729076)","1","Manhattan","108","5","76","28","12","York Avenue","East 77 Street",,,,,"X",,"Upper East Side-Lenox Hill-Roosevelt Island","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-74.01578369621116 40.711561760551625)","1","Manhattan","101","1","61","27","10","Liberty Street","South End Avenue","X",,,,,"2010-05-28T00:00:00.000","Financial District-Battery Park City","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1"
"POINT (-73.82518373519163 40.75764080154265)","4","Queens","407","20","40","16","6","Sanford Avenue","Union Street","X",,,,,"2022-03-19T00:00:00.000","Flushing-Willets Point","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.87626374046573 40.71996475445118)","4","Queens","405","30","28","15","6","Juniper Blvd S","79 Street",,,,,"X","2018-06-21T00:00:00.000","Middle Village","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9863977032199 40.755792751066764)","1","Manhattan","105","4","75","28","12","Broadway","W 42 Street","X",,,,,,"Midtown-Times Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97020771271819 40.67474576680806)","3","Brooklyn","355","39","52","20","10","Grand Army Plaza","Circle North",,,"X",,,,"Park Slope","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.88465773925346 40.70161875877939)","4","Queens","405","30","38","15","7","Myrtle Avenue","68 Street",,,,"X",,,"Glendale","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00313670086491 40.706240761568694)","1","Manhattan","101","1","65","27","10","South Street","Fulton Street",,,,,"X",,"Financial District-Battery Park City","AE",,"1"
"POINT (-73.74285578571337 40.690258756030985)","4","Queens","413","27","33","14","5","Fransis Lewis Blvd","120 Avenue","X",,,,,"2009-12-16T00:00:00.000","Cambria Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95224671204825 40.78985774318628)","1","Manhattan","111","8","68","29","13","Madison Avenue","E 100 Street",,,"X",,,,"East Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.84478775031914 40.72015675362701)","4","Queens","406","29","28","14","6","Austin Street","71 Avenue","X",,,,,"2022-03-05T00:00:00.000","Forest Hills","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93289572426285 40.679475764092196)","3","Brooklyn","303","36","56","20","8","Fulton Street","Schenectady Avenue",,,,,"X",,"Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99062170258962 40.75098275198537)","1","Manhattan","105","3","75","28","12","W 34 Street","betw. 6 Ave and 7 Ave",,,"X",,,,"Midtown South-Flatiron-Union Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9689427074806 40.77236574751157)","1","Manhattan","164","6","75","28","12","Central Park Post #3","Cross Drive",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90105372562272 40.84847472962628)","2","Bronx","205","15","86","32","15","Valentine Avenue","Bet East Tremont Ave & E. 178 St",,,"X",,,,"Mount Hope","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97550128160836 40.78192920074477)","1","Manhattan","107","6","67","47","12","Columbus Ave","W 79 Street","X",,,,,,"Upper West Side (Central)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94999771259198 40.79292274248534)","1","Manhattan","111","8","68","29","13","Madison Avenue","E 105 Street",,,,,"X",,"East Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.9802757068431 40.734402755019715)","1","Manhattan","106","2","74","59","12","1 Avenue","East 19 Street",,,,,"X",,"Stuyvesant Town-Peter Cooper Village","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.97623070438192 40.79481974295565)","1","Manhattan","107","6","69","47","12","Riverside Drive","West 94 Street",,,"X",,,,"Upper West Side (Central)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.85068873842073 40.891294719980316)","2","Bronx","212","12","83","36","16","East 233 Street","Edenwald Avenue & Digney Ave","X",,,,,,"Wakefield-Woodlawn","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97451071201104 40.663573769089)","3","Brooklyn","355","39","44","20","10","Prospect Park","Post # 5",,,,,"X",,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92547872671824 40.68010276369278)","3","Brooklyn","303","36","56","25","8","Patchen Avenue","Marion Street",,,,"X",,,"Bedford-Stuyvesant (East)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.01462569611333 40.71543275974486)","1","Manhattan","101","1","61","27","10","Murray Street","270' West Of West Street",,,"X",,,,"Financial District-Battery Park City","X","AREA OF MINIMAL FLOOD HAZARD","1"
"POINT (-73.9995486988303 40.7489177530954)","1","Manhattan","104","3","75","47","12","9 Avenue","West 27 Street",,,"X",,,,"Chelsea-Hudson Yards","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.90332272381129 40.86530372709297)","2","Bronx","207","14","78","31","13","University Avenue","West 190 Street","X",,,,,"2022-03-19T00:00:00.000","University Heights (North)-Fordham","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98705770548969 40.715270759586716)","1","Manhattan","103","1","65","27","10","Clinton Street","Between E. Broadway & Grand St",,,"X",,,,"Lower East Side","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94655571350098 40.788987743652115)","1","Manhattan","111","8","68","29","13","3 Avenue","East 102 Street",,,,,"X",,"East Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.80774076391096 40.70057375622954)","4","Queens","412","27","32","14","5","Sutphin Blvd","Archer Avenue","X",,,,,"2022-03-19T00:00:00.000","Jamaica","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90439072554902 40.833725733223694)","2","Bronx","203","16","79","32","15","3 Avenue","Bet E. 169 St & E. 170 St",,,"X",,,,"Claremont Village-Claremont (East)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.82731774856167 40.85281672703139)","2","Bronx","210","13","82","34","14","Bruckner Blvd","Westchester Ave & Amendola Pl","X",,,,,,"Pelham Bay Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98620197334392 40.74908900794204)","1","Manhattan","105","4","75","28","12","W 34 Street","betw. 5 Ave and 6 Ave",,,"X",,,,"Midtown South-Flatiron-Union Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97805170976238 40.68495376519652)","3","Brooklyn","302","35","57","26","10","Flatbush Avenue","4 Avenue",,,,,"X","2008-10-08T00:00:00.000","Fort Greene","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.71707379091882 40.73179274690731)","4","Queens","413","23","33","11","3","86 Avenue","249 Street","X",,,,,,"Bellerose","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00122670036079 40.71634975958923)","1","Manhattan","101","1","65","27","10","Centre Street","Franklin Street",,,"X",,,,"Tribeca-Civic Center","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.90468272411323 40.857051728584494)","2","Bronx","205","14","86","33","13","Jerome Avenue","West 182 Street",,,,"X",,,"Fordham Heights","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.79148389704417 40.856015989643986)","2","Bronx","210","13","82","34","14","City Island Road","1300 west of City Island Avenue",,,"X",,,,"Pelham Bay-Country Club-City Island","AE",,"1"
"POINT (-73.84698175307955 40.676365761771535)","4","Queens","410","32","23","15","5","Sutter Avenue","90 Street",,,,"X",,,"Ozone Park","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.90116472331957 40.875065724910385)","2","Bronx","208","14","81","31","13","Sedgwick Avenue","200 South of 231 Street",,,"X",,,,"Kingsbridge Heights-Van Cortlandt Village","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92203372954587 40.66419476751265)","3","Brooklyn","316","41","55","19","9","East 98 St","Ralph ave","X",,,,,,"Brownsville","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95253071056537 40.826417736178286)","1","Manhattan","109","7","71","30","13","Riverside Drive","West 144 Street",,,,"x",,,"Hamilton Heights-Sugar Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.8420177537465 40.68030676094798)","4","Queens","410","32","23","15","5","Rockaway Blvd","97 Street","X",,,,,,"Ozone Park","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.96449771044158 40.758968750145996)","1","Manhattan","106","5","73","28","12","East 57 Street","QueensBoro  Bridge Exit","X",,,,,"1982-08-06T00:00:00.000","East Midtown-Turtle Bay","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92197573199438 40.609155777797994)","3","Brooklyn","318","46","59","22","8","Flatbush Avenue","250' So Avenue U",,,"X",,,"2018-04-07T00:00:00.000","Marine Park-Mill Basin-Bergen Beach","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.99526870226534 40.727202757142535)","1","Manhattan","102","1","66","27","10","Broadway","Bond Street",,,,,"X",,"Greenwich Village","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94777172255893 40.633988773999306)","3","Brooklyn","314","45","42","21","9","Nostrand Ave","Glenwood Road","X",,,,,"2022-03-11T00:00:00.000","Flatbush","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.92222471991992 40.82770773488498)","2","Bronx","204","8","77","32","15","Grand Concourse","East 162 Street",,,,"X",,,"Concourse-Concourse Village","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.02705269786543 40.621973778633574)","3","Brooklyn","310","43","46","26","11","86 Street","betw. 4 & 5 Avenues",,,"X",,,,"Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9476967224671 40.63287777371186)","3","Brooklyn","314","45","42","21","9","Flatbush Avenue","Nostrand Avenue","X",,,,,"1969-05-29T00:00:00.000","Flatbush","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.9802497100627 40.66116876945859)","3","Brooklyn","307","39","44","20","10","Bartel Pritchard Sq","15 Street",,,,,"X",,"Windsor Terrace-South Slope","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90583572635222 40.81098873741274)","2","Bronx","201","8","84","29","15","Southern Boulevard","Union Avenue",,,"X",,,,"Mott Haven-Port Morris","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.91195473177766 40.66687976587154)","3","Brooklyn","316","41","55","25","8","Sutter Avenue","Bristol Street",,,,"X",,,"Brownsville","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97981070974963 40.68663876472901)","3","Brooklyn","302","33","52","26","10","3 Avenue","Schermerhorn Street",,"X",,,,"1975-09-08T00:00:00.000","Downtown Brooklyn-DUMBO-Boerum Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97075670647517 40.78333174508673)","1","Manhattan","164","6","69","47","12","Central Park W","W 83 Street",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96422870877123 40.77630274665431)","1","Manhattan","108","4","73","28","12","5 Avenue","East 78 Street",,,,,"X",,"Upper East Side-Carnegie Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91815772494976 40.76003674835211)","4","Queens","401","22","36","12","14","Steinway Street","Bet Broadway and 31 Avenue",,,"X",,,"2018-06-22T00:00:00.000","Astoria (East)-Woodside (North)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.85757873989866 40.837017730495006)","2","Bronx","209","18","87","34","14","Unionport Road","X-Walk east of Metropolitan Oval",,,"X",,,,"Parkchester","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.86334974684902 40.679342762587794)","3","Brooklyn","305","37","54","19","7","101 Avenue","Drew Street",,,,"X",,,"East New York-City Line","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-74.00464569914364 40.72490175755851)","1","Manhattan","102","3","66","27","10","6 Avenue","Dominick Street",,,"X",,,,"SoHo-Little Italy-Hudson Square","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.80416676387392 40.708975754080285)","4","Queens","408","24","24","14","5","Parsons Boulevard","87 Avenue",,,,"X",,,"Jamaica","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99122670203948 40.75782075048865)","1","Manhattan","104","3","75","47","12","W 42 Street","Between 8 Ave and 9 Ave",,,"X",,,,"Hell's Kitchen","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93177271840644 40.800971740705094)","1","Manhattan","111","8","68","29","13","1 Avenue","East 124 Street",,"X",,,,,"East Harlem (North)","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2"
"POINT (-73.94835471235494 40.8163677376007)","1","Manhattan","110","9","70","30","13","St Nicholas Avenue","West 134 Street",,,,,"X",,"Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92968763845137 40.86221581811645)","1","Manhattan","112","10","72","31","13","Broadway","Ellwood Street",,,"X",,,,"Washington Heights (North)","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.99536771070628 40.575471787283824)","3","Brooklyn","313","47","46","23","8","Mermaid Avenue","West 29 street",,,,"X",,,"Coney Island-Sea Gate","AE",,"1"
"POINT (-73.9355657143096 40.84170573282545)","1","Manhattan","112","10","72","31","13","Amsterdam Avenue","West 171 Street",,,,,"X",,"Highbridge Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00043870112502 40.714352759472625)","1","Manhattan","103","1","65","27","10","Worth Street","Baxter Street",,,,,"X",,"Chinatown-Two Bridges","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.98469570774851 40.6892197638558)","3","Brooklyn","302","33","52","26","10","Livingston Street","Elm Place",,,,"X",,,"Downtown Brooklyn-DUMBO-Boerum Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98122770302945 40.786907744978706)","1","Manhattan","107","6","67","47","12","Riverside Drive","West 82 Street",,,,,"X",,"Upper West Side (Central)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97614470547755 40.76386574960016)","1","Manhattan","105","4","75","28","12","W 57 Street","betw. 5 Ave and 6 Ave",,,"X",,,,"Midtown-Times Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96230270942607 40.77893974555197)","1","Manhattan","108","4","73","28","12","5 Avenue","East 82 Street",,,,,"X",,"Upper East Side-Carnegie Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9915607015141 40.74969775222302)","1","Manhattan","105","3","75","28","12","7 Avenue","West 32 Street",,,,,"X",,"Midtown South-Flatiron-Union Square","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.981654706781 40.71444975951123)","1","Manhattan","103","1","65","27","10","Grand Street","Columbia Street",,,,"x",,,"Lower East Side","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91779871879652 40.8772317250849)","2","Bronx","208","11","81","33","15","Johnson Avenue","Kappock Street","X",,,,,"2022-08-05T00:00:00.000","Riverdale-Spuyten Duyvil","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99071270375207 40.72830375701297)","1","Manhattan","103","2","66","27","10","Cooper Square","East 6 Street",,,,"X",,,"East Village","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.85980973761147 40.85965772625709)","2","Bronx","211","13","80","33","15","Astor Avenue","Colden AVENUE","X",,,,,"1974-01-02T00:00:00.000","Allerton","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.02657369746592 40.63419577650372)","3","Brooklyn","310","43","64","26","11","3 Avenue","71 Street",,,,"X",,,"Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97212271395975 40.6551977705482)","3","Brooklyn","355","39","44","20","10","Prospect Park","Post # 8",,,,,"X",,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93635871699682 40.79468874164978)","1","Manhattan","111","8","68","29","13","1 Avenue","East 114 Street",,,,,"X",,"East Harlem (North)","AE",,"3"
"POINT (-73.87844874436338 40.64478976916672)","3","Brooklyn","305","42","60","19","8","Pennsylvania Avenue","Hornell Loop",,,,,"X","2019-08-29T00:00:00.000","Spring Creek-Starrett City","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.99441370416417 40.68544676572497)","3","Brooklyn","306","39","52","26","10","Court Street","Kane Street",,,,"X",,,"Carroll Gardens-Cobble Hill-Gowanus-Red Hook","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91678272024944 40.83988573242465)","2","Bronx","204","16","77","32","15","East 170 Street","Townsend Avenue",,,,"X",,,"Mount Eden-Claremont (West)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90321673338573 40.69510875993387)","4","Queens","405","34","38","12","7","Wyckoff Avenue","Norman Street",,,,"X",,,"Ridgewood","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99374570264764 40.728999756828415)","1","Manhattan","102","2","66","27","10","Broadway","Washington Place",,,,,"X",,"Greenwich Village","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.03151169643608 40.61532078058548)","3","Brooklyn","310","43","46","26","11","4 Avenue","96 Street",,,,,"X",,"Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.09124167794774 40.6031087851496)","5","Staten Island","502","50","64","23","11","Targee Street","Naples Street",,,"X",,,,"Grasmere-Arrochar-South Beach-Dongan Hills","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92383672081709 40.807800739240285)","2","Bronx","201","8","84","29","15","Willis Avenue","East 136 Street",,,,"X",,,"Mott Haven-Port Morris","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.98554571186477 40.609878780147824)","3","Brooklyn","311","44","47","17","11","Bay Pkwy","72 Street",,,,"X",,,"Bensonhurst","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.89223273444911 40.73934275170476)","4","Queens","402","30","30","12","6","Queens Boulevard","180' W of 73 Street",,,"X",,,,"Woodside","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.86537874705778 40.676006762745864)","3","Brooklyn","305","37","60","19","7","N Conduit Blvd","Grant Avenue",,,,,"X","2019-01-22T00:00:00.000","East New York-City Line","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.93873771624966 40.79567674188929)","1","Manhattan","111","8","68","29","13","2 Avenue","E 114 Street",,,"X",,,,"East Harlem (North)","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","3"
"POINT (-74.02262569859548 40.63678977546888)","3","Brooklyn","310","43","51","17","10","4 Avenue","67 Street",,,,"X",,,"Bay Ridge","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.81854876654833 40.58294677978539)","4","Queens","414","32","23","10","5","Shore Front Pkwy","Beach 98 Street",,,,"X",,,"Rockaway Beach-Arverne-Edgemere","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1"
"POINT (-73.8948237368169 40.679329763373154)","3","Brooklyn","305","37","54","18","7","Jamaica Ave","Wyona Street",,,,"X",,,"Cypress Hills","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96235870908765 40.79484274286407)","1","Manhattan","164","6","68","30","12","Central Park W","W 101 Street",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.89736873474824 40.694101760777336)","4","Queens","405","30","38","18","7","Cypress Avenue","Cooper Avenue","X",,,,,"2022-02-22T00:00:00.000","Highland Park-Cypress Hills Cemeteries (North)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94239371580149 40.78643074406553)","1","Manhattan","111","8","68","29","13","1 Avenue","East 101 Street",,,,"X",,,"East Harlem (South)","AE",,"3"
"POINT (-73.93538871580614 40.826675735464185)","1","Manhattan","110","9","71","30","13","7 Avenue","West 153 Street",,,,"X",,,"Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.94943071188298 40.820241736914475)","1","Manhattan","109","9","70","30","13","Convent Avenue","W 138 Street",,,"X",,,,"Manhattanville-West Harlem","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95799970998165 40.80082574099361)","1","Manhattan","110","9","69","30","13","Central Park West","Fredederick Douglass Circle","X",,,,,"2006-08-19T00:00:00.000","Harlem (South)","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99808370101391 40.73030175612033)","1","Manhattan","102","1","66","27","10","Washington Square So","Thompson Street",,,,"X",,,"Greenwich Village","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.9635297160675 40.65908576992241)","3","Brooklyn","355","39","44","20","10","Prospect Park","Post # 13",,,,,"X",,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9067137240575 40.83737573210449)","2","Bronx","204","16","77","32","15","Webster Avenue","South of East 171 Street",,,"X",,,,"Mount Eden-Claremont (West)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.80910775863275 40.78467473987268)","4","Queens","407","19","27","11","3","Clintonville Street","Lock Avenue",,,,"X",,,"Whitestone-Beechhurst","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.88479673967582 40.6841447614869)","3","Brooklyn","305","37","54","18","7","Jamaica Ave","Linwood Street",,,,"X",,,"Cypress Hills","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97453270540663 40.77815874648081)","1","Manhattan","164","6","67","28","12","Central Park W","W 75 Street",,,,,"X",,"Central Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92733571745109 40.82830473460257)","2","Bronx","204","8","84","29","15","East 161 Street","Midblock 400' West of River Ave",,,"X",,,,"Yankee Stadium-Macombs Dam Park","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.97072770720837 40.767384747996466)","1","Manhattan","108","4","73","28","12","5 Avenue","East 64 Street",,,,,"X",,"Upper East Side-Carnegie Hill","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97002570592585 40.80223874121424)","1","Manhattan","107","6","69","30","12","Riverside Drive","West 106 Street",,,"X",,,,"Upper West Side-Manhattan Valley","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.01065669811528 40.71742675935448)","1","Manhattan","101","1","66","27","10","Greenwich Street","Duane Street",,,,,"X","2015-04-30T00:00:00.000","Tribeca-Civic Center","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.94210071411833 40.803820739956095)","1","Manhattan","111","9","68","30","13","Madison Avenue","E 122 Street",,,,,"X",,"East Harlem (North)","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.82339475562814 40.754368746070995)","4","Queens","407","20","40","16","6","Kissena Blvd","Beech Avenue","X",,,,,"2022-03-13T00:00:00.000","Flushing-Willets Point","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96872871399569 40.66976276765381)","3","Brooklyn","355","39","44","20","10","Prospect Park","Post # 18",,,,,"X",,"Prospect Park","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98208270660554 40.72387475740985)","1","Manhattan","103","2","74","27","10","Avenue B","E 5 Street",,,,,"X",,"East Village","X","AREA OF MINIMAL FLOOD HAZARD","2"
