"court_index_number","docket_number","eviction_address","eviction_apt_num","executed_date","marshal_first_name","marshal_last_name","residential_commercial_ind","borough","eviction_zip","ejectment","eviction_possession","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"Q072175/16","373182","71-27  65TH STREET","D6","2017-05-30T00:00:00.000","Richard","McCoy","Residential","QUEENS","11385","Not an Ejectment","Possession","40.701940","-73.890555","5","30","577","4089272","4036760031","Glendale"
"323516/22","005625","2247 BENSON AVENUE","ENTIRE 1ST FLOOR","2023-06-28T00:00:00.000","David","Smith","Residential","BROOKLYN","11214","Not an Ejectment","Possession","40.599452","-73.994285","11","47","296","3167119","3063820001","Bensonhurst West"
"K94472/16","078534","723 LENOX ROAD","UNIT #1","2017-07-27T00:00:00.000","Ileana","Rivera","Residential","BROOKLYN","11203","Not an Ejectment","Possession","40.655196","-73.933160","17","41","870","3100758","3046340031","East Flatbush-Farragut"
"58570/17","064457","689 9TH AVENUE","3S","2017-06-13T00:00:00.000","Justin","Grossman","Residential","MANHATTAN","10036","Not an Ejectment","Possession","40.761871","-73.990138","4","3","127","1026569","1010570032","Clinton"
"87310/17","14083","522 DECATUR STREET","3","2018-02-22T00:00:00.000","Edward","Guida","Residential","BROOKLYN","11233","Not an Ejectment","Possession","40.682790","-73.921648","3","41","377","3040502","3015040017","Stuyvesant Heights"
"309446/22","14521","64 WEST 165TH STREET UNIT/APT. 5C","5C","2023-02-06T00:00:00.000","Robert","Renzulli","Residential","BRONX","10452","Not an Ejectment","Possession","40.833708","-73.926411","4","8","189","2003141","2025080024","Highbridge"
"72668","17523","154 - 32 71st AVENUE","76B","2017-01-13T00:00:00.000","Charles","Marchisotto","Residential","QUEENS","11367","Not an Ejectment","Possession","40.730289","-73.814511","8","24","122702","4455507","4067930126","Pomonok-Flushing Heights-Hillcrest"
"72668","17523","154 - 32 71st AVENUE","76B","2017-01-13T00:00:00.000","Charles","Marchisotto","Residential","QUEENS","11367","Not an Ejectment","Possession","40.730289","-73.814511","8","24","122702","4455507","4067930126","Pomonok-Flushing Heights-Hillcrest"
"30396/18","18923","114 WEST 238TH STREET","5A","2019-02-07T00:00:00.000","Edward","Guida","Residential","BRONX","10463","Not an Ejectment","Possession","40.883080","-73.897823","8","11","279","2015990","2032620077","Van Cortlandt Village"
"77678/18","22869","124-02 ROCKAWAY BOULEVARD",,"2019-05-06T00:00:00.000","Edward","Guida","Commercial","QUEENS","11420","Not an Ejectment","Possession","40.675428","-73.813391","10","28","840","4254662","4117460039","South Ozone Park"
"14596/19","354779","1411 TOWNSEND AVENUE","B4","2019-11-06T00:00:00.000","Thomas","Bia","Residential","BRONX","10452","Not an Ejectment","Possession","40.840212","-73.916562","4","16","223","2008095","2028430024","West Concourse"
"14596/19","354779","1411 TOWNSEND AVENUE","B4","2019-11-06T00:00:00.000","Thomas","Bia","Residential","BRONX","10452","Not an Ejectment","Possession","40.840212","-73.916562","4","16","223","2008095","2028430024","West Concourse"
"310743/22","111079","129 PATCHEN AVENUE","6D","2023-03-24T00:00:00.000","Henry","Daley","Residential","BROOKLYN","11221","Not an Ejectment","Possession","40.687328","-73.926936","3","41","385","3045317","3016480006","Stuyvesant Heights"
"B17995/19","114367","3444 KNOX PLACE","55","2019-06-17T00:00:00.000","Darlene","Barone","Residential","BRONX","10467","Not an Ejectment","Possession","40.882122","-73.883258","7","11","421","2017704","2033240117","Norwood"
"66334/19","019434","25 CUMMINGS ST","2Z","2019-11-26T00:00:00.000","George","Essock, Jr.","Residential","MANHATTAN","10034","Not an Ejectment","Possession","40.866699","-73.926486","12","10","295","1064938","1022370023","Marble Hill-Inwood"
"72161/19","101468","396 KINGSTON AVENUE","GROUND FLOOR STORE","2020-03-02T00:00:00.000","Henry","Daley","Commercial","BROOKLYN","11225","Not an Ejectment","Possession","40.665085","-73.942608","9","35","333","3034285","3012990046","Crown Heights South"
"K56759/17B","079527","1022 RUTLAND ROAD",,"2017-08-01T00:00:00.000","Ileana","Rivera","Residential","BROOKLYN","11212","Not an Ejectment","Possession","40.663042","-73.925795","17","41","884","3099988","3046130005","Rugby-Remsen Village"
"64316/16","059023","2180 HOLLAND AVENUE","3D","2017-06-29T00:00:00.000","Justin","Grossman","Residential","BRONX","10462","Not an Ejectment","Possession","40.855858","-73.865699","11","13","22403","2049414","2043200014","Pelham Parkway"
"86382/15B","057731","1338 BERGEN STREET","3","2017-01-06T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11213","Not an Ejectment","Possession","40.675561","-73.940256","8","36","311","3030822","3012230023","Crown Heights North"
"63865/18","033565","41-15 51ST STREET","A22","2019-03-05T00:00:00.000","Bruce","Kemp","Residential","QUEENS","11377","Not an Ejectment","Possession","40.745530","-73.913465","2","26","25302","4030735","4013140017","Hunters Point-Sunnyside-West Maspeth"
"20080/18","082820","710 EAST 230TH ST","3","2018-12-18T00:00:00.000","Justin","Grossman","Residential","BRONX","10466","Not an Ejectment","Possession","40.891126","-73.857884","12","12","422","2115396","2048430150","Williamsbridge-Olinville"
"304912/21","105991","118-82 METROPOLITAN AVENUE","5F","2023-01-10T00:00:00.000","Henry","Daley","Residential","QUEENS","11415","Not an Ejectment","Possession","40.706295","-73.832306","9","29","134","4079392","4033227501","Kew Gardens"
"029941/16","072636","1955 GRAND CONCOURSE","S2D","2017-08-31T00:00:00.000","Henry","Daley","Residential","BRONX","10453","Not an Ejectment","Possession","40.850655","-73.905048","5","14","23501","2007688","2028080051","Mount Hope"
"16771/16","004331","2832 W 23RD ST","11A","2017-10-25T00:00:00.000","Frank","Siracusa","Residential","BROOKLYN","11224","Not an Ejectment","Possession","40.577620","-73.990378","13","47","326","3188894","3070150015","Seagate-Coney Island"
"25006/18","084595","861 EAST 163RD ST","1J","2019-04-16T00:00:00.000","Henry","Daley","Residential","BRONX","10459","Not an Ejectment","Possession","40.821993","-73.900045","2","17","12901","2109536","2026900173","Longwood"
"308301/20B","107795","1155 GRAND CONCOURSE","5I","2022-07-29T00:00:00.000","Justin","Grossman","Residential","BRONX","10452","Not an Ejectment","Possession","40.833321","-73.918837","4","16","197","2002838","2024630021","West Concourse"
"6618/20","361013","50 EAST 191 STREET","5A","2022-08-10T00:00:00.000","Thomas","Bia","Residential","BRONX","10468","Not an Ejectment","Possession","40.863974","-73.898210","7","14","401","2013932","2031750015","Bedford Park-Fordham North"
"B60590/17","085397","3065 GRAND CONCOURSE","1E","2019-08-15T00:00:00.000","Ileana","Rivera","Residential","BRONX","10468","Not an Ejectment","Possession","40.874344","-73.886667","7","11","411","2017311","2033100040","Bedford Park-Fordham North"
"Q75284/16","074500","58-25 MYRTLE AVENUE","3-A","2017-03-07T00:00:00.000","Ileana","Rivera","Residential","QUEENS","11385","Not an Ejectment","Possession","40.700503","-73.900966","5","34","551","4437728","4034760013","Ridgewood"
"250222/18","077598","2032 LEXINGTON AVE","4A","2018-10-18T00:00:00.000","Justin","Grossman","Residential","MANHATTAN","10035","Not an Ejectment","Possession","40.803388","-73.938151","11","9","196","1054449","1017720057","East Harlem North"
"301252/22","28446","236 BEACH 87 STREET","1","2022-12-15T00:00:00.000","Edward","Guida","Residential","QUEENS","11693","Not an Ejectment","Possession","40.588152","-73.812217","14","32","94202","4435874","4161200014","Hammels-Arverne-Edgemere"
"58655/17","064285","360 WEST 43RD STREET","S14C","2017-08-30T00:00:00.000","Justin","Grossman","Residential","MANHATTAN","10036","Not an Ejectment","Possession","40.758594","-73.990947","4","3","121","1086106","1010330001","Clinton"
"310102/22","15109","225 E 82ND STREET","7A","2023-02-17T00:00:00.000","Robert","Renzulli","Residential","MANHATTAN","10028","Not an Ejectment","Possession","40.775941","-73.955142","8","5","138","1048649","1015280013","Yorkville"
"11282/18","343402","3296 PERRY AVENUE","4E","2018-04-24T00:00:00.000","Thomas","Bia","Residential","BRONX","10467","Not an Ejectment","Possession","40.876967","-73.875384","7","11","42902","2018358","2033470029","Norwood"
"78351/16","058156","4308 BROADWAY","UNIT 18","2017-01-03T00:00:00.000","Justin","Grossman","Residential","MANHATTAN","10033","Not an Ejectment","Possession","40.851765","-73.934910","12","10","271","1063930","1021640042","Washington Heights North"
"52710/18","349353","3204 KINGSBRIDGE AVENUE","5-A","2018-12-14T00:00:00.000","Thomas","Bia","Residential","BRONX","10463","Not an Ejectment","Possession","40.881137","-73.905268","8","11","287","2083551","2057540001","Spuyten Duyvil-Kingsbridge"
"302422/22","079124","4409 ARTHUR KILL RD","TRAILER-ENTIRE PREM","2023-03-20T00:00:00.000","Kenneth","Giachetta","Commercial","STATEN ISLAND","10309","Not an Ejectment","Possession","40.534891","-74.235898","3","51","226","5086859","5074060001","Charleston-Richmond Valley-Tottenville"
"74615/17","341950","2906 FREDERICK DOUGLAS BOULEVARD","6A","2018-03-15T00:00:00.000","Thomas","Bia","Residential","MANHATTAN","10039","Not an Ejectment","Possession","40.828343","-73.937882","10","9","236","1060627","1020390061","Central Harlem North-Polo Grounds"
"318290/22","210617","242 WEST 53RD STREET","55E","2023-03-20T00:00:00.000","Richard","Capuano","Residential","MANHATTAN","10019","Not an Ejectment","Possession","40.763767","-73.983799","5","3","131","1090495","1010240052","Midtown-Midtown South"
"59134/18","011136","115 OCEAN AVENUE","D4","2018-09-12T00:00:00.000","George","Essock, Jr.","Residential","BROOKLYN","11225","Not an Ejectment","Possession","40.659936","-73.962710","9","40","79802","3114592","3050260039","Prospect Lefferts Gardens-Wingate"
"051685/20","105579","61-49 55TH STREET","2","2022-03-10T00:00:00.000","Henry","Daley","Residential","QUEENS","11378","Not an Ejectment","Possession","40.713635","-73.908334","5","30","595","4059428","4026450020","Ridgewood"
"50041/17","338083","4206 CARPENTER AVENUE","B4","2018-02-14T00:00:00.000","Thomas","Bia","Residential","BRONX","10466","Not an Ejectment","Possession","40.894604","-73.860090","12","11","420","2068051","2049940041","Williamsbridge-Olinville"
"K87497/17","084462","5314 13TH AVENUE","4 (3 REAR)","2018-01-16T00:00:00.000","Ileana","Rivera","Residential","BROOKLYN","11219","Not an Ejectment","Possession","40.632651","-73.994607","12","44","218","3139007","3056690058","Borough Park"
"67323/18","090841","3240 KINGSBRIDGE AVE","2E","2019-04-11T00:00:00.000","Justin","Grossman","Residential","BRONX","10463","Not an Ejectment","Possession","40.882026","-73.904406","8","11","287","2083559","2057550025","Spuyten Duyvil-Kingsbridge"
"202/17","061720","3346-3348 HULL AVENU E","BB","2017-12-14T00:00:00.000","Justin","Grossman","Residential","BRONX","10467","Not an Ejectment","Possession","40.877797","-73.873816","7","11","42902","2018499","2033520029","Norwood"
"65403/17","14294","100-46 205TH PLACE",,"2018-03-06T00:00:00.000","Edward","Guida","Residential","QUEENS","11423","Not an Ejectment","Possession","40.711558","-73.753972","12","27","510","4232506","4108720029","Hollis"
"22257/19","11225","2483 TIEBOUT AVENUE - C1","C1","2019-10-02T00:00:00.000","Robert","Renzulli","Residential","BRONX","10458","Not an Ejectment","Possession","40.861562","-73.895047","5","15","39902","2013481","2031480027","Bedford Park-Fordham North"
"59529/17","071054","782 EAST 32ND STREET","C11","2017-05-31T00:00:00.000","Henry","Daley","Residential","BROOKLYN","11210","Not an Ejectment","Possession","40.632396","-73.945691","14","45","786","3205933","3075590001","Flatbush"
"325930/22","003628","539 HEGEMAN AVE","2F","2023-08-15T00:00:00.000","Salavatore","Giglio","Residential","BROOKLYN","11207","Not an Ejectment","Possession","40.659993","-73.891532","5","42","1128","3096479","3042990048","East New York (Pennsylvania Ave)"
"37540/18","484180","1779 FULTON AVENUE","1B","2019-03-27T00:00:00.000","Danny","Weinheim","Residential","BRONX","10457","Not an Ejectment","Possession","40.843037","-73.896952","3","15","165","2009661","2029300060","Claremont-Bathgate"
"58848/16","5879","216-10 JAMAICA AVENUE","2F","2017-04-20T00:00:00.000","Edward","Guida","Residential","QUEENS","11428","Not an Ejectment","Possession","40.717566","-73.738669","13","27","568","4451761","4107590152","Queens Village"
"70971/18B","090428","39-46 65TH STREET","2R","2019-02-15T00:00:00.000","Justin","Grossman","Residential","QUEENS","11377","Not an Ejectment","Possession","40.745675","-73.899203","2","26","261","4030120","4012960051","Woodside"
"68029/18","084234","227 WEST 149TH STREE T","5A","2018-09-11T00:00:00.000","Justin","Grossman","Residential","MANHATTAN","10039","Not an Ejectment","Possession","40.824622","-73.938229","10","9","234","1084145","1020350001","Central Harlem North-Polo Grounds"
"79820/16","330272","4996 BROADWAY","5L","2017-02-21T00:00:00.000","Thomas","Bia","Residential","MANHATTAN","10034","Not an Ejectment","Possession","40.868220","-73.918241","12","10","303","1064870","1022290005","Marble Hill-Inwood"
"K58758/17","095516","8210 19TH AVENUE","A-4","2017-08-02T00:00:00.000","Darlene","Barone","Residential","BROOKLYN","11214","Not an Ejectment","Possession","40.608003","-73.998318","11","47","278","3164658","3063150034","Bensonhurst West"
"16401/18","347641","1285 ARNOW AVENUE","2, ROOM#2","2019-02-13T00:00:00.000","Thomas","Bia","Residential","BRONX","10469","Not an Ejectment","Possession","40.867574","-73.849572","11","12","350","2055977","2045860006","Allerton-Pelham Gardens"
"15507/18","343959","1511 BRYANT AVENUE","2/ 2ND FL","2018-07-02T00:00:00.000","Thomas","Bia","Residential","BRONX","10460","Not an Ejectment","Possession","40.832869","-73.887276","3","17","157","2010759","2029950025","Crotona Park East"
"21400/18","084146","331 EAST 132ND ST","2P","2018-08-30T00:00:00.000","Henry","Daley","Residential","BRONX","10454","Not an Ejectment","Possession","40.806023","-73.927612","1","8","19","2117112","2022957501","Mott Haven-Port Morris"
"303723/23","117726","1567 NOSTRAND AVENUE","5H","2023-06-05T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11226","Not an Ejectment","Possession","40.647807","-73.949239","17","45","824","3110010","3049010052","Erasmus"
"303237/22","14460","851 44TH STREET APARTMENT NO. D6","D6","2023-04-28T00:00:00.000","Robert","Renzulli","Residential","BROOKLYN","11220","Not an Ejectment","Possession",,,,,,,,
"55542/18","012426","37-51 86TH ST","6C","2018-07-25T00:00:00.000","George","Essock, Jr.","Residential","QUEENS","11372","Not an Ejectment","Possession","40.749068","-73.880387","3","21","279","4036260","4014740047","Jackson Heights"
"51318/19","22661","223-26 56TH AVENUE",,"2019-04-11T00:00:00.000","Edward","Guida","Residential","QUEENS","11364","Not an Ejectment","Possession","40.754032","-73.756071","11","23","138501","4161788","4075310024","Oakland Gardens"
"51995/18","205667","141-30 PERSHING CRESCENT","3I","2018-08-13T00:00:00.000","Richard","Capuano","Residential","QUEENS","11435","Not an Ejectment","Possession","40.712047","-73.815998","8","24","22002","4207838","4097150146","Briarwood-Jamaica Hills"
"76924/18","10424","1968 3RD AVENUE","13","2019-05-20T00:00:00.000","Robert","Renzulli","Residential","MANHATTAN","10029","Not an Ejectment","Possession","40.793024","-73.943625","11","8","172","1052114","1016360034","East Harlem South"
"74913/18","088198","271 WEST 140TH ST","5C","2018-12-13T00:00:00.000","Justin","Grossman","Residential","MANHATTAN","10030","Not an Ejectment","Possession","40.819272","-73.943259","10","9","230","1060397","1020260006","Central Harlem North-Polo Grounds"
"301265/22","001224","615 WEST 164TH ST","41A","2022-07-27T00:00:00.000","David","Smith","Residential","MANHATTAN","10032","Not an Ejectment","Possession","40.838655","-73.942202","12","7","245","1063373","1021370147","Washington Heights South"
"10187/16","075279","100 KRAMER ST.","2D","2017-03-24T00:00:00.000","Kenneth","Giachetta","Residential","STATEN ISLAND","10305","Not an Ejectment","Eviction","40.596917","-74.078748","2","50","64","5109508","5032430100","Grasmere-Arrochar-Ft. Wadsworth"
"302339/22","079186","131 BANCROFT AVENUE",,"2023-03-30T00:00:00.000","Kenneth","Giachetta","Residential","STATEN ISLAND","10306","Not an Ejectment","Possession","40.576977","-74.110683","2","50","122","5052011","5036060019","New Dorp-Midland Beach"
"67256/18","10546","186-39 140TH AVE - 2ND FLR","2ND FLR","2019-04-09T00:00:00.000","Robert","Renzulli","Residential","QUEENS","11413","Not an Ejectment","Possession",,,,,,,,
"73750/18A","093846","448 SAPPHIRE STREET","1","2019-06-03T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11208","Not an Ejectment","Possession","40.667330","-73.856544","5","42","1220","3392874","3045190123","East New York"
"307677/22","109549","10 RICHMAN PLAZA","14K","2023-03-02T00:00:00.000","Justin","Grossman","Residential","BRONX","10453","Not an Ejectment","Possession","40.851533","-73.922961","5","16","53","2093973","2028820229","University Heights-Morris Heights"
"056087/19","100291","23-30 130 STREET","3RD FLOOR APARTMENT","2019-12-06T00:00:00.000","Henry","Daley","Residential","QUEENS","11356","Not an Ejectment","Possession","40.777948","-73.838910","7","19","907","4100047","4042340050","College Point"
"25844/18","003919","1115 WALTON AVENUE","23","2018-07-30T00:00:00.000","Vadim","Barbarovich","Residential","BRONX","10452","Not an Ejectment","Possession","40.832916","-73.920742","4","16","195","2002949","2024780040","West Concourse"
"73308/18","20526","190-20 99TH AVENUE","2F","2019-07-15T00:00:00.000","Edward","Guida","Residential","QUEENS","11423","Not an Ejectment","Possession","40.709690","-73.767545","12","27","50201","4310708","4108390019","Hollis"
"62013/17","078191","10644 RUSCOE STREET","1ST FLOOR APARTMENT","2018-03-06T00:00:00.000","Henry","Daley","Residential","QUEENS","11433","Not an Ejectment","Possession","40.702191","-73.780233","12","27","414","4218512","4102520058","South Jamaica"
"68193/16","334079","1350 UNIVERSITY AVENUE","2F","2017-07-20T00:00:00.000","Thomas","Bia","Residential","BRONX","10452","Not an Ejectment","Possession","40.841498","-73.926648","4","16","201","2003534","2025320020","Highbridge"
"37454/17","339013","858 EAST 222ND STREET","2ND FLOOR","2018-07-16T00:00:00.000","Thomas","Bia","Residential","BRONX","10467","Not an Ejectment","Possession","40.884252","-73.857143","12","12","396","2058648","2046800068","Williamsbridge-Olinville"
"51538/18","078042","914 GLENMORE AVENUE","2","2018-04-09T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11208","Not an Ejectment","Possession","40.676086","-73.876253","5","37","1192","3094576","3042090014","East New York"
"B310386/22","124120","1758 EASTBURN AVENUE","4G","2023-08-21T00:00:00.000","Darlene","Barone","Residential","BRONX","10457","Not an Ejectment","Possession","40.846378","-73.908325","5","15","22901","2007419","2027960013","Mount Hope"
"63092/17","474660","450 W 17TH ST.","316","2017-12-05T00:00:00.000","Danny","Weinheim","Residential","MANHATTAN","10011","Not an Ejectment","Possession","40.743690","-74.005955","4","3","83","1080359","1007147501","Hudson Yards-Chelsea-Flatiron-Union Square"
"309047/20","021886","3004 HEATH AVENUE","22","2022-12-06T00:00:00.000","George","Essock, Jr.","Residential","BRONX","10463","Not an Ejectment","Possession","40.876022","-73.903001","8","14","273","2015736","2032560172","Van Cortlandt Village"
"5230/19","353385","1268 CLAY AVENUE","3B","2019-07-01T00:00:00.000","Thomas","Bia","Residential","BRONX","10456","Not an Ejectment","Possession","40.833784","-73.909798","4","16","17701","2002100","2024270018","East Concourse-Concourse Village"
"43863/17","341374","1720 UNIVERSITY AVENUE","4G","2018-03-09T00:00:00.000","Thomas","Bia","Residential","BRONX","10453","Not an Ejectment","Possession","40.848743","-73.917856","5","14","21502","2008834","2028760106","University Heights-Morris Heights"
"96372/17","15725","282 BLEECKER STREET","3L","2018-04-26T00:00:00.000","Edward","Guida","Residential","BROOKLYN","11237","Not an Ejectment","Possession","40.699582","-73.916832","4","37","433","3075707","3033090016","Bushwick North"
"85135/16","020524","143 E 89TH STREET  APT LOWER LEVEL",,"2017-02-16T00:00:00.000","Gary","Rose","Residential","BROOKLYN","11236","Not an Ejectment","Possession",,,,,,,,
"75378/17","079228","102-40 62ND AVENUE","6R","2018-04-13T00:00:00.000","Henry","Daley","Residential","QUEENS","11375","Not an Ejectment","Possession","40.735750","-73.855780","6","29","719","4050999","4021210021","Forest Hills"
"61919/19","097770","110-15 63RD AVENUE","SECOND FLOOR","2019-09-04T00:00:00.000","Justin","Grossman","Residential","QUEENS","11375","Not an Ejectment","Possession","40.735831","-73.847848","6","29","747","4051991","4021800068","Forest Hills"
"307432/21","022209","400 W 42 ST AKA 577 9 AVE RM 27A AKA2701",,"2022-09-20T00:00:00.000","George","Essock, Jr.","Residential","MANHATTAN","10036","Not an Ejectment","Possession","40.758504","-73.992835","4","3","115","1089690","1010517503","Clinton"
"62154/18","28084","175-20 WEXFORD TERRACE","14S","2022-05-11T00:00:00.000","Edward","Guida","Residential","QUEENS","11432","Not an Ejectment","Possession","40.712499","-73.788153","8","24","466","4589727","4098350003","Jamaica Estates-Holliswood"
"67467/18","114488","222-89 BRADDOCK AVENUE","#3G","2018-09-18T00:00:00.000","Maxine","Chevlowe","Residential","QUEENS","11428","Not an Ejectment","Possession","40.728384","-73.735581","13","23","1621","4166895","4079680031","Bellerose"
"305510/22","29109","1663 PARK AVENUE IN THE BUILDING KNOWN AS 1661 PARK AVENUE AKA 101-105 EAST 117TH STREET",,"2023-02-14T00:00:00.000","Edward","Guida","Commercial","MANHATTAN","10035","Not an Ejectment","Possession",,,,,,,,
"308125/21","030895","72-30 ROOSEVELT AVE IN THE BUILDING KNOWN AS 72-22 72-30 ROOSEVELT",,"2023-05-04T00:00:00.000","Gary","Rose","Commercial","QUEENS","11372","Not an Ejectment","Possession",,,,,,,,
"57620/17","293334","36-11 STARR AVENUE   AUTO REPAIR SHOP",,"2017-07-27T00:00:00.000","George","Essock","Commercial","QUEENS","11101","Not an Ejectment","Possession",,,,,,,,
"68892/17","072666","1355 NEW YORK AVENUE","3G","2017-07-21T00:00:00.000","Henry","Daley","Residential","BROOKLYN","11210","Not an Ejectment","Possession","40.639879","-73.945480","17","45","830","3327231","3049670040","East Flatbush-Farragut"
"211548/18","091205","2155 MADISON AVENUE","08C","2019-04-11T00:00:00.000","Henry","Daley","Residential","MANHATTAN","10037","Not an Ejectment","Possession","40.811923","-73.936127","11","9","210","1081121","1017570020","East Harlem North"
"64659/19A","101468","215-17 23RD ROAD","SECOND FLOOR","2020-02-10T00:00:00.000","Justin","Grossman","Residential","QUEENS","11361","Not an Ejectment","Possession","40.782515","-73.775097","7","19","99703","4132694","4059520028","Ft. Totten-Bay Terrace-Clearview"
"10605/18","033301","440 EAST 105TH STREET","06H","2019-06-18T00:00:00.000","Bruce","Kemp","Residential","MANHATTAN","10029","Not an Ejectment","Eviction","40.788290","-73.939010","11","8","162","1083949","1016960001","East Harlem South"
"63812/17","10586","533A MACON STREET",,"2018-01-30T00:00:00.000","Edward","Guida","Residential","BROOKLYN","11233","Not an Ejectment","Possession","40.683307","-73.930370","3","36","295","3046527","3016660059","Stuyvesant Heights"
"70261/19","103299","753 SENECA AVENUE","3R","2020-02-19T00:00:00.000","Justin","Grossman","Residential","QUEENS","11385","Not an Ejectment","Possession","40.702284","-73.906784","5","34","549","4082668","4034590012","Ridgewood"
"B27281/18","107257","1133 MORRISON AVE","2D","2018-10-15T00:00:00.000","Darlene","Barone","Residential","BRONX","10472","Not an Ejectment","Possession","40.827531","-73.874121","9","18","48","2024010","2037440029","Soundview-Bruckner"
"73371/17","13858","20-40 SEAGIRT BOULEVARD","5F","2018-01-08T00:00:00.000","Edward","Guida","Residential","QUEENS","11691","Not an Ejectment","Possession","40.595233","-73.756262","14","31","99801","4440254","4157800020","Far Rockaway-Bayswater"
"31204/17","073153","814 EAST 181ST ST","3E","2018-04-10T00:00:00.000","Henry","Daley","Residential","BRONX","10460","Not an Ejectment","Possession","40.847136","-73.884526","6","15","36501","2012995","2031110009","East Tremont"
"60438/19-2","019645","1270 FULTON STREET   COMMERICAL STORE",,"2020-01-27T00:00:00.000","George","Essock, Jr.","Residential","BROOKLYN","11216","Not an Ejectment","Possession",,,,,,,,
"B810189/16","375014","595 TRINITY AVENUE","12G","2018-08-08T00:00:00.000","Richard","McCoy","Residential","BRONX","10455","Not an Ejectment","Possession","40.814870","-73.909517","1","17","73","2091317","2026230135","Melrose South-Mott Haven North"
"307067/21*","173773","555 KINGSTON AVE","A4","2023-06-07T00:00:00.000","Alfred","Locascio","Residential","BROOKLYN","11203","Not an Ejectment","Possession","40.660230","-73.942569","9","41","810","3107038","3048040001","Prospect Lefferts Gardens-Wingate"
"27263/18","085365","2087 CRESTON AVENUE","4I","2018-08-28T00:00:00.000","Henry","Daley","Residential","BRONX","10453","Not an Ejectment","Possession","40.853755","-73.903926","5","14","241","2114118","2031690045","Mount Hope"
"71132/17NY","079497","100 WEST 57TH STREET","3J/3K","2018-08-02T00:00:00.000","Justin","Grossman","Residential","MANHATTAN","10019","Not an Ejectment","Possession","40.764428","-73.977470","5","4","137","1023456","1010090029","Midtown-Midtown South"
"301489/20","108372","172-11 111TH AVENUE","ENTIRE PREMISES","2022-06-30T00:00:00.000","Justin","Grossman","Residential","QUEENS","11433","Not an Ejectment","Possession","40.695025","-73.780210","12","27","434","4218978","4102710014","South Jamaica"
"309172/22","14296","509-511 WEST 181ST STREET APT. 22","22","2022-10-17T00:00:00.000","Robert","Renzulli","Residential","MANHATTAN","10033","Not an Ejectment","Possession","40.848321","-73.931335","12","10","269","1063702","1021550028","Washington Heights North"
"85961/17","153777","2657 BEDFORD AVENUE","2A","2018-04-05T00:00:00.000","Ronald","Pazant","Residential","BROOKLYN","11210","Not an Ejectment","Possession","40.637678","-73.953772","14","45","770","3120808","3052250034","Flatbush"
"61319/19","11033","581 OCEAN PARKWAY - APT #7-E","#7-E","2019-07-22T00:00:00.000","Robert","Renzulli","Residential","BROOKLYN","11218","Not an Ejectment","Possession","40.634437","-73.972402","12","39","484","3425442","3054000068","Kensington-Ocean Parkway"
"303350/21N","115053","574 WEST 161ST   STR EET","BSMT","2023-03-14T00:00:00.000","Justin","Grossman","Residential","MANHATTAN","10032","Not an Ejectment","Possession","40.836135","-73.942078","12","7","245","1062824","1021190012","Washington Heights South"
"72177/16","006550","64-16 MYRTLE AVENUE  2ND FLOOR","2F","2017-05-03T00:00:00.000","George","Essock, Jr.","Residential","QUEENS","11385","Not an Ejectment","Possession","40.701003","-73.891909","5","30","577","4086901","4035930023","Glendale"
"29185/18","346262","114 FIELD PLACE","BSMT","2018-08-07T00:00:00.000","Thomas","Bia","Residential","BRONX","10468","Not an Ejectment","Possession","40.859195","-73.900741","5","14","23703","2013887","2031720022","Fordham South"
"72336/16","475211","2508 BROADWAY","10E","2018-02-16T00:00:00.000","Danny","Weinheim","Residential","MANHATTAN","10025","Not an Ejectment","Possession","40.792999","-73.972975","7","6","179","1033647","1012410023","Upper West Side"
"52254/18","343334","201 EAST 86TH STREET","26-F","2018-06-01T00:00:00.000","Thomas","Bia","Residential","MANHATTAN","10028","Not an Ejectment","Possession","40.778688","-73.953642","8","5","14602","1048787","1015320001","Yorkville"
"80783/16","054874","278 ALBANY AVENUE","1","2017-03-03T00:00:00.000","Justin","Grossman","Residential","BROOKLYN","11213","Not an Ejectment","Possession","40.670908","-73.939283","8","35","339","3032509","3012580042","Crown Heights North"
"B021965/17","380941","2045 STORY AVENUE","8K","2017-06-07T00:00:00.000","Richard","McCoy","Residential","BRONX","10473","Not an Ejectment","Possession","40.824831","-73.854232","9","18","98","2092769","2036810001","Westchester-Unionport"
"78964/17","003109","517-519 BROOME STREET",,"2019-06-17T00:00:00.000","Vadim","Barbarovich","Commercial","MANHATTAN","10013","Not an Ejectment","Possession","40.723731","-74.003756","2","3","47","1007104","1004760026","SoHo-TriBeCa-Civic Center-Little Italy"
"B307277/21","121530","1570A BOGART AVENUE","2","2023-08-09T00:00:00.000","Darlene","Barone","Residential","BRONX","10462","Not an Ejectment","Possession","40.844120","-73.855032","11","13","244","2114866","2040590037","Van Nest-Morris Park-Westchester Square"
"80551/16","8239","307 BEACH 70TH ST","2","2017-07-20T00:00:00.000","Edward","Guida","Residential","QUEENS","11692","Not an Ejectment","Possession","40.591188","-73.798936","14","31","954","4303318","4160830032","Hammels-Arverne-Edgemere"
