"clientid","resp","qrep","qkey","qcell","sc1","sc2","sc3","sc4","sc4a_1","sc4a_2","sc4c","sc4b","sc4b1","sc4b2","selchild","sc4d","sc4d1","sc5","sc6","sc6a","sc7","mp1","ph1","bc1a","bc1","bc2","bc3","pph1","pph2a","pph2b","pph2c","el1","el3","el4","el7","el8","el9","el10","el11","el12_1","el12_2","el12_3","el12wks","el12mns","el13a","el13b","el13c","el13d","el13e","el14","el15","el16","el17a","el17b","el17c","el17d","el17e","el17f","cp1","cp2","cp3","cp4","cp5","cp6a","cp6b","cp6c","cp7","cp8","cp9","cp10_1","cp10_2","cp10_3","cp10wks","cp10mns","ih1","ih2","ih3","ih4_1","ih4_2","ih4_3","ih4_4","ih4_5","ih5","ih5a_1","ih5a_2","ih5a_3","ih5a_4","bf1_1","bf1_2","bf1_3","bf1_4","bf1_5","bf1wks","bf1mns","bf1a_1","bf1a_2","bf1a_3","bf1a_4","bf1awks","bf1amns","bf2","mh1","mh2","mh3","mh3a","mh4","cc1","sd1_1","sd1_2","sd1wks","sd1mns","sd2","d1","d1yob","d2","fixd2","d3","d4_1","d4_2","d4_3","d4_4","d4_5","d4_6","d5","d6","d7","de1","de2_1","de2_2","de2_3","de2_4","de2_5","de2_6","de3","st1","st2","st3","st4","st5","es1a","es1b","es2","es3","es4","fulladra","qc1","lang","samp_weight","pop_weight","stratum","odate","fdate"
"3568","1176","18","203568","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","3","4","1","1","2","1",,,,"1","4","1","2","77","1","35","4",,,,,,,,,,,,"1",,"1","2","1","2","1","2","1","1","1","1","2","4","3","6","1","45","4",,,,,,"2","1","1",,,,,,"2",,,,,"4",,,,,,"15","3",,,,,"6","3","5","2",,,"3","3",,,,,"1","1","1988","1","11232","1","8",,,,,,"56","2","4","1","8",,,,,,"56","4","4","4","3","2","4","4","2","1","3","1","2","2","0.51741481828191516","52.742238993184571","1","22-Mar-16","22-Mar-16"
"3570","930","7","203570","1","1","1","2","1",,,,"1",,,,"2","1",,"1","2","1","0","2","10","1","1","2","1",,,,"1","2","1","1","6","1","40","1","3",,,,"3","3","0","2","2","0","1","1",,"1","2","77","2","2","1","1","1","1","1","2","3","3","3","1","40","4",,,,,,"2","1","1",,,,,,"2",,,,,"1",,,,,,,,,,,,,,"5","2",,,"3","6","2",,,"3","2","1","1991","1","11208","2","2",,,,,,"1",,"4","2","2",,,,,,"1","4","4","4","1","3","2","4","1","5","2","1","2","1","0.49626556883185241","50.586408256203384","1","17-Mar-16","17-Mar-16"
"3575","171","8","203575","0","1",,,"1",,,,"1",,,,"1","1",,"1","2","1","2","1","5","1","1","2","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","1","1","4","1","40","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"3","3",,,,,"5","1","5","2",,,"1",,,,,,,"1","1983","1","10456","1","8",,,,,,"2","3","3","1","8",,,,,,"2","4","4","4","4","4","4","4","2","77","5","1","2","2","1.6666302880439814","169.88653950262807","2","25-Feb-16","25-Feb-16"
"3587","1253","24","203587","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","2","1","12","1","2","3","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","1","1","1","1","40","2","2",,,"1",,"3","1","1",,,,,,"2",,,,,"1",,,,,,,,,,,,,,"5","2",,,"3",,,,,,,"1","1983","1","11214","1","1",,,,,,"38","3","3","1","1",,,,,,"56","4","4","4","4","4","2","4","2","1","4","1","2","2","1.8132205803719883","184.82909614937645","2","23-Mar-16","23-Mar-16"
"3590","1345","23","203590","0","1",,,"1",,,,"1",,,,"1","1",,"1","2","1","4","1","8","1","1","2","1",,,,"1","1","1","1","9","1","46","1","3",,,,"3","3","0","0","0","0","2","1",,"1","2","2","2","1","2","2",,,,,,,,,,,,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"17","3",,,,,"2","3","5","2",,,"1","6","2",,,"5","1","1","1976","1","10456","2","2",,,,,,"2","3","3",,,,,,,,,"4","4","4","4","4","3","4","2","1","5","1","2","1","0.90769120952155558","92.524730666902784","1","24-Mar-16","24-Mar-16"
"3591","1507","23","203591","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","2","3","6","1","1","4","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","2","2","2","1","48","4",,,,,,"3","1","1",,,,,,"2",,,,,"4",,,,,,"1","1",,,,,,"3","3","2",,,"3",,,,,,,"1","1986","1","11223","2","1",,,,,,"2","3","3","2","1",,,,,,"2","4","4","4","4","4","4","4","2","77","5","1","2","1","2.037096647001047","207.6497124011716","2","30-Mar-16","30-Mar-16"
"3598","4","1","203598","0","1",,,"1",,,,"1",,,,"1","1",,"1","2","1","0","2","6","1","2","3","1",,,,"1","2","1","2","1","1","40","4",,,,,,,,,,,,"4",,"2","77","2","2","1","2","1","1","2","1","1","1","1","1","2","0",,,,,,,"1","1","1",,,,,,"2",,,,,"1",,,,,,,,,,,,,,"5","2",,,"1","3",,,,,"1","1","1987","1","11432","1","2",,,,,,"35","2","4","1","2",,,,,,"35","4","4","4","4","4","4","4","2","1","3","1","2","1","0.48892784757142232","49.838443886593637","1","24-Feb-16","24-Feb-16"
"3603","652","12","203603","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","1","3","10","1","2","2","1",,,,"1","2","1","1","9","1","32","4",,,,,,,,,,,,"2","3",,,,,,,"1","1","2","1","3","1","1","3","1","40","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"4","1",,,,,,"1","5","2",,,"3",,,,,,,"1","1994","1","11213","1","8",,,,,,"26","2","4","1","8",,,,,,"26","4","4","2","4","2","2","2","1","1","3","1","2","1","0.48083654835063055","49.013664189163613","1","9-Mar-16","9-Mar-16"
"3606","691","8","203606","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","2","1","11","1","1","2","1",,,,"1","3","1","1","9","1","40","2","2",,,"6",,,,,,,"1","1",,"1","1","1","1","2","1","1","1","1","1","2","1","6","1","1","35","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"3","3",,,,,"6","1","5","2",,,"1","5",,,,,"1","1","1990","1","11096","2","1",,,,,,"1",,"4","2","1",,,,,,"1","4","4","4","4","4","4","4","2","9","5","1","2","1","0.55043418655158394","56.108040186249696","1","10-Mar-16","10-Mar-16"
"3609","355","9","203609","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","3","12","1","1","2","1",,,,"1","2","1","1","77","1","40","2","3",,,,"3",,,,,,"1","1",,"1","2","2","2","2","2","1","1","1","2","2","2","3","5","2","45","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"6","3",,,,,"6","5","4","2",,,"3","5",,,,,"1","1","1992","1","11233","2","2",,,,,,"1",,"4","1","77",,,,,,"1","4","2","4","2","3","3","2","2","3","2","1","2","1","0.63040116959432724","64.259406521696079","1","29-Feb-16","29-Feb-16"
"3612","811","9","203612","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","1","11","1","1","2","1",,,,"1","3","1","2","4","1","60","1","3",,,,"3","12","0","0","0","0","1","2","3",,,,,,,"1","1","1","1","4","5","5","5","1","80","1","1",,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"13","3",,,,,"6","4","5","2",,,"1",,,,,,,"1","1974","1","10016","1","2",,,,,,"1",,"6","2","2",,,,,,"1","4","4","4","4","4","4","4","2","12","3",,"2","1","0.29473435909820894","30.043495968434176","1","14-Mar-16","14-Mar-16"
"3614","1227","24","203614","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","1","1","8","1","2","3","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","1","1","1","1","1","1","1","40","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"1","3",,,,,"2","1","5","2",,,"1",,,,,,,"1","1990","1","10452","1","99",,,,,,"1",,"5","1","99",,,,,,"99","4","4","4","4","4","4","4","2","4","4","1","2","1","2.1169161818435489","215.78604872985849","2","23-Mar-16","23-Mar-16"
"3619","214","9","203619","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","3","12","1","2","3","1",,,,"1","1","1","1","9","1","40","3","3",,,,"3","3","8","0","0","0","1","1",,"1","2","1","1","2","1","1","1","1","1","1","1","1","1","2","70","2","1",,,,,"1","1","1",,,,,,"2",,,,,"1",,,,,,,,,,,,,,"5","2",,,"4","4",,,,,"1","1","1978","1","10304","2","1",,,,,,"1",,"5","2","1",,,,,,"1","4","4","4","4","4","4","4","2","11","3","1","2","1","0.37544449088294418","38.270614538205358","1","26-Feb-16","26-Feb-16"
"3621","671","11","203621","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","1","1","10","1","1","2","1",,,,"1","2","1","1","7","1","42","3","2",,,"20",,"0","0","8","12","0","1","4",,"1","1","2","2","2","1","1","1","1","1","2","1","3","2","2","0",,,,,,,"1","1","1",,,,,,"2",,,,,"3",,,,,"3",,"3",,,,,"4","2","5","2",,,"5","5",,,,,"1","1","1984","1","11214","2","1",,,,,,"32","2","6","2","1",,,,,,"32","4","3","2","2","3","4","4","2","8","4","1","2","1","0.59062191252180885","60.204541818638866","1","9-Mar-16","9-Mar-16"
"3623","754","13","203623","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","4","6","1","2","5","1",,,,"1","2","1","1","6","1","50","1","3",,,,"5","2","4","20","0","0","1","1",,"1","1","1","1","2","2","1","1","1","1","1","1","1","1","1","60","4",,,,,,"2","1","1",,,,,,"2",,,,,"1",,,,,,,,,,,,,,"5","2",,,"1","2",,,,,"1","1","1972","1","10453","1","2",,,,,,"26","3","6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","12","3","1","2","1","0.72766821879757104","74.17424037255843","1","12-Mar-16","12-Mar-16"
"3624","1109","11","203624","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","1","2","5","1","1","3","2","2","2","2","1","1","1","1","9","1","40","3","2",,,"8",,"0","0","4","4","0","1","1",,"1","1","2","1","2","1","1","1","1","1","1","1","1","1","2","666",,,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"12","2",,,,"2",,"1","5","2",,,"3","1",,,,,"1","1","1978","1","10960","2","1","2",,,,,"1",,"6","2","2",,,,,,"1","4","4","4","4","2","4","4","1","11","3","1","2","1","1.9661196063569464","200.41472819041704","1","21-Mar-16","21-Mar-16"
"3630","1449","23","203630","0","1",,,"1",,,,"1",,,,"1","1",,"1","2","1","2","1","7","1","1","2","1",,,,"1","2","1","1","8","1","40","3","2",,,"6",,"1","0","0","5","0","2","1",,"2","1","1","1","1","2","1","1","1","1","3","4","6","4","1","40","4",,,,,,"2","1","1",,,,,,"2",,,,,"4",,,,,,"13","3",,,,,"11","5","5","2",,,"2","6","1",,"6",,"1","1","1990","1","11219","2","1",,,,,,"1",,"4","2","1",,,,,,"1","4","4","4","4","2","3","4","2","3","5","1","2","1","0.53133222941839331","54.160898448597763","1","28-Mar-16","28-Mar-16"
"3632","868","17","203632","1","1","1","2","1",,,,"1",,,,"1","1",,"1","1","1","0","1","6","1","2","3","1",,,,"1","4","1","2","1","1","20","2","3",,,,"2",,,,,,"1","1",,"2","2","1","77","2","2","1","1","1","1","2","3","3","3","1","777",,,,,,,"1","1","1",,,,,,"2",,,,,"3",,,,,"2",,"1",,,,,,"1","5","2",,,"1","1",,,,,"1","1","1984","1","10034","1","1",,,,,,"26","3","5","1","1",,,,,,"26","4","4","4","1","2","3","4","2","2","2","1","1","2","0.41063832471745643","41.858068027360957","1","16-Mar-16","19-Mar-16"
"3638","170","8","203638","1","1","1","2","1",,,,"1",,,,"1","1",,"1","1","1","0","3","2","1","2","3","1",,,,"1","4","1","2","1","1","40","4",,,,,,,,,,,,"2","2",,,,,,,"1","1","1","1","1","5","5","5","1","40","2","2",,,"1",,"3","1","1",,,,,,"2",,,,,"1",,,,,,,,,,,,,,"4","2",,,"4",,,,,,,"1","1977","1","11237","1","1",,,,,,"28","3","3","1","1",,,,,,"28","4","4","4","4","4","2","4","2","1","3","1","2","2","2.0451031059586007","208.46584397859843","2","25-Feb-16","25-Feb-16"
"3660","575","12","203660","1","1","1","2","1",,,,"1",,,,"1","2",,"1","1","1","0","4","2","1","1","2","1",,,,"1","4","2","2","1","1","15","4",,,,,,,,,,,,"2","2",,,,,,,"1","1","1","1","1","3","1","3","1","8","2","2",,,"1",,"3","1","1",,,,,,"2",,,,,"4",,,,,,"12","3",,,,,"6","7","4","2",,,"3",,,,,,,"1","1980","1","11101","1","8",,,,,,"28","3","2","1","8",,,,,,"28","4","4","2","4","4","4","4","2","77","4","1","2","2","1.4517792672654657","147.98588361600821","2","8-Mar-16","10-Mar-16"
"3665","117","7","203665","1","1","1","2","1",,,,"1",,,,"2","1",,"1","2","1","3","3","10","1","1","2","2","1","1","2","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"1","1","2","1","1","2","2","3","2","777",,,,,,,"1","1","1",,,,,,"2",,,,,"3",,,,,"1",,"3",,,,,"5","7","5","2",,,"3",,,,,,,"1","1985","1","10457","1","8",,,,,,"56","3","2","1","8",,,,,,"56","4","4","4","4","2","1","1","2","1","5","1","2","2","1.7581890552032065","179.21950448315957","2","25-Feb-16","25-Feb-16"
"3671","48","3","203671","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","4","12","1","2","3","1",,,,"1","2","1","1","9","1","45","3","3",,,,"5","2","77","6","4","77","1","1",,"1","1","2","1","2","2","1","1","1","1","1","1","1","3","2","10","2","2",,,"52",,"4","1","1",,,,,,"2",,,,,"4",,,,,,"5","3",,,,,"6","5","4","2",,,"4","1",,,,,"2","1","1977","1","66044","1","77",,,,,,"56","1","6","1","77",,,,,,"56","4","4","4","2","4","4","4","2","77","3","1","2","1","0.34842846730321897","35.516759175077695","1","24-Feb-16","24-Feb-16"
"3676","320","10","203676","0","1",,,"1",,,,"1",,,,"1","2",,"1","2","1","0","3","4","1","1","2","1",,,,"1","2","1","1","7","1","25","1","3",,,,"3","0","0","12","0","0","1","1",,"1","1","2","2","1","2","2",,,,,,,,,,,,,,,,"2","1","1",,,,,,"2",,,,,"4",,,,,,"3","3",,,,,"5","1","3","2",,,"2","2",,,,,"1","1","1988","1","10467","1","4",,,,,,"1",,"4",,,,,,,,,"4","4","4","4","4","2","4","2","1","2","1","1","1","0.88551938794626339","90.264664910917503","1","29-Feb-16","12-Mar-16"
"3677","711","15","203677","0","1",,,"1",,,,"1",,,,"2","1",,"1","2","1","0","2","11","1","1","2","2","2","2","2","1","3","1","1","7","1","35","3","3",,,,"8","4","0","1","20","4","1","4",,"1","2","2","2","2","2","1","1","1","1","3","3","6","6","1","40","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"14","3",,,,,"6","7","5","2",,,"2","6","2",,,"7","1","77",,"1","11221","2","2",,,,,,"1",,"6","1","2",,,,,,"1","4","4","2","4","2","2","4","2","11","6","1","1","1","0.67848678895003067","69.160973192351378","1","10-Mar-16","10-Mar-16"
"3685","998","18","203685","1","1","1","2","1",,,,"1",,,,"2","1",,"1","2","1","0","2","8","1","1","2","1",,,,"1","2","1","1","7","1","40","2","3",,,,"12",,,,,,"2","1",,"2","2","1","2","1","2","1","1","2","1","1","3","3","3","1","50","4",,,,,,"2","1","1",,,,,,"2",,,,,"4",,,,,,"2","3",,,,,"6","4","5","2",,,"2","2",,,,,"1","1","1993","1","10462","2","2",,,,,,"1",,"5","2","2",,,,,,"1","4","4","4","4","4","3","4","2","5","2","1","2","1","0.66630848492453587","67.919588139682972","1","18-Mar-16","18-Mar-16"
"3694","611","14","203694","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","1","1","2","1","2","5","1",,,,"1","2","1","2","1","2","40","2","3",,,,"12",,,,,,"3","1",,"1","2","1","1","1","2","1","1","1","1","3","1","2","3","1","40","4",,,,,,"3","1","1",,,,,,"2",,,,,"4",,,,,,"2","3",,,,,"6","4","1","1","1","3","3","1",,,,,"2","1","1975","1","11368","1","1",,,,,,"62","3","5","1","1",,,,,,"28","4","2","4","3","2","2","4","1","4","4","1","2","2","0.35783608026112246","36.475716192637982","1","8-Mar-16","8-Mar-16"
"3703","557","12","203703","1","1","1","2","1",,,,"1",,,,"2","1",,"1","2","1","0","2","12","1","1","2","1",,,,"1","1","1","1","77","1","35","2","3",,,,"3",,,,,,"1","1",,"1","1","1","2","2","2","2",,,,,,,,,,,,,,,,"4","1","1",,,,,,"2",,,,,"4",,,,,,"9","3",,,,,"7","5","5","2",,,"3","3",,,,,"1","1","1988","1","11233","2","2",,,,,,"1",,"5",,,,,,,,,"4","4","4","4","2","3","2","2","1","2","1","2","1","0.67848678895003067","69.160973192351378","1","8-Mar-16","8-Mar-16"
"3712","16","1","203712","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","3","2","1","2","5","1",,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,"2",,,,,,,,,,,,,,,,"4","1","1",,,,,,"2",,,,,"1",,,,,,,,,,,,,,"5","2",,,"3",,,,,,,"1","1991","1","10456","1","8",,,,,,"1",,"5",,,,,,,,,"2","4","4","4","2","3","3","2","1","2","1","2","1","2.3959517225878608","244.22929901479796","2","24-Feb-16","4-Mar-16"
"3716","331","4","203716","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","1","4","2","1","1","2","1",,,,"1","2","1","1","8","2","40","3","3",,,,"6","8","0","8","8","0","1","1",,"1","1","2","1","1","2","1","1","1","1","1","1","1","1","1","80","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"1","3",,,,,"1","1","5","2",,,"1","5",,,,,"1","1","1987","1","23707","2","2",,,,,,"1",,"4","2","2",,,,,,"1","4","4","2","4","4","3","3","2","7","4","1","2","1","3.6530373283160862","372.36924999719463","2","29-Feb-16","29-Feb-16"
"3719","142","8","203719","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","3","4","1","1","3","1",,,,"1","3","1","2","9","1","40","3","2",,,"12",,"8","6","4","0","0","1","1",,"1","1","1","2","1","2","1","1","2","1","1","1","1","1","1","40","4",,,,,,"3","1","1",,,,,,"2",,,,,"4",,,,,,"9","3",,,,,"12","5","3","1","2",,"3","2",,,,,"1","1","1986","1","10026","2","2",,,,,,"1",,"5","2","2",,,,,,"1","4","4","4","4","4","2","4","2","3","2","1","1","1","0.35693149922495904","36.383508494844456","1","25-Feb-16","25-Feb-16"
"3722","308","2","203722","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","2","3","1","1","3","1",,,,"1","2","1","2","77","2","20","4",,,,,,,,,,,,"2","9",,,,,,,"1","1","1","1","1","1","1","5","1","40","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"12","3",,,,,"6","7","5","2",,,"1",,,,,,,"1","1991","1","10458","2","2",,,,,,"39","2","4","2","2",,,,,,"5","4","4","2","4","4","2","4","1","5","3","1","1","1","0.59584641346913103","60.737096874751792","1","28-Feb-16","28-Feb-16"
"3727","1131","21","203727","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","1","1","7","1","1","2","1",,,,"1","3","1","1","9","1","45","1","2",,,"4",,"4","0","0","0","0","1","1",,"1","1","1","2","2","1","1","1","1","1","3","5","6","5","1","50","1","2",,,"1",,"1","1","1",,,,,,"2",,,,,"4",,,,,,"6","3",,,,,"6","5","5","2",,,"3","6","1",,"4",,"1","1","1983","1","10583","2","1",,,,,,"1",,"6","2","1",,,,,,"1","4","2","4","4","4","4","4","2","99","4","1","2","1","0.58144382895642066","59.268981684291539","1","21-Mar-16","28-Mar-16"
"3730","153","8","203730","0","1",,,"1",,,,"1",,,,"1","2",,"1","2","1","3","1","1","1","1","2","1",,,,"1","2","1","1","7","1","32","3","3",,,,"3","0","6","12","6","0","2","1",,"2","2","2","2","1","2","1","99","2","2","2","77","1","2","1","40","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"12","3",,,,,"6","3","5","2",,,"1","2",,,,,"1","1","1985","1","11367","2","1",,,,,,"67","3","5","2","1",,,,,,"67","4","4","4","4","4","4","4","2","12","6","1","2","1","0.63327117457996995","64.551958036488443","1","25-Feb-16","25-Feb-16"
"3731","71","4","203731","0","1",,,"1",,,,"1",,,,"1","1",,"1","2","1","0","3","6","1","1","2","1",,,,"1","4","1","2","77","1","35","2","3",,,,"2",,,,,,"1","1",,"1","2","2","2","1","2","2",,,,,,,,,,,,,,,,"1","1","1",,,,,,"2",,,,,"2",,,,,,,"3",,,,,"12","7","5","2",,,"3","2",,,,,"1","1","1991","1","10461","1","8",,,,,,"1",,"4",,,,,,,,,"4","4","4","77","4","2","3","2","77","4",,"2","1","2.1169161818435489","215.78604872985849","2","24-Feb-16","24-Feb-16"
"3732","306","3","203732","0","1",,,"1",,,,"1",,,,"1","2",,"1","2","1","2","2","2","1","1","2","1",,,,"1","2","1","1","6","1","30","2","2",,,"6",,,,,,,"1","1",,"1","1","2","2","2","2","1","1","1","1","2","3","6","6","1","30","4",,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"12","3",,,,,"10","4","5","2",,,"2","5",,,,,"1","99",,"1","11219","2","1",,,,,,"1",,"4","2","1",,,,,,"1","4","4","4","4","4","3","4","2","77","6","1","2","1","0.53133222941839331","54.160898448597763","1","28-Feb-16","29-Feb-16"
"3734","1128","20","203734","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","1","9","1","2","3","1",,,,"1","2","1","2","6","1","5","3","2",,,"6",,"4","0","0","0","0","2","1",,"2","2","2","2","1","2","1","1","2","2","1","1","1","1","2","666",,,,,,,"1","1","1",,,,,,"2",,,,,"3",,,,,"2",,"3",,,,,"2","2","5","2",,,"3","2",,,,,"1","1","1994","1","11223","2","1",,,,,,"1",,"3","2","1",,,,,,"2","4","4","4","4","4","4","4","2","2","3",,"2","1","0.75636069972209952","77.09898398785306","1","21-Mar-16","21-Mar-16"
"3744","622","14","203744","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","0","1","6","1","1","3","1",,,,"1","2","1","2","4","1","35","1","2",,,"6",,"2","0","6","0","0","1","1",,"2","2","2","2","1","2","1","1","1","1","1","1","1","5","1","60","4",,,,,,"1","1","1",,,,,,"2",,,,,"1",,,,,,,,,,,,,,"5","2",,,"2","1",,,,,"1","1","1995","1","11432","1","8",,,,,,"1",,"5","1","8",,,,,,"28","4","4","4","4","4","4","4","2","4","2","1","2","1","0.35643266478757407","36.332660231159345","1","8-Mar-16","8-Mar-16"
"3754","1392","24","203754","1","1","1","2","1",,,,"1",,,,"2","2",,"1","2","1","0","1","2","1","2","3","1",,,,"1","1","1","1","9","1","35","1","2",,,"8",,"8","0","0","2","0","1","1",,"1","2","1","1","2","1","1","1","1","1","3","1","1","3","1","45","2","2",,,"1",,"1","1","1",,,,,,"2",,,,,"4",,,,,,"10","2",,,,"1",,"3","3","2",,,"1","6","2",,,"6","1","99",,"1","11216","1","8",,,,,,"99",,"6","2","1",,,,,,"99","4","4","4","4","4","4","4","2","99","3",,"2","1","0.41042090624854166","41.835905660834413","1","25-Mar-16","25-Mar-16"
"3757","1544","23","203757","0","1",,,"1",,,,"1",,,,"1","1",,"1","2","1","6","2","9","1","1","2","1",,,,"1","2","1","1","77","1","999","2","2",,,"6",,,,,,,"1","1",,"1","2","2","2","2","2","1","1","1","1","3","3","3","3","1","20","4",,,,,,"3","1","1",,,,,,"2",,,,,"4",,,,,,"11","3",,,,,"7","3","5","2",,,"2","6","2",,,"20","1","99",,"99","11219","2","1",,,,,,"1",,"4","2","1",,,,,,"1","4","4","4","4","4","3","4","2","99","9",,"2","1","0.57179558555281196","58.285496207112409","1","3-Apr-16","3-Apr-16"
"3759","706","11","203759","0","1",,,"1",,,,"1",,,,"1","2",,"1","2","1","1","1","9","1","1","2","1",,,,"1","2","1","1","7","1","35","3","2",,,"19",,"4","6","0","9","0","77","2","4",,,,,,,"1","1","1","1","2","1","3","3","1","40","1","2",,,"1",,"1","1","1",,,,,,"2",,,,,"4",,,,,,"14","3",,,,,"4","4","5","2",,,"3",,,,,,,"1","1983","1","10308","2","1",,,,,,"1",,"6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","12","4","1","2","1","1.1820013848607445","120.48630485227734","1","10-Mar-16","10-Mar-16"
"3771","1034","18","203771","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","1","1","12","1","2","3","1",,,,"1","2","1","1","9","1","50","2","2",,,"11",,,,,,,"1","1",,"1","2","2","1","2","2","1","1","1","1","1","1","1","3","1","70","1","2",,,"1",,"1","1","1",,,,,,"2",,,,,"4",,,,,,"5","1",,,,,,"1","5","2",,,"2","5",,,,,"1","1","1972","1","10128","2","1",,,,,,"1",,"6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","12","4","1","2","1","0.79341389495755221","80.875969898420067","1","19-Mar-16","19-Mar-16"
"3776","821","15","203776","1","1","1","2","1",,,,"1",,,,"1","2",,"1","1","1","1","3","12","1","1","3","1",,,,"1","1","1","2","1","1","30","4",,,,,,,,,,,,"1",,"2","2","2","2","1","1","1","1","1","1","2","4","2","4","1","40","4",,,,,,"1","1","1",,,,,,"2",,,,,"5",,,,,,,"1",,,,,,,"4","2",,,"4","1",,,,,"1","1","1991","1","11219","2","1",,,,,,"1",,"5","2","1",,,,,,"1","4","4","4","4","4","4","4","2","12","4",,"1","1","0.45703640112541266","46.587616444351085","1","15-Mar-16","15-Mar-16"
"3780","1364","25","203780","1","1","1","2","1",,,,"1",,,,"1","2",,"1","2","1","1","2","5","1","2","3","1",,,,"1","1","1","1","9","1","20","3","77",,,,,"77","77","4","77","0",,"1",,"2","1","2","1","1","2","2",,,,,,,,,,,,,,,,"1","1","1",,,,,,"2",,,,,"3",,,,,"2",,"2",,,,"2",,"7","4","2",,,"3","6","2",,,"6","1","1","1988","1","10454","2","2",,,,,,"1",,"3",,,,,,,,,"2","4","2","1","4","3","3","2","77","3","1","2","1","0.84454280929306724","86.087752251890493","1","25-Mar-16","29-Mar-16"
"3794","1369","18","203794","1","1","1","2","1",,,,"1",,,,"1","1",,"1","2","1","0","1","10","1","1","2","1",,,,"1","2","1","1","9","2","40","1","2",,,"7",,"1","6","6","0","0","1","2","4",,,,,,,"1","1","1","1","3","1","1","3","1","40","1","2",,,"4",,"1","1","1",,,,,,"2",,,,,"3",,,,,"6",,"2",,,,"6",,"7","4","2",,,"1",,,,,,,"1","1978","1","11385","2","1",,,,,,"1",,"6","2","1",,,,,,"1","4","4","4","4","4","4","4","2","11","3","1","2","1","0.63902561679499437","65.138532204551638","1","25-Mar-16","25-Mar-16"
"3796","969","18","203796","1","1","1","2","1",,,,"1",,,,"2","1",,"1","2","1","1","1","7","1","1","4","1",,,,"1","2","1","1","2","1","40","1","3",,,,"3","0","0","6","0","0","1","1",,"1","1","1","1","2","2","1","1","1","2","3","3","3","3","1","777",,,,,,,"1","1","1",,,,,,"2",,,,,"4",,,,,,"2","3",,,,,"4","2","5","2",,,"3","3",,,,,"1","1","1978","1","11434","2","2",,,,,,"1",,"4","2","2",,,,,,"1","4","4","4","4","4","4","4","2","2","3",,"2","1","1.1284206102044525","115.02459420443428","1","18-Mar-16","18-Mar-16"
