"complaint_inquiry_number","license_type","account_name","bic_number","date_complaint_inquiry","industry_type","account_status","source_of_complaint_inquiry","complaint_inquiry_disposition","complaint_inquiry_status","total_response_time","complaint_or_inquiry","nature_of_complaint_inquiry","complaint_inquiry_street","complaint_inquiry_city","complaint_inquiry_state","complaint_inquiry_zip","complaint_inquiry_borough","account_focus_of_complaint","account_address","account_city","account_state","account_zip","account_phone","vehicle_make","vehicle_model","vehicle_type","vehicle_year","vehicle_color","contacted_complainant","unable_to_contact_complainant","method_used_to_contact","export_date","borough","latitude","longitide","community_board","council_district","census_tract","bin","bbl","nta"
"2009-00911",,,,,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","142-41 224 St","nyc","NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00498",,,"TWC-0",,"Trade Waste",,,"Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","108-56 Roosevelt Ave.",,"NY",,"Queens","Alcides J. Castillo (vehicle owner)","3110 Sipp Ave.","Medford",,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-01133",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-192626",,,,"2015-12-04T00:00:00.000","Trade Waste",,"E-Mail","Resolved","Closed","18.0","Complaint","Quality of Life-Odor - Trade Waste;Quality of Life-Spillage - Trade Waste","120-19 Rockaway Blvd","South Ozone Park","NY","11420","Queens",,,,,,,,,,,,"True","False","In Person","2023-08-25","QUEENS","40.675874","-73.817522","10","28","166","4252010","4116640030","South Ozone Park"
"COMP-193692","Trade Waste","ROYAL WASTE SERVICES INC.","BIC-1240","2017-10-13T00:00:00.000","Trade Waste","Active","PHONE - 6300","Resolved","Closed","5.0","Complaint","Quality of Life-Noise - Trade Waste","810 St Marks Ave","Brooklyn","NY","11213","Brooklyn","ROYAL WASTE SERVICES INC.","187- 40 HOLLIS AVENUE","HOLLIS","NY","11423-",,,,,,,"True","False","Phone Call","2023-08-25","BROOKLYN","40.674979","-73.945985","8","36","341","3031031","3012280017","Crown Heights North"
"INQ-190963",,,,"2014-08-06T00:00:00.000","Trade Waste",,"PHONE - 6300","Resolved","Closed","7.0","Inquiry","Information - All","3350 Broadway","New York","NY","10031","Manhattan",,,,,,,,,,,,"False","False",,"2023-08-25","MANHATTAN","40.8204","-73.954841","9","7","22301","1059810","1019880134","Manhattanville"
"INQ-190266",,,,"2014-03-10T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed","0.0","Inquiry","Information - All;Disposal - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2007-00891",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","FOIL - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-01889",,,"TWC-1566",,"Trade Waste",,"PHONE - OTHER","Unsubstantiated","Closed",,"Complaint","Unlicensed Carter - Trade Waste","92 & Lexington; also 200 Hudson St","nyc","NY",,"NYC","JAZ- MAR CARTING INC.","14 SAW MILL RIVER ROAD","HAWTHORNE","RENEWAL APPROVED",,"(914) 747-8199",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-192073","Trade Waste","GREASE MONKEYS OF NY INC","BIC-3531","2015-06-16T00:00:00.000","Trade Waste","Active","PHONE - 6300","Resolved","Closed","6.0","Complaint","Waste Oil - Trade Waste","7810 20th Avenue","Brooklyn","NY","11214","Brooklyn","GREASE MONKEYS OF NY INC","324 E. 88TH STREET","BROOKLYN","NY","11236-",,,,,,,"True","False","Phone Call","2023-08-25","BROOKLYN","40.609004","-73.993694","11","47","274","3162262","3062620039","Bensonhurst West"
"2010-01352",,"C & A LANDSCAPING","TWC-3868",,"Trade Waste",,"PHONE - OTHER","Unable to Contact Complainant","Closed",,"Inquiry","FOIL - All",,,,,,"C & A LANDSCAPING","27 CHURCHILL DR","BRENTWOOD","PENDING",,"(631) 647-4789",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01625",,,,,"Trade Waste",,"FAX","Resolved","Closed",,"Complaint","FOIL - All",,,,,,"N/A",,,,"10022-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-191485",,,,"2014-12-31T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Void","Closed","0.0","Inquiry","Information - All;Licensing - All",,,,,,,,,,,,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"2008-01856",,,"TWC-NaN",,"Trade Waste",,"WEB-MAIL","Resolved","Closed",,"Complaint","Information - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-191891",,,,"2015-05-04T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Resolved","Closed","0.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2010-01420",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed",,"Inquiry","Other - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-195276",,,,"2020-01-13T00:00:00.000","Trade Waste",,"WEB-MAIL","Unable to Contact Complainant","Closed","4.0","Complaint","Quality of Life-Noise - Trade Waste",,,,,,,,,,,,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"COMP-192181",,,,"2015-07-13T00:00:00.000","Trade Waste",,"MAIL","Referred to Another Agency","Closed","0.0","Complaint","Misinformation - All","2770 atlantic avenue","Brooklyn","ny","11207","Brooklyn",,,,,,,,,,,,"True","False","Letter","2023-08-25","BROOKLYN","40.676305","-73.891967","5","37","1198","3088255","3039610009","East New York"
"INQ-195964",,,,"2021-05-19T00:00:00.000","Trade Waste",,"WEB-MAIL","Referred To Licensing","Closed","1.0","Inquiry","Licensing - All",,,,,,,,,,,,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"INQ-195761",,,,"2020-12-09T00:00:00.000","Trade Waste",,"WEB-MAIL","Resolved","Closed","2.0","Inquiry","Other - All",,,,,,,,,,,,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"INQ-191345",,,,"2014-11-17T00:00:00.000","Trade Waste",,"PHONE - 6300","Referred To Licensing","Closed","0.0","Inquiry","Decals - Trade Waste","4822 3Rd Ave","Brooklyn","NY","11220-1703","Brooklyn",,,,,,,,,,,,"True","False","Phone Call","2023-08-25","BROOKLYN","40.648394","-74.013856","7","38","20","3012518","3007720042","Sunset Park West"
"COMP-196898",,"LAVIN CONTAINERS INC.","BIC-511492","2023-05-17T00:00:00.000","Trade Waste","Active","PHONE - OTHER","Insufficient Information","Closed","0.0","Complaint","Unlicensed Carter - Trade Waste","Crossbay and Linden Blvd","Ozone Park",,,"Queens","LAVIN CONTAINERS INC.","112 LINWOOD STREET, SECOND FLOOR","BROOKLYN","NY","11208",,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"COMP-189833","Trade Waste","D. DANIELS CONTRACTING LTD.","BIC-1187,BIC-600","2013-12-02T00:00:00.000","Trade Waste","Active","311/PHONE - 9278","Referred to Patrol","Closed","7.0","Complaint","Illegal Dumping - Trade Waste","126-11 Liberty Ave","Richmond hill","NY","11419","Queens","D. DANIELS CONTRACTING LTD.","32 GATES AVENUE","INWOOD","NY","11096-",,,,,,,"True","False","Phone Call","2023-08-25","QUEENS","40.688618","-73.818053","10","28","15802","4203951","4095630024","South Ozone Park"
"COMP-192960","Trade Waste","GUMA CONSTRUCTION CORP.","BIC-908","2016-06-14T00:00:00.000","Trade Waste","Active","311/PHONE - 9278","Resolved","Closed","1.0","Complaint","Quality of Life-Noise - Trade Waste","202 Plymouth St","Brooklyn","NY","11201","Brooklyn","GUMA CONSTRUCTION CORP.","202 Plymouth St","Brooklyn","NY","11201-1124",,,,,,,"True","False","Phone Call","2023-08-25","BROOKLYN","40.703715","-73.985559","2","33","21","3335864","3000317502","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"2008-00032",,"CHESTERFIELD CARTING INC.","TWC-1774",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Harassment - All",,,"NY",,,"CHESTERFIELD CARTING INC.","3301 BARNES AVENUE","BRONX","RENEWAL APPROVED",,"(718) 798-1195",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-02210",,,"TWC-NaN",,"Trade Waste",,"MAIL","Unsubstantiated","Closed",,"Complaint","Unlicensed Carter - Trade Waste","319 W. 94 St.","nyc","NY",,"NYC","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2007-00082",,,"TWC-0",,"Trade Waste",,"REFERRED BY OTHER AGENCY","Resolved","Closed",,"Complaint","Unlicensed Carter - Trade Waste",,,"NY",,,"N M  INDUSTRIES, INC.","60 WASHINGTON ST.","TUCKAHOE","UNLICENSED",,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-196792",,,,"2023-02-09T00:00:00.000","Trade Waste",,"WEB-MAIL","Referred to Another Agency","Closed","0.0","Complaint","Quality of Life-Spillage - Trade Waste","131 Spring Street","New York","NY","10012","Manhattan",,,,,,,,,,,,"False","True",,"2023-08-25","MANHATTAN","40.723956","-74.000675","2","1","49","1007654","1005000036","SoHo-TriBeCa-Civic Center-Little Italy"
"2008-00026",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","FOIL - All",,,"NY",,,"N/A",,,,"10012-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-193356",,,,"2017-02-22T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Referred To BIC Legal","Closed","0.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"True","False","E-Mail","2023-08-25",,,,,,,,,
"COMP-194429",,"GPB WASTE NY, LLC","BIC-491402","2018-10-29T00:00:00.000","Trade Waste","Active","311/PHONE - 9278","Resolved","Closed","1.0","Complaint","Unsafe Driving - Trade Waste","541 2nd Avenue","Brooklyn","NY","10016","Manhattan","GPB WASTE NY, LLC","535 W. 24TH ST. FLOOR 4","NEW YORK","NY","10011",,,,,,,"True","False","Phone Call","2023-08-25","MANHATTAN","40.74217","-73.977763","6","2","70","1019928","1009107501","Murray Hill-Kips Bay"
"2007-00726",,"MIDLAND CARTING, INC.","TWC-115",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Quality of Life-Odor - Trade Waste;Quality of Life-Spillage - Trade Waste",,,"NY",,,"MIDLAND CARTING INC.","292 BAY DRIVE","MASSAPEQUA","RENEWAL APPROVED",,"(516) 799-8047",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-191145",,,,"2014-09-24T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed","0.0","Inquiry","Information - All","13 East 30th Street","New York","NY","10016","Manhattan",,,,,,,,,,,,"True","False","Phone Call","2023-08-25","MANHATTAN","40.745542","-73.985478","5","4","74","1016955","1008607502","Midtown-Midtown South"
"INQ-190617",,,,"2014-05-28T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed","0.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2008-00073",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","FOIL - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-00014",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed",,"Inquiry","Misinformation - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2007-00230",,,"TWC-223",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Complaint","Containers-Unremoved - Trade Waste",,,"NY",,"Brooklyn","CANAL CARTING INC.","39 FERRIS STREET","BROOKLYN","RENEWAL PENDING","11226-","(718) 834-9201",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-191886",,,,"2015-05-04T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Resolved","Closed","0.0","Inquiry","Information - All","173 St. Nicholas Avenue","New York","NY",,"Manhattan",,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2006-01068",,"BRONX SANITATION INDUSTRIES INC.","TWC-895",,"Trade Waste",,"PHONE - 6300",,"Closed",,"Complaint","Quality of Life-Noise - Trade Waste",,,"NY",,,"BRONX SANITATION INDUSTRIES INC.","3162 SCHLEY AVENUE","BRONX","SOLD",,"(718) 319-9200",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2007-00145",,"WASTE MANAGEMENT OF NEW YORK, L.L.C.","TWC-1146",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Billing - All",,,"NY",,,"WASTE MANAGEMENT OF NEW YORK, LLC.","123 VARICK AVENUE","BROOKLYN","RENEWAL PENDING",,"(718) 533-5506",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-190353",,,,"2014-03-24T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed","0.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"COMP-194149",,,,"2018-06-22T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed","0.0","Complaint","Quality of Life-Spillage - Trade Waste","4003 3rd Avenue","Brooklyn","NY","11232","Brooklyn",,,,,,,,,,,,"True","False","Phone Call","2023-08-25","BROOKLYN","40.653187","-74.008844","7","38","82","3010579","3007130010","Sunset Park West"
"2011-00429",,"STALLION RECYCLING CORP","TWC-2454",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Complaint","Billing - All;Contracts - Trade Waste","46-17 Queens Blvd.","nyc","NY",,"Queens","STALLION RECYCLING CORP","20 WESTPORT LANE","STATEN ISLAND","RENEWAL PENDING",,"(646) 261-2210",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00548",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-00980",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All;Disposal - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-192334",,,,"2015-08-20T00:00:00.000","Trade Waste",,"PHONE - 6300","Unsubstantiated","Closed","4.0","Complaint","Illegal Dumping - Trade Waste;Disposal - All","46-01 Broadway","Astoria","NY","11103","Queens",,,,,,,,,,,,"True","False","Phone Call","2023-08-25","QUEENS","40.756671","-73.914086","1","26","153","4013166","4007240008","Astoria"
"2013-00645",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Referred to Another Agency","Closed",,"Inquiry","Misinformation - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01910",,"BROOKLYN BIO DIESEL INC.","TWC-2892",,"Trade Waste",,"WEB-MAIL","Unsubstantiated","Closed",,"Complaint","Criminal - All","behind 1598 Hillside Ave","nyc","NY",,"Queens","BROOKLYN BIO DIESEL INC.","35 SE A COAST TERRACE APT 20R","BROOKLYN","APPROVED",,"(888) 552-4637",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-00219",,,"TWC-220",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Information - All",,,,,,"CANAL SANITATION INC.","54 HOOK ROAD","BAYONNE","DENIED",,"(800) 522-6106",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2007-00967",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Quality of Life-Noise - Trade Waste",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2012-00989",,"VANGUARD CARTING INC.","TWC-2181",,"Trade Waste",,"MAIL","Resolved","Closed",,"Inquiry","FOIL - All",,,,,,"VANGUARD CARTING INC.","465 JOHNSON AVENUE","BROOKLYN","RENEWAL APPROVED",,"(718) 386-5119",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-191801","Trade Waste","CROWN CONTAINER CO. INC.","BIC-307","2015-04-06T00:00:00.000","Trade Waste","Active","PHONE - 6300","Unable to Contact Complainant","Closed","2.0","Complaint","Contracts - Trade Waste","128 E 7Th St","New York","NY","10009-6164","Manhattan","CROWN CONTAINER CO. INC.","75 AMBY AVENUE","PLAINVIEW","NY","11803",,,,,,,"False","True",,"2023-08-25","MANHATTAN","40.726216","-73.983945","3","2","32","1005790","1004347502","East Village"
"2012-01393",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2013-00581",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Misinformation - All;Unlicensed Carter - Trade Waste;Other - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-01170",,,,,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-00035",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Rates-Overcharge - Trade Waste",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00347",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-191941","Trade Waste","AMRO CARTING CORP.","BIC-61","2015-05-14T00:00:00.000","Trade Waste","Active","PHONE - 6300","Resolved","Closed","0.0","Inquiry","Misinformation - All",,,,,,"AMRO CARTING CORP.","337 COSTER STREET","BRONX","NY","10474-",,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"INQ-194044",,,,"2018-04-27T00:00:00.000","Trade Waste",,"MAIL","Referred to Another Agency","Closed","0.0","Inquiry","Misinformation - All","354 Hunter Street","Ossining","NY","10562",,,,,,,,,,,,,"True","False","Letter","2023-08-25",,,,,,,,,
"2009-01318",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred to Another Agency","Closed",,"Inquiry","Recycling - Trade Waste","1205 Manhattan Ave","nyc",,,"Brooklyn","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-00639",,,"TWC-0",,"Trade Waste",,"MAIL","Violation Written","Closed",,"Complaint","Unlicensed Carter - Trade Waste","125 Nancy Lane","NYC","NY",,"Staten Island","Sal's Best Lawn Care","77 Lake Ave","NYC","UNLICENSED",,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-192909",,,,"2016-05-23T00:00:00.000","Trade Waste",,"WEB-MAIL","Referred back to 311","Closed","0.0","Inquiry","Misinformation - All",,,,,,,,,,,,,,,,,"True","False","E-Mail","2023-08-25",,,,,,,,,
"2007-00611",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300",,"Closed",,"Inquiry",,,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2013-01061",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Unsubstantiated","Closed",,"Complaint","Quality of Life-Spillage - Trade Waste","Lee Ave. Corner of Roebling St.","Brooklyn","NY","11211-","Brooklyn","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-196430",,,,"2022-04-18T00:00:00.000","Trade Waste",,"WEB-MAIL","Referred to Another Agency","Closed","1.0","Complaint","Other - All;Decals - Trade Waste","105 W 72nd St","New York","NY","10023","Manhattan",,,,,,,,,,,,"False","True",,"2023-08-25","MANHATTAN","40.77752","-73.979029","7","6","157","1029969","1011447501","Lincoln Square"
"COMP-194201","Trade Waste","D. DANIELS CONTRACTING LTD.","BIC-1187 / BIC-600","2018-07-23T00:00:00.000","Trade Waste","Active","WEB-MAIL","Resolved","Closed","1.0","Complaint","Other - All",,,,,,"D. DANIELS CONTRACTING LTD.","32 Gates Ave","Inwood","NY","11096-1612",,,,,,,"False","True","Phone Call","2023-08-25",,,,,,,,,
"INQ-195386","Trade Waste","GALLO'S LANDSCAPING & GARDENING INC.","BIC-498","2020-03-23T00:00:00.000","Trade Waste","Active","WEB-MAIL","Resolved","Closed","0.0","Inquiry","Information - All",,,,,,"GALLO'S LANDSCAPING & GARDENING INC.","1825 80 STREET","BROOKLYN","NY","11214",,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"COMP-194370","Trade Waste","TRI STATE DISMANTLING CORP.","BIC-596","2018-09-27T00:00:00.000","Trade Waste","Active","PHONE - 6300","Resolved","Closed","1.0","Complaint","Quality of Life-Noise - Trade Waste","399 Park Avenue","New York","NY","10022","Manhattan","TRI STATE DISMANTLING CORP.","207 DUPONT STREET","BROOKLYN","NY","11222",,,,,,,"True","False","Phone Call","2023-08-25","MANHATTAN","40.759541","-73.972245","5","4","100","1071457","1013087502","Turtle Bay-East Midtown"
"2007-00648",,"ACTION CARTING ENVIRONMENTAL SERVICES INC.","TWC-1181",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Complaint","Quality of Life-Noise - Trade Waste",,,"NY",,,"ACTION CARTING ENVIRONMENTAL SERVICES INC.","451 FRELINGHUYSEN AVENUE","NEWARK","RENEWAL PENDING",,"(973) 623-7600",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-00037",,"CROWN CONTAINER TRANSFER STATION CO., INC.","TWC-307",,"Trade Waste",,"PHONE - 6300","Unsubstantiated","Closed",,"Complaint","Other - All",,,,,,"CROWN CONTAINER CO. INC.","75 AMBY AVENUE","PLAINVIEW","RENEWAL PENDING",,"(718) 527-1414",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2007-00302",,,,,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Complaint","Quality of Life-Noise - Trade Waste",,,"NY",,,,,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-194523","Trade Waste","CENTURY WASTE SERVICES L.L.C.","BIC-1323","2018-11-29T00:00:00.000","Trade Waste","Active","WEB-MAIL","Insufficient Information","Closed","8.0","Complaint","Other - All",,,,,,"CENTURY WASTE SERVICES L.L.C.","623 DOWD AVENUE","ELIZABETH","NJ","07201-",,,,,,,"False","True",,"2023-08-25",,,,,,,,,
"INQ-191401","Trade Waste","MID-BRONX HAULAGE CORP.","BIC-175","2014-12-03T00:00:00.000","Trade Waste","Active","PHONE - 6300","Resolved","Closed","0.0","Inquiry","Information - All","1050 Woodycrest Ave","Bronx","NY","10452-5204","Bronx","MID BRONX HAULAGE CORP.","408 COSTER STREET","BRONX","NY","10474",,,,,,,"True","False","Phone Call","2023-08-25","BRONX","40.833563","-73.927267","4","8","189","2003140","2025080022","Highbridge"
"2009-00354",,,,,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Billing - All","UNKNOWN","UNKNOWN",,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"INQ-192733",,,,"2016-02-18T00:00:00.000","Trade Waste",,"311/PHONE - 9278","Referred back to 311","Closed","0.0","Inquiry","Misinformation - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2010-01614",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Complaint","Information - All",,,,,,"N/A",,,,"11215-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-193886","Trade Waste","CITY WASTE SERVICES OF NEW YORK, INC.","BIC-1153","2018-02-13T00:00:00.000","Trade Waste","Active","PHONE - 6300","Resolved","Closed","0.0","Complaint","Other - All","33-12 30th Avenue","Astoria","NY","11103","Queens","CITY WASTE SERVICES INC.","167 33 PORTER ROAD","JAMAICA","NY","11434-",,,,,,,"True","False","Phone Call","2023-08-25","QUEENS","40.766057","-73.919597","1","22","63","4009033","4006250046","Astoria"
"2011-00154",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Resolved","Closed",,"Inquiry","Information - All","23 Riverside Drive; Apt G","nyc","NY",,"NYC","N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2009-02087",,,,,"Trade Waste",,"FAX","Resolved","Closed",,"Complaint","FOIL - All",,,,,,"N/A",,,,"11791-",,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-194885","Trade Waste","DANIEL FINLEY ALLEN & CO., INC.","BIC-2157 / BIC-4 / BIC-1142","2019-06-04T00:00:00.000","Trade Waste","Active","PHONE - 6300","Referred to Patrol","Closed","0.0","Complaint","Containers-Unremoved - Trade Waste;Other - All",,,,,,"DANIEL FINLEY ALLEN & CO., INC.","114 SYLVESTER STREET","WESTBURY","NY","11590-",,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2007-01051",,,"TWC-NaN",,"Trade Waste",,"PHONE - 6300","Unsubstantiated","Closed",,"Complaint","Other - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2011-01050",,"EAST-WEST WASTE MANAGERS INC.","TWC-1346",,"Trade Waste",,"PHONE - 6300","Resolved","Closed",,"Inquiry","Information - All","Various Locations","UNKNOWN",,,,"EAST-WEST WASTE MANAGERS INC.","70-50  AUSTIN STREET","FOREST HILLS","SURRENDERED","11510-","(718) 263-5100",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"COMP-190706","Trade Waste","CROWN WASTE CORP","BIC-311","2014-06-18T00:00:00.000","Trade Waste","Active","PHONE - 6300","Referred to Another Agency","Closed","7.0","Complaint","Contracts - Trade Waste;Rates-Overcharge - Trade Waste","8128 Broadway","Elmhurst","NY","11373","Queens","CROWN WASTE CORP","P.O. BOX 1133","BETHPAGE","NY","11714-",,,,,,,"True","False","Letter","2023-08-25","QUEENS","40.743214","-73.883515","4","25","481","4038194","4015277502","Elmhurst"
"INQ-192978",,,,"2016-06-23T00:00:00.000","Trade Waste",,"WEB-MAIL","Referred back to 311","Closed","0.0","Inquiry","Misinformation - All",,,,,,,,,,,,,,,,,"True","False","E-Mail","2023-08-25",,,,,,,,,
"INQ-192132",,,,"2015-07-06T00:00:00.000","Trade Waste",,"PHONE - 6300","Resolved","Closed","1.0","Inquiry","Information - All",,,,,,,,,,,,,,,,,"True","False","Phone Call","2023-08-25",,,,,,,,,
"2007-00392",,"A-1 MEDICAL WASTE REMOVAL INC.","TWC-57",,"Trade Waste",,"WEB-MAIL","Resolved","Closed",,"Inquiry","Other - All",,,"NY",,,"A-1 MEDICAL WASTE REMOVAL INC.","209 LATIMER AVENUE","STATEN ISLAND","DENIED",,"(718) 494-2083",,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2008-00303",,,"TWC-NaN",,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,"NY",,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
"2010-00040",,,,,"Trade Waste",,"311/PHONE - 9278","Referred To Licensing","Closed",,"Inquiry","Licensing - All",,,,,,"N/A",,,,,,,,,,,"False","False",,"2023-08-25",,,,,,,,,
