"the_geom","cornerid","rampid","ramp_onstr","geocyclora","borough","stname1","stname2","curb_reveal","ramp_running_slope_total","dws_conditions","gutter_slope","lnd_width","lnd_length","lnd_cross_slope","counter_slope","ramp_width","ramp_right_flare","ramp_left_flare","ramp_length","ramp_cross_slope","ponding","obstacles_ramp","obstacles_landing"
"POINT (-73.87227351096475 40.68370161754396)","1114526","11798","CRESCENT STREET","2018-05-08T00:00:00.000","3","FULTON STREET","CRESCENT STREET","0.7","6.5","Missing","2.6","52.4","60.0","4.7","-9.0","54.4","6.6","84.8","-14.5","3.2","No","None","None"
"POINT (-73.91325838035436 40.80175403331147)","1004522","303","EAST 134 STREET","2018-03-26T00:00:00.000","2","WILLOW AVENUE","EAST 134 STREET","0.5","6.3","Missing","-3.9","47.9","60.0","-3.5","-3.4","55.3","2.5","44.6","-10.8","-4.2","No","None","None"
"POINT (-73.95017261155466 40.613876902191826)","1130799","2682","AVENUE O","2018-04-22T00:00:00.000","3","EAST 24 STREET","AVENUE O","0.4","6.0","Good Condition","-0.1","51.1","60.0","-2.5","-4.1","49.8","22.0","62.5","-23.3","0.4","No","None","None"
"POINT (-73.90973703544506 40.66990206933177)","1117879","11158","PITKIN AVENUE","2018-05-06T00:00:00.000","3","PITKIN AVENUE","THATFORD AVENUE","1.3","6.0","Missing","-2.2","55.5","60.0","2.7","-2.8","63.8","10.3","76.3","-12.8","1.0","No","None","None"
"POINT (-73.91851047115286 40.81862251266493)","1022451","32030","EAST 152 STREET, COURTLANDT AVENUE","2018-04-04T00:00:00.000","2","EAST 152 STREET","COURTLANDT AVENUE","1.6","8.0","Missing","7.3","64.4","60.0","3.1","-3.0","51.3","8.1","59.2","-0.7","2.4","No","None","None"
"POINT (-73.91073768594119 40.800475702314344)","1004525","180","WALNUT AVENUE","2018-03-26T00:00:00.000","2","WALNUT AVENUE","EAST 134 STREET","0.6","5.3","Missing","4.0","42.2","60.0","-0.6","-4.6","41.9","6.4","55.2","-8.6","3.4","No","None","None"
"POINT (-73.97696372966764 40.79029002702632)","1091133","8103","WEST END AVENUE","2018-04-08T00:00:00.000","1","WEST 88 STREET","WEST END AVENUE","0.9","6.0","Missing","4.4","49.1","60.0","4.1","-8.3","46.8","16.6","59.6","-15.0","2.4","Yes","None","None"
"POINT (-73.95186252063648 40.63228998535241)","1126706","33640","CAMPUS ROAD","2018-04-20T00:00:00.000","3","CAMPUS ROAD","EAST 26 STREET","1.1","3.4","Good Condition","0.7","48.1","60.0","-1.9","-6.5","48.0","20.4","62.4","-22.5","-1.0","Yes","None","None"
"POINT (-74.00327265356265 40.63820031852353)","1129045","32811","9 AVENUE","2018-04-18T00:00:00.000","3","9 AVENUE","53 STREET","0.9","12.4","Missing","3.1","58.6","60.0","3.1","-5.8","49.2","23.6","58.9","-19.5","4.7","No","None","None"
"POINT (-73.77085673716684 40.66690067447529)","1048448","8689","SOUTH CONDUIT AVENUE","2018-05-20T00:00:00.000","4","GUY R BREWER BOULEVARD","SOUTH CONDUIT AVENUE","1.0","7.2","Good Condition","1.5","47.2","60.0","3.4","-3.2","47.7","15.6","58.1","-11.3","1.1","No","None","None"
"POINT (-73.95103785560991 40.59659985009033)","1132959","6069","GRAVESEND NECK ROAD","2018-05-10T00:00:00.000","3","OCEAN AVENUE","GRAVESEND NECK ROAD","0.7","3.7","Missing","-1.6","57.9","60.0","-0.5","-8.1","49.7","8.9","47.5","-4.2","-1.9","Yes","None","None"
"POINT (-73.90451052388651 40.83534907935101)","1006642","30947","EAST 170 STREET","2018-04-07T00:00:00.000","2","WASHINGTON AVENUE","EAST 170 STREET","0.6","4.1","Good Condition","-1.5","49.4","60.0","-1.8","6.2","54.0","8.0","58.7","-17.3","-1.4","No","None","None"
"POINT (-73.70247033860608 40.74046005273102)","1079082","36555","267 STREET","2018-05-26T00:00:00.000","4","83 AVENUE","267 STREET","0.5","10.6","Missing","-0.8","53.2","43.2","0.7","0.4","46.8","29.0","63.0","-17.6","0.0","No","None","None"
"POINT (-73.92698261215035 40.66240900060655)","1118626","6410","EAST 93 STREET","2018-04-12T00:00:00.000","3","EAST 93 STREET","RUTLAND ROAD","0.3","9.3","Missing","2.0","41.5","60.0","3.1","-8.9","42.8","34.3","61.1","-24.6","1.9","No","None","None"
"POINT (-73.95306447094421 40.745542224990714)","1037752","25344","VERNON BOULEVARD","2018-03-28T00:00:00.000","4","VERNON BOULEVARD","47 AVENUE","2.0","6.5","Missing","0.4","50.8","60.0","-1.1","-1.7","46.5","10.2","62.2","-4.7","0.4","Yes","None","Utility access"
"POINT (-73.86166299368273 40.8329309300526)","1015948","13808","WESTCHESTER AVENUE","2018-05-23T00:00:00.000","2","HUGH J GRANT CIRCLE","WESTCHESTER AVENUE","0.4","4.8","Good Condition","2.4","47.4","60.0","1.5","-2.5","58.4","8.7","56.0","-7.4","2.4","Yes","None","None"
"POINT (-73.9827841958233 40.75106474869564)","1089685","9400","WEST 38 STREET, 5 AVENUE","2018-04-29T00:00:00.000","1","WEST 38 STREET","5 AVENUE","0.8","0.5","Missing","-0.4","50.3","60.0","2.3","-4.3","50.3","5.8","83.0","-1.4","0.9","Yes","None","None"
"POINT (-73.8505659749004 40.84647363152031)","1019669","7343","HAIGHT AVENUE","2018-04-11T00:00:00.000","2","PIERCE AVENUE","HAIGHT AVENUE","1.0","6.1","Good Condition","-1.4","47.8","38.8","-2.8","-5.0","40.0","8.2","58.0","-15.8","-2.1","No","None","None"
"POINT (-73.9873844793977 40.68706499925643)","1180884","20295","PACIFIC STREET","2018-04-15T00:00:00.000","3","PACIFIC STREET","HOYT STREET","0.8","6.0","Good Condition","-0.8","51.9","60.0","-3.5","-5.6","48.9","10.9","54.5","-30.2","-2.2","Yes","None","None"
"POINT (-73.82960666253076 40.84073649400592)","1019069","11903","CROSBY AVENUE","2018-05-28T00:00:00.000","2","CROSBY AVENUE","CODDINGTON AVENUE","0.7","6.5","Missing","0.2","51.4","60.0","-2.7","6.2","49.3","10.5","56.1","-19.0","-1.4","No","None","None"
"POINT (-73.89887198022477 40.66889367492947)","1117479","13085","SUTTER AVENUE","2018-05-07T00:00:00.000","3","SUTTER AVENUE","WILLIAMS AVENUE","0.7","5.0","Good Condition","0.0","59.8","60.0","1.0","-5.4","60.3","10.2","59.6","-5.3","0.9","Yes","None","None"
"POINT (-73.86308883320426 40.8303813797978)","1016143","3875","LELAND AVENUE","2018-05-23T00:00:00.000","2","GLEASON AVENUE","LELAND AVENUE","0.5","8.4","Missing","-1.6","49.1","60.0","-2.1","-5.4","47.5","13.8","60.1","-15.1","-1.2","No","None","None"
"POINT (-74.14528233020997 40.54199680656944)","1149641","18254","HARTFORD STREET, NELSON AVENUE","2018-04-30T00:00:00.000","5","HARTFORD STREET","NELSON AVENUE","0.2","4.3","Good Condition","-5.1","54.7","30.6","-5.8","-0.8","47.1","4.8","53.3","-13.9","-5.6","No","None","None"
"POINT (-73.88421983197516 40.714636314878504)","1031994","22210","71 STREET","2018-05-15T00:00:00.000","4","JUNIPER VALLEY ROAD","71 STREET","0.7","5.2","Missing","1.1","50.6","60.0","0.2","-5.6","50.1","10.2","56.9","-8.8","-0.1","No","None","None"
"POINT (-73.86272801819403 40.82825545352828)","1015934","3951","LELAND AVENUE","2018-05-23T00:00:00.000","2","LELAND AVENUE","WATSON AVENUE","0.6","7.3","Good Condition","1.1","48.2","53.5","1.8","-0.3","47.8","11.1","59.5","-10.4","1.3","No","None","None"
"POINT (-73.86229543778586 40.571379162005826)","1061309","11043","NEPONSIT AVENUE","2018-05-22T00:00:00.000","4","NEPONSIT AVENUE","BEACH 146 STREET","0.8","16.0","Missing","1.6","33.8","59.0","2.5","-10.8","37.7","28.8","36.4","-22.6","0.2","Yes","None","None"
"POINT (-73.8834648584291 40.657711820663266)","1116676","12011","VAN SICLEN AVENUE","2018-05-10T00:00:00.000","3","VAN SICLEN AVENUE","WORTMAN AVENUE","1.1","2.7","Good Condition","3.0","48.2","60.0","0.1","-3.7","49.7","5.2","57.8","-2.5","2.2","No","None","None"
"POINT (-74.15778998520636 40.55852510772626)","1153483","33809","BARLOW AVENUE","2018-05-02T00:00:00.000","5","COLON AVENUE","BARLOW AVENUE","0.4","6.0","Good Condition","3.9","48.0","43.2","1.9","-7.0","57.0","10.3","59.1","-2.8","2.3","No","None","None"
"POINT (-73.90089631028559 40.8177073940941)","1180998","34132","HEWITT PLACE","2017-05-01T00:00:00.000","2","HEWITT PLACE","MACY PLACE","0.9","5.9","Missing","-5.0","47.5","43.1","-2.8","-6.2","59.5","8.6","52.4","-4.3","-2.3","No","None","None"
"POINT (-73.79496388360626 40.78597570893454)","1058274","19671","UTOPIA PARKWAY","2018-04-26T00:00:00.000","4","UTOPIA PARKWAY","CROSS ISLAND PARKWAY","0.3","8.6","Missing","-1.4","61.4","60.0","-3.9","-1.8","54.6","28.9","42.9","-36.8","1.1","No","None","None"
"POINT (-73.91304831007442 40.82547830999404)","1006491","35097","EAST 163 STREET, MELROSE AVENUE","2018-04-01T00:00:00.000","2","EAST 163 STREET","MELROSE AVENUE","0.6","2.2","Missing","1.2","68.0","60.0","-2.5","1.7","66.6","4.3","60.1","-3.6","-1.5","No","None","None"
"POINT (-73.97119016999385 40.75101406888193)","1090262","9668","2 AVENUE","2018-04-13T00:00:00.000","1","EAST 44 STREET","2 AVENUE","1.1","9.1","Missing","-1.9","48.2","60.0","0.3","-8.0","54.9","5.2","60.1","-10.8","-1.0","No","None","None"
"POINT (-73.78143149895558 40.716239474310186)","1070441","26588","AVON STREET","2018-04-14T00:00:00.000","4","AVON STREET","DALNY ROAD","0.3","8.4","Missing","-3.7","83.1","60.0","-3.0","-10.8","72.6","5.3","31.9","-3.8","-3.6","Yes","None","None"
"POINT (-73.84480624795422 40.71179673307852)","1035395","21698","ASCAN AVENUE","2018-05-10T00:00:00.000","4","ASCAN AVENUE","KESSEL STREET","1.5","0.5","Missing","1.2","54.9","60.0","2.6","9.8","44.3","18.0","60.4","-5.3","0.1","No","None","None"
"POINT (-73.90507535513534 40.64884078993165)","1122241","5652","FOSTER AVENUE","2018-05-05T00:00:00.000","3","EAST 98 STREET","FOSTER AVENUE","0.4","13.9","Missing","0.4","38.9","60.0","-0.4","-3.3","39.7","6.7","70.6","-19.5","-2.3","No","None","None"
"POINT (-73.9792105354419 40.63552550807565)","1128968","1869","DAHILL ROAD","2018-04-18T00:00:00.000","3","40 STREET","DAHILL ROAD","0.9","6.8","Missing","-1.4","41.6","60.0","0.5","-4.1","45.7","3.3","54.9","-8.1","-1.1","No","None","Utility access"
"POINT (-73.89652347281697 40.662738944386895)","1117711","13079","RIVERDALE AVENUE","2018-05-07T00:00:00.000","3","ALABAMA AVENUE","RIVERDALE AVENUE","0.8","7.4","Defective","-1.8","47.8","60.0","0.8","-6.0","48.9","5.2","55.9","-9.5","0.8","Yes","None","None"
"POINT (-73.86152269967644 40.5717907873706)","1061315","11053","BEACH 145 STREET","2018-05-22T00:00:00.000","4","BEACH 145 STREET","NEPONSIT AVENUE","0.7","12.0","Missing","-1.6","38.4","60.0","-0.3","-4.2","38.4","19.3","30.0","-23.4","-0.7","No","None","None"
"POINT (-73.8691375777015 40.83094211868273)","1016089","4186","ROSEDALE AVENUE","2018-05-23T00:00:00.000","2","WESTCHESTER AVENUE","ROSEDALE AVENUE","0.4","4.6","Defective","0.3","35.7","60.0","1.8","-6.0","36.8","6.2","53.2","-11.4","0.1","No","None","None"
"POINT (-74.03391920803193 40.630587289516065)","1139136","23786","78 STREET","2018-05-23T00:00:00.000","3","COLONIAL ROAD","78 STREET","0.6","7.4","Missing","2.3","40.4","39.3","1.4","-5.1","43.8","14.3","58.0","-12.8","4.2","No","None","None"
"POINT (-73.91603107088727 40.82013658494956)","1002971","35366","MELROSE AVENUE","2018-04-01T00:00:00.000","2","MELROSE AVENUE","EAST 155 STREET","1.0","11.1","Missing","2.1","43.1","60.0","0.4","-3.9","46.7","18.1","59.3","-13.1","1.6","No","None","None"
"POINT (-73.86562894279977 40.73603441328444)","1026723","15880","JUNCTION BOULEVARD","2018-05-08T00:00:00.000","4","58 AVENUE","JUNCTION BOULEVARD","0.7","7.0","Missing","-1.8","52.1","60.0","-1.0","-1.6","54.2","10.7","61.6","-10.3","-3.1","No","None","None"
"POINT (-73.91975967916309 40.6624816604706)","1118314","12002","DUMONT AVENUE","2018-05-06T00:00:00.000","3","TAPSCOTT STREET","DUMONT AVENUE","0.5","1.7","Good Condition","0.2","47.5","36.9","2.9","-7.5","45.3","12.7","58.0","-22.7","0.5","Yes","None","None"
"POINT (-73.83640459424105 40.835711859946166)","1019006","3428","WATERBURY AVENUE","2018-05-26T00:00:00.000","2","BALCOM AVENUE","WATERBURY AVENUE","0.5","1.6","Missing","4.4","40.8","60.0","3.8","-2.6","41.1","14.1","60.3","-4.9","1.8","No","None","None"
"POINT (-73.83602579469378 40.86254778891253)","1020474","2328","MACE AVENUE","2018-05-18T00:00:00.000","2","GUNTHER AVENUE","MACE AVENUE","1.1","14.1","Missing","0.4","52.2","54.5","-2.9","-1.3","44.9","14.2","57.1","-18.4","-2.0","Yes","None","None"
"POINT (-73.91334119420826 40.80163609145918)","1002841","297","EAST 134 STREET","2018-03-26T00:00:00.000","2","EAST 134 STREET","WILLOW AVENUE","0.4","6.4","Missing","3.6","50.4","60.0","3.0","-6.7","51.4","14.4","54.6","-3.8","4.5","No","None","None"
"POINT (-73.91992980600622 40.815932930852)","1022771","472","EAST 148 STREET","2018-03-25T00:00:00.000","2","COURTLANDT AVENUE","EAST 148 STREET","0.5","9.0","Good Condition","5.7","47.0","60.0","3.5","-2.0","47.0","18.8","56.7","-8.8","4.5","No","None","None"
"POINT (-73.96701619646147 40.62447562929819)","1130139","1949","EAST 9 STREET","2018-04-21T00:00:00.000","3","AVENUE J","EAST 9 STREET","0.7","3.9","Missing","-0.8","52.5","60.0","1.4","-3.2","48.6","10.9","49.5","-11.3","-1.5","Yes","None","None"
"POINT (-73.9034317148203 40.745690334048206)","1036293","29482","61 STREET","2018-03-20T00:00:00.000","4","ROOSEVELT AVENUE","61 STREET","0.6","8.1","Missing","0.3","40.4","60.0","0.9","-4.4","40.5","6.4","54.5","-8.7","-1.8","Yes","None","None"
"POINT (-73.96739879093967 40.77177837219286)","1097209","17271","EAST 71 STREET","2018-04-07T00:00:00.000","1","EAST 71 STREET","5 AVENUE","1.0","-3.2","Good Condition","-0.4","59.7","60.0","1.0","-8.4","59.9","-1.0","75.6","2.3","0.6","No","None","None"
"POINT (-73.92428419986192 40.81519976557905)","1004734","1302","MORRIS AVENUE","2018-03-26T00:00:00.000","2","EAST 143 STREET","MORRIS AVENUE","1.0","5.9","Missing","-2.0","31.1","60.0","-0.2","-1.6","47.6","2.5","59.4","-5.3","-0.4","Yes","None","None"
"POINT (-73.82081443472823 40.82649499357345)","1003751","5233","EDISON AVENUE","2018-05-28T00:00:00.000","2","RANDALL AVENUE","EDISON AVENUE","0.4","9.0","Missing","-1.1","61.3","60.0","-4.1","-7.3","61.1","3.3","51.9","-14.1","-3.4","No","None","None"
"POINT (-74.15742275022484 40.553291625143075)","1154210","16562","EAST AUGUSTA AVENUE","2018-05-02T00:00:00.000","5","ABINGDON AVENUE","EAST AUGUSTA AVENUE","1.3","5.7","Missing","-1.7","58.1","25.9","-2.4","-2.8","57.7","7.9","58.3","-12.0","-1.4","No","None","None"
"POINT (-73.93877750192492 40.70843132638969)","1105389","27007","BUSHWICK PLACE","2018-03-25T00:00:00.000","3","MESEROLE STREET","BUSHWICK PLACE","0.8","7.5","Missing","-3.1","36.9","5.9","-4.0","-6.8","44.7","7.2","38.3","-15.5","-2.8","Yes","None","None"
"POINT (-73.81967273588751 40.83232074982282)","1018517","5545","LAFAYETTE AVENUE","2018-05-28T00:00:00.000","2","LAFAYETTE AVENUE","VINCENT AVENUE","0.3","5.5","Missing","-4.3","53.1","60.0","-3.8","-2.4","49.2","9.0","47.1","-14.9","-2.3","No","None","None"
"POINT (-73.91437087347373 40.822949704484415)","1020809","35093","EAST 159 STREET","2018-04-01T00:00:00.000","2","EAST 159 STREET","MELROSE AVENUE","0.5","4.3","Missing","1.0","45.0","60.0","5.3","-2.9","47.9","15.4","53.9","-11.7","3.6","No","None","None"
"POINT (-73.96073312954643 40.77228302002355)","1093355","8933","LEXINGTON AVENUE","2018-04-05T00:00:00.000","1","LEXINGTON AVENUE","EAST 75 STREET","0.9","11.3","Missing","-1.3","40.5","60.0","1.2","-12.3","40.5","34.4","31.8","-25.5","-0.7","No","None","None"
"POINT (-73.91998107840188 40.66415890243195)","1118082","12530","BLAKE AVENUE","2018-05-06T00:00:00.000","3","TAPSCOTT STREET","BLAKE AVENUE","0.6","5.9","Missing","0.7","53.0","60.0","0.7","-7.5","47.4","5.6","47.6","-10.0","1.0","No","None","None"
"POINT (-73.95576477245933 40.62832494327374)","1130093","2646","EAST 21 STREET","2018-04-20T00:00:00.000","3","EAST 21 STREET","AVENUE I","1.1","3.9","Missing","-1.9","47.7","60.0","-5.1","-7.2","48.2","6.0","56.3","-10.6","-0.4","No","None","None"
"POINT (-73.88245219149886 40.65634704726604)","1116707","12021","VAN SICLEN AVENUE","2018-05-10T00:00:00.000","3","COZINE AVENUE","VAN SICLEN AVENUE","1.0","3.7","Missing","1.1","55.8","60.0","-3.3","-4.1","57.3","4.0","51.7","-8.5","-0.4","No","None","None"
"POINT (-73.88026891147754 40.7583262548817)","1173160","29309","32 AVENUE","2018-04-06T00:00:00.000","4","32 AVENUE","88 STREET","0.8","5.2","Missing","-1.4","60.8","60.0","-2.4","-7.3","48.6","19.7","61.8","-20.8","0.4","No","None","None"
"POINT (-73.84398021895804 40.72689408210559)","1032881","24407","68 ROAD","2018-05-06T00:00:00.000","4","110 STREET","68 ROAD","1.0","6.6","Missing","2.6","51.2","58.8","3.7","-4.5","74.2","11.5","50.6","-1.4","4.0","No","None","None"
"POINT (-73.76028766254119 40.6921523054687)","1052474","36662","LINDEN BOULEVARD","2018-05-25T00:00:00.000","4","LINDEN BOULEVARD","191 STREET","1.8","3.4","Good Condition","1.2","48.9","60.0","-2.2","1.4","48.8","6.8","55.7","-17.1","0.0","No","None","Utility access"
"POINT (-73.80146453288405 40.77105935517555)","1059175","10671","29 AVENUE","2018-08-25T00:00:00.000","4","163 STREET","29 AVENUE","0.4","3.3","Missing","0.9","57.7","60.0","-0.5","-3.9","43.8","5.5","65.8","-2.6","0.6","No","None","None"
"POINT (-73.99607113560475 40.63111597853587)","1129384","25209","13 AVENUE","2018-04-22T00:00:00.000","3","56 STREET","13 AVENUE","0.3","3.0","Missing","0.1","38.7","60.0","-0.6","-6.4","45.8","19.3","44.3","-13.6","1.4","Yes","None","None"
"POINT (-73.88278296270171 40.70413925179403)","1030022","23462","69 PLACE","2018-05-10T00:00:00.000","4","69 PLACE","CENTRAL AVENUE","0.6","5.7","Missing","-1.1","42.5","60.0","-0.5","-6.2","48.0","14.1","51.9","-12.3","-1.9","Yes","None","None"
"POINT (-73.80905534980103 40.76419516793885)","1059284","12926","156 STREET","2018-04-21T00:00:00.000","4","NORTHERN BOULEVARD","156 STREET","0.4","10.3","Missing","-1.1","69.0","60.0","-3.5","-7.1","54.5","22.6","69.5","-24.8","-4.4","No","None","None"
"POINT (-73.91242521118234 40.6652775832967)","1118024","17935","BLAKE AVENUE","2018-05-06T00:00:00.000","3","BLAKE AVENUE","THOMAS S BOYLAND STREET","0.9","5.0","Missing","2.0","42.4","60.0","3.4","-5.8","48.3","19.2","56.4","-4.3","3.8","No","None","None"
"POINT (-73.93105647138673 40.74260736611974)","1024563","24291","47 AVENUE","2018-03-27T00:00:00.000","4","47 AVENUE","34 STREET","0.7","7.0","Missing","4.6","85.2","60.0","2.4","-2.5","64.9","18.3","60.4","-10.5","3.2","No","None","None"
"POINT (-73.88524704638478 40.662754852032954)","1116970","12249","HEGEMAN AVENUE","2018-05-07T00:00:00.000","3","SCHENCK AVENUE","HEGEMAN AVENUE","1.3","10.4","Missing","-0.5","62.6","60.0","-1.7","-2.9","59.0","15.5","57.4","-19.2","-1.7","No","None","None"
"POINT (-73.906407373811 40.74558496649251)","1036497","23620","58 STREET","2018-03-20T00:00:00.000","4","58 STREET","WOODSIDE AVENUE","0.8","2.3","Missing","1.0","36.5","60.0","4.7","-3.0","38.5","11.5","50.6","0.5","0.5","No","None","None"
"POINT (-73.9799545785836 40.61864381517062)","1129954","1953","21 AVENUE","2018-04-20T00:00:00.000","3","59 STREET","21 AVENUE","0.7","2.6","Missing","-1.7","45.9","54.3","-2.7","-3.7","44.2","7.8","49.2","-12.5","-1.7","No","None","None"
"POINT (-73.97943872312449 40.61249831376161)","1131617","34454","WEST 5 STREET","2018-05-21T00:00:00.000","3","WEST 5 STREET","65 STREET","0.6","5.7","Missing","-3.0","59.6","60.0","-2.1","-6.2","62.3","4.5","64.0","-12.0","-3.1","No","None","None"
"POINT (-73.99069516857764 40.639726751330286)","1128619","2421","12 AVENUE","2018-04-18T00:00:00.000","3","12 AVENUE","43 STREET","0.4","12.3","Missing","-2.0","51.5","60.0","-1.9","-5.0","41.5","18.2","47.6","-31.7","-0.2","No","None","None"
"POINT (-73.87190359229405 40.830388363972034)","1016104","3795","WESTCHESTER AVENUE","2018-05-23T00:00:00.000","2","WESTCHESTER AVENUE","FTELEY AVENUE","0.6","7.1","Missing","-0.5","46.4","60.0","-3.0","-3.8","47.0","8.9","56.4","-10.8","-1.6","Yes","None","None"
"POINT (-73.8079298947284 40.66819037714641)","1181306","15437","131 STREET","2018-05-12T00:00:00.000","4","131 STREET","135 AVENUE","0.4","9.7","Missing","0.3","53.9","60.0","3.3","-3.3","49.4","25.7","56.8","-16.1","-1.9","Yes","None","None"
"POINT (-73.79742808623465 40.71104408586737)","1070006","29084","166 STREET","2018-04-18T00:00:00.000","4","HIGHLAND AVENUE","166 STREET","0.6","7.9","Missing","6.2","50.0","54.6","5.0","-1.6","52.5","16.9","56.0","-4.5","5.7","No","None","None"
"POINT (-73.97670933081355 40.682090110895736)","1107934","18318","5 AVENUE","2018-04-15T00:00:00.000","3","5 AVENUE","DEAN STREET","0.3","2.2","Missing","0.8","53.9","60.0","-2.2","-6.6","48.0","4.6","59.9","-9.4","1.6","No","None","Utility access"
"POINT (-73.90481158925958 40.634821311222694)","1122923","6770","AVENUE K","2018-05-05T00:00:00.000","3","EAST 86 STREET","AVENUE K","1.7","11.2","Missing","1.1","34.3","58.2","-0.6","-7.3","35.1","15.9","47.0","-20.4","4.7","No","None","None"
"POINT (-74.11790170831858 40.60467320559426)","1156497","28001","LA GUARDIA AVENUE","2018-05-03T00:00:00.000","5","LA GUARDIA AVENUE","TILLMAN STREET","2.1","11.6","Missing","4.0","41.6","40.0","5.9","-0.2","36.8","33.2","48.9","-14.0","0.1","No","None","None"
"POINT (-73.89454426009783 40.66303259664341)","1117632","11417","RIVERDALE AVENUE","2018-05-07T00:00:00.000","3","RIVERDALE AVENUE","SHEFFIELD AVENUE","0.8","2.6","Good Condition","1.3","56.7","60.0","0.1","-5.3","67.1","9.7","55.8","-6.7","0.8","No","None","None"
"POINT (-73.99689317148014 40.64435790583832)","1128370","25762","42 STREET","2018-04-18T00:00:00.000","3","42 STREET","9 AVENUE","0.8","5.0","Good Condition","-4.2","54.9","60.0","-6.6","-4.4","56.2","3.3","54.6","-15.9","-4.8","No","None","None"
"POINT (-73.88488821944972 40.85175427185611)","1009099","31586","EAST 183 STREET","2018-04-07T00:00:00.000","2","EAST 183 STREET","CROTONA AVENUE","0.4","1.8","Good Condition","3.5","47.1","60.0","5.8","-3.0","47.3","18.7","58.7","-9.3","3.9","No","None","None"
"POINT (-73.87932445547685 40.70497650339975)","1029900","22712","CENTRAL AVENUE","2018-05-10T00:00:00.000","4","CENTRAL AVENUE","72 STREET","0.4","8.8","Missing","1.6","48.5","60.0","2.2","-3.3","41.2","16.5","61.3","-12.5","1.0","No","None","None"
"POINT (-73.84471148652153 40.57920964024179)","1061618","11356","NEWPORT AVENUE","2018-05-22T00:00:00.000","4","NEWPORT AVENUE","BEACH 124 STREET","0.8","4.7","Good Condition","0.6","48.5","58.5","-0.2","-9.6","48.9","9.4","60.8","-6.5","0.6","No","None","None"
"POINT (-73.93082854626539 40.724291176973566)","1104293","24715","GARDNER AVENUE","2018-03-17T00:00:00.000","3","LOMBARDY STREET","GARDNER AVENUE","1.9","-3.0","Defective","-2.6","35.8","60.0","-0.5","1.2","33.3","-1.1","50.9","-6.7","-1.9","No","None","None"
"POINT (-73.95295402133279 40.628464428348686)","1126778","2914","EAST 24 STREET","2018-04-22T00:00:00.000","3","AVENUE I","EAST 24 STREET","0.4","4.7","Missing","-0.3","50.9","60.0","-0.6","-10.6","52.4","6.9","61.5","-11.2","-1.5","No","None","None"
"POINT (-73.91113225441738 40.69476828189461)","1110772","36032","KNICKERBOCKER AVENUE","2018-03-31T00:00:00.000","3","CORNELIA STREET","KNICKERBOCKER AVENUE","0.7","5.0","Good Condition","2.3","50.1","60.0","2.1","-4.2","51.3","13.9","55.7","-9.2","1.1","No","None","None"
"POINT (-73.94869090695961 40.58437786295754)","1140753","7467","OCEAN AVENUE","2018-06-14T00:00:00.000","3","OCEAN AVENUE","SHORE PARKWAY","0.4","7.5","Missing","-0.9","55.3","60.0","0.3","-0.9","59.6","7.4","58.4","-14.5","-1.8","Yes","None","None"
"POINT (-73.89205410255373 40.83363515346126)","1006861","6873","SEABURY PLACE","2018-04-09T00:00:00.000","2","SEABURY PLACE","CHARLOTTE STREET","0.3","8.7","Missing","-0.5","36.8","60.0","-2.0","-2.0","37.9","20.0","25.1","-20.6","-0.3","No","None","None"
"POINT (-74.03604730839156 40.63892099416721)","1139385","19259","SHORE ROAD GREENWAY, BAY RIDGE AVENUE","2018-05-23T00:00:00.000","3","BAY RIDGE AVENUE","SHORE ROAD","0.4","5.2","Missing","3.1","62.8","60.0","2.2","-6.0","59.8","26.7","68.3","-21.3","1.5","No","None","None"
"POINT (-73.87649936400886 40.82173154879408)","1015633","3487","BOYNTON AVENUE, STORY AVENUE","2018-05-21T00:00:00.000","2","BOYNTON AVENUE","STORY AVENUE","0.8","11.0","Missing","555.0","159.8","60.0","4.3","555.0","167.7","15.1","107.1","-13.4","1.8","No","None","None"
"POINT (-74.12582850657996 40.6005652112039)","1163543","29129","GANSEVOORT BOULEVARD","2018-09-06T00:00:00.000","5","GANSEVOORT BOULEVARD","PORTAGE AVENUE","0.6","4.1","Good Condition","6.1","50.4","33.3","11.4","-5.8","46.2","20.8","52.4","-3.8","7.4","No","None","None"
"POINT (-74.1982871909092 40.53982852385784)","1157695","33406","RENSSELAER AVENUE","2018-05-03T00:00:00.000","5","ELLSWORTH AVENUE","RENSSELAER AVENUE","0.8","6.3","Good Condition","1.1","49.0","30.4","-0.5","-0.1","56.2","12.2","50.4","-9.4","0.5","Yes","None","None"
"POINT (-73.85982591369718 40.5722082690802)","1170221","11084","NEPONSIT AVENUE","2018-05-22T00:00:00.000","4","NEPONSIT AVENUE","BEACH 143 STREET","0.8","14.8","Missing","0.3","32.0","60.0","1.0","-2.8","37.8","30.8","32.1","-24.5","-1.2","Yes","None","None"
"POINT (-73.92389299514728 40.8119470243621)","1002885","1288","ALEXANDER AVENUE","2018-03-29T00:00:00.000","2","ALEXANDER AVENUE","EAST 141 STREET","1.6","6.6","Missing","-0.5","39.5","60.0","-1.0","-9.9","40.4","13.0","62.0","-24.9","-1.3","Yes","None","None"
"POINT (-73.86976967806167 40.82948476054487)","1016072","5501","NOBLE AVENUE","2018-05-23T00:00:00.000","2","NOBLE AVENUE","GLEASON AVENUE","0.4","6.6","Missing","-0.2","44.3","60.0","1.7","-3.1","46.1","11.3","57.2","-16.2","2.0","No","None","None"
