"name","fileorder","number","parkprop","borough","parkname","parknumber","commboard","council","location","extant","dedicated","cast","descrip","dimen","sponsor","materials","foundry","fabricator","sculptor","architect","donor","maintain","contractor","name2","name3","maintainedbyparks","installation","rededication","cost","categories","inscribed","x","y"
"ingersoll, robert g.",,"778","N","Manhattan",,,"6","2","WALL OF GRAMERCY PK HOTEL; 21st st. and lexington ave","Y","1935",,"tablet","1'9""h x 2'9""w",,"bronze",,,,,,,,,,,,,,,,,
"Instruction","Instruction","779","N","Manhattan",,,"1","1","Surrogate's Court/Hall of Records, 31 Chambers Street, Reade Street elevation, beside center window in attic","Y","1903","ca. 1903","half-reclining male figure (heroic scale)",,,"Westerly granite",,,"Henry Kirke Bush-Brown","Horgan and Slattery","$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
"Iron Age","Iron Age","780","N","Manhattan",,,"1","1","Surrogate's Court/Hall of Records, 31 Chambers Street, Reade Street elevation, chief cornice, sixth from left","Y","1905","ca. 1905","male figure (heroic scale)",,,"Westerly granite",,,"Philip Martiny","Horgan and Slattery","$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
"irving, john treat",,"781","N","Manhattan",,,"1","1","COUNTY COURT HOUSE, RM 316; centre and prince sts","Y",,,"bust",,,"white marble",,,,,"gift",,,,,,,,,,,,
"Washington Irving Memorial","Irving, Washington","782","Y","Brooklyn","Prospect Park","B073","0","39","Flower Garden","Y","1871","ca 1871","Bust on pedestal",,,"Bronze, granite",,,"James Wilson Alexander MacDonald",,"Demas Barnes",,,,,"Y",,,,"Writer",,"994434.5855899751","179384.20099273324"
"Irving, Washington",,"783","Y","Manhattan",,,"6","2","Washington Irving High School; Irving Place at 17th Street","L","1885",,"Portrait bust on pedestal","H: 14'9"" W: 3'9"" D: 3'9""",,"Bronze, French limestone",,,"Frederick Beer","Aymar Embury II (new pedestal)","Dr. Joseph Wiener",,,,,,,,,"Writer",,,
"irving, washington",,"784","N","Manhattan",,,"6","2","WASHINGTON IRVING HS; irving pl, 16th and 17th sts","Y","1912",,"tablet with relief","2'10""h x 3'¾""w",,"bronze",,,"victor d. brenner",,"st. nicholas soc. of ny, $1000.",,,,,,,,,,,,
"The Isaiah Wall","Isaiah Wall, The","785","Y","Manhattan","Ralph J. Bunche Park","M203B","6","4","1st Avenue and 43rd Street; across from the United Nations","Y","1948, 9/8/75 (rededicated)",,"Staircase with curved wall, incised letters",,,"Granite",,"A. Ottavino Granite (letters)",,"Andrews & Clark",,,,,,"Y",,,,,,"992676.7282133102","212391.19961114228"
"Isham",,"786","N","Manhattan","Central Park","M010","7","6","Metropolitan Museum, south wall; 5th Avenue and 82nd St","Y","1920",,"pediment, tablet in wall",,,,,,"Adolph Alexander Weinman","henry siddons mowbray","flora elisa isham",,,,,,,,,,,,
"Isham Park",,"787","Y","Manhattan","Isham Park","M043","12","7","ISHAM PARK; seaman ave, isham st, 211th st.","N","1925",,"captured german cannon",,,"scrapped for wwii, 1942",,,,,"gift",,,,,,,,,"War Memorial, World War I",,,
"Isham Park Memorial",,"788","Y","Manhattan","Isham Park","M043","12","7","Broadway at 212th St.","Y","1915",,"Tablet on wall","H: 1'2"" W: 2'8""",,"Bronze on granite wall",,,,,"Julia Isham Taylor",,,,,"Y",,,,,,"1006755.9513671398","255877.38560447097"
"Rockefeller Fountain",,"789","Y","the Bronx","Bronx Park","X002","14","12","Zoo, North end, Astor Court","Y","1903","1872","Three-tiered, octagonal fountain with extensive sculptural program of sea creatures, etc.","Diameter of largest basin 45'; Plaque: H: 1'1"" W: 2'",,"Bianco Pi Italian marble",,,"Biagio Catella",,"William Rockefeller",,,"Italian Fountain",,,,,"25000.00",,,"1018071.6616753042","250374.2758758068"
"Jackson Square Fountain","Jackson Square Fountain","790","Y","Manhattan","Jackson Square Park","M044","2","3","Greenwich and Eighth Avenues and W. 13th Street","Y","October 11, 1990","ca. 1990","Ornamental fountain with three basins on base and catch basin below, fence",,,"Fountain and fountain basins--cast iron; base--granite; catch basin--concrete; fence--wrought iron","Robinson Iron Works, Inc. (fountain and fence)",,,"James F. Balsley, EDAW, Inc.",,,,,,,,,,,,"983451.98977305","208478.7468061447"
"Andrew Jackson",,"791","Y","Manhattan","Highbridge Park","M037","12","7","181st Street and Amsterdam Avenue","N","June 18, 1912",,"2 drinking fountains - horses & humans","H: 3'6"" D: 3'",,"Deer Isle granite",,,,,"Andrew Jackson n.s.u.s.d. 1812 ny",,,,,,,,,"War of 1812, War Memorial, US President",,,
"Andrew Jackson",,"792","N","Manhattan",,,"8","11","MARINE MUSEUM, MUS. CITY OF NY; 5th ave at 103rd st","Y","1936",,"statue",,,,,"statue made in 1830",,,"william b leeds",,,,,,,,,,,,
"King Wladyslaw Jagiello","Jagiello, Wladyslaw","793","Y","Manhattan","Central Park","M010","7","6",,"Y","July 15, 1945","1939","Equestrian figure (over life-size) on pedestal on base on terrace","Figure H: 14'8""; Pedestal H: 10' W: 7'6"" D: 11' 10""; Base D: 7'6""- 13'10""; Terrace W: 37' D: 43'","CPC","Bronze; Milford pink granite","Fon, FM, Italy",,"Stanislaw K. Ostrowski","Aymar Embury II","Polish government in exile",,,,,"Y",,,,"Animal: equestrian",,"993473.9057528079","223059.543431893"
"Jamaica Estates",,"794","Y","Queens",,"Q030","24","8","Midland Pkwy Mall, Hillside Avenue","Y",,,"Gatehouse with stele and tablet inside",,,"Bronze, granite, natural stone",,,,,,,,,,"Y",,,,,,"1044547.521781221","199235.75282497704"
"jamaica hs memorial",,"795","N","Queens",,,"8","24","JAMAICA HIGH SCHOOL; gothic ave and 167th st","Y","1945",,"relief plaque, dedication plaque",,,"bronze, limestone?",,,,,"jamaica high school alumni",,,,,,,,,,,,
"Jamaica Memorial",,"796","Y","Queens",,"Q023","12","28","Jamaica Avenue at 153rd Street","M","1921",,"Stele with sundial and tablet","Tablet H: 2'1"" W: 2'5""; Stele H: 7'2"" W: 3'1"" D: 11""; Pedestal H: 3'4"" Diameter 1'11""; Sundial Diameter 1'9""",,"Tennessee marble, bronze",,,,,"Gift",,,,,,,,"4000.00","World War I, War Memorial",,,
"Union Square Drinking Fountain","Union Square Drinking Fountain","797","Y","Manhattan","Union Square Park","M089","5","2","Westside of park, between 15th and 16th Streets","Y","October 25, 1881","1881","Group of three figures---standing mother holds baby on right arm with infant at her left side---(over life-size) on an ornamented, octagonal pedestal with a lion head fountain and a basin on each of  four sides; formerly a working drinking fountain","Total H: 19' W: 7'6"" D: 12'","T&A","Group---bronze; Pedestal---Swedish red granite (polished)","G. Howaldt, Braunschweig",,"Karl Adolph Dondorff","J. Leonard Corning","Daniel Willis James and Theodore Roosevelt, Sr.",,,"James Fountain; Dondorff Fountain; Mother and Child",,"Y",,,,,,"986814.197615549","207458.65960747004"
"Japanese 'Shogun' Lantern",,"798","O","Brooklyn","Brooklyn Botanical Garden","B010","9","35",,"Y","October 8, 1980",,"Lantern","H: 10' Diameter: 3'",,"Granite, stone",,,,,"Tokyo, Japan",,,,,,,,,,,,
"japanese art",,"799","O","Brooklyn","Brooklyn Institute of Arts and Sciences","B048","9","35","BROOKLYN MUSEUM; eastern parkway","Y","1909",,"statue",,,"indiana limestone",,,"janet scudder",,"purchase, $3000.",,,,,,,,,,,,
"Japanese Tablet",,"800","Y","Manhattan","Riverside Park","M071","0","9","GRANTS TOMB - REAR, NOT EXTANT; Riverside Drive at 123rd St","N","1912",,"plaque","4'h x 4'11 ½""w - salvaged",,"bronze",,,"Toyko Fine Arts School",,"committee of japanese res. of nyc",,,,,,,,,,,,
"jasper, john",,"801","N","Manhattan",,,"5","4","BOARD OF EDUCATION BLDG; 500 park avenue","Y","1917",,"tablet","4'9""h x 3'w",,"bronze",,,,"charles r. lamb","gift $750",,,,,,,,,,,,
"John Jay",,"802","N","Manhattan",,,"1","1","CITY HALL; council chamber","Y","1835",,"bust on pedestal",,,,,,"john frazer",,"miss jay (daughter)",,,,,,,,,,,,
"Jeanette Park",,"803","Y","Manhattan","Vietnam Veterans Plaza","M046","1","1","AND BANDSTAND","M",,,,,,,,,,,,,,,,,,,,,,,
"Jeanette Park - Oyster Bar",,"804","Y","Manhattan","Vietnam Veterans Plaza","M046","1","1","FRONT FACE OF OYSTER BAR; destroyed 3/8/59","N",,,"sculptured panel",,,"concrete",,,"Frederick George Richard Roth",,"wpa",,,,,,,,,,,,
"Jeanette Park Memorial",,"805","Y","Manhattan","Vietnam Veterans Plaza","M046","1","1","Coenties Slip, South and Front Streets; interior of bandstand","N","1923",,"Tablet",,,,,,,,"Seamen's Church Institute of NY",,,,,,,,,"World War I, War Memorial",,"981665.780747056","195239.3231538087"
"jefferson high school",,"806","N","Brooklyn",,,"16","42","DUMONT, PENNSYLVANIA,","Y",,,"panels",,,"oak",,,,,"gift, $250.",,,,,,,,,,,,
"Thomas Jefferson",,"807","O","Manhattan","City Hall Park","M013","1","1","City Hall; Aldermanic Chamber - Rotunda","Y","February 6, 1834",,"statue",,,"plaster",,,"Pierre Jean David d'Angers",,"uriah p. levy",,,,,,,,,,,,
"jefferson, thomas",,"808","N","Manhattan",,,"9","7","CCNY - HALL OF PATRIOTS; convent ave at 139th st","Y","1926",,"bust",,,"bronze",,,"robert i. aitken",,"alumni assn of college, $2000",,,,,,,,,,,,
"jefferson, thomas",,"809","N","Brooklyn",,,"16","42","THOMAS JEFFERSON HS","Y","1929",,"statue, brass plaque","plque: 4""x6 ½""",,"plaster",,,"karl bitter",,"t.j. mem found & mrs. karl bitter",,,,,,,,,,,,
"Jeffrey's Hook Lighthouse Plaque",,"810","Y","Manhattan","Fort Washington Park","M028","12","7","Under George Washington Bridge","Y",,,"granite marker identifying historic lighthouse",,,"Granite",,,,,,,,,,"Y",,,,"Literary Character",,"998923.9742489755","249046.8165884763"
"Jenkins Fountain","Jenkins Fountain","811","O","Brooklyn","Brooklyn Botanical Garden","B010","9","35","Conservatory Plaza","Y","1930","1930","Fountain",,,"Bronze; Indiana limestone","The Gorham Company (Bronze Division)","William F. Evans & Son, Building Co., Brooklyn","Isabel Moore Kimball","Harold A. Caparn",,,,,,,,,"$4500.00",,,,
"Column of Jerash",,"812","Y","Queens","Flushing Meadows / Corona Park","Q099","15","21","East of Unisphere","Y","World's Fair, 1964","120 AD","Column, plaque set in ground","Plaque H: 30"" W: 60""",,"Marble",,,,,"King Hussein of Jordan",,,,,"Y",,,,,,"1027940.8791415542","211289.46559414268"
"Jerome Avenue Public Comfort Station",,"813","Y","the Bronx","Mosholu Parkway","X033","7","11","Beginning of Grand Concourse, Jerome Avenue and Mosholu Parkway","M","1927",,"Plaque on wall","H: 12"" W: 36"" D: ½""",,"Bronze",,,,"Max Hausle","DPW",,,,,,,,,,,,
"Jerusalem Grove","Jerusalem Grove","814","Y","Manhattan","Battery Park","M005","1","1","Northwest of Castle Clinton","Y","July 8, 1976","ca. 1976","Grove of fifteen cedars with inscribed horizontal marker in ivy bed","Marker H: 1'4"" L: 3'3"" W: 1'4""",,"Beige marble (polished face)",,,,,"City of Jerusalem",,,,,"Y",,,,,,"979661.4323935509","195845.57587830722"
"Jewish-American Tercentenary Flagstaff","Jewish-American Tercentenary Flagstaff","816","Y","Manhattan","Peter Minuit Park","M183","1","1","Peter Minuit Plaza, State and Whitehall Streets","Y","May 20, 1955","May 20, 1955","Flagstaff on base, plaque","Base H: 6'10"" W: 4'7"" D: 4'7""; Plaque H: 4'7"" W: 2'8""",,"Milford pink granite, bronze","Roman Bronze Works",,"Abram Belskie",,"State of New York, under auspices of The New York Legislative Committee for the American Jewish Tercentenary",,,,,"Y",,,,,,"980589.5899860561","195102.48812563717"
"Jewish War Veterans Tablet",,"817","Y","the Bronx","Joyce Kilmer Park","X028","4","17","Walton Avenue, 163rd and 164th Streets","M","May 22, 1955",,"Tablet on plinth","see memo",,"Bronze, granite",,,,,"Jewish War Veterans, Maccabean Post 107",,,,,,,,,"War Memorial",,,
"Joan of Arc",,"818","N","Manhattan",,,"3","25","ST. JOAN OF ARCH PAROCHIAL SCH; jackson heights","M","1915, statue is much older",,"equestrian statue, gothic pedestal","20'4""h x 6'1""w x 12'3""",,"bronze &","made in france",,"anna voughn hyatt (?) see memo","john van pelt","pere perriot, j of a statue comtee",,,,,,,,,,,,
"Joan of Arc Memorial","Joan of Arc","819","Y","Manhattan","Riverside Park","M071","7","6","Riverside Drive at 93rd Street","Y","December 6, 1915","1915","Equestrian figure (over life-size) on integral plinth on pedestal","Total H: 20'4"" W:  6'1"" D: 12'3""","MAS","Bronze, Mohegan granite",,,"Anna Vaughn Hyatt Huntington","John V. Van Pelt","Joan of Arc Statue Committee",,,,,"Y",,,,"Animal: equestrian, Women, Religious Leader",,"990743.8052418828","228603.4703361392"
"Jacob Joffe",,"820","Y","Brooklyn","Jacob Joffe Park","B324","18","46","East 58th-59th Streets, between Avenues J and K","M","1962",,"Tablet","H: 15"" W: 10"" D: ¼""",,"Bronze","U.S. Bronze Sign Company, NY",,,,"Friends & neighbors",,,,,,,,,"Civic Leader",,,
"johabbes verveeken ferry",,"821","N","Manhattan",,,"0","0",,"Y",,,,,,,,,,,,,,,,,,,,,,,
"Charles J. Johnson",,"822","Y","the Bronx","Sergeant Charles J. Johnson Square","X059","6","11","Fordham Road and Southern Blvd.","S","1943",,"Floor tablet","H: 8"" W: 1'11"" D: 3'",,"Westerly granite",,,,,"NY Fire Department - American Legion Post No. 930",,,,,,,,,"World War I, War Memorial",,,
"Frederick Johnson Memorial",,"823","Y","Manhattan","Frederick Johnson Park","M159","10","9","150th St. and 7th Ave.","Y","October 23, 1971",,"Stele with incised letters","H: 3'4"" W: 1'8"" D: 7 ½""",,"Barre granite",,"Keystone Monument Co.",,,"Frederick Johnson Memorial Committee",,,,,"Y",,,,"Athlete",,"1001898.1930380613","239807.6628227234"
"John Paul Jones",,"824","Y","Brooklyn","John Paul Jones Park","B035","10","43","Ft. Hamilton Pkwy., 101 Street, Shore Pkwy.","Y","October 27, 1980",,"Three flags on a stanchion, flagstaff","flagstaff was mast-uss daniel",,"Stone, bronze, concrete",,"Alton Douglas, Lt (see memo)",,,"Committee for John Paul Jones",,,,,"Y",,,,"World War II, War Memorial",,"974824.7550590485","161999.4624683112"
"Captain Jacob Joseph",,"826","Y","Manhattan","Captain Jacob Joseph Playground","M122","3","1","Henry and Rutgers Streets","M","1947",,"Tablet, base, flagstaff","Tablet H: 10"" W: 1'4 ½""",,"Bronze, concrete",,,,,"DPR",,,,,,,,,"World War II, War Memorial",,,
"joy-lette",,"827","N","Queens",,,"0","0",,"Y",,,,,,,,,,,,,,,,,,,,,,,
"Jumel Mansion Tablet",,"828","Y","Manhattan","Roger Morris Park","M073","12","7","Attic, Morris-Jumel Mansion; Edgecomb Avenue at 160 St","M","1903",,"2 tablets, in storage 1976","H: 2'6"" W: 3'",,"Bronze and oak frame",,"A.V. Johnson Co",,,"purchase",,,,,,,,,,,,
"Morris-Jumel Mansion",,"829","Y","Manhattan","Roger Morris Park","M073","12","7","Edgecomb Ave at 160th Street, left gatepost","Y","1962",,"Tablet","H: 16 ½"" W: 18""",,"Bronze",,,,,"National Park Service",,,,,"Y",,,,,,"1001079.135621056","243093.87475422025"
"justice",,"830","N","Manhattan",,,"5","2","APPELLATE COURT; madison ave at 25th st","Y","1899",,"group",,,,,,"daniel chester french",,"purchase  $15,000",,,,,,,,,,,,
"APPEND",,"831","N","the Bronx",,,"1","17","BRONX BOROUGH COURTHOUSE; brook ave, 3rd ave, sth of e. 161st st","Y","1910",,"statue",,,"tenessee marble",,,"g.e. roine",,"purchase  $4000",,,,,,,,,,,,
"justice",,"832","N","Manhattan",,,"1","1","CITY HALL","Y",,,"justice without blindfold",,,"zinc",,,"john dixey",,"c. 1859",,,,,,,,,,,,
"justice",,"833","N","Manhattan",,,"1","1","CRIMINAL COURTS BLDG; franklin and centre st","Y","1895",,"mural",,,,,,"edward e. simmons",,"purchase   $5000",,,,,,,,,,,,
"Justice","Justice","834","N","Manhattan",,,"1","1","New York County Court House, Centre Street and Hamill Place","Y","1959","ca. 1906","seated female figure (heroic scale) on pedestal","figure h 7'10""; pedestal h 4' x w 3'7"" x d 5'7""",,"figure--Westerly granite; pedestal--Barre light granite",,,"Philip Martiny",,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
"justice: see city hall",,"835","N","Manhattan",,,"0","0",,"Y",,,,,,,,,,,,,,,,,,,,,,,
"Justinian, Flavius Anicus",,"836","N","Manhattan",,,"5","2","APPELLATE COURT BLDG; Madison Ave. at 25th St.","Y","1899",,"statue",,,,,,"Henry Kirke Bush-Brown",,"purchase  $6000",,,,,,,,,,,,
"Martin Kalbfleisch","Kalbfleisch, Martin","837","N","Brooklyn",,,"0","0","Borough Hall","Y","1877","1877","bust on pedestal",,,,,,"J  McAmee",,"$1,075",,,,,,,,,,,,
"Leon S. Kaiser",,"838","Y","Brooklyn","Leon S. Kaiser Playground","B129","13","47","Neptune and Bayview Avenues","M","1959",,"2 tablets on 2 brick piers","H: 5"" W: 15""",,"Bronze",,,,,,,,,,,,,,,,,
"Reinhard E. Kaltenmeier Tablet",,"839","Y","Staten Island","Reinhard E. Kaltenmeier Playground","R042","1","49",,"Y","1936",,"Tablet on plinth","H: 15"" W: 30""",,"Bronze, concrete",,,,,,,,,,"Y",,,,"Public Servant",,"965208.0630063862","163294.31289698184"
"Theodore Kasimiroff Plaque",,"840","Y","the Bronx","Van Cortlandt Park","X092","0","11","Van Cortland Mansion grounds","N","April, 1981",,"Plaque on plinth","H: 12"" W: 16"" Diameter 7""",,"Bronze, granite",,,,,"Kingsbridge Historical Society",,,,,,,,,,,,
"William L. Kavanagh",,"841","Y","Manhattan","Chelsea Park","M011","4","3","Gate Post, 9th Avenue at 28th Street","Y","1941",,"Incised inscription on gatepost","H: 5'10"" W: 2' D: 2'",,"Deer Isle granite",,,,,"Horatio Seymour Club",,,,,"Y",,,,"Civic Leader, Politcal Figure",,"984423.8890759647","212352.14785197377"
"Murray Kaye",,"842","Y","Manhattan","Central Park","M010","7","6","East Drive and E. 72nd St. lawn","M","October, 1952",,"plaque on plinth --removed (see sheet)","see memo",,"bronze, granite",,,,,"mrs. bella kaye",,,,,,,,,,,,
"keane, lawrence f. square",,"843","N","the Bronx",,,"10","13","WESTCHESTER, HOBART, BUHRE AVE","Y","1969",,"stele w/incised letters; flagstaff",,,"granite",,,,,"amer lgn pst #1498; lawrence keane",,,,,,,,,,,,
"Keeper of the Rolls","Keeper of the Rolls","844","N","Manhattan",,,"1","1","Surrogate's Court/Hall of Records, 31 Chambers Street, Centre Street façade, beside center window in attic","Y","1903",,"seated male figure (heroic scale)",,,"Westerly granite",,,"Henry Kirke Bush-Brown","Horgan and Slattery","$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,,,,,,,,,,
"Dr. Gertrude B. Kelly",,"845","Y","Manhattan","Dr. Gertrude B. Kelly Playground","M066","4","3","DOES NOT EXIST IN PARK; 17th St. between 8th and 9th Avenues","N","March 17, 1936",,"Tablet","H: 18"" W: 28""",,"Bronze","Northern Studios","Northern Studios",,,,,,,,,"1936-03-16T00:00:00.000",,,"Physician, Women",,"983687.4023599774","209480.51087872684"
"Frank Kelly",,"846","Y","the Bronx","Van Cortlandt Park","X092","0","11","Broadway, between 259th-260th Streets","Y","1972",,"Plaque on plinth, tree marker","Plaque H: 1' W: 9""; Plinth H: 3"" W: 2'2""",,"Aluminum, concrete",,,,,"Community Board No. 14",,,,,"Y",,,,"Civic Leader",,"1012913.6172013879","269733.1502157301"
"William E. Kelly",,"847","Y","Brooklyn","William E. Kelly Memorial Park","B051","15","48","Avenue S and East 14th Street","Y","1930",,"Portrait plaque, stele","H: 60"" W: 50"" D: 32""; Plaque Diameter:12 ¼""",,"Bronze and Barre granite",,,"L.D. Andersen",,"Friends",,,,,"Y",,,"$3,000","Civic Leader, Politcal Figure",,"996023.1391713917","159291.77792306244"
"Keltch Memorial Park Comfort Station",,"848","Y","the Bronx","Keltch Memorial Park","X058","4","14","Jerome Avenue and West 170th Street; inside waiting room","N","1929",,"Plaque on interior wall","H: 20 ½"" W: 33 ¼""",,"Bronze",,"Tobin & McKenna Inc.",,"Max Hausle","City of New York",,,,,,,,,,,,
"Keltch Memorial Park Tablet",,"849","Y","the Bronx",,"X058","4","14","EXT WALL comfort station; Jerome Avenue and W. 170th Street, exterior wall of comfort station","N",,,"Tablet on exterior wall","H: 24"" W: 18"" D: 5/8""",,"Bronze","U.S. Bronze Sign Company, NY",,,,"Jewish War Veterans, University Heights Post No. 89",,,,,,,,,"World War II, War Memorial",,"1007015.9698759764","245547.91413748264"
"Margaret Loeb Kempner",,"850","Y","Manhattan","Washington Square Park","M098","2","1","Washington Square, 4th Street, Kempner Playground","N",,,"Tablet on granite wall in playground","H: 13"" W: 13""",,"Stainless steel",,,,,"Mrs. Kempner; Sudents, Faculty, Staff Members, and Trustees of New York University",,,,,,,,,"Civic Leader, Women",,"984859.6982437223","205361.7717408985"
"Kennedy House (Washington & Lee)",,"851","N","Manhattan",,,"1","1","NO. 1 BROADWAY; opposite bowling green","Y",,,"plaque on exterior wall",,,"bronze",,,,,"sons of the revolution",,,,,,,,,,,,
"Alfred J. Kennedy Memorial Flagstaff",,"852","Y","Queens","Flushing Park Center Plots","Q100","7","20","Northern Boulevard and Main Street","Y","July 23, 1950",,"Flagstaff plaque, flagstaff","H: 3'9"" W: 4' D: 4'",,"Deer Isle Granite, bronze",,,,,"A.J. Kennedy Memorial Committee Inc.",,,,,"Y",,,,"Spanish-American War, World War II, War Memorial, Politcal Figure",,"1030933.2018970549","217322.3787251413"
"Kennedy, Capt. Archibald Residence",,"853","N","Manhattan",,,"1","1","NO. 1 BROADWAY; opposite bowling green","Y",,,"plaque on exterior wall",,,"bronze",,,,,"intl mercantile marine co.",,,,,,,,,,,,
"John F. Kennedy Memorial",,"854","Y","Brooklyn","Grand Army Plaza","B040","19","33",,"Y","May 31, 1965","2010","Bust on pedestal","H: 7'4 ½""",,"Bronze, Regal Grey granite","Beacon Fine Art Foundry",,"Neil Estern",,,,,,,"Y","2010-05-01T00:00:00.000","2010-08-24T00:00:00.000",,"US President",,"992524.0142798871","184930.071790725"
"Kennedy, John F. Flagstaff",,"855","N","Queens",,,"23","23","GLEN OAKS HOUSES.; 75th Ave and 255th St.","Y","May 29, 1964",,"plaque on plinth, flagstaff","plq: 12""h x 16""w",,"bronze, concrete",,,,,"glen oaks maintenance dept.",,,,,,,,,,,,
"John F. Kennedy Memorial",,"856","O","the Bronx","Bronx Park","X002","14","12","New York Botanical Garden; Southern Boulevard entrance, towards conservatory","Y","November 22, 1964",,"Plaque on boulder","Plaque H: 1' W: 1'6""; Boulder H: 4' W: 2' D: 2'",,"Bronze, natural boulder",,,,,"Mosholu Lodge & Chapter, B'nai B'rith",,,,,,,,,,,,
"John F. Kennedy Memorial Tree","Kennedy, John Fitzgerald","857","Y","Brooklyn","Columbus Park","B113C","2","33",,"Y","December 6, 1963","December 1963","Zalcolora tree, marker set in ground",,,"Granite",,,,,,,,,,"Y",,,,"US President",,"987061.7663461417","191994.97039055824"
"Robert F. Kennedy Memorial","Kennedy, Robert Francis","858","Y","Brooklyn","Columbus Park","B113C","2","33","In front of New York State Supreme Court building, at Montague and Court Streets","Y","November 2, 1972","1972","Bust on pedestal, base","Total H: 9'3""; Base L: 6'6"" W: 6'6""",,"Bust--bronze; pedestal and base--Kitledge gray granite (New Milford, New Hampshire)","Roman Bronze Works Inc.","A. Ottavino Corp.","Anneta Duveen",,"Gift",,,,,"Y",,,,"Public Servant, Politcal Figure",,"987013.9252344668","191959.69979180396"
"Alice Hochstader & Edward A. Kerbs",,"859","Y","Manhattan","Central Park","M010","7","6","East 72nd Street, Inventors Gatepost","Y","June 2, 1954",,"Tablet on exterior wall","H: 1'5"" W: 1'9""",,"Bronze",,,,,"Jeanne E. Kerbs",,,,,"Y",,,,,,"993347.1953763068","220733.25576163828"
"Jeanne E. Kerbs",,"860","Y","Manhattan","Central Park","M010","7","6","Conservatory Lake Boathouse","Y","June 2, 1954",,"Tablet affixed to exterior wall","H: 1'10"" W: 2'4""",,"Bronze",,,,,"Jeanne E. Kerbs",,,,,"Y",,,,,,"993517.9935911447","221231.81939706206"
"Joyce Kilmer Park War Memorial",,"861","Y","the Bronx","Joyce Kilmer Park","X028","4","17","Grand Concourse and East 163rd Street","M",,,"Plaque on plinth","Tablet H: 8"" W: 10""; Plinth H: 1' W: 1'2""",,"Bronze, granite",,,,,"Italian Mothers Club, Bronx YWCA",,,,,,,,,"World War II, War Memorial",,,
"Sergeant Joyce Kilmer",,"862","Y","Manhattan","Central Park","M010","7","6","West mall near 67th Street","Y",,,"Plaque on plinth","Plaque H: 8"" W: 10""; Plinth H: 1'1"" W: 1'3"" D: 6""",,"Bronze, cast stone",,,,,,,,,,"Y",,,,"World War I, War Memorial, Writer",,"991800.2709767222","220324.03381106257"
"Kimlau War Memorial",,"864","Y","Manhattan","Kimlau Square","M246","3","1","Chatham Square, E. Broadway and Worth Street","Y","1961; rededicated June 2000",,"Memorial arch, 2 precast benches","H: 18'9"" W:16' D: 2'",,"Granite, structural steel, cement (white pebble finish)",,,"Poy G. Lee",,,,,,,"Y",,,,"World War II, War Memorial",,"984769.3280176371","199218.90640197694"
"King Mansion Plaque",,"865","Y","Queens","Rufus King Park","Q023","12","28","Jamaica Avenue and 150th Street","Y",,,"Plaque on exterior wall","H: 15"" W: 24"" D: ½""",,"Bronze",,,,,"DPR",,,,,"Y",,,,,,"1038664.0958840549","195448.69871930778"
"King Park (sundial fragment)",,"866","Y","Queens","Rufus King Park","Q023","12","0",,"S",,,,,,,,,,,,,,,,,,,,,,,
"King Park Cannon",,"867","Y","Queens","Rufus King Park","Q023","12","28","KING PARK IN FRONT OF MANSION; NOT LOCATED (9/05); Jamaica Avenue and 150th St.","S","cannons dated 1862",,"2 Civil War cannons on concrete","4 5/8"" bore",,,"Revere Copper Co.",,,,,,,,,,,,,"War Memorial, Civil War",,,
"King, Martin Luther, Jr.",,"868","N","Manhattan",,,"10","9","ESPLANADE GARDEN HOUSES; 147th st., lenox and 7th ave","Y","April 4, 1970",,"bust on pedestal; 2 plaques","see memo",,"bronze, pink granite pedestal","sculpture house, us bronze co","keystone monument co.","sam sawyer",,"memorial committee",,,,,,,,,,,,
"Rufus King",,"869","O","Queens","Rufus King Park","Q023","12","28","Jamaica Avenue and 150th Street","Y","1934",,"Plaque on brick gateway","H: 14"" W: 22""",,"Bronze",,,,,"Rufus King Chapter, D.A.R.",,,,,,,,,,,,
"kings bridge, the",,"870","N","Manhattan",,,"0","0",,"M",,,,,,,,,,,,,,,,,,,,,,,
"kings county hospital",,"871","N","Brooklyn",,,"0","0","KINGS COUNTY HOSPITAL; 451 clarkson Avenue","Y",,,"tablet",,,,,,,"frank j. helmle","puchase; $150.",,,,,,,,,,,,
"kings highway",,"872","N","Brooklyn",,,"0","0","KINGS HIGHWAY & E. 40TH ST.","M","1935",,,,,,,,,,,,,,,,,,,,,,
"Kissena Park World War I Monument",,"873","Y","Queens","Kissena Park","Q024","7","20","Southwest end of lake on knoll","Y","1921",,"Boulder with incised inscription","H: 3 ½' W: 6' D: 5' (overall)",,"Natural boulder",,,"Anthony V. Grand",,"Gift",,,"Memorial Knoll",,"Y",,,"400.00","World War I, War Memorial",,"1037992.9643523097","211479.70635539293"
"Knights of Pythias Memorial",,"874","Y","Manhattan","Central Park","M010","7","6","Memorial Grove","Y",,,"Stele","H: 42"" W: 48""",,"Light gray Barre granite",,,,,,,,,,"Y",,,,"World War I, War Memorial",,"992340.0379417986","220432.2934370637"
