"boro_block_lot","condo_section","address","neighborhood","building_classification","total_units","year_built","gross_sqft","estimated_gross_income","gross_income_per_sqft","estimated_expense","expense_per_sqft","net_operating_income","full_market_value","market_value_per_sqft","boro_block_lot_1","address_1","neighborhood_1","building_classification_1","total_units_1","year_built_1","gross_sqft_1","estimated_gross_income_1","gross_income_per_sqft_1","estimated_expense_1","expense_per_sqft_1","net_operating_income_1","full_market_value_1","market_value_per_sqft_1","distance_from_condo_in_miles","boro_block_lot_2","address_2","neighborhood_2","building_classification_2","total_units_2","year_built_2","gross_sqft_2","estimated_gross_income_2","gross_income_per_sqft_2","estimated_expense_2","expense_per_sqft_2","net_operating_income_2","full_market_value_2","market_value_per_sqft_2","distance_from_condo_in_miles_1","boro_block_lot_3","address_3","neighborhood_3","building_classification_3","total_units_3","year_built_3","gross_sqft_3","estimated_gross_income_3","gross_income_per_sqft_3","estimated_expense_3","expense_per_sqft_3","net_operating_income_3","full_market_value_3","market_value_per_sqft_3","distance_from_condo_in_miles_2","report_year"
"1-00469-7505","2222-R1","123 3 AVENUE","EAST VILLAGE","R4  -ELEVATOR","47","2009","60555","3445580","56.9","1066374","17.61","2379206","19323000","319.1","1-00453-0011","304 EAST 12 STREET","EAST VILLAGE","D1  -ELEVATOR","89","1940","101800","5797510","56.95","1775392","17.44","4022118","17905000","175.88","0.17","1-00468-0035","205 2 AVENUE","EAST VILLAGE","D1  -ELEVATOR","19","1950","10008","569455","56.9","176241","17.61","393214","2873000","287.07","0.05","1-00462-0035","223 EAST 6 STREET","EAST VILLAGE","D1  -ELEVATOR","86","1996","91680","5187254","56.58","1600733","17.46","3586521","21862000","238.46","0.33","2019"
"1-01681-7503","2246-R1","333 EAST 109 STREET","HARLEM-EAST","R4  -ELEVATOR","35","2007","33892","1402451","41.38","440596","13","961855","7811998","230.5","1-01645-0059","126 EAST 118 STREET","HARLEM-EAST","D3  -ELEVATOR","18","1950","16160","668701","41.38","210080","13","458621","2306000","142.7","0.53","1-01644-0008","115 EAST 116 STREET","HARLEM-EAST","D1  -ELEVATOR","48","1925","47750","1975418","41.37","581595","12.18","1393823","3773000","79.02","0.49","1-01680-0019","331 EAST 108 STREET","HARLEM-EAST","D1  -ELEVATOR","29","1900","22596","957844","42.39","258498","11.44","699346","3862000","170.92","0.05","2019"
"1-01955-7502","2270-R1","362 ST. NICHOLAS AVENUE","HARLEM-CENTRAL","R4  -ELEVATOR","22","2008","25512","760513","29.81","319155","12.51","441358","3584012","140.48","1-01949-0001","92 MORNINGSIDE AVENUE","HARLEM-CENTRAL","D1  -ELEVATOR","48","1901","78936","2353082","29.81","987489","12.51","1365593","10685000","135.36","0.32","1-01954-0046","351 ST NICHOLAS AVENUE","HARLEM-CENTRAL","D1  -ELEVATOR","36","1926","35212","1111995","31.58","492616","13.99","619379","3373000","95.79","0.08","1-01925-0050","188 ST NICHOLAS AVENUE","HARLEM-CENTRAL","D1  -ELEVATOR","42","1920","64058","1839105","28.71","795600","12.42","1043505","4760000","74.31","0.47","2019"
"1-01987-7501","2232-R1","525 WEST 133 STREET","HARLEM-WEST","R4  -ELEVATOR","34","2008","27897","852811","30.57","326116","11.69","526695","4278011","153.35","1-02001-0058","634 WEST 135 STREET","HARLEM-WEST","D1  -ELEVATOR","39","1926","37506","1145808","30.55","459073","12.24","686735","2458000","65.54","0.17","1-01968-0044","35 ST NICHOLAS TERRACE","HARLEM-WEST","D1  -ELEVATOR","53","1920","50832","1591042","31.3","624725","12.29","966317","4184000","82.31","0.35","1-02002-0011","629 WEST 135 STREET","HARLEM-WEST","D1  -ELEVATOR","30","1930","34074","1041642","30.57","398325","11.69","643317","2024000","59.4","0.19","2019"
"1-00309-7502","2281-R1","60 ORCHARD STREET","LOWER EAST SIDE","R4  -ELEVATOR","7","1920","11915","642695","53.94","99133","8.32","543562","4415001","370.54","1-00309-0022","51 LUDLOW STREET","LOWER EAST SIDE","D3  -ELEVATOR","35","2000","26300","1366548","51.96","274572","10.44","1091976","10383000","394.79","0","1-00348-0069","85 ATTORNEY STREET","LOWER EAST SIDE","D5  -ELEVATOR","11","1910","10359","567880","54.82","103590","10","464290","3974000","383.63","0.32","1-00350-0069","155 ATTORNEY STREET","LOWER EAST SIDE","D1  -ELEVATOR","37","2015","31455","1696683","53.94","261706","8.32","1434977","12083000","384.14","0.46","2019"
"1-01073-7501","2283-R1","550 WEST 45 STREET","CLINTON","RR  -CONRENT","562","2011","536238","33150233","61.82","8284877","15.45","24865356","201922000","376.55","1-01064-0012","437 WEST 54 STREET","CLINTON","D1  -ELEVATOR","20","1901","9920","613949","61.89","239469","24.14","374480","3042000","306.65","0.52","1-01067-0062","886 10 AVENUE","CLINTON","C7  -WALK-UP","19","1910","9820","606287","61.74","156825","15.97","449462","3650000","371.69","0.67",,,,,,,,,,,,,,,,"2019"
"1-00353-7503","2194-R1","115 NORFOLK STREET","LOWER EAST SIDE","R4  -ELEVATOR","24","2008","28144","1452230","51.6","272434","9.68","1179796","9582000","340.46","1-00343-0067","53 PITT STREET","LOWER EAST SIDE","D1  -ELEVATOR","14","1900","14938","730169","48.88","171040","11.45","559129","4829000","323.27","0.23","1-00348-0069","85 ATTORNEY STREET","LOWER EAST SIDE","D5  -ELEVATOR","11","1910","10359","543640","52.48","117678","11.36","425962","3974000","383.63","0.14","1-00350-0069","155 ATTORNEY STREET","LOWER EAST SIDE","D1  -ELEVATOR","37","2015","31455","1623078","51.6","304484","9.68","1318594","12083000","384.14","0.22","2019"
"1-01823-7503","2268-R1","111 WEST 113 STREET","HARLEM-CENTRAL","R4  -ELEVATOR","12","2008","9375","429469","45.81","76781","8.19","352688","2864000","305.49","1-01828-0032","1858 ADAM C POWELL BOULEVARD","HARLEM-CENTRAL","D1  -ELEVATOR","26","1920","21624","990379","45.8","192454","8.9","797925","2082000","96.28","0.22","1-01924-0004","2196 FREDRICK DOUGLASS BLVD","HARLEM-CENTRAL","D1  -ELEVATOR","13","1910","14031","642760","45.81","114914","8.19","527846","2253000","160.57","0.35","1-01821-0055","132 WEST 112 STREET","HARLEM-CENTRAL","D1  -ELEVATOR","30","2004","35987","1659720","46.12","321364","8.93","1338356","6444000","179.06","0.12","2019"
"1-01745-7503","2224-R1","1820 MADISON AVENUE","HARLEM-CENTRAL","R9  -CONDOPS","27","2009","40450","1211478","29.95","493086","12.19","718392","5834000","144.23","1-01771-0014","135 EAST 122 STREET","HARLEM-CENTRAL","D5  -ELEVATOR","21","1950","22930","688129","30.01","309784","13.51","378345","3025000","131.92","0.28","1-01768-0007","115 EAST 119 STREET","HARLEM-CENTRAL","D9  -ELEVATOR","20","1910","19490","579048","29.71","252201","12.94","326847","2688000","137.92","0.2","1-01767-0011","125 EAST 118 STREET","HARLEM-CENTRAL","D9  -ELEVATOR","24","1920","20730","620864","29.95","252699","12.19","368165","3725000","179.69","0.2","2019"
"1-00775-7502","2282-R1","260 WEST 26 STREET","CHELSEA","RR  -CONRENT","163","2011","150323","7045639","46.87","1990277","13.24","5055362","41057000","273.13","1-00719-0020","433 WEST 21 STREET","CHELSEA","D1  -ELEVATOR","69","1930","63956","2997618","46.87","846777","13.24","2150841","16212000","253.49","0.39","1-00797-0074","160 WEST 22 STREET","CHELSEA","D1  -ELEVATOR","51","2000","41423","1925755","46.49","589035","14.22","1336720","14676000","354.3","0.26","1-00768-0077","274 WEST 19 STREET","CHELSEA","D1  -ELEVATOR","25","1920","22506","1090416","48.45","292353","12.99","798063","7316000","325.07","0.33","2019"
"1-00775-7502","2282-R2","260 WEST 26 STREET","CHELSEA","RR  -CONRENT","41","2011","27892","1139109","40.84","306533","10.99","832576","6762000","242.44","1-00797-0074","160 WEST 22 STREET","CHELSEA","D1  -ELEVATOR","51","2000","41423","1691715","40.84","455239","10.99","1236476","14676000","354.3","0.26","1-00772-0016","255 WEST 22 STREET","CHELSEA","D9  -ELEVATOR","19","1920","14922","618218","41.43","160710","10.77","457508","3655000","244.94","0.15","1-00771-0068","258 WEST 22 STREET","CHELSEA","D1  -ELEVATOR","39","1920","30375","1231706","40.55","297371","9.79","934335","7245000","238.52","0.2","2019"
"1-00879-7503","2247-R1","148 EAST 24 STREET","GRAMERCY","R4  -ELEVATOR","55","2009","44477","2523180","56.73","585317","13.16","1937863","15738003","353.85","1-00878-0028","145 EAST 22 STREET","GRAMERCY","D1  -ELEVATOR","48","1940","32610","1841161","56.46","437300","13.41","1403861","7435000","228","0.05","1-00882-0056","142 EAST 27 STREET","GRAMERCY","D1  -ELEVATOR","42","1930","30777","1745979","56.73","405025","13.16","1340954","5761000","187.19","0.14","1-00935-0053","312 EAST 30 STREET","KIPS BAY","D6  -ELEVATOR","70","1986","47820","2734348","57.18","706780","14.78","2027568","16003000","334.65","0.39","2019"
"1-00498-7502","2249-R1","543 BROADWAY","SOHO","R9  -CONDOPS","18","1903","46519","2379912","51.16","773611","16.63","1606301","13046000","280.44","1-00489-0007","67 SULLIVAN STREET","SOHO","C1  -WALK-UP","12","1900","9110","466068","51.16","151499","16.63","314569","1656000","181.78","0.25","1-00489-0005","63 SULLIVAN STREET","SOHO","C1  -WALK-UP","13","1989","9110","471534","51.76","157056","17.24","314478","1734000","190.34","0.25","1-00491-0027","552 BROOME STREET","SOHO","C4  -WALK-UP","11","1900","8470","416555","49.18","147378","17.4","269177","1618000","191.03","0.34","2019"
"1-01645-7502","2295-R1","1885 LEXINGTON AVENUE","HARLEM-EAST","R9  -CONDOPS","29","2010","37842","1744895","46.11","441238","11.66","1303657","10588000","279.79","1-01788-0035","230 EAST 124 STREET","HARLEM-EAST","D1  -ELEVATOR","20","2009","20448","945516","46.24","286476","14.01","659040","2780000","135.95","0.32","1-01807-0030","438 EAST 120 STREET","HARLEM-EAST","D3  -ELEVATOR","42","1900","51546","2376786","46.11","601026","11.66","1775760","7022000","136.23","0.41","1-01783-0034","226 EAST 119 STREET","HARLEM-EAST","D3  -ELEVATOR","30","1910","34356","1521971","44.3","437695","12.74","1084276","1792000","52.16","0.13","2019"
"1-00800-7505","2307-R1","159 WEST 24 STREET","CHELSEA","R4  -ELEVATOR","24","1900","31312","1621022","51.77","431792","13.79","1189230","9657998","308.44","1-00797-0074","160 WEST 22 STREET","CHELSEA","D1  -ELEVATOR","51","2000","41423","2144469","51.77","571223","13.79","1573246","14676000","354.3","0.15","1-00772-0016","255 WEST 22 STREET","CHELSEA","D9  -ELEVATOR","19","1920","14922","781316","52.36","202641","13.58","578675","3655000","244.94","0.2","1-00771-0068","258 WEST 22 STREET","CHELSEA","D1  -ELEVATOR","39","1920","30375","1563401","51.47","382421","12.59","1180980","7245000","238.52","0.23","2019"
"1-01073-7503","2285-R1","510 WEST 45 STREET","CLINTON","RR  -CONRENT","100","2011","185351","9821749","52.99","2378053","12.83","7443696","60454000","326.16","1-01076-0015","525 WEST 47 STREET","CLINTON","D1  -ELEVATOR","49","1920","52850","2800522","52.99","678066","12.83","2122456","13954000","264.03","0.15","1-01041-0011","335 WEST 50 STREET","MIDTOWN WEST","D5  -ELEVATOR","151","1930","150000","9025500","60.17","2562000","17.08","6463500","43675000","291.17","0.45","1-01045-0012","321 WEST 54 STREET","MIDTOWN WEST","D3  -ELEVATOR","109","2001","84210","4394078","52.18","1098098","13.04","3295980","23542000","279.56","0.6","2019"
"1-01903-7503","2299-R1","159 WEST 118 STREET","HARLEM-CENTRAL","R4  -ELEVATOR","35","1900","39545","1424411","36.02","507362","12.83","917049","7448002","188.34","1-01925-0050","188 ST NICHOLAS AVENUE","HARLEM-CENTRAL","D1  -ELEVATOR","42","1920","64058","2306729","36.01","837879","13.08","1468850","4760000","74.31","0.15","1-01771-0014","135 EAST 122 STREET","HARLEM-CENTRAL","D5  -ELEVATOR","21","1950","22930","825939","36.02","294192","12.83","531747","3025000","131.92","0.56","1-01821-0055","132 WEST 112 STREET","HARLEM-CENTRAL","D1  -ELEVATOR","30","2004","35987","1300210","36.13","475748","13.22","824462","6444000","179.06","0.36","2019"
"1-00740-7501","2267-R1","127 8 AVENUE","CHELSEA","R9  -CONDOPS","53","2008","55371","3266335","58.99","728129","13.15","2538206","20614000","372.29","1-00738-0015","335 WEST 14 STREET","CHELSEA","D1  -ELEVATOR","28","1900","28321","1670089","58.97","401025","14.16","1269064","7097000","250.59","0.1","1-00770-0033","209 WEST 20 STREET","CHELSEA","D1  -ELEVATOR","12","2004","8525","522242","61.26","143561","16.84","378681","3069000","360","0.24","1-00719-0020","433 WEST 21 STREET","CHELSEA","D1  -ELEVATOR","69","1930","63956","3772764","58.99","841021","13.15","2931743","16212000","253.49","0.28","2019"
"1-01954-7501","2078-R2","311 WEST 127 STREET","HARLEM-CENTRAL","RR  -CONRENT","119","2009","190553","6276816","32.94","1286233","6.75","4990583","40531000","212.7","1-01951-0014","281 ST NICHOLAS AVENUE","HARLEM-CENTRAL","D7  -ELEVATOR","38","1921","50706","1646931","32.48","270770","5.34","1376161","6700000","132.13","0.18","1-01932-0033","2130 ADAM C POWELL BOULEVARD","HARLEM-CENTRAL","D7  -ELEVATOR","47","2007","72957","2403204","32.94","492460","6.75","1910744","10554000","144.66","0.13","1-01726-0069","370 LENOX AVENUE","HARLEM-CENTRAL","D7  -ELEVATOR","47","1921","62244","2077082","33.37","385913","6.2","1691169","9597000","154.18","0.48","2019"
"1-01082-7501","2167-R3","552 WEST 54 STREET","CLINTON","RR  -CONRENT","162","2009","166505","10181781","61.15","2119609","12.73","8062172","65477000","393.24","1-01062-0019","410 WEST 53 STREET","CLINTON","D1  -ELEVATOR","220","1987","166518","10089326","60.59","1926613","11.57","8162713","55785000","335.01","0.18","1-01061-0060","458 WEST 52 STREET","CLINTON","D1  -ELEVATOR","26","1910","21000","1290660","61.46","260820","12.42","1029840","5463000","260.14","0.19","1-01054-0056","444 WEST 45 STREET","CLINTON","D3  -ELEVATOR","60","1926","65615","4012357","61.15","835279","12.73","3177078","11507000","175.37","0.47","2019"
"1-01600-7502","2334-R1","23 WEST 116 STREET","HARLEM-CENTRAL","RR  -CONRENT","110","2013","108560","3708410","34.16","1378712","12.7","2329698","18921000","174.29","1-01825-0059","164 WEST 116 STREET","HARLEM-CENTRAL","D1  -ELEVATOR","89","1983","76300","2633113","34.51","1046073","13.71","1587040","8001000","104.86","0.19","1-01826-0036","1810 ADAM C POWELL BOULEVARD","HARLEM-CENTRAL","D1  -ELEVATOR","48","1920","65286","2210584","33.86","843495","12.92","1367089","9051000","138.64","0.46","1-01775-0020","2089 LEXINGTON AVENUE","HARLEM-CENTRAL","D1  -ELEVATOR","40","1990","36000","1229760","34.16","457200","12.7","772560","5746000","159.61","0.66","2019"
"1-00285-7501","2332-R1","179 HENRY STREET","LOWER EAST SIDE","RR  -CONRENT","50","1967","44396","1281713","28.87","541187","12.19","740526","6000000","135.15","1-00346-0001","50 NORFOLK STREET","LOWER EAST SIDE","D1  -ELEVATOR","156","1982","137909","3946956","28.62","1614914","11.71","2332042","9941000","72.08","0.22","1-00248-0070","80 RUTGERS SLIP","LOWER EAST SIDE","D9  -ELEVATOR","109","1987","83904","2422308","28.87","1022790","12.19","1399518","13922000","165.93","0.28","1-00273-0017","191 MADISON STREET","LOWER EAST SIDE","D1  -ELEVATOR","24","1910","8995","261125","29.03","113067","12.57","148058","1187000","131.96","0.18","2019"
"1-02065-7501","2293-R1","461 WEST 150 STREET","HARLEM-UPPER","R4  -ELEVATOR","12","2011","11624","425438","36.6","128910","11.09","296528","2408001","207.16","1-02063-0054","452 WEST 149 STREET","HARLEM-UPPER","D1  -ELEVATOR","30","1902","29424","1112816","37.82","333962","11.35","778854","2867000","97.44","0.1","1-02098-0019","609 WEST 151 STREET","HARLEM-UPPER","D1  -ELEVATOR","48","1926","41874","1515839","36.2","476945","11.39","1038894","3820000","91.23","0.28","1-02069-0011","83 ST NICHOLAS PLACE","HARLEM-UPPER","D1  -ELEVATOR","24","1926","23952","876643","36.6","265628","11.09","611015","1417000","59.16","0.19","2019"
"1-01725-7502","2349-R1","5 WEST 127 STREET","HARLEM-CENTRAL","R4  -ELEVATOR","13","2012","16112","581804","36.11","223312","13.86","358492","2911001","180.67","1-01779-0007","107 EAST 130 STREET","HARLEM-CENTRAL","D9  -ELEVATOR","179","1900","191721","7227882","37.7","2868146","14.96","4359736","28596000","149.15","0.37","1-01771-0014","135 EAST 122 STREET","HARLEM-CENTRAL","D5  -ELEVATOR","21","1950","22930","828002","36.11","317810","13.86","510192","3025000","131.92","0.43","1-01727-0006","55 WEST 129 STREET","HARLEM-CENTRAL","D1  -ELEVATOR","40","1910","38700","1389717","35.91","571212","14.76","818505","1565000","40.44","0.1","2019"
"1-01552-7503","2320-R1","323 EAST 89 STREET","UPPER EAST SIDE (79-96)","R2  -WALK-UP","14","1910","7715","362065","46.93","107239","13.9","254826","2069998","268.31","1-01551-0018","331 EAST 88 STREET","UPPER EAST SIDE (79-96)","C1  -WALK-UP","20","1920","8740","417248","47.74","127167","14.55","290081","2576000","294.74","0.05","1-01551-0046","308 EAST 89 STREET","UPPER EAST SIDE (79-96)","C1  -WALK-UP","16","1910","8340","391396","46.93","115926","13.9","275470","1537000","184.29","0.05","1-01553-0021","337 EAST 90 STREET","UPPER EAST SIDE (79-96)","C1  -WALK-UP","20","1920","8325","375125","45.06","103397","12.42","271728","2481000","298.02","0.05","2019"
"1-02007-7502","2172-R1","2373 ADAM C. POWELL BOULEVARD","HARLEM-CENTRAL","R4  -ELEVATOR","17","2009","17408","615721","35.37","200540","11.52","415181","3372003","193.7","1-02010-0011","127 WEST 141 STREET","HARLEM-CENTRAL","D1  -ELEVATOR","48","1910","52290","1908062","36.49","625911","11.97","1282151","2827000","54.06","0.15","1-02010-0018","117 WEST 141 STREET","HARLEM-CENTRAL","D1  -ELEVATOR","48","1910","52290","1846883","35.32","556889","10.65","1289994","3799000","72.65","0.15","1-02010-0042","130 WEST 142 STREET","HARLEM-CENTRAL","D1  -ELEVATOR","60","1910","55143","1950408","35.37","635247","11.52","1315161","3020000","54.77","0.15","2019"
"1-00717-7504","2347-R1","422 WEST 20 STREET","CHELSEA","R4  -ELEVATOR","37","1920","45853","2447175","53.37","873500","19.05","1573675","12781010","278.74","1-00719-0020","433 WEST 21 STREET","CHELSEA","D1  -ELEVATOR","69","1930","63956","3413332","53.37","1218362","19.05","2194970","16212000","253.49","0.09","1-00738-0015","335 WEST 14 STREET","CHELSEA","D1  -ELEVATOR","28","1900","28321","1510925","53.35","567836","20.05","943089","7097000","250.59","0.28","1-00716-0055","434 WEST 19 STREET","CHELSEA","D1  -ELEVATOR","40","1986","21000","1144290","54.49","384720","18.32","759570","7287000","347","0.04","2019"
"1-00283-7503","2186-R1","136 EAST BROADWAY","LOWER EAST SIDE","R4  -ELEVATOR","23","2008","21746","1097738","50.48","224201","10.31","873537","7094002","326.22","1-00309-0022","51 LUDLOW STREET","LOWER EAST SIDE","D3  -ELEVATOR","35","2000","26300","1327624","50.48","271153","10.31","1056471","10383000","394.79","0.16","1-00350-0069","155 ATTORNEY STREET","LOWER EAST SIDE","D1  -ELEVATOR","37","2015","31455","1650129","52.46","257616","8.19","1392513","12083000","384.14","0.59","1-00343-0067","53 PITT STREET","LOWER EAST SIDE","D1  -ELEVATOR","14","1900","14938","743016","49.74","148782","9.96","594234","4829000","323.27","0.49","2019"
"1-02006-7501","2171-R1","108 WEST 138 STREET","HARLEM-CENTRAL","R4  -ELEVATOR","15","2011","21156","716977","33.89","268470","12.69","448507","3643001","172.2","1-02010-0011","127 WEST 141 STREET","HARLEM-CENTRAL","D1  -ELEVATOR","48","1910","52290","1830673","35.01","717419","13.72","1113254","2827000","54.06","0.2","1-02010-0042","130 WEST 142 STREET","HARLEM-CENTRAL","D1  -ELEVATOR","60","1910","55143","1868796","33.89","732299","13.28","1136497","3020000","54.77","0.2","1-01730-0009","45 WEST 132 STREET","HARLEM-CENTRAL","D3  -ELEVATOR","286","1959","267008","9048901","33.89","3388332","12.69","5660569","25144000","94.17","0.27","2019"
"1-00806-7501","2357-R1","143 WEST 30 STREET","FASHION","R4  -ELEVATOR","26","2008","23448","1010374","43.09","394864","16.84","615510","4999007","213.2","1-00754-0016","345 WEST 30 STREET","FASHION","D1  -ELEVATOR","37","1987","25657","1133783","44.19","477477","18.61","656306","8344000","325.21","0.34","1-00754-0019","337 WEST 30 STREET","FASHION","D1  -ELEVATOR","37","1987","24617","1060747","43.09","414550","16.84","646197","7561000","307.15","0.34","1-00888-0031","153 EAST 32 STREET","MURRAY HILL","D5  -ELEVATOR","71","1920","62188","2569608","41.32","1044758","16.8","1524850","15825000","254.47","0.62","2019"
"1-01631-7501","2183-R1","1635 LEXINGTON AVENUE","HARLEM-EAST","R4  -ELEVATOR","42","2013","42273","1859589","43.99","596895","14.12","1262694","10255008","242.59","1-01639-0057","138 EAST 112 STREET","HARLEM-EAST","D3  -ELEVATOR","43","2004","47106","2008600","42.64","565743","12.01","1442857","6921000","146.92","0.42","1-01624-0021","155 EAST 96 STREET","HARLEM-EAST","D3  -ELEVATOR","40","1910","37065","1633455","44.07","505937","13.65","1127518","4466000","120.49","0.35","1-01660-0038","222 EAST 111 STREET","HARLEM-EAST","D1  -ELEVATOR","50","2008","41108","1808341","43.99","580445","14.12","1227896","8611000","209.47","0.37","2019"
"1-00461-7502","0549-R2","217 EAST 5 STREET","EAST VILLAGE","R2  -WALK-UP","1","1920","2404","128350","53.39","33488","13.93","94862","770000","320.3","1-00436-0016","418 EAST 9 STREET","EAST VILLAGE","C1  -WALK-UP","13","1900","9474","497859","52.55","144952","15.3","352907","3516000","371.12","0.31","1-00446-0027","338 EAST 5 STREET","EAST VILLAGE","C4  -WALK-UP","20","1900","9320","497688","53.4","160118","17.18","337570","3242000","347.85","0.14","1-00448-0012","56 EAST 7 STREET","EAST VILLAGE","C1  -WALK-UP","20","1920","9425","503201","53.39","131290","13.93","371911","3454000","366.47","0.14","2019"
"1-01399-7502","2237-R1","132A EAST 65 STREET","UPPER EAST SIDE (59-79)","R4  -ELEVATOR","22","2011","62497","3467959","55.49","1129946","18.08","2338013","18988000","303.82","1-01379-0066","4 EAST 65 STREET","UPPER EAST SIDE (59-79)","D3  -ELEVATOR","20","1915","22344","1239869","55.49","403980","18.08","835889","5348000","239.35","0.29","1-01439-0042","320 EAST 65 STREET","UPPER EAST SIDE (59-79)","D3  -ELEVATOR","71","1930","58325","3266200","56","796136","13.65","2470064","19379000","332.26","0.25","1-01416-0012","223 EAST 61 STREET","UPPER EAST SIDE (59-79)","D1  -ELEVATOR","48","1942","39510","2192015","55.48","607664","15.38","1584351","9322000","235.94","0.19","2019"
"1-01846-7502","2313-R1","250 MANHATTAN AVENUE","MANHATTAN VALLEY","R4  -ELEVATOR","36","1920","23404","941543","40.23","365805","15.63","575738","4676002","199.79","1-01867-0023","402 WEST 115 STREET","UPPER WEST SIDE (96-116)","D7  -ELEVATOR","36","1920","47145","1896643","40.23","736876","15.63","1159767","3247000","68.87","0.22","1-01867-0064","404 WEST 116 STREET","UPPER WEST SIDE (96-116)","D1  -ELEVATOR","16","1915","25380","1030174","40.59","384761","15.16","645413","2290000","90.23","0.19","1-01895-0052","607 WEST 113 STREET","UPPER WEST SIDE (96-116)","D3  -ELEVATOR","24","1910","41884","1673266","39.95","606899","14.49","1066367","3155000","75.33","0.49","2019"
"1-01198-7503","2335-R1","55 WEST 84 STREET","UPPER WEST SIDE (79-96)","R2  -WALK-UP","11","1900","8164","369176","45.22","95029","11.64","274147","2225997","272.66","1-01199-0006","71 WEST 85 STREET","UPPER WEST SIDE (79-96)","C5  -WALK-UP","15","1900","11315","509514","45.03","119826","10.59","389688","2751000","243.13","0.05","1-01196-0051","42 WEST 83 STREET","UPPER WEST SIDE (79-96)","C5  -WALK-UP","15","1900","11540","522877","45.31","146904","12.73","375973","2458000","213","0.1","1-01211-0028","103 WEST 80 STREET","UPPER WEST SIDE (79-96)","C1  -WALK-UP","18","1900","14370","649811","45.22","167267","11.64","482544","3377000","235","0.26","2019"
"1-02062-7501","2369-R1","753 ST NICHOLAS AVENUE","HARLEM-UPPER","R4  -ELEVATOR","12","2009","11743","529727","45.11","183073","15.59","346654","2815000","239.72","1-02075-0036","144 HAMILTON PLACE","HARLEM-UPPER","D1  -ELEVATOR","54","1920","56688","2557196","45.11","883766","15.59","1673430","8050000","142.01","0.29","1-02075-0020","511 WEST 143 STREET","HARLEM-UPPER","D1  -ELEVATOR","31","1920","29520","1336961","45.29","470844","15.95","866117","2997000","101.52","0.29","1-02074-0033","135 HAMILTON PLACE","HARLEM-UPPER","D1  -ELEVATOR","35","1920","41082","1849101","45.01","628144","15.29","1220957","5306000","129.16","0.3","2019"
"1-01718-7501","2371-R1","42 WEST 120 STREET","HARLEM-CENTRAL","R4  -ELEVATOR","28","1909","29153","1218304","41.79","402020","13.79","816284","6629000","227.39","1-01924-0004","2196 FREDRICK DOUGLASS BLVD","HARLEM-CENTRAL","D1  -ELEVATOR","13","1910","14031","586355","41.79","193487","13.79","392868","2253000","160.57","0.4","1-01768-0007","115 EAST 119 STREET","HARLEM-CENTRAL","D9  -ELEVATOR","20","1910","19490","812343","41.68","264479","13.57","547864","2688000","137.92","0.34","1-01925-0050","188 ST NICHOLAS AVENUE","HARLEM-CENTRAL","D1  -ELEVATOR","42","1920","64058","2689155","41.98","921795","14.39","1767360","4760000","74.31","0.33","2019"
"1-01832-7502","2388-R1","65 WEST 96 STREET","MANHATTAN VALLEY","RR  -CONRENT","217","1971","347960","6739985","19.37","1885943","5.42","4854042","36825000","105.83","1-01842-0042","14 WEST 107 STREET","MANHATTAN VALLEY","D1  -ELEVATOR","89","1910","68200","1319670","19.35","276892","4.06","1042778","9990000","146.48","0.51","1-01863-0029","980 COLUMBUS AVENUE","UPPER WEST SIDE (96-116)","D6  -ELEVATOR","100","1900","67535","1309504","19.39","296479","4.39","1013025","13254000","196.25","0.63",,,,,,,,,,,,,,,,"2019"
"1-00831-7501","2395-R1","24 WEST 30 STREET","FASHION","R4  -ELEVATOR","8","1910","18411","742700","40.34","251678","13.67","491022","3988003","216.61","1-00754-0016","345 WEST 30 STREET","FASHION","D1  -ELEVATOR","37","1987","25657","1063226","41.44","395888","15.43","667338","8344000","325.21","0.56","1-00888-0031","153 EAST 32 STREET","MURRAY HILL","D5  -ELEVATOR","71","1920","62188","2398591","38.57","847001","13.62","1551590","15825000","254.47","0.42","1-00754-0019","337 WEST 30 STREET","FASHION","D1  -ELEVATOR","37","1987","24617","993050","40.34","336514","13.67","656536","7561000","307.15","0.56","2019"
"1-00857-7502","2405-R1","241 5 AVENUE","FLATIRON","R4  -ELEVATOR","46","2012","69160","4124011","59.63","1132149","16.37","2991862","24298002","351.33","1-00850-0062","20 EAST 22 STREET","FLATIRON","D3  -ELEVATOR","23","1925","10512","615478","58.55","163356","15.54","452122","3919000","372.81","0.3","1-00818-0019","27 WEST 16 STREET","FLATIRON","D5  -ELEVATOR","75","1907","41300","2462719","59.63","676081","16.37","1786638","12882000","311.91","0.54","1-00797-0074","160 WEST 22 STREET","CHELSEA","D1  -ELEVATOR","51","2000","41423","2544615","61.43","722003","17.43","1822612","14676000","354.3","0.44","2019"
