"the_geom","segmentid","boroughcod","oftcode","onstreetna","fromstreet","tostreetna","wkt","manualrati","ratinglaye","inspection","shape_stle"
"MULTILINESTRING ((-73.84890578754786 40.68813137111325, -73.8488319364372 40.68815044608348))","186337","Q","428890418490468090","ATLANTIC AVENUE","92 STREET","WOODHAVEN BOULEVARD","LINESTRING (1026173.4352000058 190024.37119999528, 1026152.9661999941 190017.38639999926, 1026114.8853999972 190006.16910000145, 1025933.4324000031 189934.15819999576, 1025693.7839999944 189846.03499999642)","6","FAIR","2021-10-30T00:00:00.000","21.627930841"
"MULTILINESTRING ((-73.86036541175687 40.76025159455608, -73.86013084839634 40.76020234050302))","177501","Q","428790420390442490","ASTORIA BOULEVARD","110 STREET","DITMARS BOULEVARD","LINESTRING (1022932.985799998 216287.70700000226, 1022997.9954999983 216269.86579999328, 1023192.8605999947 216216.39480000734, 1023231.0939999968 216232.57179999352)","7","FAIR","2023-02-16T00:00:00.000","67.4134223422"
"MULTILINESTRING ((-74.1114949140399 40.62357680641556, -74.11128737409346 40.62367315611479))","109257","S","551990518510520450","TYLER AVENUE","BEND","BROADWAY","LINESTRING (953424.54410000145 166576.87299999595, 953356.82449999452 166516.95180000365, 953299.16719999909 166481.92239999771, 952999.38120000064 166366.45999999344, 952936.3463999927 166342.18179999292, 952808.24300000072 166292.23440000415)","7","FAIR","2013-08-07T00:00:00.000","67.4642357664"
"MULTILINESTRING ((-74.11257430502155 40.62325883422084, -74.1114949140399 40.62357680641556))","114837","S","551990518510520450","TYLER AVENUE","BEND","BROADWAY","LINESTRING (953424.54410000145 166576.87299999595, 953356.82449999452 166516.95180000365, 953299.16719999909 166481.92239999771, 952999.38120000064 166366.45999999344, 952936.3463999927 166342.18179999292, 952808.24300000072 166292.23440000415)","7","FAIR","2013-08-07T00:00:00.000","321.252566698"
"MULTILINESTRING ((-74.1114949140399 40.62357680641556, -74.11128737409346 40.62367315611479))","109257","S","551990520450540560","TYLER AVENUE","BROADWAY","NORTH BURGHER AVENUE","LINESTRING (953299.16719999909 166481.92239999771, 953356.82449999452 166516.95180000365)","7","FAIR","2013-08-07T00:00:00.000","67.4642357664"
"MULTILINESTRING ((-73.83753671519308 40.691359355362124, -73.8366654142833 40.69161402217578))","53306","Q","428890420190420340","ATLANTIC AVENUE","108 STREET","109 STREET","LINESTRING (1029303.7666999996 191199.07680000365, 1029545.2197999954 191292.3084000051)","7","FAIR","2022-12-27T00:00:00.000","258.827608142"
"MULTILINESTRING ((-73.8592654963825 40.75992155618762, -73.8590921040416 40.759875241037385))","177526","Q","428790420490420590","ASTORIA BOULEVARD","111 STREET","112 STREET","LINESTRING (1023237.8886000067 216167.951000005, 1023285.9506999999 216151.15399999917, 1023543.6307999939 216059.99750000238)","8","GOOD","2023-02-10T00:00:00.000","50.912716142"
"MULTILINESTRING ((-73.83929991864719 40.690864342597685, -73.83870711764864 40.69103343048872))","53170","Q","428890419740420090","ATLANTIC AVENUE","104 STREET","107 STREET","LINESTRING (1028979.4138000011 191079.73319999874, 1028815.1325999945 191017.82719999552, 1028323.2898000032 190829.84540000558)","7","FAIR","2022-01-18T00:00:00.000","175.558154217"
"MULTILINESTRING ((-73.83929991864719 40.690864342597685, -73.83870711764864 40.69103343048872))","53170","Q","428890419740420090","ATLANTIC AVENUE","104 STREET","107 STREET","LINESTRING (1028979.4138000011 191079.73319999874, 1028815.1325999945 191017.82719999552, 1028323.2898000032 190829.84540000558)","8","GOOD","2022-01-18T00:00:00.000","175.558154217"
"MULTILINESTRING ((-74.07798223446159 40.63786436019136, -74.0768777377844 40.63564899913354))","16357","S","552550531560549400","VAN DUZER STREET","HANNAH STREET","ST PAULS AVENUE","LINESTRING (962606.87139999866 171677.19720000029, 962912.70419999957 170869.81039999425)","8","GOOD","2022-12-17T00:00:00.000","863.369646432"
"MULTILINESTRING ((-73.84107471013597 40.69035083936646, -73.83929991864719 40.690864342597685))","53144","Q","428890419740420090","ATLANTIC AVENUE","104 STREET","107 STREET","LINESTRING (1028979.4138000011 191079.73319999874, 1028815.1325999945 191017.82719999552, 1028323.2898000032 190829.84540000558)","8","GOOD","2022-01-18T00:00:00.000","526.542018296"
"MULTILINESTRING ((-73.90901259066689 40.75427981399124, -73.90813592016829 40.75386560676919))","129724","Q","437290410940411120","BROADWAY","51 STREET","53 PLACE","LINESTRING (1009458.5183999985 214094.25339999795, 1009701.5626000017 213943.59759999812, 1009832.0970000029 213862.68559999764)","5","FAIR","2023-08-21T00:00:00.000","285.950438413"
"MULTILINESTRING ((-74.11326249642464 40.62305442442353, -74.11280126227658 40.62319197321063))","114836","S","551990518510520450","TYLER AVENUE","BEND","BROADWAY","LINESTRING (953424.54410000145 166576.87299999595, 953356.82449999452 166516.95180000365, 953299.16719999909 166481.92239999771, 952999.38120000064 166366.45999999344, 952936.3463999927 166342.18179999292, 952808.24300000072 166292.23440000415)","7","FAIR","2013-08-07T00:00:00.000","137.496268514"
"MULTILINESTRING ((-73.84281076590469 40.689872168820166, -73.84107471013597 40.69035083936646))","53023","Q","428890419540419740","ATLANTIC AVENUE","102 STREET","104 STREET","LINESTRING (1027842.1588000059 190654.58319999278, 1028323.2898000032 190829.84540000558)","7","FAIR","2022-12-27T00:00:00.000","512.058471184"
"MULTILINESTRING ((-74.0829880889834 40.627350072961036, -74.08306246831751 40.62731250357862))","114956","S","552550549400550125","VAN DUZER STREET","ST PAULS AVENUE","STONE STREET","LINESTRING (961213.92159999907 167847.83820000291, 961193.2621999979 167834.17020000517, 961138.09160000086 167791.31919999421, 961086.054399997 167743.89489999413, 961037.70800000429 167692.25779999793, 960993.54140000045 167636.85760000348, 960953.9746","8","GOOD","2023-05-05T00:00:00.000","24.7714559997"
"MULTILINESTRING ((-73.8195830463467 40.69578027060183, -73.81944756173152 40.695769052045804, -73.81930966965645 40.69577085909466, -73.81917262175338 40.69578596880418, -73.81903972107447 40.69581402166264, -73.81891399668005 40.69585404359121))","56469","Q","428890418640421890","ATLANTIC AVENUE","94 AVENUE","130 STREET","LINESTRING (1034464.7636000067 192846.74750000238, 1034429.9308000058 192832.09440000355, 1034393.0990000069 192821.79780000448, 1034355.1071999967 192816.21459999681, 1034316.8711999953 192815.47730000317, 1034279.2932000011 192819.48700000346, 1034279.","9","GOOD","2023-05-26T00:00:00.000","190.467637048"
"MULTILINESTRING ((-73.86383602710795 40.68382300534618, -73.86341099691133 40.683939982800645))","155925","Q","428890415990415990","ATLANTIC AVENUE","76 STREET","76 STREET","LINESTRING (1022009.8969999999 188462.71099999547, 1022127.8988000005 188506.57909999788)","6","FAIR","2022-12-27T00:00:00.000","125.348729808"
"MULTILINESTRING ((-73.7883470059102 40.688879923166674, -73.78764209834581 40.688434850232206))","60303","Q","435490453890455790","BEDELL STREET","LINDEN BOULEVARD","MEYER AVENUE","LINESTRING (1042947.0494000018 190324.87929999828, 1043142.9316000044 190163.19990000129)","8","GOOD","2022-12-28T00:00:00.000","253.988315994"
"MULTILINESTRING ((-74.18651330195182 40.63023474497293, -74.18654643830668 40.63020918484291))","159765","S","554940531272597040","WESTERN AVENUE","GULF AVENUE","GOETHALS BRIDGE APPROACH","LINESTRING (932479.35699999332 168943.00480000675, 932470.13959999382 168933.71220000088, 932433.97439999878 168889.39699999988)","9","GOOD","2019-11-25T00:00:00.000","13.0886545382"
"MULTILINESTRING ((-73.92538015231855 40.76196969236795, -73.92458828537737 40.76160034800568))","67668","Q","437290408140408240","BROADWAY","31 STREET","32 STREET","LINESTRING (1004921.4179999977 216891.63940000534, 1005140.8992000073 216757.26319999993)","6","FAIR","2023-08-21T00:00:00.000","257.349879125"
"MULTILINESTRING ((-73.867264136359 40.83750351927896, -73.86731628259666 40.838032249757184))","85832","X","211820209130237120","BEACH AVENUE","ARCHER STREET","GUERLAIN STREET","LINESTRING (1020952.9537999928 244991.15610000491, 1020964.4628999978 244622.89219999313, 1020979.1841000021 244430.27779999375)","9","GOOD","2022-06-22T00:00:00.000","193.176139357"
"MULTILINESTRING ((-74.20832933926067 40.5244905521225, -74.20845531146684 40.52450790179471, -74.20858551015047 40.52451063794156, -74.20871548433158 40.52449816258427, -74.20884073899363 40.52447089274206, -74.208957148157 40.524430265083026))","109698","S","552318525908537745","UTICA STREET","DEAD END","MANEE AVENUE","LINESTRING (926808.78149999678 130490.33540000021, 926650.52380000055 130466.23759999871, 926602.00020000339 130460.2486000061, 926491.616899997 130446.62479999661, 926332.25020000339 130431.51980000734, 926297.243900001 130437.923999995, 926261.04970000","3","POOR","2023-02-04T00:00:00.000","180.015517073"
"MULTILINESTRING ((-74.18204483156173 40.63430848243067, -74.18209279158371 40.63421813375759, -74.18214860636895 40.63413044266555, -74.1822120228306 40.63404580397244, -74.1822827559343 40.63396459903802, -74.18236048515287 40.63388719576979, -74.18244486036185 40.63381394321087))","290063","S","554940545050549876","WESTERN AVENUE","RICHMOND TERRACE","SI RAPID TRANSIT","LINESTRING (934362.80789999664 172798.68440000713, 934237.29659999907 171729.71680000424, 934226.99920000136 171665.11920000613, 934167.71999999881 171544.88500000536, 934110.37170000374 171423.71799999475, 934054.96909999847 171301.64900000393, 934001.5","9","GOOD","2019-08-07T00:00:00.000","213.037212226"
"MULTILINESTRING ((-74.0953787745401 40.607136430856436, -74.09632363876726 40.60745278878011))","13212","S","552267526365526365","UNNAMED STREET","DOUGLAS ROAD","DOUGLAS ROAD","LINESTRING (957766.46150000393 160486.983799994, 957504.23080000281 160602.52820000052)","9","GOOD","2018-03-01T00:00:00.000","286.557932007"
"MULTILINESTRING ((-73.9052294467141 40.83826530161279, -73.90454495484967 40.839497964501454))","78159","X","215720219720226790","BROOK AVENUE","CLAREMONT PARKWAY","EAST 171 STREET","LINESTRING (1010473.5524999946 244694.18140000105, 1010662.4660000056 245143.49169999361)","9","GOOD","2022-08-16T00:00:00.000","487.409536392"
"MULTILINESTRING ((-73.92079433499069 40.80540731340094, -73.9206150125777 40.805651064024815))","173563","X","215720225710249460","BROOK AVENUE","EAST 135 STREET","MAJOR DEEGAN EXPRESSWAY","LINESTRING (1006227.0486000031 232807.40440000594, 1006177.4849999994 232718.55279999971, 1006167.3901000023 232701.45319999754)","6","FAIR","2019-08-05T00:00:00.000","101.740637255"
"MULTILINESTRING ((-74.25007656610406 40.5136153261845, -74.25086236397351 40.51322097194159))","131","S","552317537400551999","UTAH STREET","MAIN STREET","TYRRELL STREET","LINESTRING (914724.86900000274 126498.80140000582, 914495.89300000668 126356.76100000739)","8","GOOD","2022-12-29T00:00:00.000","261.500503604"
"MULTILINESTRING ((-74.06575186223522 40.595909189871975, -74.065832901128 40.59536906476687))","277625","S","570268517000534250","RETNER STREET","AUSTIN AVENUE","JACKSON AVENUE","LINESTRING (965989.80519999564 156389.04680000246, 965967.15160000324 156192.2826000005, 965944.57140000165 155990.41159999371)","8","GOOD","2022-06-19T00:00:00.000","198.063969452"
"MULTILINESTRING ((-73.83577094763956 40.691779982868795, -73.83479714879378 40.692051995230585))","155730","Q","428890420390420490","ATLANTIC AVENUE","110 STREET","111 STREET","LINESTRING (1029789.4513999969 191383.93539999425, 1030053.0238000005 191480.83820000291)","6","FAIR","2022-12-27T00:00:00.000","287.658237756"
"MULTILINESTRING ((-74.1878349067276 40.60211227826486, -74.187960837715 40.6021278315492))","184206","S","548500570355597196","SOUTH AVENUE","WEST SHORE EXPRESSWAY","W SHORE EXPRESSWAY ENTRANCE SB","LINESTRING (932090.548999995 158698.06029999256, 932055.59160000086 158703.801699996)","9","GOOD","2018-10-25T00:00:00.000","35.4257461227"
"MULTILINESTRING ((-73.83662682497086 40.69153577571611, -73.83577094763956 40.691779982868795))","156995","Q","428890420340420390","ATLANTIC AVENUE","109 STREET","110 STREET","LINESTRING (1029545.2197999954 191292.3084000051, 1029789.4513999969 191383.93539999425)","7","FAIR","2022-12-27T00:00:00.000","253.47632874"
"MULTILINESTRING ((-73.8366654142833 40.69161402217578, -73.8357840969589 40.69186426368478))","53310","Q","428890420340420390","ATLANTIC AVENUE","109 STREET","110 STREET","LINESTRING (1029545.2197999954 191292.3084000051, 1029789.4513999969 191383.93539999425)","7","FAIR","2022-12-27T00:00:00.000","260.853563453"
"MULTILINESTRING ((-73.83385576828013 40.69232480979714, -73.83297664930126 40.692567946837244))","155827","Q","428890420590420640","ATLANTIC AVENUE","112 STREET","113 STREET","LINESTRING (1030313.9912 191578.48219999671, 1030556.1361999959 191671.26100000739)","8","GOOD","2021-12-14T00:00:00.000","259.384722336"
"MULTILINESTRING ((-73.83483299489211 40.69212887858724, -73.83389127386087 40.69239553343455))","55828","Q","428890420490420590","ATLANTIC AVENUE","111 STREET","112 STREET","LINESTRING (1030053.0238000005 191480.83820000291, 1030313.9912 191578.48219999671)","7","FAIR","2022-12-27T00:00:00.000","278.63656364"
"MULTILINESTRING ((-74.15360643995326 40.631967207364866, -74.15366573957276 40.63154542328066))","8507","S","552700522612553898","VAN NAME AVENUE","CHARLES PLACE","WALKER STREET","LINESTRING (941614.43700000644 169556.45360000432, 941597.70800000429 169402.81550000608)","6","FAIR","2023-08-02T00:00:00.000","154.546191193"
"MULTILINESTRING ((-73.83222001138455 40.69295602161095, -73.83135504779509 40.69319598718436))","155652","Q","428890420740420840","ATLANTIC AVENUE","114 STREET","115 STREET","LINESTRING (1030787.4415999949 191755.39800000191, 1031023.8517999947 191844.02639999986)","6","FAIR","2022-12-27T00:00:00.000","255.298903559"
"MULTILINESTRING ((-73.83222001138455 40.69295602161095, -73.83135504779509 40.69319598718436))","155652","Q","428890420740420840","ATLANTIC AVENUE","114 STREET","115 STREET","LINESTRING (1030787.4415999949 191755.39800000191, 1031023.8517999947 191844.02639999986)","6","FAIR","2022-12-27T00:00:00.000","255.298903559"
"MULTILINESTRING ((-74.1165518469812 40.62650804692457, -74.11690550849697 40.626277649851346))","12560","S","554985518835529365","WEST RALEIGH AVENUE","BERWIN LANE","FREEMAN PLACE","LINESTRING (951896.79140000045 167551.67749999464, 951798.50769999623 167467.86859999597)","7","FAIR","2022-12-06T00:00:00.000","129.165078119"
"MULTILINESTRING ((-74.15966237659896 40.583281156373246, -74.15763617121858 40.582217207352855))","279609","S","554980527675538407","WESTPORT STREET","ESSEX DRIVE","MARSH AVENUE","LINESTRING (939528.12250000238 152104.96660000086, 939686.071600005 151988.7594999969, 939901.201000005 151821.89920000732, 940463.3138000071 151433.25720000267)","9","GOOD","2022-07-12T00:00:00.000","683.383789751"
"MULTILINESTRING ((-73.91049305065485 40.82320816922551, -73.91059085391666 40.82386457985624))","70594","X","215720226490226550","BROOK AVENUE","EAST 161 STREET","EAST 163 STREET","LINESTRING (1008924.9761999995 239572.76139999926, 1008995.3762000054 239445.91120000184, 1009022.6894000024 239206.78460000455)","7","FAIR","2008-06-05T00:00:00.000","240.681411248"
"MULTILINESTRING ((-74.204948942628 40.51809831249525, -74.20400668374211 40.51831710010271))","1053","S","552380517600527820","VAIL AVENUE","BAYVIEW AVENUE","EVERETT AVENUE","LINESTRING (927266.5856000036 128100.46819999814, 927528.75380000472 128179.56579999626)","5","FAIR","2023-03-19T00:00:00.000","273.840456137"
"MULTILINESTRING ((-74.10509094169605 40.593874245390296, -74.10524036233716 40.59402740475093))","114220","S","552323525908548910","UTOPIA COURT","DEAD END","ST GEORGE DRIVE","LINESTRING (955022.48720000684 155714.168599993, 955063.91760000587 155658.31900000572, 955183.549999997 155517.58439999819, 955093.81579999626 155420.68500000238, 955031.43400000036 155466.17700000107, 954938.85220000148 155372.70280000567)","9","GOOD","2017-06-08T00:00:00.000","69.5388802241"
"MULTILINESTRING ((-74.21215030467312 40.51644970128586, -74.21161354338749 40.51653417139981, -74.21108025508272 40.51663150120599, -74.21055124139188 40.51674154519642, -74.2100272567354 40.516864148958696))","969","S","552380525908547535","VAIL AVENUE","DEAD END","SHARROTT AVENUE","LINESTRING (925262.88899999857 127504.60979999602, 925412.20620000362 127535.02320000529, 925560.56880000234 127570.12479999661, 925707.753399998 127609.86220000684, 925853.55040000379 127654.17980000377)","5","FAIR","2023-02-22T00:00:00.000","609.679789691"
"MULTILINESTRING ((-74.08178991216599 40.639254800773564, -74.08170244403011 40.63873986693441))","289314","S","554950546700556150","WESTERVELT AVENUE","SCRIBNER AVENUE","WINTER AVENUE","LINESTRING (961550.56460000575 172184.73559999466, 961574.66500000656 171997.1087000072, 961565.28239999712 171930.45460000634)","9","GOOD","2023-08-04T00:00:00.000","189.168398204"
"MULTILINESTRING ((-74.15843740522509 40.60899889301285, -74.15888957778441 40.608252357536706))","8271","S","570269570115570216","RICHARD LANE","GARY COURT","MORANI STREET","LINESTRING (940598.63539999723 161112.22200000286, 940483.19259999692 161146.66089999676, 940258.40299999714 161190.89300000668, 940132.3599999994 160919.138500005)","6","FAIR","2023-04-12T00:00:00.000","299.561923681"
"MULTILINESTRING ((-73.86530240375158 40.82729329329525, -73.86532266429995 40.827380819977286))","9004389","X","211820215920273420","BEACH AVENUE","BRUCKNER BOULEVARD","WATSON AVENUE","LINESTRING (1021494.8982000053 240896.20679999888, 1021510.7830000073 240806.67910000682, 1021515.1976999938 240781.79780000448, 1021522.0762999952 240743.02949999273, 1021527.7326000035 240711.14890000224, 1021541.2132000029 240635.17049999535, 1021547.","6","FAIR","2022-10-13T00:00:00.000","32.3784864615"
"MULTILINESTRING ((-73.86521126127583 40.82689957358333, -73.86523328908501 40.82699473135719))","9004386","X","211820215920273420","BEACH AVENUE","BRUCKNER BOULEVARD","WATSON AVENUE","LINESTRING (1021494.8982000053 240896.20679999888, 1021510.7830000073 240806.67910000682, 1021515.1976999938 240781.79780000448, 1021522.0762999952 240743.02949999273, 1021527.7326000035 240711.14890000224, 1021541.2132000029 240635.17049999535, 1021547.","6","FAIR","2022-10-13T00:00:00.000","35.2014220171"
"MULTILINESTRING ((-73.86536311741621 40.82755556797917, -73.86542001797292 40.827801362691616))","9004392","X","211820215920273420","BEACH AVENUE","BRUCKNER BOULEVARD","WATSON AVENUE","LINESTRING (1021494.8982000053 240896.20679999888, 1021510.7830000073 240806.67910000682, 1021515.1976999938 240781.79780000448, 1021522.0762999952 240743.02949999273, 1021527.7326000035 240711.14890000224, 1021541.2132000029 240635.17049999535, 1021547.","6","FAIR","2022-10-13T00:00:00.000","90.9259915369"
"MULTILINESTRING ((-73.86329757560283 40.81867629990392, -73.86339172873302 40.819122006475425))","85185","X","211820264220265120","BEACH AVENUE","SEWARD AVENUE","SOUNDVIEW AVENUE","LINESTRING (1022087.4704000056 237572.52840000391, 1022061.1568000019 237734.87479999661)","8","GOOD","2023-01-25T00:00:00.000","164.465069652"
"MULTILINESTRING ((-74.15286235021793 40.63686445385994, -74.15296017804721 40.63618408878797))","196248","S","552700531650545050","VAN NAME AVENUE","HARBOR LANE","RICHMOND TERRACE","LINESTRING (941824.08239999413 171340.28839999437, 941796.49840000272 171092.4606000036, 941776.55619999766 170913.29129999876)","6","FAIR","2023-08-02T00:00:00.000","249.358167109"
"MULTILINESTRING ((-74.18718822244232 40.53327074905089, -74.18715120831759 40.53322826837585, -74.18710249081188 40.53319172324193, -74.18704487443462 40.533163712496325, -74.1869823054714 40.533145740787326))","118245","S","570274515650527730","ROSE LANE","AMBOY ROAD","EUGENE PLACE","LINESTRING (932147.1792999953 133775.43039999902, 932216.52959999442 133617.07439999282, 932226.78550000489 133601.57580000162, 932240.29919999838 133588.23260000348, 932256.29340000451 133577.99330000579, 932273.67200000584 133571.40870000422)","6","FAIR","2018-01-29T00:00:00.000","75.150947682"
"MULTILINESTRING ((-74.20020920830817 40.52948011648716, -74.20041242468143 40.5293612071086))","118198","S","552388525908544420","VALDEMAR AVENUE","DEAD END","QUEENSDALE STREET","LINESTRING (928953.57359999418 132373.88799999654, 928593.88279999793 132244.06540000439, 928537.29180000722 132200.87319999933)","5","FAIR","2023-03-19T00:00:00.000","71.1906413879"
"MULTILINESTRING ((-73.91069998834094 40.822324113431456, -73.91061472644165 40.8224363212578, -73.9105457517935 40.82255720443021, -73.91049517733664 40.8226846304412, -73.91046439342392 40.822816115024224, -73.91045405574947 40.82294897522508, -73.91046393098904 40.82308050937914, -73.91049305065485 40.82320816922551))","70433","X","215720226490268020","BROOK AVENUE","EAST 161 STREET","3 AVENUE","LINESTRING (1008965.743900001 238884.63279999793, 1008989.3002000004 238925.53839999437, 1009008.3454000056 238969.59980000556, 1009022.295599997 239016.04009999335, 1009030.7665999979 239063.95350000262, 1009033.5784000009 239112.36200000346, 1009030.79","6","FAIR","2023-07-10T00:00:00.000","336.046288622"
"MULTILINESTRING ((-73.83132964910511 40.693120666947095, -73.83052844963191 40.69335073213963))","55994","Q","428890420840420940","ATLANTIC AVENUE","115 STREET","116 STREET","LINESTRING (1031023.8517999947 191844.02639999986, 1031245.8692000061 191928.27480000257)","6","FAIR","2022-12-27T00:00:00.000","237.464773832"
"MULTILINESTRING ((-74.07785238606724 40.630980338250595, -74.0783714221665 40.63040583222225))","15563","S","552550546175555445","VAN DUZER STREET","SANDS STREET","WILLIAM STREET","LINESTRING (962640.680399999 169169.13150000572, 962496.42540000379 168959.95200000703, 962421.01569999754 168851.76659999788)","8","GOOD","2022-12-17T00:00:00.000","254.097556547"
"MULTILINESTRING ((-73.8296759773743 40.69352697497901, -73.82882004415461 40.693749987187914))","156526","Q","428890421040421140","ATLANTIC AVENUE","117 STREET","118 STREET","LINESTRING (1031474.1200000048 192016.76880000532, 1031706.8458999991 192103.92080000043)","7","FAIR","2022-12-27T00:00:00.000","250.877978463"
"MULTILINESTRING ((-74.18648530755856 40.630262972202885, -74.18651330195182 40.63023474497293))","159770","S","554940549876597040","WESTERN AVENUE","SI RAPID TRANSIT","GOETHALS BRIDGE APPROACH","LINESTRING (933509.59360000491 170117.12340000272, 933446.34299999475 170045.55959999561, 932559.76070000231 169042.4552000016, 932511.75220000744 168985.95450000465, 932487.14929999411 168953.27220000327, 932479.35699999332 168943.00480000675)","9","GOOD","2019-08-07T00:00:00.000","12.8895089895"
"MULTILINESTRING ((-73.83049206323467 40.693287957714816, -73.8296759773743 40.69352697497901))","156257","Q","428890420940421040","ATLANTIC AVENUE","116 STREET","117 STREET","LINESTRING (1031245.8692000061 191928.27480000257, 1031474.1200000048 192016.76880000532)","7","FAIR","2022-12-27T00:00:00.000","242.48314462"
"MULTILINESTRING ((-73.87848682283848 40.73993390923762, -73.87791831774199 40.739394957206564))","74936","Q","437290440090463590","BROADWAY","CORONA AVENUE","ST JAMES AVENUE","LINESTRING (1017882.6777999997 208923.71279999614, 1017923.0812000036 208877.84329999983, 1018080.8957999945 208681.70540000498)","8","GOOD","2023-04-11T00:00:00.000","251.744957814"
"MULTILINESTRING ((-74.20055721808848 40.5515940073571, -74.20060208692323 40.55157645873441, -74.20063940168748 40.551547693700826, -74.20066272722742 40.551511334627754, -74.20066967395475 40.55147324814041))","109737","S","570208518510545930","MIMOSA LANE","BEND","RUSSEK DRIVE","LINESTRING (928515.58589999378 140300.87980000675, 928503.10230000317 140294.5150000006, 928492.70849999785 140284.05900000036, 928486.19599999487 140270.8273999989, 928484.23399999738 140256.95600000024)","9","GOOD","2022-06-15T00:00:00.000","57.5125671983"
"MULTILINESTRING ((-73.81617767024332 40.696560417804655, -73.81531789240026 40.69681253618822))","151462","Q","428890422120422140","ATLANTIC AVENUE","133 STREET","134 STREET","LINESTRING (1035215.1852000058 193125.76919999719, 1035453.944600001 193217.48479999602)","9","GOOD","2023-05-26T00:00:00.000","255.494296277"
"MULTILINESTRING ((-73.79493246305698 40.75779802986868, -73.79474720541086 40.75562818720329))","97163","Q","428940410140457790","AUBURNDALE LANE","45 AVENUE","NORTHERN BOULEVARD","LINESTRING (1041061.9482000023 215429.46089999378, 1041115.123999998 214639.03900000453)","8","GOOD","2022-07-22T00:00:00.000","792.208587234"
"MULTILINESTRING ((-74.08415419901493 40.62626711520055, -74.08496211924012 40.62462523257381))","15194","S","552550547588549400","VAN DUZER STREET","SHELTERVIEW DRIVE","ST PAULS AVENUE","LINESTRING (960889.8506000042 167453.59679999948, 960665.002000004 166855.63220000267)","8","GOOD","2023-04-22T00:00:00.000","638.841573296"
"MULTILINESTRING ((-74.21426276616916 40.54448709628037, -74.21580667544734 40.544297147049335))","1579","S","570263525908555565","RADIGAN AVENUE","DEAD END","WINANT AVENUE","LINESTRING (924700.51800000668 137720.68829999864, 924271.25380000472 137652.53869999945, 923636.95059999824 137472.10259999335)","8","GOOD","2019-01-16T00:00:00.000","434.640220623"
"MULTILINESTRING ((-73.90607483376996 40.75291346950329, -73.90525018500391 40.75256492861386))","75406","Q","437290411590411790","BROADWAY","55 STREET","56 STREET","LINESTRING (1010272.9722000062 213597.30910000205, 1010501.5873000026 213470.57050000131)","9","GOOD","2022-09-30T00:00:00.000","261.395364681"
"MULTILINESTRING ((-74.15844148486963 40.58972764301779, -74.1605205172867 40.58764168159298))","7640","S","552855535070540530","VASSAR STREET","KLONDIKE AVENUE","NOME AVENUE","LINESTRING (940244.57099999487 154169.8966999948, 939665.75 153410.9810000062)","9","GOOD","2022-10-19T00:00:00.000","954.45627963"
"MULTILINESTRING ((-74.08742362488763 40.647573184959114, -74.0870475984454 40.647122006176126))","277590","S","554950521500545050","WESTERVELT AVENUE","CARROLL PLACE","RICHMOND TERRACE","LINESTRING (959990.04610000551 175216.85860000551, 960094.22980000079 175052.37800000608, 960115.50689999759 175018.32400000095)","9","GOOD","2023-08-03T00:00:00.000","194.70005424"
"MULTILINESTRING ((-73.86672878360423 40.83404788211897, -73.86680620045661 40.83483702229805))","85948","X","211820222240250020","BEACH AVENUE","CROSS BRONX EXPRESSWAY","MC GRAW AVENUE","LINESTRING (1021129.2362000048 243171.48759999871, 1021107.3761000037 243458.9673999995)","6","FAIR","2022-10-13T00:00:00.000","288.30972821"
"MULTILINESTRING ((-73.88283144630611 40.742888376057955, -73.88263341492154 40.742786975368695))","74775","Q","437290416740437190","BROADWAY","81 STREET","BRITTON AVENUE","LINESTRING (1016428.1105999947 210137.65060000122, 1016717.6835000068 209952.60840000212, 1016772.6078000069 209915.73839999735)","7","FAIR","2022-04-09T00:00:00.000","66.1519132819"
"MULTILINESTRING ((-74.0776914047503 40.61977633568311, -74.07805406343341 40.61958534169281))","15511","S","552850542800543490","VANDERBILT AVENUE","PARK HILL COURT","PINE PLACE","LINESTRING (962681.74339999259 165087.17779999971, 962581.002000004 165017.68330000341)","9","GOOD","2023-08-19T00:00:00.000","122.385927301"
"MULTILINESTRING ((-74.11975476485703 40.606463179335194, -74.12003263030068 40.60643640511305))","126610","S","555100516180529343","WESTWOOD AVENUE","AREA PLACE","FRANKLIN PLACE","LINESTRING (951172.38009999692 160271.84960000217, 950997.72179999948 160250.01240000129, 950920.553399995 160240.36360000074)","9","GOOD","2022-11-14T00:00:00.000","77.7692825009"
"MULTILINESTRING ((-74.11831881842251 40.6065992163008, -74.11839435264667 40.60659215586641))","9005113","S","555100529343535490","WESTWOOD AVENUE","FRANKLIN PLACE","LA GUARDIA AVENUE","LINESTRING (951446.05419999361 160305.04180000722, 951419.86579999328 160301.86560000479, 951396.50730000436 160299.0326000005, 951375.53020000458 160296.48839999735, 951336.72329999506 160291.78180000186, 951314.31559999287 160289.06419999897, 951281.69","9","GOOD","2022-11-14T00:00:00.000","21.1308229385"
"MULTILINESTRING ((-73.85816249236872 40.759623898284495, -73.85769115778902 40.75955868769699))","83580","Q","428790420740435780","ASTORIA BOULEVARD","114 STREET","BEND","LINESTRING (1023237.8886000067 216167.951000005, 1023285.9506999999 216151.15399999917, 1023543.6307999939 216059.99750000238, 1023674.2442000061 216036.451000005, 1023830.7924000025 215982.18260000646, 1023880.9135999978 215967.6454000026, 1023880.93979","8","GOOD","2017-10-27T00:00:00.000","132.718868006"
