"boro_block_lot","address","neighborhood","building_classification","total_units","year_built","gross_sqft","estimated_gross_income","gross_income_per_sqft","estimated_expense","expense_per_sqft","net_operating_income","full_market_value","market_value_per_sqft","boro_block_lot_1","address_1","neighborhood_1","building_classification_1","total_units_1","year_built_1","gross_sqft_1","estimated_gross_income_1","gross_income_per_sqft_1","estimated_expense_1","expense_per_sqft_1","net_operating_income_1","full_market_value_1","market_value_per_sqft_1","distance_from_co_op_in_miles","boro_block_lot_2","address_2","neighborhood_2","building_classification_2","total_units_2","year_built_2","gross_sqft_2","estimated_gross_income_2","gross_income_per_sqft_2","estimated_expense_2","expense_per_sqft_2","net_operating_income_2","full_market_value_2","market_value_per_sqft_2","distance_from_co_op_in_miles_1","boro_block_lot_3","address_3","neighborhood_3","building_classification_3","total_units_3","year_built_3","gross_sqft_3","estimated_gross_income_3","gross_income_per_sqft_3","estimated_expense_3","expense_per_sqft_3","net_operating_income_3","full_market_value_3","market_value_per_sqft_3","distance_from_co_op_in_miles_2","report_year"
"1-01162-0001","230 WEST END AVENUE","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","115","1927","92239","3547512","38.46","1051525","11.4","2495987","20271000","219.77","1-01163-0020","225 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","37","1920","49150","1874581","38.14","614867","12.51","1259714","6955000","141.51","0.05","1-01183-0022","325 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","29","1920","21960","855122","38.94","306122","13.94","549000","5504000","250.64","0.16","1-01158-0033","200 WEST 70 STREET","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","233","1926","160049","6155485","38.46","1824559","11.4","4330926","45794000","286.12","0.12","2019"
"1-01162-0012","243 WEST 70 STREET","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","53","1926","68989","2642279","38.3","1067950","15.48","1574329","12786000","185.33","1-01184-0025","312 WEST 73 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","16","1920","14025","511492","36.47","189899","13.54","321593","3433000","244.78","0.17","1-01162-0005","267 WEST 70 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","30","1930","25266","1016704","40.24","412846","16.34","603858","5124000","202.8","0","1-01143-0027","115 WEST 71 STREET","UPPER WEST SIDE (59-79)","D3  -ELEVATOR","38","1913","36364","1392741","38.3","562915","15.48","829826","8121000","223.33","0.18","2019"
"1-01162-0016","235 WEST 70 STREET","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","61","1965","44975","2360738","52.49","991699","22.05","1369039","11120000","247.25","1-01117-0047","34 WEST 65 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","49","1939","37716","1966889","52.15","524630","13.91","1442259","8261000","219.03","0.45","1-01182-0029","225 WEST END AVENUE","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","43","1910","44838","2368792","52.83","674812","15.05","1693980","9415000","209.98","0.14",,,,,,,,,,,,,,,,"2019"
"1-01162-0020","225 WEST 70 STREET","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","42","1975","22626","1203929","53.21","292328","12.92","911601","7404000","327.23","1-01184-0067","317 WEST 74 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","19","1920","7694","409398","53.21","99406","12.92","309992","2044000","265.66","0.25","1-01154-0202","236-240 WEST 64 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","96","1911","42102","2226354","52.88","597006","14.18","1629348","12097000","287.33","0.4","1-01184-0002","2 RIVERSIDE DRIVE","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","24","1963","12656","674944","53.33","165034","13.04","509910","3468000","274.02","0.17","2019"
"1-01162-0029","2039 BROADWAY","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","395","1971","421205","24792126","58.86","6545526","15.54","18246600","148193000","351.83","1-01118-9001","60 WEST 66 STREET","UPPER WEST SIDE (59-79)","D8  -ELEVATOR","325","1974","301000","17117870","56.87","5207300","17.3","11910570","96723000","321.34","0.42","1-01127-0001","301 COLUMBUS AVENUE","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","28","1900","32956","1939790","58.86","477203","14.48","1462587","11879000","360.45","0.4","1-01162-0046","228 WEST 71 STREET","UPPER WEST SIDE (59-79)","D3  -ELEVATOR","170","1917","106920","6351048","59.4","1708582","15.98","4642466","37703000","352.63","0","2019"
"1-01163-0001","246 WEST END AVENUE","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","102","1912","125284","4820928","38.48","1631198","13.02","3189730","25905000","206.77","1-01184-0025","312 WEST 73 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","16","1920","14025","514016","36.65","155397","11.08","358619","3433000","244.78","0.13","1-01162-0005","267 WEST 70 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","30","1930","25266","1021252","40.42","350692","13.88","670560","5124000","202.8","0.05","1-01143-0027","115 WEST 71 STREET","UPPER WEST SIDE (59-79)","D3  -ELEVATOR","38","1913","36364","1399287","38.48","473459","13.02","925828","8121000","223.33","0.18","2019"
"1-01163-0061","260 WEST END AVENUE","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","80","1925","102571","4440299","43.29","1073918","10.47","3366381","27340000","266.55","1-01163-0011","251 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","25","1920","33600","1427664","42.49","301056","8.96","1126608","8523000","253.66","0","1-01163-0020","225 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","37","1920","49150","2129178","43.32","499856","10.17","1629322","6955000","141.51","0","1-01164-0005","253 WEST 72 STREET","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","265","1926","218851","9474060","43.29","2291370","10.47","7182690","44720000","204.34","0.06","2019"
"1-01164-0002","269 WEST 72 STREET","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","60","1924","49327","1976533","40.07","617081","12.51","1359452","11041000","223.83","1-01183-0022","325 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","29","1920","21960","879937","40.07","274720","12.51","605217","5504000","250.64","0.14","1-01163-0053","244 WEST 72 STREET","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","92","1928","87150","3519989","40.39","996996","11.44","2522993","21714000","249.16","0.06","1-01158-0033","200 WEST 70 STREET","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","233","1926","160049","6336340","39.59","1597289","9.98","4739051","45794000","286.12","0.23","2019"
"1-01164-0063","270 WEST END AVENUE","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","36","1918","80463","3542786","44.03","1247981","15.51","2294805","18637000","231.62","1-01126-0029","135 CENTRAL PARK WEST","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","71","1906","217281","9673350","44.52","3871947","17.82","5801403","82036000","377.56","0.36","1-01491-0004","985 5 AVENUE","UPPER EAST SIDE (79-96)","D6  -ELEVATOR","47","1969","102053","4242343","41.57","1559370","15.28","2682973","54799000","536.97","1.09","1-01492-0036","920 PARK AVENUE","UPPER EAST SIDE (79-96)","D9  -ELEVATOR","72","1962","155544","6848602","44.03","2412487","15.51","4436115","40749000","261.98","1.19","2019"
"1-01166-0001","300 WEST END AVENUE","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","35","1917","125030","5867658","46.93","1765424","14.12","4102234","33316000","266.46","1-01126-0029","135 CENTRAL PARK WEST","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","71","1906","217281","10301292","47.41","3569927","16.43","6731365","82036000","377.56","0.38","1-01492-0036","920 PARK AVENUE","UPPER EAST SIDE (79-96)","D9  -ELEVATOR","72","1962","155544","7299680","46.93","2196281","14.12","5103399","40749000","261.98","1.17",,,,,,,,,,,,,,,,"2019"
"1-01166-0006","251 WEST 74 STREET","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","27","1948","22400","851424","38.01","280448","12.52","570976","4636000","206.96","1-01184-0099","316 WEST 75 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","19","1920","14254","567737","39.83","161783","11.35","405954","3297000","231.3","0.1","1-01185-0030","306 WEST 76 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","14","1925","11700","441207","37.71","130923","11.19","310284","2520000","215.38","0.12","1-01117-0047","34 WEST 65 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","49","1939","37716","1433585","38.01","416385","11.04","1017200","8261000","219.03","0.63","2019"
"1-01166-0007","245 WEST 74 STREET","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","59","1924","75312","2853572","37.89","894707","11.88","1958865","15909000","211.24","1-01186-0083","393 WEST END AVENUE","UPPER WEST SIDE (59-79)","D3  -ELEVATOR","114","1927","134183","5337800","39.78","2051658","15.29","3286142","28792000","214.57","0.23","1-01184-0099","316 WEST 75 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","19","1920","14254","533385","37.42","151377","10.62","382008","3297000","231.3","0.1","1-01185-0047","42 RIVERSIDE DRIVE","UPPER WEST SIDE (59-79)","D3  -ELEVATOR","12","1910","11542","437326","37.89","137119","11.88","300207","2432000","210.71","0.15","2019"
"1-01166-0058","250 WEST 75 STREET","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","36","1922","38277","1684571","44.01","344876","9.01","1339695","10880000","284.24","1-01186-0083","393 WEST END AVENUE","UPPER WEST SIDE (59-79)","D3  -ELEVATOR","114","1927","134183","6183153","46.08","1543105","11.5","4640048","28792000","214.57","0.23","1-01185-0030","306 WEST 76 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","14","1925","11700","514917","44.01","105417","9.01","409500","2520000","215.38","0.12","1-01184-0067","317 WEST 74 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","19","1920","7694","337536","43.87","56551","7.35","280985","2044000","265.66","0.1","2019"
"1-01166-0061","310 WEST END AVENUE","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","66","1925","85836","3570778","41.6","1201704","14","2369074","19240000","224.15","1-01186-0083","393 WEST END AVENUE","UPPER WEST SIDE (59-79)","D3  -ELEVATOR","114","1927","134183","5861113","43.68","2211336","16.48","3649777","28792000","214.57","0.23","1-01185-0030","306 WEST 76 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","14","1925","11700","486720","41.6","163800","14","322920","2520000","215.38","0.12","1-01184-0067","317 WEST 74 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","19","1920","7694","319070","41.47","94867","12.33","224203","2044000","265.66","0.1","2019"
"1-01166-0154","240 WEST 75 STREET","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","38","1920","44351","1783354","40.21","454154","10.24","1329200","10795000","243.4","1-01186-0083","393 WEST END AVENUE","UPPER WEST SIDE (59-79)","D3  -ELEVATOR","114","1927","134183","5673257","42.28","1706808","12.72","3966449","28792000","214.57","0.23","1-01185-0030","306 WEST 76 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","14","1925","11700","470457","40.21","119808","10.24","350649","2520000","215.38","0.12","1-01184-0067","317 WEST 74 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","19","1920","7694","308299","40.07","65938","8.57","242361","2044000","265.66","0.1","2019"
"1-01167-0001","320 WEST END AVENUE","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","34","1924","77008","3392202","44.05","1237519","16.07","2154683","17499000","227.24","1-01126-0029","135 CENTRAL PARK WEST","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","71","1906","217281","10066629","46.33","4097920","18.86","5968709","82036000","377.56","0.39","1-01491-0004","985 5 AVENUE","UPPER EAST SIDE (79-96)","D6  -ELEVATOR","47","1969","102053","4428080","43.39","1664484","16.31","2763596","54799000","536.97","1.07","1-01513-0070","1009 PARK AVENUE","UPPER EAST SIDE (79-96)","D9  -ELEVATOR","28","1924","65457","2883381","44.05","1051894","16.07","1831487","24694000","377.26","1.33","2019"
"1-01167-0061","336 WEST END AVENUE","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","105","1931","126811","5225881","41.21","1231335","9.71","3994546","32442000","255.83","1-01165-0056","244 WEST 74 STREET","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","39","1922","40050","1664078","41.55","402903","10.06","1261175","7054000","176.13","0.1","1-01163-0011","251 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","25","1920","33600","1356768","40.38","285600","8.5","1071168","8523000","253.66","0.21","1-01163-0020","225 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","37","1920","49150","2025472","41.21","477247","9.71","1548225","6955000","141.51","0.21","2019"
"1-01167-0064","330 WEST END AVENUE","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","22","1916","39466","1476028","37.4","260870","6.61","1215158","9869000","250.06","1-01185-0030","306 WEST 76 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","14","1925","11700","435357","37.21","88101","7.53","347256","2520000","215.38","0.1","1-01186-0083","393 WEST END AVENUE","UPPER WEST SIDE (59-79)","D3  -ELEVATOR","114","1927","134183","5272050","39.29","1344514","10.02","3927536","28792000","214.57","0.18","1-01185-0047","42 RIVERSIDE DRIVE","UPPER WEST SIDE (59-79)","D3  -ELEVATOR","12","1910","11542","431671","37.4","76293","6.61","355378","2432000","210.71","0.11","2019"
"1-01168-0022","2162 BROADWAY","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","121","1930","195491","9567330","48.94","3131766","16.02","6435564","52266000","267.36","1-01126-0029","135 CENTRAL PARK WEST","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","71","1906","217281","10738027","49.42","3980588","18.32","6757439","82036000","377.56","0.33","1-01491-0004","985 5 AVENUE","UPPER EAST SIDE (79-96)","D6  -ELEVATOR","47","1969","102053","4743423","46.48","1610396","15.78","3133027","54799000","536.97","0.97","1-01492-0036","920 PARK AVENUE","UPPER EAST SIDE (79-96)","D9  -ELEVATOR","72","1962","155544","7612323","48.94","2491815","16.02","5120508","40749000","261.98","1.07","2019"
"1-01169-0036","204 WEST 78 STREET","UPPER WEST SIDE (59-79)","C6  -WALK-UP","20","1920","14015","616800","44.01","156407","11.16","460393","3739000","266.79","1-01185-0063","309 WEST 76 STREET","UPPER WEST SIDE (59-79)","C1  -WALK-UP","12","1900","8611","385170","44.73","99543","11.56","285627","2340000","271.75","0.19","1-01128-0017","27 WEST 75 STREET","UPPER WEST SIDE (59-79)","C5  -WALK-UP","12","1900","8333","366735","44.01","92996","11.16","273739","3022000","362.65","0.32","1-01164-0050","246 WEST 73 STREET","UPPER WEST SIDE (59-79)","C1  -WALK-UP","12","1900","8601","370015","43.02","102180","11.88","267835","1569000","182.42","0.26","2019"
"1-01169-0037","210 WEST 78 STREET","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","38","1926","56147","2442395","43.5","925303","16.48","1517092","12320000","219.42","1-01143-0027","115 WEST 71 STREET","UPPER WEST SIDE (59-79)","D3  -ELEVATOR","38","1913","36364","1544743","42.48","493823","13.58","1050920","8121000","223.33","0.34","1-01182-0029","225 WEST END AVENUE","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","43","1910","44838","1995739","44.51","603968","13.47","1391771","9415000","209.98","0.41",,,,,,,,,,,,,,,,"2019"
"1-01170-0023","215 WEST 78 STREET","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","40","1926","62403","3027794","48.52","786902","12.61","2240892","18199000","291.64","1-01150-0041","120 WEST 79 STREET","UPPER WEST SIDE (59-79)","D3  -ELEVATOR","64","1926","114696","5565050","48.52","1446317","12.61","4118733","26495000","231","0.13","1-01185-0030","306 WEST 76 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","14","1925","11700","572481","48.93","156663","13.39","415818","2520000","215.38","0.23","1-01150-0051","146 WEST 79 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","24","1926","14680","701557","47.79","206254","14.05","495303","4280000","291.55","0.13","2019"
"1-01179-0019","303 WEST 66 STREET","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","421","1962","426476","17071834","40.03","4755207","11.15","12316627","100029000","234.55","1-01163-0011","251 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","25","1920","33600","1345008","40.03","374640","11.15","970368","8523000","253.66","0.2","1-01163-0020","225 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","37","1920","49150","2008269","40.86","607494","12.36","1400775","6955000","141.51","0.2","1-01162-0046","228 WEST 71 STREET","UPPER WEST SIDE (59-79)","D3  -ELEVATOR","170","1917","106920","4235101","39.61","1477634","13.82","2757467","37703000","352.63","0.17","2019"
"1-01182-0012","345 WEST 70 STREET","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","36","1910","41106","1572716","38.26","344468","8.38","1228248","9975000","242.67","1-01182-0029","225 WEST END AVENUE","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","43","1910","44838","1715502","38.26","375742","8.38","1339760","9415000","209.98","0","1-01162-0005","267 WEST 70 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","30","1930","25266","964403","38.17","235984","9.34","728419","5124000","202.8","0.14","1-01185-0030","306 WEST 76 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","14","1925","11700","449982","38.46","118170","10.1","331812","2520000","215.38","0.26","2019"
"1-01182-0020","315 WEST 70 STREET","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","185","1963","253741","14085163","55.51","4448080","17.53","9637083","78268000","308.46","1-01163-0011","251 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","25","1920","33600","1837248","54.68","548352","16.32","1288896","8523000","253.66","0.14","1-01163-0020","225 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","37","1920","49150","2728317","55.51","861600","17.53","1866717","6955000","141.51","0.14","1-01165-0056","244 WEST 74 STREET","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","39","1922","40050","2236793","55.85","715694","17.87","1521099","7054000","176.13","0.19","2019"
"1-01183-0029","243 WEST END AVENUE","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","186","1925","105996","4611886","43.51","1514683","14.29","3097203","25154000","237.31","1-01147-0030","322 COLUMBUS AVENUE","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","66","1926","36258","1585562","43.73","593906","16.38","991656","13817000","381.07","0.38","1-01163-0011","251 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","25","1920","33600","1434048","42.68","439488","13.08","994560","8523000","253.66","0.14","1-01163-0020","225 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","37","1920","49150","2138517","43.51","702354","14.29","1436163","6955000","141.51","0.14","2019"
"1-01183-0032","255 WEST END AVENUE","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","60","1917","63495","2860450","45.05","586694","9.24","2273756","18469000","290.87","1-01163-0011","251 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","25","1920","33600","1513680","45.05","240576","7.16","1273104","8523000","253.66","0.14","1-01144-0001","261 AMSTERDAM AVENUE","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","96","1906","111997","5177621","46.23","954214","8.52","4223407","34833000","311.02","0.33","1-01169-0029","360 AMSTERDAM AVENUE","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","134","1929","131476","5882236","44.74","1043919","7.94","4838317","34663000","263.65","0.36","2019"
"1-01183-0035","257 WEST END AVENUE","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","35","1942","32940","1492182","45.3","364975","11.08","1127207","9155000","277.93","1-01163-0053","244 WEST 72 STREET","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","92","1928","87150","4046375","46.43","996996","11.44","3049379","21714000","249.16","0.14","1-01163-0011","251 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","25","1920","33600","1494192","44.47","331296","9.86","1162896","8523000","253.66","0.14","1-01163-0020","225 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","37","1920","49150","2226495","45.3","544582","11.08","1681913","6955000","141.51","0.14","2019"
"1-01183-0037","310 WEST 72 STREET","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","123","1925","143554","5177993","36.07","1831749","12.76","3346244","27177000","189.32","1-01163-0011","251 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","25","1920","33600","1184064","35.24","387744","11.54","796320","8523000","253.66","0.14","1-01163-0020","225 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","37","1920","49150","1772841","36.07","627154","12.76","1145687","6955000","141.51","0.14","1-01165-0056","244 WEST 74 STREET","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","39","1922","40050","1458221","36.41","524655","13.1","933566","7054000","176.13","0.16","2019"
"1-01183-0050","340 WEST 72 STREET","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","24","1920","33893","1601783","47.26","256231","7.56","1345552","10928000","322.43","1-01144-0061","269 AMSTERDAM AVENUE","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","80","1906","110770","5234990","47.26","837421","7.56","4397569","35714000","322.42","0.33","1-01126-0055","42 WEST 74 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","16","1902","19340","918263","47.48","201136","10.4","717127","5825000","301.19","0.5","1-01144-0001","261 AMSTERDAM AVENUE","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","96","1906","111997","5105943","45.59","816458","7.29","4289485","34833000","311.02","0.33","2019"
"1-01183-0053","342 WEST 72 STREET","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","149","1904","199502","8650407","43.36","2419959","12.13","6230448","50601000","253.64","1-01163-0011","251 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","25","1920","33600","1456896","43.36","407568","12.13","1049328","8523000","253.66","0.14","1-01150-0048","140 WEST 79 STREET","UPPER WEST SIDE (59-79)","D3  -ELEVATOR","74","1914","75240","3175128","42.2","887832","11.8","2287296","18574000","246.86","0.48","1-01142-0064","160 WEST 71 STREET","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","309","1923","235400","10258732","43.58","4244262","18.03","6014470","48838000","207.47","0.34","2019"
"1-01184-0007","305 WEST 72 STREET","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","49","1913","56074","2461649","43.9","628029","11.2","1833620","14892000","265.58","1-01184-0099","316 WEST 75 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","19","1920","14254","567737","39.83","161783","11.35","405954","3297000","231.3","0.1","1-01167-0059","252 WEST 76 STREET","UPPER WEST SIDE (59-79)","D3  -ELEVATOR","61","1903","50600","2310902","45.67","1045396","20.66","1265506","10279000","203.14","0.17","1-01184-0067","317 WEST 74 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","19","1920","7694","337767","43.9","86173","11.2","251594","2044000","265.66","0.1","2019"
"1-01184-0010","263 WEST END AVENUE","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","130","1929","172671","7842717","45.42","1821679","10.55","6021038","48900000","283.2","1-01164-0005","253 WEST 72 STREET","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","265","1926","218851","9940212","45.42","2308878","10.55","7631334","44720000","204.34","0.11","1-01163-0011","251 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","25","1920","33600","1499232","44.62","303744","9.04","1195488","8523000","253.66","0.13","1-01163-0020","225 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","37","1920","49150","2233868","45.45","503788","10.25","1730080","6955000","141.51","0.13","2019"
"1-01184-0019","277 WEST END AVENUE","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","81","1926","203479","9642870","47.39","3276012","16.1","6366858","51703000","254.1","1-01126-0029","135 CENTRAL PARK WEST","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","71","1906","217281","10401241","47.87","3921922","18.05","6479319","82036000","377.56","0.47","1-01491-0004","985 5 AVENUE","UPPER EAST SIDE (79-96)","D6  -ELEVATOR","47","1969","102053","4585241","44.93","1581822","15.5","3003419","54799000","536.97","1.19","1-01492-0036","920 PARK AVENUE","UPPER EAST SIDE (79-96)","D9  -ELEVATOR","72","1962","155544","7371230","47.39","2448263","15.74","4922967","40749000","261.98","1.29","2019"
"1-01184-0028","5 RIVERSIDE DRIVE","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","100","1936","127782","5769357","45.15","1952509","15.28","3816848","30999000","242.59","1-01182-0029","225 WEST END AVENUE","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","43","1910","44838","2021297","45.08","682434","15.22","1338863","9415000","209.98","0.11","1-01185-0030","306 WEST 76 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","14","1925","11700","529776","45.28","198315","16.95","331461","2520000","215.38","0.15","1-01184-0067","317 WEST 74 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","19","1920","7694","347384","45.15","117564","15.28","229820","2044000","265.66","0.1","2019"
"1-01184-0031","11 RIVERSIDE DRIVE","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","636","1950","689522","30049369","43.58","8805196","12.77","21244173","172535000","250.22","1-01165-0056","244 WEST 74 STREET","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","39","1922","40050","1758996","43.92","525056","13.11","1233940","7054000","176.13","0.1","1-01163-0011","251 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","25","1920","33600","1436400","42.75","388416","11.56","1047984","8523000","253.66","0.17","1-01163-0020","225 WEST 71 STREET","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","37","1920","49150","2141957","43.58","627646","12.77","1514311","6955000","141.51","0.17","2019"
"1-01184-0083","315 WEST END AVENUE","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","25","1950","33880","1672317","49.36","456702","13.48","1215615","9873000","291.41","1-01185-0030","306 WEST 76 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","14","1925","11700","579150","49.5","177138","15.14","402012","2520000","215.38","0.05","1-01184-0067","317 WEST 74 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","19","1920","7694","379776","49.36","103715","13.48","276061","2044000","265.66","0","1-01184-0099","316 WEST 75 STREET","UPPER WEST SIDE (59-79)","D1  -ELEVATOR","19","1920","14254","701582","49.22","184732","12.96","516850","3297000","231.3","0","2019"
"1-01184-0087","304 WEST 75 STREET","UPPER WEST SIDE (59-79)","D4  -ELEVATOR","120","1930","77310","3319691","42.94","1040593","13.46","2279098","18510000","239.43","1-01147-0030","322 COLUMBUS AVENUE","UPPER WEST SIDE (59-79)","D7  -ELEVATOR","66","1926","36258","1552205","42.81","551122","15.2","1001083","13817000","381.07","0.31","1-01186-0025","365 WEST END AVENUE","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","116","1925","188830","8327403","44.1","2658726","14.08","5668677","30500000","161.52","0.15","1-01165-0056","244 WEST 74 STREET","UPPER WEST SIDE (59-79)","D6  -ELEVATOR","39","1922","40050","1719747","42.94","539073","13.46","1180674","7054000","176.13","0.12","2019"
