"the_geom","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","siteid","benchid","category","benchtype","installati","address","geocodeadd","street","crossstree","borough","comdist","busroute","bid","latitude","longitude","femafldz","femafldt","hrcevac"
"POINT (-73.92597757091536 40.80619172275462)","2","Bronx","201","8","84","29","15","3448.0","2307.0","Municipal Facilities","backed","2016-06-10T00:00:00.000","80 Bruckner Boulevard","80 Bruckner Boulevard","Buckner Boulevard","Willis Avenue & Alexander Avenue","Bronx","201.0","Not Applicable","Not Applicable","40.8062","-73.925979","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-74.11232552593772 40.57184577501972)","5","Staten Island","502","50","64","24","11","2501.0","1178.0","Municipal Facilities","backed","2014-06-05T00:00:00.000","309 New Dorp Lane","309 New Dorp Lane","New Dorp Lane","Edison Street and Clawson Street","Staten Island","502.0","Not Applicable","Not Applicable","40.571854","-74.112327","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.85809659280585 40.821245717366395)","2","Bronx","209","18","87","32","15","2101.0","774.0","Community Health Centers","backed","2013-08-08T00:00:00.000","731 White Plains Road","731 White Plains Road","White Plains Road","Lafayette and Seward Avenues","Bronx","209.0","Not Applicable","Not Applicable","40.821254","-73.858098","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.94054356805775 40.79232872540783)","1","Manhattan","111","8","68","29","13","3879.0","346.0","General","backed 2","2018-02-05T00:00:00.000","308 E. 109th Street","308 E. 109th Street","E. 109th Street","2nd Avenue & 1st Avenue","Manhattan","111.0","Not Applicable","Not Applicable","40.792337","-73.940545","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","3"
"POINT (-73.71732064168785 40.7441697270035)","4","Queens","413","23","24","11","3","2202.0","1052.0","General","backed","2013-12-09T00:00:00.000","253-22 Union Turnpike","253-22 Union Turnpike","Union Turnpike","Little Neck Parkway and 254th Street","Queens","413.0","Not Applicable","Not Applicable","40.744178","-73.717322","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00754455622415 40.62019476170167)","3","Brooklyn","310","43","49","22","11","4155.0","599.0","Bus Route","backless","2019-03-14T00:00:00.000","7504 13th Avenue","7504 13th Avenue","13th Avenue","Bay Ridge Parkway & 76 Street","Brooklyn","310.0","B64","Not Applicable","40.620203","-74.007546","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.8875105823621 40.83414871571038)","2","Bronx","203","17","79","32","15","2706.0","1298.0","Municipal Facilities","backed","2014-09-12T00:00:00.000","1550 Vyse Avenue","1550 Vyse Avenue","Vyse Avenue","East 172nd Street & East 173rd Street","Bronx","203.0","Not Applicable","Not Applicable","40.834157","-73.887512","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93601056797965 40.81493672073629)","1","Manhattan","111","9","70","30","13","3372.0","1948.0","Municipal Facilities","backed","2016-06-03T00:00:00.000","2289 5th Avenue","2289 5th Avenue","5th Avenue","E 138th Street & E 139th Street","Manhattan","111.0","Not Applicable","Not Applicable","40.814945","-73.936012","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2"
"POINT (-73.87157659341877 40.73383973455544)","4","Queens","404","25","35","16","6","2613.0","1617.0","General","backed","2014-08-04T00:00:00.000","90-15 Queens Boulevard","90-15 Queens Boulevard","59th Avenue","57th & 59th Avenue","Queens","404.0","Not Applicable","Not Applicable","40.733848","-73.871578","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.88273559440279 40.65650875073465)","3","Brooklyn","305","42","60","19","8","4015.0","433.0","Bus Route","backless 2","2018-08-09T00:00:00.000","972 Van Siclen Avenue","972 Van Siclen Avenue","Van Siclen Avenue","Wortman Avenue & Cozine Avenue","Brooklyn","305.0","B83","Not Applicable","40.656517","-73.882737","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.89229257704223 40.89585670424551)","2","Bronx","226","11","81","34","16","3600","32.0","Bus Route","backed 2","2017-03-11T00:00:00.000","Van Cortland Park","5983 Broadway","Broadway","Manhattan College Parkway & W 242nd Street","Bronx","208.0","BX09","Not Applicable","40.895865","-73.892294","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97783656793074 40.592269766713216)","3","Brooklyn","315","47","45","23","11","3435.0","2444.0","Bus Route","backless","2016-12-16T00:00:00.000","2837 86th Street","2837 86th Street","86th Street","W 7th Street & W 8th Street","Brooklyn","315.0","B1","Not Applicable","40.592278","-73.977838","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.8732145917641 40.74876673165488)","4","Queens","404","21","34","13","14","2493.0","1260.0","General","backed","2014-06-10T00:00:00.000","93-19 Roosevelt Avenue","93-19 Roosevelt Avenue","94th Street","93rd Street and 94th Street","Queens","403.0","Not Applicable","Not Applicable","40.748775","-73.873216","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90987757462749 40.84608071442394)","2","Bronx","205","14","77","33","15","2586.0","1001.0","Municipal Facilities","backless","2014-06-30T00:00:00.000","1775 Grand Concourse","109 E. 175th Street","E. 175th Street","Walton Avenue and Grand Concourse","Bronx","205.0","BX32","Not Applicable","40.846089","-73.909879","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92913957953131 40.65200475319331)","3","Brooklyn","317","41","58","20","9","364.0","148.0","Bus Route","backless","2012-07-18T00:00:00.000","5117 & 5119 Church Avenue",,"Church Avenue","East 51st and 52nd Streets","Brooklyn","317.0","B35","Not Applicable","40.652013","-73.929141","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.97859256579969 40.61657576154403)","3","Brooklyn","312","44","48","17","10","4092.0","0.0","General","backed","2018-08-07T00:00:00.000","6010 Bay Parkway","6010 Bay Parkway","Bay Parkway","61st Street & 60th Street","Brooklyn","312.0","Not Applicable","Not Applicable","40.616584","-73.978594","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9262265785261 40.67928574756889)","3","Brooklyn","303","36","56","25","8","3561.0","334.0","General","backed","2016-07-26T00:00:00.000","25 Sumpter Street","1805 Fulton Street","Sumpter Street","Patchen Avenue & Fulton Street","Brooklyn","303.0","Not Applicable","Not Applicable","40.679294","-73.926228","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98371156502284 40.61165776237646)","3","Brooklyn","311","47","47","22","10","3166.0","1810.0","General","backed","2015-09-09T00:00:00.000","6822 Bay Parkway","6822 Bay Parkway","Bay Parkway","Bay Ridge Avenue & 68th Street","Brooklyn","311.0","Not Applicable","Not Applicable","40.611666","-73.983713","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.85929659826023 40.711773738824554)","4","Queens","406","29","28","15","6","4224.0","303.0","Bus Route","backless 2","2019-01-29T00:00:00.000","90-13 Metropolitan Avenue","90-13 Metropolitan Avenue","Woodhaven Blvd","Pole Place & Metropolitan Avenue","Queens","406.0","Q52","Not Applicable","40.711782","-73.859298","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99194755782297 40.68043674940535)","3","Brooklyn","306","39","52","25","7","2678.0","1189.0","Municipal Facilities","backed","2014-07-31T00:00:00.000","317 Hoyt Street","317 Hoyt Street","Hoyt Street","President Street & Union Street","Brooklyn","306.0","Not Applicable","Not Applicable","40.680445","-73.991949","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.88245158276806 40.850553712467665)","2","Bronx","206","15","78","33","15","3183.0","2009.0","AAR","backed","2015-10-01T00:00:00.000","2300 Southern Boulevard","1016 Bronx Park South","Boston Road","Bronx Park S & E 180th Street","Bronx","206.0","Not Applicable","Not Applicable","40.850562","-73.882453","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93597257496123 40.70075574337795)","3","Brooklyn","304","34","53","18","7","1035.0","197.0","Senior Center","backed","2012-09-14T00:00:00.000","10 Forrest Street","10 Forrest Street","Forrest Street","Noll Street and Bushwick Avenue","Brooklyn","304.0","Not Applicable","Not Applicable","40.700764","-73.935974","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90862058632078 40.661423750167195)","3","Brooklyn","316","42","55","19","9","3699.0","2234.0","Bus Route","backed","2017-06-20T00:00:00.000","757 Rockaway Avenue","757 Rockaway Avenue","Rockaway Avenue","Riverdale Avenue & Livonia Avenue","Brooklyn","316.0","B60","Not Applicable","40.661432","-73.908622","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.88469658791716 40.74586173316765)","4","Queens","404","25","39","16","6","3812.0","143.0","Senior Safety","backed 2","2017-06-28T00:00:00.000","80-98 41st Avenue","80-98 41st Avenue","41st Avenue","80th Street & 81st Street","Queens","404.0","Not Applicable","Not Applicable","40.74587","-73.884698","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90841258481477 40.66869974862853)","3","Brooklyn","316","41","55","20","9","2644.0","1322.0","General","backed","2014-09-09T00:00:00.000","50 Belmont Avenue","50 Belmont Avenue","Belmont Avenue","Osborn Street and Watkins Street","Brooklyn","316.0","Not Applicable","Not Applicable","40.668708","-73.908414","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00295355129579 40.7301697403572)","1","Manhattan","102","3","66","27","10","2338.0","1364.0","Senior Center","backed","2014-01-31T00:00:00.000","25 Carmine Street","25 Carmine Street","Carmine Street","Bleeker Street & Bedford Street","Manhattan","102.0","Not Applicable","Not Applicable","40.730178","-74.002955","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.94708757059375 40.71058974165529)","3","Brooklyn","301","34","53","18","7","3220.0","1769.0","Municipal Facilities","backed","2016-05-05T00:00:00.000","97 Maujer Street","97 Maujer Street","Leonard Street","Maujer Street & Grand Street","Brooklyn","301.0","Not Applicable","Not Applicable","40.710598","-73.947089","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95179756493735 40.7862127271253)","1","Manhattan","108","4","68","28","12","2555.0","571.0","Municipal Facilities","backed","2015-06-01T00:00:00.000","112 East 96th Street","112 East 96th Street","East 96th Street","Park Avenue & Lexington Avenue","Manhattan","108.0","Not Applicable","Not Applicable","40.786221","-73.951799","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.96941256940183 40.60451576356959)","3","Brooklyn","315","44","45","22","11","3439.0","22.0","Bus Route","backless 2","2017-02-10T00:00:00.000","541 Kings Highway","541 Kings Highway","Kings Highway","E 3rd Street & E 4th Street","Brooklyn","315.0","B82","Not Applicable","40.604524","-73.969414","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.94934157395708 40.648759754379114)","3","Brooklyn","317","45","42","21","9","3264.0","2165.0","Municipal Facilities","backed","2016-06-09T00:00:00.000","1531 Nostrand Avenue","1531 Nostrand Avenue","Nostrand Avenue","Snyder Avenue & Tilden Avenue","Brooklyn","317.0","Not Applicable","Not Applicable","40.648768","-73.949343","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.86837058966707 40.81845871819455)","2","Bronx","209","18","85","34","15","2808.0","1124.0","Municipal Facilities","backed","2015-01-20T00:00:00.000","1695 Seward Avenue","1695 Seward Avenue","Seward Avenue","Croes Avenue & Croes Place","Bronx","209.0","Not Applicable","Not Applicable","40.818467","-73.868372","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.92694257911955 40.66677774995796)","3","Brooklyn","308","41","55","20","9","3702.0","2430.0","Bus Route","backless","2017-05-20T00:00:00.000","Lincoln Terrace Park","4 E 95th Street","East New York Ave","Rochester Avenue & Buffalo Avenue","Brooklyn","308.0","B12","Not Applicable","40.666786","-73.926944","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00283455724471 40.63489075852837)","3","Brooklyn","312","44","48","17","10","3782.0","406.0","Senior Safety","backed 2","2018-01-03T00:00:00.000","5613 Fort Hamilton Pkwy","5613 Fort Hamilton Pkwy","Fort Hamilton Pkwy","57th Street & 58th Street","Brooklyn","312.0","Not Applicable","Not Applicable","40.634899","-74.002836","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93582156839368 40.804580723020855)","1","Manhattan","111","9","68","30","13","3558.0","21.0","Bus Route","backless 2","2017-02-10T00:00:00.000","185 E 126th Street","185 E 126th Street","E 126th Street","3rd Avenue & Lexington Avenue","Manhattan","111.0","M35","Not Applicable","40.804589","-73.935823","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.94290356368153 40.83673671748476)","1","Manhattan","112","7","71","31","13","3003.0","1951.0","Municipal Facilities","backless","2015-01-23T00:00:00.000","3864 Broadway","3864 Broadway","Broadway","West 161st Street & West 162nd Street","Manhattan","112.0","M5","Not Applicable","40.836745","-73.942905","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94791457054407 40.71344774136688)","3","Brooklyn","301","34","53","18","12","1550.0","408.0","General","backed","2013-01-18T00:00:00.000","81 Devoe Street","81 Devoe Street","Devoe Street","Leonard Street & Lorimer Street","Brooklyn","301.0","Not Applicable","Not Applicable","40.713456","-73.947916","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.91511757697533 40.775931727624176)","4","Queens","401","22","36","12","14","2020.0","824.0","General","backed","2013-08-01T00:00:00.000","27-04 23rd Avenue","27-04 23rd Avenue","23rd Avenue","27th & 28th Street","Queens","401.0","Not Applicable","Not Applicable","40.77594","-73.915119","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.88037258889537 40.75014473195133)","4","Queens","403","21","34","13","14","3360.0","735.0","General","backed","2016-07-19T00:00:00.000","86-12 37th Avenue","86-12 37th Avenue","37th Avenue","86th Avenue & 87th Avenue","Queens","403.0","Not Applicable","Not Applicable","40.750153","-73.880374","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.7779886231995 40.736913730811224)","4","Queens","408","23","25","11","6","3349.0","76.0","Municipal Facilities","backed 2","2016-07-11T00:00:00.000","195-02 69th Avenue","195-02 69th Avenue","69th Avenue","195th Lane & 197th Street","Queens","408.0","Not Applicable","Not Applicable","40.736922","-73.77799","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.99404755351738 40.74341273752996)","1","Manhattan","104","3","75","27","12","2219.0","1813.0","General","backed","2015-10-28T00:00:00.000","140 West 23rd Street","140 West 23rd Street","West 23rd Street","6th Avenue and 7th Avenue","Manhattan","104.0","Not Applicable","Not Applicable","40.743421","-73.994049","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.93842104249207 40.85095687025286)","1","Manhattan","112","10","71","31","13","2266.0","1366.0","General","backed","2013-12-02T00:00:00.000","801 W 181st street","801 W 181st street","W 181st Street","Pinehurst Avenue & Fort Washington Avenue","Manhattan","112.0","Not Applicable","Not Applicable","40.8509568703","-73.9384210425","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9030675868121 40.668187749171786)","3","Brooklyn","316","42","55","19","8","2962.0","928.0","Municipal Facilities","backless","2015-01-02T00:00:00.000","436 Sutter Avenue","276 Junius Street","Junius Street","Sutter Avenue & Blake Avenue","Brooklyn","316.0","B14","Not Applicable","40.668196","-73.903069","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95509556390654 40.77927572878938)","1","Manhattan","108","5","73","28","12","1489.0","1709.0","General","backless","2013-05-21T00:00:00.000","150 East 86th Street","150 East 86th Street","86th Street","Lexington and 3rd Avenue","Manhattan","108.0","Not Applicable","Not Applicable","40.779284","-73.955097","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94341257825388 40.607354761909356)","3","Brooklyn","315","48","41","17","9","4168.0","468.0","Bus Route","backless","2018-09-28T00:00:00.000","2924 Avenue R","3156 Nostrand Avenue","Nostrand Avenue","Avenue R & Avenue S","Brooklyn","315.0","B44","Not Applicable","40.607363","-73.943414","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.96175268639941 40.68268968737077)","3","Brooklyn","302","35","57","25","8","1534.0","118.0","Plaza","backed","2012-04-01T00:00:00.000","19 Putnam Avenue","19 Putnam Avenue","Plaza","Fulton Street & Grand Avenue","Brooklyn","302.0","Not Applicable","Fulton Area Business (FAB) Alliance","40.6826896874","-73.9617526864","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.8625749634915 40.74953406636619)","4","Queens","404","21","39","13","14","1342.0","396.0","Plaza","backed 2","2018-06-01T00:00:00.000","103-12 Roosevelt Avenue","103-12 Roosevelt Avenue","Roosevelt Avenue","104th and National Streets","Queens","404.0","Q20A","Not Applicable","40.7495340664","-73.8625749635","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.98166556428353 40.62764275937308)","3","Brooklyn","312","44","48","17","10","3396.0","2273.0","Bus Route","backless","2016-10-29T00:00:00.000","5002 18th Avenue","5002 18th Avenue","18th Avenue","50th Street & 51st Street","Brooklyn","312.0","B8","Not Applicable","40.627651","-73.981667","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.90949857522985 40.8324687170031)","2","Bronx","203","16","79","32","15","2472.0","809.0","Health Care Facilities","backed","2014-06-20T00:00:00.000","1230 Webster Avenue","1230 Webster Avenue","East 168th Street","Park Avenue and Webster Avenue","Bronx","203.0","BX35","Not Applicable","40.832477","-73.9095","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.89042859264605 40.65077775134605)","3","Brooklyn","318","42","60","19","8","4011.0","524.0","Bus Route","backed","2018-02-26T00:00:00.000","11779 Flatlands Avenue","11779 Flatlands Avenue","Flatlands Avenue","Louisiana Avenue & Williams Avenue","Brooklyn","318.0","B82","Not Applicable","40.650786","-73.89043","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.77314962293455 40.767757724890906)","4","Queens","411","19","26","11","6","1505.0","328.0","BID","backed","2013-01-25T00:00:00.000","36-41 Bell Blvd","36-41 Bell Blvd","Bell Blvd","36th and 38th Avenues","Queens","411.0","Not Applicable","Bell Blvd BBA","40.767766","-73.773151","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.80418061599346 40.72015773554416)","4","Queens","408","24","25","14","6","3206.0","2026.0","General","backed","2016-05-05T00:00:00.000","81-15 164th Street","81-15 164th Street","164th Street","81st Avenue & Goethals Avenue","Queens","408.0","Not Applicable","Not Applicable","40.720166","-73.804182","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.9969345610942 40.598944765825394)","3","Brooklyn","311","47","47","23","11","4166.0","560.0","Bus Route","backed 2","2018-09-21T00:00:00.000","8758 Bay Parkway","8758 Bay Parkway","Bay Parkway","Batch Avenue & Benson Street","Brooklyn","311.0","B82","Not Applicable","40.598953","-73.996936","X","AREA OF MINIMAL FLOOD HAZARD","5"
"POINT (-73.80712961759285 40.67485174441025)","4","Queens","410","28","31","10","5","2181.0","807.0","General","backed","2013-09-23T00:00:00.000","131-14 Rockaway Boulevard","131-14 Rockaway Boulevard","Rockaway Boulevard","131st Street and 132th Street","Queens","410.0","Not Applicable","Not Applicable","40.67486","-73.807131","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.9650745658229 40.697699745110526)","3","Brooklyn","302","33","50","26","7","4078.0","537.0","General","backless 2","2018-05-07T00:00:00.000","275 Flushing Avenue","275 Flushing Avenue","Flushing Avenue","North Elliot Place & North Portland Avenue","Brooklyn","302.0","B57","Not Applicable","40.697708","-73.965076","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-73.86026559542525 40.75360773051276)","4","Queens","403","21","35","13","14","3963.0","452.0","Senior Safety","backed 2","2018-02-09T00:00:00.000","37-16 108th Street","37-16 108th Street","108th Street","37th Street & 38th Street","Queens","403.0","Not Applicable","Not Applicable","40.753616","-73.860267","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.85691259107838 40.84778871228377)","2","Bronx","211","13","82","34","14","2536.0","825.0","Municipal Facilities","backless","2014-06-24T00:00:00.000","974 Morris Park Avenue","974 Morris Park Avenue","Morris Park Avenue","Radcliff Avenue and Colden Avenue","Bronx","211.0","BX21","Not Applicable","40.847797","-73.856914","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.93586558007222 40.620467759591214)","3","Brooklyn","318","45","41","19","9","2582.0","922.0","Municipal Facilities","backless","2014-07-03T00:00:00.000","1501 Hendrickson Street","2000 Flatbush Avenue","Flatbush Avenue","Flatlands Avenue & Avenue M","Brooklyn","318.0","B41","Not Applicable","40.620476","-73.935867","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-73.96958455775454 40.796258725712434)","1","Manhattan","107","7","69","30","10","3343.0","2013.0","Municipal Facilities","backed","2016-05-21T00:00:00.000","225 W 99th Street","225 W 99th Street","W 99th Street","Broadway and Amsterdam Avenue","Manhattan","107.0","Not Applicable","Columbus/Amsterdam","40.796267","-73.969586","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.77099262881697 40.67255974320879)","4","Queens","412","28","32","10","5","955.0","1582.0","Senior Center","backed","2013-02-05T00:00:00.000","169-09 137th Avenue","169-09 137th Avenue","137th Avenue","169th & 170th Street","Queens","412.0","Not Applicable","Not Applicable","40.672568","-73.770994","X","AREA OF MINIMAL FLOOD HAZARD","4"
"POINT (-74.00112355489817 40.688309748269134)","3","Brooklyn","306","39","52","26","7","3109.0","1411.0","General","backed","2015-05-22T00:00:00.000","100 Columbia Street","100 Columbia Street","Columbia Street","Kane Street and Degraw Street","Brooklyn","306.0","Not Applicable","Not Applicable","40.688318","-74.001125","X","AREA OF MINIMAL FLOOD HAZARD","2"
"POINT (-74.01147354992288 40.714441743417474)","1","Manhattan","101","1","66","26","10","1940.0","531.0","BID","backed 2","2018-07-31T00:00:00.000","255 Greenwich Street","255 Greenwich Street","Murray Street","Greenwhich Street & West Broadway","Manhattan","101.0","Not Applicable","Alliance for Downtown New York","40.71445","-74.011475","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","2"
"POINT (-73.98558555918093 40.68955474723764)","3","Brooklyn","302","33","52","25","8","991.0","0.0","BID","backless",,"210 Livingston Street","210 Livingston Street","Livingston Street","Gallatin Place and Hoyt Street","Brooklyn","302.0","B41","Court-Livingston-Schermerhorn","40.689563","-73.985587","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.95153956730736 40.74312873585459)","4","Queens","402","26","37","12","12","2814.0","1889.0","General","backed","2014-10-29T00:00:00.000","10-93 Jackson Avenue","10-93 Jackson Avenue","11th Street","11th Street and 49th Avenue","Queens","402.0","B62","Not Applicable","40.743137","-73.951541","X","AREA OF MINIMAL FLOOD HAZARD","3"
"POINT (-73.95990356889786 40.66727775074366)","3","Brooklyn","309","35","57","20","9","3279.0","2220.0","General","backed","2016-06-06T00:00:00.000","49 Crown Street","49 Crown Street","Crown Street","Franklin Avenue & Washington Avenue","Brooklyn","309.0","Not Applicable","Not Applicable","40.667286","-73.959905","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94054356805775 40.79232872540783)","1","Manhattan","111","8","68","29","13","3879.0","0.0","General",,"2018-02-05T00:00:00.000","308 E. 109th Street","308 E. 109th Street","E. 109th Street","2nd Avenue & 1st Avenue","Manhattan","111.0","Not Applicable","Not Applicable","40.792337","-73.940545","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","3"
"POINT (-73.95004817864665 40.65514685120853)","3","Brooklyn","317","40","43","20","9","3051.0","765.0","Bus Route","backed","2016-08-04T00:00:00.000","1300 Nostrand Avenue","1300 Nostrand Avenue","Nostrand Avenue","Lenox Road & Clarkson Avenue","Brooklyn","317.0","B44","Not Applicable","40.6551468512","-73.9500481786","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97555256266206 40.685369748112954)","3","Brooklyn","302","35","57","25","8","3135.0","192.0","AAR","backed","2015-08-14T00:00:00.000","55 Hanson Place","55 Hanson Place","S Elliot Place","S Elliot Place & Fort Greene Place","Brooklyn","302.0","Not Applicable","Not Applicable","40.685378","-73.975554","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.97303255675985 40.790375727663964)","1","Manhattan","107","6","67","30","10","3938.0","297.0","Senior Safety","backless 2","2018-01-02T00:00:00.000","621 Amsterdam Avenue","621 Amsterdam Avenue","Amsterdam Avenue","90th Street & 91st Street","Manhattan","107.0","Not Applicable","Not Applicable","40.790384","-73.973034","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-74.00785769861767 40.724149962371335)","1","Manhattan","102","3","66","27","10","2688.0","1638.0","BID","backed","2014-12-12T00:00:00.000","225 Hudson Street","225 Hudson Street","Hudson Street","Canal Street & Broome Street","Manhattan","102.0","Not Applicable","Hudson Square Connection","40.7241499624","-74.0078576986","X","0.2 PCT ANNUAL CHANCE FLOOD HAZARD","1"
"POINT (-73.95770556985443 40.6713557500335)","3","Brooklyn","308","35","57","20","9","2879.0","1874.0","General","backed","2015-07-14T00:00:00.000","805 Franklin Avenue","805 Franklin Avenue","Franklin Avenue","Lincoln Place & Eastern Parkway","Brooklyn","308.0","Not Applicable","Crow Hill Community Association","40.671364","-73.957707","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.83390259699092 40.874082706436425)","2","Bronx","210","12","82","36","16","1352.0","377.0","General","backed","2013-01-11T00:00:00.000","750 Baychester Avenue","750 Baychester Avenue","Baychester Avenue","Aldrich Street and Donizetti Place","Bronx","210.0","Not Applicable","Not Applicable","40.874091","-73.833904","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.84402960563962 40.684810743111015)","4","Queens","409","32","38","15","7","2955.0","641.0","Municipal Facilities","backless","2014-12-22T00:00:00.000","97-08 101st Avenue","97-08 101st Avenue","101st Avenue","97th Street & 98th Street","Queens","409.0","Q8","Not Applicable","40.684819","-73.844031","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.89642458022136 40.820979718640636)","2","Bronx","202","17","85","32","15","4123.0","595.0","Bus Route","backless 2","2018-07-12T00:00:00.000","938 East 163rd Street","938 East 163rd Street","East 163rd Street","Intervale Avenue & Kelly Street","Bronx","202.0","BX6","Not Applicable","40.820988","-73.896426","X","AREA OF MINIMAL FLOOD HAZARD","6"
"POINT (-73.92424957020701 40.84231671531338)","2","Bronx","204","16","77","29","15","3477.0","1.0","Bus Route","backed 2","2017-02-04T00:00:00.000","1399 Ogden Avenue","1399 Ogden Avenue","Ogden Aveue","W 179th Street & W 171st Street","Bronx","204.0","BX13","Not Applicable","40.842325","-73.924251","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.94229757477734 40.66839774985504)","3","Brooklyn","309","35","43","20","9","2007.0","631.0","General","backed","2013-06-20T00:00:00.000","310 Kingston Avenue","310 Kingston Avenue","Kingston Avenue","President Street & Union Street","Brooklyn","309.0","Not Applicable","Not Applicable","40.668406","-73.942299","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.8625749634915 40.74953406636619)","4","Queens","404","21","39","13","14","1342.0","380.0","Plaza","backed 2","2018-06-01T00:00:00.000","103-12 Roosevelt Avenue","103-12 Roosevelt Avenue","Roosevelt Avenue","104th and National Streets","Queens","404.0","Q20A","Not Applicable","40.7495340664","-73.8625749635","X","AREA OF MINIMAL FLOOD HAZARD",
"POINT (-73.92631256722598 40.86587271081123)","1","Manhattan","112","10","72","31","13","3139.0","1472.0","General","backed","2015-09-12T00:00:00.000","4781 Broadway","4781 Broadway","Broadway","Dyckman Street & Cumming Street","Manhattan","112.0","Not Applicable","Not Applicable","40.865881","-73.926314","X","AREA OF MINIMAL FLOOD HAZARD","6"
