"propertyborough","propertyblock","propertylot","propertyzip","permitnumber","issuancedate","applicationtype","requeststatus"
"Bronx","4588","12",,"CONN00021040","2023-07-05T16:52:13.000","Water Service","Approved"
"Brooklyn","2624","43",,"CONN00020944","2023-07-05T16:49:58.000","Water Service","Approved"
"Bronx","4588","112",,"CONN00021038","2023-07-05T16:46:17.000","Water Service","Approved"
"Brooklyn","1143","89","11217","B-Relay-0031616","2023-07-05T16:20:41.000","Water Relay","Approved"
"Brooklyn","2117","24","11217","B-Relay-0031615","2023-07-05T16:17:00.000","Water Relay","Approved"
"Queens","15664","121",,"CONN00020521","2023-07-05T16:15:41.000","Water Service","Approved"
"Queens","15664",,,"CONN00020515","2023-07-05T16:14:42.000","Sewer Connection","Approved"
"Bronx","4588",,,"CONN00020750","2023-07-05T16:11:44.000","Sewer Connection","Approved"
"Bronx","4588",,,"CONN00020758","2023-07-05T16:09:10.000","Sewer Connection","Approved"
"Queens","3141","59","11374","Q-Repair-0031609","2023-07-05T15:03:56.000","Sewer Repair","Approved"
"Queens","12276","66",,"CONN00020584","2023-07-05T14:57:31.000","Water Service","Approved"
"Queens","12276",,,"CONN00020585","2023-07-05T14:56:12.000","Sewer Connection","Approved"
"Manhattan","1939","34",,"CONN00020549","2023-07-05T14:15:08.000","Water Service","Approved"
"Manhattan","1939","34",,"CONN00019867","2023-07-05T14:15:05.000","Water Service","Approved"
"Brooklyn","4782","2","11203","B-Relay-0031604","2023-07-05T14:08:42.000","Water Relay","Completed"
"Brooklyn","5087","63",,"CONN00020948","2023-07-05T13:49:03.000","Water Service","Approved"
"Brooklyn","4594","103","11212","B-Relay-0031602","2023-07-05T13:37:57.000","Water Relay","Approved"
"Brooklyn","1814",,,"CONN00021015","2023-07-05T12:34:42.000","Sewer Plug","Approved"
"Brooklyn","3082",,,"CONN00020840","2023-07-05T12:13:25.000","Sewer Connection","Approved"
"Queens","233","1","11101","Q-Relay-0031593","2023-07-05T11:51:05.000","Water Relay","Approved"
"Queens","3464","1","11385","Q-Repair-0031592","2023-07-05T11:46:37.000","Water Repair","Completed"
"Brooklyn","5481",,,"CONN00018811","2023-07-04T16:44:22.000","Sewer Connection","Approved"
"Brooklyn","5481","73",,"CONN00021016","2023-07-04T16:43:14.000","Water Service","Approved"
"Brooklyn","1735",,,"CONN00020956","2023-07-03T20:07:49.000","Sewer Connection","Approved"
"Brooklyn","1735",,,"CONN00020959","2023-07-03T20:06:44.000","Sewer Connection","Approved"
"Brooklyn","1735","17",,"CONN00020995","2023-07-03T20:01:03.000","Water Service","Approved"
"Brooklyn","1735","17",,"CONN00020897","2023-07-03T20:01:01.000","Water Service","Approved"
"Brooklyn","4782","2","11203","B-Relay-0031585","2023-07-03T19:49:12.000","Water Relay","Cancelled"
"Queens","972","59",,"CONN00021004","2023-07-03T19:39:47.000","Water Service","Approved"
"Brooklyn","7183","60",,"CONN00020647","2023-07-03T19:36:34.000","Water Service","Approved"
"Brooklyn","7183",,,"CONN00021020","2023-07-03T19:33:58.000","Sewer Plug","Approved"
"Queens","5514","1",,"CONN00021008","2023-07-03T19:11:25.000","Water Service","Approved"
"Queens","3018","45","11379","Q-Relay-0031580","2023-07-03T19:10:09.000","Water Relay","Completed"
"Queens","10426","7","11412","Q-Relay-0031579","2023-07-03T19:04:32.000","Water Relay","Completed"
"Queens","531",,,"CONN00020814","2023-07-03T18:45:23.000","Sewer Connection","Approved"
"Queens","3684","20","11385","Q-Relay-0031577","2023-07-03T18:44:58.000","Water Relay","Completed"
"Brooklyn","1735","18",,"CONN00020957","2023-07-03T18:15:32.000","Water Service","Approved"
"Brooklyn","1735","18",,"CONN00020958","2023-07-03T18:15:32.000","Water Service","Approved"
"Brooklyn","1200","65",,"CONN00020960","2023-07-03T18:14:15.000","Water Service","Approved"
"Brooklyn","1200","65",,"CONN00020961","2023-07-03T18:14:15.000","Water Service","Approved"
"Bronx","4040","22","10462","X-Repair-0031572","2023-07-03T17:19:21.000","Sewer Repair","Cancelled"
"Brooklyn","1083","28",,"CONN00021011","2023-07-03T17:11:51.000","Water Service","Approved"
"Brooklyn","4134","59","11208","B-Relay-0031569","2023-07-03T16:34:04.000","Water Relay","Approved"
"Queens","12787","68",,"CONN00021013","2023-07-03T16:32:14.000","Water Service","Approved"
"Queens","11869","34",,"CONN00021012","2023-07-03T16:28:22.000","Water Service","Approved"
"Brooklyn","243","8","11201","B-Relay-0031566","2023-07-03T15:48:15.000","Sewer Relay","Approved"
"Brooklyn","6045","58","11209","B-Relay-0031565","2023-07-03T15:47:28.000","Water Relay","Approved"
"Brooklyn","3433","47",,"CONN00020895","2023-07-03T15:43:43.000","Water Service","Approved"
"Brooklyn","3433",,,"CONN00020893","2023-07-03T15:43:02.000","Sewer Connection","Approved"
"Brooklyn","1953","27",,"CONN00020945","2023-07-03T15:31:43.000","Water Service","Approved"
"Manhattan","824","15","10010","M-Repair-0031560","2023-07-03T14:35:52.000","Water Repair","Approved"
"Bronx","3201","8","10468","X-Repair-0031559","2023-07-03T14:05:09.000","Sewer Repair","Approved"
"Brooklyn","2721","37","11211","B-Relay-0031558","2023-07-03T13:54:44.000","Water Relay","Completed"
"Brooklyn","5495",,,"CONN00020913","2023-07-03T13:52:55.000","Sewer Plug","Approved"
"Brooklyn","5495",,,"CONN00020914","2023-07-03T13:52:55.000","Sewer Plug","Approved"
"Brooklyn","5495",,,"CONN00020915","2023-07-03T13:52:53.000","Sewer Plug","Approved"
"Brooklyn","5495","601",,"CONN00020912","2023-07-03T13:51:05.000","Water Service","Approved"
"Brooklyn","5495","601",,"CONN00020911","2023-07-03T13:51:05.000","Water Service","Approved"
"Brooklyn","1235","25","11213","B-Relay-0031552","2023-07-03T13:29:55.000","Water Relay","Completed"
"Brooklyn","377","47","11231","B-Relay-0031551","2023-07-03T13:29:52.000","Water Relay","Completed"
"Queens","8217","152",,"CONN00020876","2023-07-03T13:28:09.000","Water Service","Approved"
"Queens","3596","4",,"CONN00021002","2023-07-03T13:22:53.000","Water Service","Approved"
"Bronx","4610","44","10469","X-Relay-0031548","2023-07-03T13:03:01.000","Sewer Relay","Approved"
"Bronx","5374","13","10461","X-Repair-0031547","2023-07-03T13:01:12.000","Sewer Repair","Approved"
"Manhattan","1645",,,"CONN00020907","2023-07-03T12:57:30.000","Sewer Plug","Approved"
"Queens","2367","47",,"CONN00020918","2023-07-03T12:29:58.000","Water Service","Approved"
"Queens","4895",,,"CONN00020905","2023-07-03T12:22:57.000","Sewer Connection","Approved"
"Queens","5048","29","11355","Q-Repair-0031543","2023-07-03T12:19:31.000","Water Repair","Completed"
"Brooklyn","387","54","11217","B-Relay-0031542","2023-07-03T11:54:44.000","Sewer Relay","Approved"
"Queens","1487","6","11372","Q-Relay-0031541","2023-07-03T11:49:47.000","Water Relay","Approved"
"Brooklyn","2094",,,"CONN00020868","2023-07-01T02:17:46.000","Sewer Connection","Approved"
"Brooklyn","2094",,,"CONN00020866","2023-07-01T02:17:46.000","Sewer Connection","Approved"
"Brooklyn","2094",,,"CONN00020867","2023-07-01T02:17:45.000","Sewer Connection","Approved"
"Brooklyn","2094","1",,"CONN00020937","2023-07-01T02:09:01.000","Water Service","Approved"
"Brooklyn","2094","1",,"CONN00020991","2023-07-01T02:08:59.000","Water Service","Approved"
"Brooklyn","2094","1",,"CONN00020938","2023-07-01T02:08:57.000","Water Service","Approved"
"Brooklyn","5271","12","11218","B-Relay-0031534","2023-06-30T20:01:23.000","Sewer Relay","Approved"
"Brooklyn","4676","17","11203","B-Relay-0031533","2023-06-30T20:01:09.000","Water Relay","Approved"
"Brooklyn","1192","41",,"CONN00020131","2023-06-30T19:26:50.000","Water Service","Approved"
"Brooklyn","1192",,,"CONN00020130","2023-06-30T19:24:20.000","Sewer Plug","Approved"
"Brooklyn","1192","63",,"CONN00020127","2023-06-30T19:17:57.000","Water Service","Approved"
"Brooklyn","1192",,,"CONN00020129","2023-06-30T19:11:14.000","Sewer Plug","Approved"
"Staten Island","5428","12","10308","S-Repair-0031528","2023-06-30T19:05:56.000","Water Repair","Approved"
"Brooklyn","1192",,,"CONN00020122","2023-06-30T19:02:58.000","Sewer Plug","Approved"
"Brooklyn","1192",,,"CONN00020124","2023-06-30T19:02:57.000","Sewer Plug","Approved"
"Brooklyn","1192",,,"CONN00020123","2023-06-30T19:02:57.000","Sewer Plug","Approved"
"Brooklyn","5730","8","11219","B-Relay-0031524","2023-06-30T18:58:24.000","Water Relay","Completed"
"Brooklyn","3708","15",,"CONN00020946","2023-06-30T18:38:39.000","Water Service","Approved"
"Queens","13653","25","11422","Q-Repair-0031522","2023-06-30T18:29:43.000","Water Repair","Completed"
"Queens","99999",,,"CONN00020990","2023-06-30T17:59:36.000","Sewer Connection","Approved"
"Brooklyn","2237",,,"CONN00020774","2023-06-30T17:46:27.000","Sewer Connection","Approved"
"Brooklyn","2265",,,"CONN00020922","2023-06-30T17:43:06.000","Sewer Plug","Approved"
"Queens","6315","55","11361","Q-Repair-0031517","2023-06-30T17:38:15.000","Sewer Repair","Approved"
"Brooklyn","8271","58","11236","B-Repair-0031516","2023-06-30T17:30:55.000","Water Repair","Completed"
"Brooklyn","2265","16",,"CONN00020926","2023-06-30T17:27:25.000","Water Service","Approved"
"Brooklyn","2265","16",,"CONN00020927","2023-06-30T17:27:25.000","Water Service","Approved"
"Brooklyn","7134",,,"CONN00020873","2023-06-30T17:14:54.000","Sewer Plug","Approved"
"Brooklyn","7134",,,"CONN00020874","2023-06-30T17:14:52.000","Sewer Plug","Approved"
"Brooklyn","2265",,,"CONN00020925","2023-06-30T16:56:46.000","Sewer Connection","Approved"
"Brooklyn","2265",,,"CONN00020924","2023-06-30T16:56:46.000","Sewer Connection","Approved"
"Queens","6437","21","11355","Q-Repair-0031509","2023-06-30T16:33:17.000","Sewer Repair","Approved"
"Brooklyn","3082","28",,"CONN00020844","2023-06-30T16:22:40.000","Water Service","Approved"
"Staten Island","877","31",,"CONN00020898","2023-06-30T16:04:18.000","Water Service","Approved"
"Bronx","4052","47",,"CONN00020988","2023-06-30T15:59:45.000","Water Service","Approved"
"Staten Island","50","71","10301","S-Repair-0031505","2023-06-30T15:58:02.000","Water Repair","Completed"
"Brooklyn","3196","43",,"CONN00020881","2023-06-30T15:36:24.000","Water Service","Approved"
"Brooklyn","3196",,,"CONN00020882","2023-06-30T15:35:47.000","Sewer Plug","Approved"
"Brooklyn","4123","34",,"CONN00020837","2023-06-30T15:32:55.000","Water Service","Approved"
"Brooklyn","4123",,,"CONN00020838","2023-06-30T15:31:16.000","Sewer Plug","Approved"
"Brooklyn","351","18",,"CONN00020819","2023-06-30T14:45:07.000","Water Service","Approved"
"Bronx","4469","40","10469","X-Repair-0031499","2023-06-30T13:55:33.000","Sewer Repair","Approved"
"Queens","11495","56","11417","Q-Relay-0031497","2023-06-30T13:21:10.000","Water Relay","Completed"
"Brooklyn","3697",,,"CONN00020368","2023-06-30T13:13:11.000","Sewer Plug","Voided"
"Brooklyn","3697","1",,"CONN00020366","2023-06-30T13:12:09.000","Water Service","Voided"
"Brooklyn","5955","17","11228","B-Repair-0031494","2023-06-30T13:11:58.000","Sewer Repair","Approved"
"Brooklyn","3697","1",,"CONN00020367","2023-06-30T13:10:10.000","Water Service","Voided"
"Bronx","4950","73","10466","X-Repair-0031492","2023-06-30T13:08:32.000","Water Repair","Approved"
"Queens","10675","2","11427","Q-Relay-0031491","2023-06-30T13:01:28.000","Sewer Relay","Approved"
"Queens","3548","85","11385","Q-Relay-0031490","2023-06-30T12:55:19.000","Water Relay","Completed"
"Queens","3302","115","11375","Q-Relay-0031489","2023-06-30T12:46:42.000","Water Relay","Approved"
"Bronx","4111","34","10461","X-Relay-0031488","2023-06-30T12:40:03.000","Water Relay","Approved"
"Bronx","4795","7502","10469","X-Repair-0031487","2023-06-30T12:34:59.000","Sewer Repair","Approved"
"Brooklyn","5612","9","11219","B-Relay-0031483","2023-06-30T12:18:44.000","Sewer Relay","Approved"
"Brooklyn","3756","2",,"CONN00020834","2023-06-30T12:15:33.000","Water Service","Approved"
"Brooklyn","4919","9",,"CONN00020815","2023-06-30T12:13:50.000","Water Service","Approved"
"Brooklyn","7778","7","11234","B-Repair-0031479","2023-06-30T12:13:22.000","Sewer Repair","Approved"
"Brooklyn","3756",,,"CONN00020689","2023-06-30T12:12:06.000","Sewer Connection","Approved"
"Bronx","5127","12","10466","X-Relay-0031477","2023-06-30T11:12:37.000","Water Relay","Approved"
"Staten Island","1965","49",,"CONN00020878","2023-06-29T20:05:16.000","Water Service","Approved"
"Queens","12809","52","11411","Q-Relay-0031474","2023-06-29T20:02:42.000","Water Relay","Completed"
"Queens","11126","56","11429","Q-Relay-0031473","2023-06-29T19:58:29.000","Water Relay","Approved"
"Brooklyn","1027","55",,"CONN00020929","2023-06-29T19:56:53.000","Water Service","Approved"
"Brooklyn","1027",,,"CONN00020807","2023-06-29T19:55:56.000","Sewer Connection","Approved"
