"school_year","opt_code","site_name","school_name","vendor_name"
"2015-2016","C232","THERACARE @ J & J ACADEMY","THERACARE @ J & J ACADEMY","IC BUS INC. (PRE-K)"
"2015-2016","C240","NORTHSIDE/SUSAN PATRICOF HEADSTART CENTER","NORTHSIDE CENTER DAY SCHOOL","ALINA SERVICES CORP."
"2015-2016","C241","BRONX ORGANIZATION FOR THE LEARNING (BOLD)","BRONX ORGANIZATION FOR THE LEARNING (BOLD)","G.V.C., LTD."
"2015-2016","C244","Guild for Exceptional Children","Guild for Exceptional Children","L & M BUS CORP."
"2015-2016","C247","AIM HIGH CHILDREN'S SERVICES/LUCK STARS OF FOREST HILL","AIM HIGH CHILDREN'S SERVICES","ROYAL EXPRESS LINE CORP."
"2015-2016","C249","AIM HIGH CHILDREN'S SERVICES/JFKIDS PORT","AIM HIGH CHILDREN'S SERVICES","PENNY TRANSPORTATION"
"2015-2016","C257","BARBARA WILSON","BROOKVILLE CENTER FOR CHILDREN'S SERVICES","I & Y TRANSIT CORP"
"2015-2016","C262","HC/HC - Ace Program","HC/HC - Ace Program","L & M BUS CORP."
"2015-2016","C264","Infant & Child Learning","Infant & Child Learning Center","FORTUNA BUS COMPANY"
"2015-2016","C265","HCHC/SECOND STEP ANNEX","HCHC/SECOND STEP ANNEX","FORTUNA BUS COMPANY"
"2015-2016","C265B","HC/HC - Second Step","HC/HC - Second Step","FORTUNA BUS COMPANY"
"2015-2016","C266","HIDEC","Hebrew Institute for Deaf & Exceptional Children","I & Y TRANSIT CORP"
"2015-2016","C268","Keller, Helen Services for the Blind","Keller, Helen Services for the Blind","FIRST STEPS"
"2015-2016","C270","H.A.S.C. Preschool - Brooklyn","H.A.S.C. Preschool - Brooklyn","L & M BUS CORP."
"2015-2016","C271","Interdisciplinary Center for Child development","ICCD Northside","ALINA SERVICES CORP."
"2015-2016","C273","H.A.S.C. Preschool/Woodmere","H.A.S.C. Preschool/Woodmere","SMART PICK"
"2015-2016","C275A","Highbridge Advisory Council","Highbridge Advisory Council","DON THOMAS BUSES, INC."
"2015-2016","C275B","Highbridge Advisory Council","Highbridge Advisory Council","DON THOMAS BUSES, INC."
"2015-2016","C277","UNIVERSITY SETTLEMENT/CHILDREN'S CORNER","KIDS CENTRIC INC.","L & M BUS CORP."
"2015-2016","C278","Highbridge Advisory Council","Highbridge Advisory Council","DON THOMAS BUSES, INC."
"2015-2016","C282","KIDS CENTRIC INC./BOULEVARD NURSERY SCHOOL","KIDS CENTRIC INC.","L & M BUS CORP."
"2015-2016","C283","CHILDREN'S LEARNING CENTER","CAROL & FRANK BIONDI EDUC CENTER","PHILLIPS BUS SERVICE"
"2015-2016","C284","Comprehensive Kids Developmental School - Site # 2","Comprehensive Kids Developmental School","SELBY TRANSPORTATION"
"2015-2016","C286","SUNSHINE DEVELOPMENTAL SCHOOL COMMITTEE FOR EARLY CHILDHOOD DV HEAD START","SUNSHINE DEVELOPMENTAL SCHOOL COMMITTEE FOR EARLY CHILDHOOD DV HEAD START","PENNY TRANSPORTATION"
"2015-2016","C287","THERACARE PRESCHOOL SERVICES INC","CHILDREN'S AID SOCIETY","FIRST STEPS"
"2015-2016","C295","Sunshine Developmental School","Family Head Start","I & Y TRANSIT CORP"
"2015-2016","C296","SUNSHINE DEVELOPMENTAL SCHOOL","FAMILY HEAD START","SMART PICK"
"2015-2016","C299","theracare at little angels head start/sacred heart","theracare at little angels head start/sacred heart","DON THOMAS BUSES, INC."
"2015-2016","C302","COMMUNITY PARENTS HEAD START","KIDS CENTRIC INC","THOMAS BUSES, INC."
"2015-2016","C303","COMMUNITY PARENTS HEAD START","KIDS CENTRIC INC.","L & M BUS CORP."
"2015-2016","C306","ICCD","Interdisciplinary Center For Child Development","L & M BUS CORP."
"2015-2016","C311","ADAPTIVE SOLUTIONS MULTI SERVICES (SLP, PT, OT, PSYCH.) PLLC","ADAPTIVE SOLUTIONS MULTI SERVICES (SLP, PT, OT, PSYCH.) PLLC","L & M BUS CORP."
"2015-2016","C317","First Foot Forward","Jewish Community Center of Staten Island","IC BUS INC. (PRE-K)"
"2015-2016","C318","UPPER MANHATTAN MENTAL HEALTH, INC.","UPPER MANHATTAN MENTAL HEALTH, INC.","DON THOMAS BUSES, INC."
"2015-2016","C320","Jackson Development Center","Jackson Development Center","ROYAL EXPRESS LINE CORP."
"2015-2016","C329","Kennedy Child Study Center","Kennedy Child Study Center","G.V.C., LTD."
"2015-2016","C342","League Treatment Center/JFTN","League Treatment Center/JFTN","FORTUNA BUS COMPANY"
"2015-2016","C349","Lifeline Center for Child Development","Lifeline Center for Child Development","L & M BUS CORP."
"2015-2016","C351","Dr. Katherine Dodge Brownell Preschool","Brownell, K. Dodge","ANOTHER RIDE INC."
"2015-2016","C353","Life Skills School","Life Skills School","G.V.C., LTD."
"2015-2016","C368","INFANT & CHILD LEARNING CENTER-STANLEY S. LAMM INSTITUTE PRESCHOOL","INFANT & CHILD LEARNING CENTER-STANLEY S. LAMM INSTITUTE PRESCHOOL","L & M BUS CORP."
"2015-2016","C465","Howard Haber Early Learning Center","NYSARC, Inc., NYC Chapter","G.V.C., LTD."
"2015-2016","C369","Brookville Center for Children's Services","Brookville Center for Children's Services formerly known as Marcus Avenue","I & Y TRANSIT CORP"
"2015-2016","C374","AIM HIGH CHILDREN'S SERVICES-SOUTH BRONX HEAD START SITE# 1","AIM HIGH CHILDREN'S SERVICES","FIRST STEPS"
"2015-2016","C375","Love Me Tender","Love Me Tender","G.V.C., LTD."
"2015-2016","C376","AIM HIGH CHILDREN'S SERVICES/SOUTH BRONX HEADSTART SITE#2","AIM HIGH CHILDREN'S SERVICES","PHILLIPS BUS SERVICE"
"2015-2016","C377","AIM HIGH CHILDREN'S SERVICES/SOUTH BRONX HEAD START SITE#3","AIM HIGH CHILDREN'S SERVICES","FIRST STEPS"
"2015-2016","C378","KENNEDY CHILD STUDY CENTER ANNEX","KENNEDY CHILD STUDY CENTER","G.V.C., LTD."
"2015-2016","C379","Little Meadows Early Childhood Center","Little Meadows Early Childhood Center","L & M BUS CORP."
"2015-2016","C383","The Greenpoint School","New York League for Early Learning","HAPPY DAY TRANSIT"
"2015-2016","C384","Machzik Bracha Learning Center","Machzik Bracha Learning Center","L & M BUS CORP."
"2015-2016","C389","Thercare Preschool Services, Inc. Little Angels/Cardinal Spellman","Thercare Preschool Services, Inc.","SELBY TRANSPORTATION"
"2015-2016","C416","Northern Manhattan Perinatal Partnership","Kids Centric, Inc.","DON THOMAS BUSES, INC."
"2015-2016","C663","Little Lamb Preschool","Little Lamb Preschool","IC BUS INC. (PRE-K)"
"2015-2016","C417","New York Child Learning Institute","New York Child Learning Institute","ALINA SERVICES CORP."
"2015-2016","C421","New York Center for Child Development","New York Center for Child Development","ALINA SERVICES CORP."
"2015-2016","C425","BROOKVILLE CENTER FOR CHILDREN'S SERVICES/FRIENDS WESTBURY","BROOKVILLE CENTER FOR CHIDREN'S SERVICES","I & Y TRANSIT CORP"
"2015-2016","C429","Westchester School for Special Children","Westchester School for Special Children","FIRST STEPS"
"2015-2016","C435","LIFE SKILLS PRESCHOOL ADMINISTRATION & EVALUATION SITE","LIFE SKILLS PRESCHOOL ADMINISTRATION & EVALUATION SITE","ALINA SERVICES CORP."
"2015-2016","C436","Aim High Children's Services","Aim High Children's Services","FORTUNA BUS COMPANY"
"2015-2016","C437","COMPREHENSIVE KIDS DEVELOPMENTAL SC","COMPREHENSIVE KIDS DEVELOPMENTAL SC","SELBY TRANSPORTATION"
"2015-2016","C438","United Federation of Black Community Orgs.","Theracare Preschool Services Inc.","DON THOMAS BUSES, INC."
"2015-2016","C441","Good Samaritan Day Care Center","Theracare Preschool Services Inc.","L & M BUS CORP."
"2015-2016","C442","Small Wonder Preschool","Gingerbread Learning Center, Inc.","FIRST STEPS"
"2015-2016","C443","AIM HIGH CHILDREN'S SERVICES","QUALITY OF LIFE ACADEMY PRESCHOOL","MJT BUS"
"2015-2016","C445","Readiness Program","New York Institute for Special Education","G.V.C., LTD."
"2015-2016","C454","NYL Gramercy School","New York League for Early Learning","SELBY TRANSPORTATION"
"2015-2016","C455","William O'Connor","New York League for Early Learning","THOMAS BUSES, INC."
"2015-2016","C457","Harry Gordon SCHOOL","New York League for Early Learning","G.V.C., LTD."
"2015-2016","C459","Harry Gordon Annex Harry Gordon YM/YWHA Nursery Annex","New York League for Early Learning","G.V.C., LTD."
"2015-2016","C462","THERACARE PRESCHOOL SERVICES, INC.","NUESTROS NINOS DAY CARE","HAPPY DAY TRANSIT"
"2015-2016","C463","AHRC/Astoria Blue Feather","AHRC/Astoria Blue Feather","HAPPY DAY TRANSIT"
"2015-2016","C468","Queens County Educators for Tomorrow, Inc. Early Learning CTR 3 @ College","Charles R. Drew Early Learning Center","I & Y TRANSIT CORP"
"2015-2016","C470","OTSAR Early Childhood Center","OTSAR Early Childhood Center","SMART PICK"
"2015-2016","C472","Northside Therapeutic Early Childhood Center","Northside Therapeutic Early Childhood Center","ALINA SERVICES CORP."
"2015-2016","C477","Theracare Preschool Services, Inc.","Ivy League Early Learn Academy","IC BUS INC. (PRE-K)"
"2015-2016","C480","GRAND STREET SETTLEMENT HEAD START","KIDS CENTRIC","SELBY TRANSPORTATION"
"2015-2016","C481","Psychotherapeutic Evaluation Program","Parson Preschool","L & M BUS CORP."
"2015-2016","C484","IVY LEAGUE EARLY LEARNING ACADEMY","THERACARE PRESCHOOL SERVICE, INC.","L & M BUS CORP."
"2015-2016","C485","Queens County Educators for Tomorrow, Inc. Early Leaning Center 2 @ Starlight","Charles R. Drew Early Learning Center.","L & M BUS CORP."
"2015-2016","C486","BLANCHE COMMUNITY PROGRESS DAY CARE CENTER","THERACARE PRESCHOOL SERVICE, INC.","L & M BUS CORP."
"2015-2016","C488","On Our Way Learning Center","On Our Way Learning Center","THOMAS BUSES, INC."
"2015-2016","C494","Parsons-Psychotherapeutic Evaluational  Programs (P.E.P.), Inc.","Parsons Preschool for Children with Special Needs","L & M BUS CORP."
"2015-2016","C495","Central Park Early Learning Center","AHRC Central Park","PHILLIPS BUS SERVICE"
"2015-2016","C496","Lighthouse Child Development Cntr","Lighthouse Child Development  Cntr. Manhattan","SELBY TRANSPORTATION"
"2015-2016","C498","Kiddie Academy of Flushing","Little Meadows Early Childhood Center","ALINA SERVICES CORP."
"2015-2016","C503","Variety-Child Learning Center","Variety-Child Learning Center","I & Y TRANSIT CORP"
"2015-2016","C504","AT THE GALLOW SCHOOL","VARIETY CHILD LEARNING CENTER","I & Y TRANSIT CORP"
"2015-2016","C505","Psychotherapeutic Eval Prog Pep, inc","Parsons Preschool","MJT BUS"
"2015-2016","C506","SESAME SPROUT, INC.","SESAME SPROUT, INC.","ROYAL EXPRESS LINE CORP."
"2015-2016","C512","Theracare Preschool Services Inc. Child Center of New York","Theracare Preschool Services Inc. Child Center of New York","HAPPY DAY TRANSIT"
"2015-2016","C517","Joan Kennedy Memorial Preschool","Seton Foundation for Learning","IC BUS INC. (PRE-K)"
"2015-2016","C518","Kennedy Child Study Center","Kennedy Child Study Center","ALINA SERVICES CORP."
"2015-2016","C519","Trabajamos Community Head Start","Theracare Preschool Services, Inc.","G.V.C., LTD."
"2015-2016","C520","The Educational Alliance","Theracare Preschool Services,   Inc.","SELBY TRANSPORTATION"
"2015-2016","C522","UCP of New York City, Inc. Manhattan","UCP of New York City, Inc.","PHILLIPS BUS SERVICE"
"2015-2016","C523","Carol and Frank Biondi Educ Center  aka Leake and Watts","Children's Learning Center","ALINA SERVICES CORP."
"2015-2016","C528","B'Above WorldWide Institute, Inc.","Sesame Sprout, Inc.","PENNY TRANSPORTATION"
"2015-2016","C529","Sharon Baptist Head Start (Temporary Location)","Sunshine Developmental School","FIRST STEPS"
"2015-2016","C530","Life Skills Preschool","Life Skills Preschool","G.V.C., LTD."
"2015-2016","C536","Small Wonder Preschool, Inc.","Small Wonder Preschool, Inc.","ALINA SERVICES CORP."
"2015-2016","C541","Episcopal Social Services/ Adam Powell","Adam Powell/ Family Day Care Therapeutic Nursery","DON THOMAS BUSES, INC."
"2015-2016","C542","Episcopal Social Services of NYC Inc.","Virginia Day Therapeutic Nursery","SELBY TRANSPORTATION"
"2015-2016","C543","Episcopal Social Services/ 5th Ave.","Episcopal Social Services/ 5th Ave.","ALINA SERVICES CORP."
"2015-2016","C544","Bronx Preschool Program","Shield Institute","PHILLIPS BUS SERVICE"
"2015-2016","C545","Shield Institute Queens","Shield Institute Queens","ALINA SERVICES CORP."
"2015-2016","C546","Sesame Sprout, Inc.   Grand Street Settlement","Sesame Sprout Inc.","L & M BUS CORP."
"2015-2016","C551","Village Child Development Center","Village Child Development Center","DON THOMAS BUSES, INC."
"2015-2016","C554","Special Sprouts Preschool","Special Sprouts Preschool","FIRST STEPS"
"2015-2016","C555","Community Resources Joan P. Hodum","Comm. Resources for Dev. Disabled-Joan P. Hodum E.L.C.","IC BUS INC. (PRE-K)"
"2015-2016","C562","Dillon Child Learning Center","Dillon, William T. Child Study Center","FORTUNA BUS COMPANY"
"2015-2016","C564","St. Mary's Hospital for Children","St. Mary's Hospital for Children","L & M BUS CORP."
"2015-2016","C568","SteppingStone","SteppingStone","L & M BUS CORP."
"2015-2016","C578","School for Language and Communication Development","School for Language and Communication Development","I & Y TRANSIT CORP"
"2015-2016","C579","These Our Treasures (TOTS)","These Our Treasures (TOTS)","G.V.C., LTD."
"2015-2016","C581","UCP of NYC-Manhattan Children's Program","UCP of N.YC. Inc.","SELBY TRANSPORTATION"
"2015-2016","C584","United Cerebral Palsy/Brooklyn","UCP of  N.Y.C. Inc.","L & M BUS CORP."
"2015-2016","C585","United Cerebral Palsy/Staten Island Program","UCP of N.Y.C. Inc.","IC BUS INC. (PRE-K)"
"2015-2016","C586","UCP-Bronx Children's Program","UCP of  N.Y.C. Inc.","G.V.C., LTD."
"2015-2016","C589","UCP/Apple Preschool","UCP/Apple Preschool","L & M BUS CORP."
"2015-2016","C598","Therapy and Learning Center","Therapy and Learning Center","L & M BUS CORP."
"2015-2016","C601","VOA-Bronx Early Learning Center","Volunteers of American (Inc.)","G.V.C., LTD."
"2015-2016","C605","Early Learning Center","Volunteers of American/Staten Island","FIRST STEPS"
"2015-2016","C606","Warbasse  Coop Nursery School","Warbasse  Coop Nursery School","SMART PICK"
"2015-2016","C608","Williamsburg Infant & Early Childhood Development Center","Williamsburg Infant & Early Childhood Development Center","FORTUNA BUS COMPANY"
"2015-2016","C626","Wagner, Susan Day Care Center","Wagner, Susan Day Care Center","G.V.C., LTD."
"2015-2016","C628","St. Dominic's T.O.R.C.H.","St. Dominic's Preschool","PHILLIPS BUS SERVICE"
"2015-2016","C630","KIDS CENTRIC INC.  MEDGAR EVERS COLLEGE HEADSTART","KIDS CENTRIC INC.  MEDGAR EVERS COLLEGE HEADSTART","FORTUNA BUS COMPANY"
"2015-2016","C635","Yeled V'Yalda Early Childhood Center","Yeled V'Yalda Early Childhood Center","FORTUNA BUS COMPANY"
"2015-2016","C653","(4201 School)","Mill Neck Manor","I & Y TRANSIT CORP"
"2015-2016","C658","Lavelle School for the Blind","Lavelle School for the Blind (4201 funded students only)","G.V.C., LTD."
"2015-2016","C752","Forest Hills West School","New York League for Early Learning","ALINA SERVICES CORP."
"2015-2016","C753","NY League for Early Learning","The Clearview School","ALINA SERVICES CORP."
"2015-2016","C754","Conselyea C.C. (formerly Francis of Paola Preschool)","ARC New York City","HAPPY DAY TRANSIT"
"2015-2016","C814","Wagner, Susan Day Care Center","Wagner, Susan  Day Care Center","G.V.C., LTD."
"2015-2016","C815","Sunshine Developmental School/Sharon Baptist Head Start","Sunshine Developmental School/Sharon Baptist Head Start","G.V.C., LTD."
"2015-2016","C857","S.I. Mental Health (Osgood)","Staten Island Mental Health Society, Inc.","IC BUS INC. (PRE-K)"
"2015-2016","C864","International Nursery School","Little Meadows Early Childhood Center","ALINA SERVICES CORP."
"2015-2016","C868","Clarke NYC Auditory/Oral Center","Clarke NYC Auditory/Oral Center","SELBY TRANSPORTATION"
"2015-2016","C869","(DBA Com. Ed. Serv.) Dawning Village Inc.","Loughman Services, Inc.","ALINA SERVICES CORP."
"2015-2016","C901","Samuel Field YMHA & YWHA","Little Meadows Early Childhood Center","L & M BUS CORP."
"2015-2016","C903","United Community Services","United Community Services","L & M BUS CORP."
"2015-2016","C904","ICCD (Harbor Day Care Center)","Interdisciplinary Center For Child Development","I & Y TRANSIT CORP"
"2015-2016","C911","Rivendell School - Children's House at Rivendell","Rivendell School - Children's House at Rivendell","FIRST STEPS"
"2015-2016","C912","QSAC School and Evaluation Site","QSAC","L & M BUS CORP."
"2015-2016","C919","Episcopal Social Services/ Marcy Avenue","Episcopal Social Services/ Marcy Avenue","FORTUNA BUS COMPANY"
"2015-2016","C920","Cooper Park Day Care Center","Episcopal Social Services","HAPPY DAY TRANSIT"
"2015-2016","C925","Autism Center for Children and Families","Shema Kolainu-Hear Our Voices","MJT BUS"
"2015-2016","C941","Birch, Herbert G. Early Childhood Center","Birch, Herbert G. Early Childhood Center","I & Y TRANSIT CORP"
"2015-2016","C943","Herbert G. Birch-Watson Ave. Site","Birch, Herbert G. Early Childhood Center","ANOTHER RIDE INC."
"2015-2016","C944","THERACARE PRESCHOOL SERVICES, INC. IVY LEAGUE EARLY LEARNING ACADEMY","THERACARE PRESCHOOL SERVICES, INC. IVY LEAGUE EARLY LEARNING ACADEMY","SELBY TRANSPORTATION"
"2015-2016","C948","United Community Services","United Community Services","HAPPY DAY TRANSIT"
"2015-2016","C950","HEARTSHARE PRESCHOOL","HEARTSHARE HUMAN SERVICES","L & M BUS CORP."
"2015-2016","C955","Cassidy's Place","ABC-Association to Benefit Children","SELBY TRANSPORTATION"
"2015-2016","C956","GRAHAM SCHOOL","ABC-Association to Benefit Children","ALINA SERVICES CORP."
"2015-2016","C966","Nazareth","Birch, Herbert G. Early Childhood Center","I & Y TRANSIT CORP"
"2015-2016","C968","William O'Connor/Midwood School","New York League for Early Learning","SMART PICK"
"2015-2016","C970","Tanglewood Foundation","Tanglewood Foundation","IC BUS INC. (PRE-K)"
"2015-2016","C979","(Small Wonder Preschool","Small Wonder Preschool, Inc.","L & M BUS CORP."
"2015-2016","C989","First Foot Forward","Jewish Community Center of Staten Island","FIRST STEPS"
"2015-2016","C993","Western Queens Early Childhood Center","Birch, Herbert G. Early Childhood Center","HAPPY DAY TRANSIT"
"2015-2016","C997","Positive Beginnings, Inc","Positive Beginnings, Inc","L & M BUS CORP."
"2015-2016","C998","Wagner, Susan Day Care Center","Wagner, Susan Day Care Center","G.V.C., LTD."
"2015-2016","E001","Association for Children with Down Syndrome","Association for Children with Down Syndrome","I & Y TRANSIT CORP"
"2015-2016","E002","ABC Cody House","Association to Benefit Children - ABC Early Intervention Program","SELBY TRANSPORTATION"
"2015-2016","E004","Challenge Early Intervention Center - Brooklyn Site","Challenge Early Intervention Center","MJT BUS"
"2015-2016","E011","Crossroads School for Child Development","Crossroads School for Child Development","SMART PICK"
"2015-2016","E017","Easter Seals Child Development Center","Easter Seals Child Development Center Early Intervention Program","G.V.C., LTD."
"2015-2016","E019","HASC @ 55th Street","Hebrew Academy for Special Children  (HASC)","L & M BUS CORP."
"2015-2016","E021","Helen Keller Services for the Blind","Helen Keller Services for the Blind","FIRST STEPS"
"2015-2016","E027","IAHD - St. Mary's","IAHD - St. Mary's Preschool","G.V.C., LTD."
"2015-2016","E028","Jackson Children's Services","Jackson Children's Services","ROYAL EXPRESS LINE CORP."
"2015-2016","E029","Jackson Children's Services","Jackson Children's Services","HAPPY DAY TRANSIT"
"2015-2016","E033","John A. Coleman School","John A. Coleman School","FIRST STEPS"
"2015-2016","E036","Kennedy Child Study Center","Kennedy Child Study Center","G.V.C., LTD."
"2015-2016","E041","Lighthouse International","Lighthouse International","SELBY TRANSPORTATION"
"2015-2016","E042","Little Meadows Early Childhood Center","Little Meadows Early Childhood Center","L & M BUS CORP."
"2015-2016","E044","Little Wonders","Little Wonders","ALINA SERVICES CORP."
"2015-2016","E046","New York Center for Infant & Toddlers","Formerly Manhattan Center for Early Intervention","ALINA SERVICES CORP."
"2015-2016","E051","Step by Step Infant Development Center","Step by Step Infant Development Center","MJT BUS"
"2015-2016","E052","New York Child Resource Center","New York Child Resource Center","DON THOMAS BUSES, INC."
"2015-2016","E052A","New York Child Resourc Center, Inc/ brooklyn","New York Child Resource Center","L & M BUS CORP."
"2015-2016","E055","Northside Therapeutic Early Childhood Center","Northside Early Intervention Program","ALINA SERVICES CORP."
"2015-2016","E057","On Our Way Learning Center","On Our Way Learning Center","THOMAS BUSES, INC."
"2015-2016","E059","Personal-Touch E.I. Program","Personal Touch Home Care E.I. Program","L & M BUS CORP."
"2015-2016","E068","The Auditory/ Oral School of New York","The Auditory/ Oral School of NY/ Strivright","I & Y TRANSIT CORP"
"2015-2016","E070","Children's Center for Early Intervention","Children's Center for Early Intervention","FORTUNA BUS COMPANY"
"2015-2016","E071","Clarke NYC Auditory/Oral Center","Clarke NYC Auditory/Oral Center","SELBY TRANSPORTATION"
"2015-2016","E077","NYL Harry H. Gordon School","New York League for Early Learning","G.V.C., LTD."
"2015-2016","E079","NYL William O'Connor School at Bay Ridge","New York League for Early Learning","THOMAS BUSES, INC."
"2015-2016","E080","Infant & Child Learning Center @ F Building","Infant and Child Learning Center (ICLC)","FORTUNA BUS COMPANY"
"2015-2016","E082","These Our Treasures (TOTS)","These Our Treasures (TOTS)","G.V.C., LTD."
"2015-2016","E083","Thursday's Child","Thursday's Child","L & M BUS CORP."
"2015-2016","E083A","Thursday's Child- S.I.","Thursday's Child S.I.","IC BUS INC. (PRE-K)"
"2015-2016","E095","Williamsburg Infant & Early Childhood Development Center","Williamsburg Infant & Early Childhood Development Center","FORTUNA BUS COMPANY"
"2015-2016","E106","Hand In Hand Development: Lower East Side / Chinatown","Hand In Hand Development","SELBY TRANSPORTATION"
"2015-2016","E140","New York Center for Infant & Toddlers","Formerly Manhattan Center for Early Intervention","PHILLIPS BUS SERVICE"
"2015-2016","E141","Challenge Early Intervention Center","Challenge Early Intervention Center","IC BUS INC. (PRE-K)"
"2015-2016","E144","Happy Dragon Children's Learning Center","Happy Dragon USA","ROYAL EXPRESS LINE CORP."
"2015-2016","E146","Happy Dragon of New York, Inc.","Happy Dragon Child and family Service center/ Flushing","ALINA SERVICES CORP."
"2015-2016","E148","Happy Dragon of New York Inc.","Happy Dragon of New York Inc.","MJT BUS"
"2015-2016","E149","Emilia's Kids","Emilia's Kids","ALINA SERVICES CORP."
"2015-2016","E152","Happy Dragon Children's Learning Center","Happy Dragon of USA","ALINA SERVICES CORP."
"2015-2016","E155","QSAC","Quality Services for the Autism Community","L & M BUS CORP."
"2015-2016","E156","Gingerbread Learning Center","Gingerbread Learning Center","FIRST STEPS"
"2015-2016","E157","Important Steps","Important Steps","G.V.C., LTD."
"2015-2016","E158","Los Ninos Services, Inc.","Los Ninos","FIRST STEPS"
"2015-2016","E159","Lexington Hearing and Speech Center, Inc","Lexington Hearing and Speech Center, Inc.","ROYAL EXPRESS LINE CORP."
"2015-2016","E160","Staten Island Universtiy Hospital","Staten Island university Hospital","IC BUS INC. (PRE-K)"
"2015-2016","E161","The Mount Sinai Hospital","Mount Sinai Hospital","SELBY TRANSPORTATION"
"2015-2016","E162","The Clarke School for the Deaf","The Clarke School for the Deaf","SELBY TRANSPORTATION"
"2015-2016","E163","All About Kids- Bronx","All About Kids- Bronx","G.V.C., LTD."
"2015-2016","E164","All About Kids- Brooklyn","All About Kids- Brooklyn","FIRST STEPS"
"2015-2016","E165","All About Kids- Queens","All About Kids-Queens","HAPPY DAY TRANSIT"
"2015-2016","E166","Dynamic Center, Inc.","Dynamic Center, Inc.","ALINA SERVICES CORP."
"2015-2016","E167","New York Eye and Ear","NY Eye and Ear","SELBY TRANSPORTATION"
"2015-2016","E168","Center for Hearing and Communication","Center for Hearing and Communication","SELBY TRANSPORTATION"
"2015-2016","E170","Los Ninos","Los Ninos","FIRST STEPS"
"2015-2016","E171","AMAC","Association for Metroarea Autistic Children","SELBY TRANSPORTATION"
"2015-2016","E172","Watch Me Grow ( Dynamic manhattan site)","Watch Me Grow","SELBY TRANSPORTATION"
"2015-2016","E173","United Cerebral Palsy of Nassau County","United Cerebral Palsy of Nassau County","SMART PICK"
"2015-2016","E174","Therapeutic Imprints","Therapeutic Imprints","G.V.C., LTD."
"2015-2016","E176","ALL ABOUT KIDS - Brooklyn","ALL ABOUT KIDS","FIRST STEPS"
"2015-2016","E177","ABC- Keith Haring School","ABC- Keith Haring School","ALINA SERVICES CORP."
"2015-2016","E178","Kids' Time Therapies OT Aspekt","Kids' Time Therapies OT Aspekt & Chiro PLLC","HAPPY DAY TRANSIT"
"2015-2016","E179","The Speech Garden","Christine Genna, The Speech Garden Pediatric Speech Therapy PLLC","FORTUNA BUS COMPANY"
"2015-2016","E180","The Gingerbread Learning Center","Gingerbread North Gannon","IC BUS INC. (PRE-K)"
"2015-2016","E181","Our Children First","Our Children First","G.V.C., LTD."
"2015-2016","E182","TheraCare of NY","TheraCare of NY","SMART PICK"
"2015-2016","E183","All In 1 S.P.O.T.","All In 1 S.P.O.T. with TheraTalk, SLP, PT, OT, PLLC","ALINA SERVICES CORP."
"2015-2016","E184","Nalpantidis, Kouli Eftichia for Kouli's Tender Touch","Kouli's Tender Touch Occupational Therapy Services, PLLC","G.V.C., LTD."
"2015-2016","E185","Rehoboth Care Inc.","Rehoboth Care Inc.","FORTUNA BUS COMPANY"
"2015-2016","E186","Rehoboth Care, Inc","Rehoboth Care, Inc","FORTUNA BUS COMPANY"
"2015-2016","E187","TheraCare at Educational Alliance","TheraCare at Educational Alliance","SELBY TRANSPORTATION"
"2015-2016","E188","Women's League","Women's League Community Residences, Inc. dba Jumpstart","I & Y TRANSIT CORP"
"2015-2016","E189","Omni Childhood Center","Omni Childhood Center","I & Y TRANSIT CORP"
"2015-2016","E190","Artistic Quality Therapy Associates  (AQTA)","Artistic Quality Therapy Associates  (AQTA)","SELBY TRANSPORTATION"
"2015-2016","E191","Step by Steps Dynamic Solutions Pediatric Physical","Dynamic Solutions Pediatric Physical and Occupational Therapy, P.L.L.C","FIRST STEPS"
"2015-2016","E192","Challenges Sensory Freeway","Sensory Freeway","THOMAS BUSES, INC."
"2015-2016","E193","Connect the Dots NYLYAI","Connect the Dots NYLYAI","SELBY TRANSPORTATION"
"2015-2016","E194","Support by Design OT, SLP, PT PLLC","Support by Design OT, SLP, PT PLLC","SELBY TRANSPORTATION"
"2015-2016","E195","Pollack-PT & Kotler-SLP, PLLC dba Watch Me Grow","Pollack-PT & Kotler-SLP, PLLC dba Watch Me Grow","PHILLIPS BUS SERVICE"
"2015-2016","E196","Pollack-PT & Kotler-SLP, PLLC dba Watch Me Grow","Pollack-PT & Kotler-SLP, PLLC dba Watch Me Grow","SELBY TRANSPORTATION"
"2015-2016","E197","Chatty Child Speech Therapy PLLC","Chatty Child Speech Therapy PLLC","SELBY TRANSPORTATION"
"2015-2016","E198","Marie Fulgham","Marie Fulgham","ROYAL EXPRESS LINE CORP."
"2015-2016","E199","Sensory Motor Integration & Language Enrichment Therapeutic Services Smile Center","Sensory Motor Integration & Language Enrichment Therapeutic Services Smile Center","SELBY TRANSPORTATION"
"2015-2016","E200","City Sound of NY dba Amy Grillo MA, CCC/SLP","City Sound of NY dba Amy Grillo MA, CCC/SLP","SELBY TRANSPORTATION"
"2015-2016","E201","Angel Nhu Chin","Angel Nhu Chin","ROYAL EXPRESS LINE CORP."
"2015-2016","E202","Making Milestones","Making Milestones","PHILLIPS BUS SERVICE"
"2015-2016","E203","New York Child Resource Center","New York Child Resource Center","DON THOMAS BUSES, INC."
